gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.015257006548148665,0.01685076166584738,0.01999999531108392,0.02,574805.6275400001,0.10360785709618132,21326890.536,0,1,1,0.38164142122059447,0,538225516288991100000000,0,194611585170014240000,0,((((((9)+((4)-(5)))*(((6)*(2))*((9)*(1))))*((((6)*(8))*((9)*(7)))*(((9)*(9))*((x)*(5)))))*(((((8)*(8))*((9)*(8)))*(((2)*(8))*((8)*(x))))*((((4)-(6))-((x)-(7)))-(((x)-(8))-((8)+(3))))))+(((((3)+((0)-(6)))+(((5)+(5))+((1)+(3))))+(((9)+((2)+(x)))*(((8)+(0))*((8)+(2)))))+((((5)+((x)+(5)))*(((0)*(5))*((5)-(7))))*((((7)+(5))-((0)-(7)))-(((4)-(x))+((6)*((2)+(5)))))))),((0)+(x)),DeleteTerminalR|DeleteMaliciousR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|DivXD|SubXD|SubXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|DivXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,11,9,12,12,7
12,(x),20,-10,0.01817944441256248,0.02,0.019999999668214644,0.02,7027561.221689999,0,301399680.129,0,1,1,0.4807105844960141,0,72912137170850420000000000,0,7291158448856115000000000000,0,(((((((x)+(7))*((x)*((7)*(1))))+(((5)-((x)+(5)))*((2)-((5)+(7)))))-((((6)*((x)*(1)))*((4)*((x)*(x))))*(((6)*((6)*(6)))*((x)-((0)*(7))))))-(((((6)+((7)+(8)))*((1)*((x)+(6))))+(((x)+((6)+(4)))+((0)+((0)+(8)))))*((((5)*((6)*(6)))*((9)*((x)*(x))))-(((3)*((3)*(4)))-((3)*((8)*(9)))))))+((((((7)-(8))+((x)*((8)+(x))))*(((6)*((5)*(8)))*((9)+((2)-(1)))))*((((8)*((9)+(0)))-((x)-((8)*(0))))+(((8)+((1)+(4)))-((9)*((x)-(9))))))*(((((8)+(0))*((4)+((4)*(0))))+(((9)*((0)+(4)))*((x)-((x)*(2)))))+((((3)*((3)+(2)))*((0)+((3)+(3))))+(((5)-((1)*(9)))+((6)+((1)-((4)-(5))))))))),(((0)*(x))/((x)+(x))),DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,AddTreeWithDiv|AddTreeWithDiv|FellTreeD|MultXD|MultXD|AddTreeWithDiv|DivXD|SubXD|DivXD|FellTreeD|MultXD|FellTreeD|MultXD|DivXD|AddXD,AddRandomSubTreeR,MultXD,12,8,13,13,7
13,(x),20,-10,0.014221320738856225,0.017812554394666592,0.019999999765139543,0.02,5244027.85259,1.4080358704551157,425784746.02599996,0,1,1,0.3395377106769733,0,3052878544019765300000,0,305287842307958800000000,0,(((((((5)+(x))*((x)*((3)*(8))))*(((5)*((1)*(1)))*((9)+((5)+(8)))))*((((3)+(9))*((9)+((6)*(5))))-(((4)*((8)-(x)))-((6)-((1)+(3))))))+(((((3)-(x))-((8)+((2)+(0))))+(((0)+((x)+(9)))+((x)+((0)*(7)))))*((((x)*(6))-((4)-((2)*(9))))*(((1)*((7)*(9)))*((6)*((2)*(9)))))))*((((((6)-(2))*((9)*((7)*(0))))+(((0)-(7))-((1)-((5)*(9)))))+((((7)+(8))-((4)*((9)*(1))))*(((6)*((8)+(4)))+((2)*((2)+(5))))))*(((((8)-(4))-((7)*((1)-(9))))*(((1)-(x))*((9)-((2)+(7)))))-((((4)+(9))*((6)-((5)-(8))))+(((2)*((2)*(2)))*((9)*((9)+((3)-(0))))))))),((0)+(x)),DeleteMaliciousR|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|DivXD|SubXD|SubXD|SkipD|MultXD|AddTreeWithDiv|SkipD|DivXD|DivXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,11,7,14,14,7
14,(x),20,-10,0.018487188130605636,0.011488620426306747,0.019999999155426156,0.02,4155770.891510001,0.164546946038831,118402908.98200001,0,1,1,0.28595261440089376,0,1060765965684819500000,0,106076555744495310000000,0,(((((((8)+(9))*((9)*((2)*(7))))*(((4)*((9)*(3)))*((5)*((4)+(3)))))*((((0)+((8)*(9)))-((9)*((5)-(2))))*(((6)*((5)*(6)))*((8)+((5)*(1))))))+(((((8)*(0))-((x)+((x)-(3))))+(((9)-((1)-(3)))*((1)-((7)+(2)))))-((((6)-((4)*(x)))*((6)*((3)-(x))))-(((2)+((1)-(8)))*((0)-((5)+(0)))))))*((((((7)+(2))*((5)*((8)*(8))))*(((9)*((3)*(3)))*((7)+((9)+(x)))))+((((x)*(5))*((4)*((8)+(9))))-(((5)-((6)-(6)))-((8)+((8)+(1))))))*(((((7)*(9))*((8)*((9)+(1))))-(((9)+((5)+(4)))+((4)+((3)+(1)))))+((((5)+(8))+((5)-((3)-(2))))+(((5)-((3)+(9)))*((4)-((1)-((2)-(2))))))))),(((0)*(x))/((x)+(x))),DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD|SubXD|MultXD|DivXD|SubXD|SubXD|DivXD|MultXD|FellTreeD|AddXD|MultXD|FellTreeD|MultXD|DivXD|AddXD,AddRandomSubTreeR,MultXD,12,9,15,15,7
15,(x),20,-10,0.01667043707928648,0.008522092780902235,0.019999999702360313,0.02,11344785.03593,0.1016106477589488,335976698.266,0,1,1,0.5040481908904404,0,1055543677162326600000,0,105554367148564200000000,0,(((((((x)-(5))-((6)*(x)))-(((6)-(8))*((x)+((9)*(8)))))-((((5)+(5))*((9)*((7)-(2))))*(((2)*(5))*((9)+((4)*(4))))))-(((((5)+(8))+((0)+(3)))+(((6)+(6))+((9)+((3)+(1)))))+((((2)*(6))*((1)*((0)+(7))))-(((6)*(3))+((x)+((3)*(4)))))))+((((((9)*(x))-((x)*(2)))-(((2)-(9))+((x)+((3)-(2)))))*((((6)*(8))+((2)+(4)))*(((4)*(2))*((8)-((1)*(5))))))*(((((4)*(3))-((5)*(x)))+(((6)*(8))*((x)*((9)*(9)))))*((((3)*(3))*((3)*(6)))+(((2)+(9))-((8)*((9)*((2)+(9))))))))),((0)+(x)),DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|AddXD|DivXD|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddRandomSubTreeR,FellTreeD,15,12,16,16,7
16,(x),20,-10,0.01821385194377814,0.016199999999999996,0.019999999980110306,0.02,62864154.7997,0.018999999999999996,5027729830.817,0,1,1,0.2771870283602685,0,2726473675862724000000,0,272646538019275500000000,0,(((((((x)*(8))*((1)-((8)*(0))))-(((4)*(4))*((x)*((x)+(4)))))+((((8)+(3))*((8)*((6)*(5))))*(((4)+((8)+(2)))+((7)+((3)+(6))))))+(((((1)+(9))+((2)*((1)*(5))))*(((x)*(x))*((x)+((x)*(2)))))*((((x)-(0))-((8)+((9)+(5))))+(((2)*((0)-(7)))-((5)-((0)*(6)))))))+((((((x)*(0))-((1)*((2)+(8))))*(((5)*(4))*((8)-((3)-(1)))))-((((3)*(0))-((2)-((9)-(5))))*(((3)*(6))*((3)*((2)*(4))))))*(((((1)*(6))*((5)-((1)-(5))))*(((1)*(x))+((6)+((6)+(4)))))+((((2)+(8))-((3)*((9)*(8))))*(((6)-((0)+(2)))-((8)*((5)*((6)-(9))))))))),(((0)*((x)/(x)))*((x)/((x)+(x)))),DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,SkipD|AddTreeWithDiv|FellTreeD|MultXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|FellTreeD|MultXD|DivXD|MultXD|DivXD|AddXD,AddToLeafR,MultXD,15,10,17,17,7
17,(x),20,-10,0.01648585530304956,0,0.019999999554444,0.02,6683298.4726599995,0.1,224438678.04,0,1,1,0.32151460543122407,0,11033454361515882000000,0,1103345436120358600000000,0,(((((((1)-(6))-((0)-((5)-(2))))+(((3)+((4)+(8)))+((1)+((x)+(9)))))+((((1)-(x))*((x)-((1)*(x))))*(((7)+((2)+(5)))*((3)*((1)-(9))))))+(((((6)-(0))*((0)-((8)*(x))))-(((1)+((x)-(0)))*((7)*((5)+(4)))))*((((1)-(6))-((8)-((4)-(9))))*(((7)*((7)-(0)))*((4)*((5)-(4)))))))*((((((4)+(3))+((7)*((x)*(9))))+(((1)-(1))-((1)*((3)-(0)))))*((((7)*(2))*((5)*((2)*(5))))*(((2)*((1)*(3)))+((5)*((3)*(8))))))-(((((7)*(1))+((7)-((9)*(5))))*(((3)*(x))*((5)*((9)*(4)))))*((((4)+(2))*((5)+((8)*(1))))-(((8)*((0)+(9)))-((9)*((5)*((2)+(4))))))))),(((0)*(x))/((x)+(x))),AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,FellTreeD|SubXD|MultXD|AddTreeWithDiv|MultXD|DivXD|AddTreeWithDiv|SkipD|FellTreeD|AddXD|MultXD|FellTreeD|MultXD|DivXD|AddXD,AddToLeafR,MultXD,15,16,18,18,7
18,(x),20,-10,0.01667984857038739,0.016738990091783035,0.019999999914145597,0.02,20005411.740450002,0.017019404803485686,1164762616.747,0,1,1,0.5735438162316445,0,6090516417349011000,0,608457657434678200000,0,(((((((6)+(1))-((0)+(1)))-(((2)+(2))-((1)-((4)*(x)))))-((((2)-(2))-((x)+((4)-(3))))*(((8)+(7))-((3)*((7)*(0))))))-(((((x)*(4))*((1)*(1)))-(((7)+(3))-((1)*((4)-(6)))))-((((8)*(1))*((6)+((1)+(x))))-(((6)*(2))*((4)+((9)*(4)))))))*((((((8)*(6))*((9)*(9)))*(((4)*(6))*((8)*((2)*(1)))))-((((x)+(9))+((6)-(8)))*(((2)*(7))*((2)+((4)+(0))))))+(((((0)*(3))*((5)+(6)))+(((7)+(9))+((x)+((0)+(6)))))+((((0)*(4))*((1)+((5)*(7))))*(((5)*(0))-((5)+((3)+((8)*(6))))))))),((0)+(x)),DeleteMaliciousR|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,FellTreeD|SkipD|FellTreeD|DivXD|SkipD|SubXD|DivXD|AddTreeWithDiv|FellTreeD|SkipD|DivXD|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,18,17,19,19,7
19,(x),20,-10,0.015927998755953642,0.02,0.019999999875691638,0.02,26426610.105790004,0,804451112.281,0,1,1,0.441045102199312,0,942672932700593800000,0,21521084059366502000,0,(((((((x)*(1))-((1)-((2)+(4))))+(((6)+((3)*(2)))-((7)*((1)*(0)))))-((((6)-(9))-((0)-((7)+(2))))*(((0)-((3)-(6)))*((9)+((1)-(5))))))-(((((2)-(4))*((3)+((3)*(6))))*(((7)+((3)+(8)))-((3)*((1)*(4)))))+((((3)-(0))+((8)*((5)+(9))))-(((9)-((0)*(x)))*((8)-((7)*(2)))))))*((((((7)*(9))+((1)+((7)+(1))))+(((1)-(8))*((x)-((5)+(5)))))-((((9)-(9))*((0)*((9)+(7))))*(((6)-((4)-(5)))*((8)*((7)+(9))))))*(((((1)*(x))+((0)+((2)+(4))))+(((0)+((4)+(1)))+((1)*((9)-(0)))))+((((8)*(9))*((7)*((9)*(3))))*(((3)*((7)*(6)))*((7)+((x)+((0)+(4))))))))),((0)+(x)),DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,AddTreeWithDiv|FellTreeD|SubXD|AddTreeWithDiv|SubXD|SubXD|DivXD|MultXD|DivXD|AddXD|SubXD|DivXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,SubXD,19,15,20,20,7
20,(x),20,-10,0.01653342861746711,-0.01,0.01999999993664888,-0.01,17187227.263599996,0.2,1578504088.6920002,0.2,1,1,0.37796198843251233,0,492945005355665460000,0,49290858290697870000000,0,(((((((4)-((x)-(2)))-((9)-((9)-(2))))-(((0)+((6)+(3)))*((4)*((0)+(8)))))*((((3)*((3)*(6)))*((9)*((9)*(1))))*(((7)+((7)*(0)))*((x)*((2)-(4))))))+(((((7)*((2)*(9)))-((6)*((0)+(6))))*(((9)*((x)*(8)))+((2)-((4)-(2)))))-((((9)-((8)+(3)))-((3)+((5)+(0))))*(((8)+((9)*(9)))-((5)-((3)+(4)))))))*((((((2)*(x))*((x)+((6)*(8))))-(((3)*((7)-(0)))-((1)-((2)+(5)))))*((((6)-((6)*(x)))-((1)+((9)*(2))))+(((3)+((x)+(2)))-((1)*((4)+(2))))))*(((((5)*(5))*((8)+((0)*(7))))-(((7)-((1)*(0)))-((7)+((5)+(8)))))-((((1)+((9)+(3)))+((7)+((1)+(7))))+(((4)+((x)*(3)))*((3)*((5)+((x)*(6))))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,DivXD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|DivXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|DivXD|MultXD|FellTreeD|AddXD,AddRandomSubTreeR,DivXD,20,19,21,21,7
21,(x),20,-10,0.018253144578008865,0.01763825546117414,0.01999999989259206,0.02,24463168.56675,0.3994141252162799,931029881.8139999,0,1,1,0.3998243358140555,0,649715687775100700000,0,64969918360365010000000,0,(((((((x)-(1))*((9)*((7)*(4))))+(((1)-((9)*(x)))+((5)*((4)+(7)))))-((((9)*(8))*((3)+((9)-(8))))*(((7)-((6)*(4)))*((6)*((5)*(2))))))-(((((3)*(0))+((7)*((3)+(0))))+(((2)+((9)+(x)))+((x)+((9)+(8)))))+((((6)*((3)+(x)))*((4)+((7)+(0))))*(((9)+((x)*(6)))+((8)+((3)*(x)))))))+((((((1)+(7))*((5)+((9)+(6))))-(((2)+(5))*((6)*((3)+(7)))))+((((0)+(5))+((2)*((6)*(5))))-(((7)*((6)*(3)))*((4)*((9)*(5))))))*(((((2)*(9))*((6)-((7)+(x))))*(((3)-((6)*(5)))+((8)*((5)-(2)))))-((((6)-(3))*((8)-((2)+(8))))+(((1)-((0)-(4)))-((6)*((5)*((x)-(1))))))))),((0)+(x)),DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,DivXD|FellTreeD|FellTreeD|DivXD|SkipD|AddXD|DivXD|AddTreeWithDiv|MultXD|AddXD|DivXD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,DivXD,20,19,22,22,7
22,(x),20,-10,0.016810749101191944,0.017985876242787996,0.019999999386138695,0.02,3058404.0349500002,0.3004576038043277,162903246.932,0,1,1,0.4065371305394242,0,15252349791914990000,0,1525233551047068700000,0,(((((((3)-(5))-((7)-((8)-(3))))*(((7)+((0)*(1)))-((3)-((2)+(6)))))*((((2)-(1))*((8)*((2)+(6))))+(((2)+((1)+(7)))+((4)+((1)+(8))))))+(((((8)+(8))+((3)+((6)*(3))))*(((4)*((8)*(0)))+((1)+((2)+(4)))))+((((6)*((x)*(1)))*((7)+((9)-(8))))*(((1)*((6)*(9)))*((5)-((1)+(1)))))))*((((((9)*(5))-((1)*((4)+(4))))-(((4)-(x))-((4)*((9)*(6)))))*((((5)-(8))*((1)-((5)*(4))))*(((5)*((8)+(x)))+((x)*((3)*(9))))))*(((((6)*(7))*((4)*((3)*(3))))-(((8)+((4)*(7)))*((9)*((6)*(x)))))*((((9)*(6))-((1)-((2)+(1))))+(((9)*((6)+(2)))+((3)+((6)+((2)*(3))))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|SubXD|DivXD|MultXD|FellTreeD|MultXD|FellTreeD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,21,21,23,23,7
23,(x),20,-10,0.015514778701263977,-0.01,0.019999999920553565,-0.01,15205169.458819997,0.2,1258709729.652,0.2,1,1,0.2828565241801157,0,4764263221280476000,0,476422060879287300000,0,(((((((8)*(x))+((x)*((4)*(8))))*(((6)-((8)+(0)))-((4)*((2)*(9)))))-((((9)*(1))+((x)-((4)+(6))))*(((x)+((9)+(6)))+((x)+((0)+(9))))))+(((((5)+(5))*((x)-((x)-(x))))*(((1)*((4)*(5)))+((9)-((x)*(0)))))-((((8)*((2)-(6)))*((8)*((9)-(3))))*(((7)*((3)*(4)))*((x)+((5)-(7)))))))+((((((5)-(7))+((4)+((7)-(6))))-(((8)-((7)*(0)))+((4)+((x)*(7)))))+((((2)*(5))*((x)+((7)+(8))))*(((1)*((x)*(9)))*((6)*((x)*(6))))))*(((((9)*(3))*((5)-((1)+(0))))-(((7)-((2)*(0)))*((8)*((1)-(3)))))*((((9)+(4))+((2)*((8)*(4))))-(((9)-((4)-(9)))-((2)-((6)-((6)-(5))))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|SubXD|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|MultXD|SubXD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,23,21,24,24,7
24,(x),20,-10,0.018107579428406143,0.009566159964416357,0.01999999998375961,0.02,81543528.61606,0.07887141686350467,6157487648.36,0,1,1,0.38842842568177727,0,37156801893241950000,0,3715591373414492300000,0,(((((((x)-(3))-((1)-((x)+(4))))-(((5)-(0))+((x)*((3)-(1)))))+((((8)-(x))+((5)+((x)*(4))))+(((9)-((x)-(1)))*((7)*((3)+(x))))))+(((((3)+(1))+((1)+((3)+(0))))+(((4)*((4)*(9)))*((x)*((8)+(2)))))*((((3)*(x))*((2)*((3)*(9))))*(((6)*((9)*(7)))*((4)+((3)*(4)))))))*((((((2)*(3))*((2)+((6)+(2))))-(((5)*(8))+((9)-((0)-(8)))))*((((6)+(6))*((x)+((7)+(4))))*(((7)*(9))-((x)*((8)+(8))))))-(((((4)*(5))*((1)*((9)+(3))))+(((1)+(8))+((8)+((8)+(3)))))+((((0)+(8))+((7)+((6)*(4))))*(((7)-((4)-(6)))-((4)-((x)-((1)-(8))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd,FellTreeD|FellTreeD|FellTreeD|DivXD|MultXD|DivXD|AddTreeWithDiv|SkipD|FellTreeD|DivXD|SubXD|DivXD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,23,21,25,25,7
25,(x),20,-10,0.01902750931978462,0.02,0.019999999920892263,0.02,16004706.327769997,0,1264098860.504,0,1,1,0.38967267606841016,0,5199946888735512000000,0,519994686585551000000000,0,(((((((x)-((4)-(2)))-((4)*((x)-(x))))+(((0)*((x)*(x)))-((7)+((8)-(1)))))+((((5)+((9)+(8)))-((5)+((x)*(6))))+(((4)-((6)+(7)))*(((1)*(3))*((6)*(7))))))+(((((7)*((9)-(6)))-((x)*((0)*(6))))+(((7)-((x)+(2)))*((9)*((1)-(9)))))*((((8)*((8)*(9)))*((7)*((5)+(2))))+(((0)+((7)+(8)))+(((7)+(7))+((3)+(6)))))))+((((((0)*((0)+(7)))*((2)*((8)*(6))))*(((4)*((6)+(1)))*((9)-((x)*(2)))))-((((8)*((5)*(6)))*((2)*((9)-(7))))*(((5)+((1)-(x)))-((3)+((0)-(4))))))-(((((8)*((9)-(7)))*((x)-((6)-(8))))+(((7)*((8)*(2)))+((5)-((6)*(0)))))+((((4)+((7)+(0)))+((6)+((1)+(9))))+(((5)-((6)-(6)))-((9)-((3)-((2)-(x))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd,FellTreeD|AddXD|FellTreeD|DivXD|SubXD|SkipD|DivXD|SubXD|FellTreeD|AddXD|DivXD|DivXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,25,23,26,26,7
26,(x),20,-10,0.016875203313397587,0.02,0.019999998890111774,0.02,1735020.82021,0,90099162.81,0,1,1,0.37029207944304915,0,64878138154555560000,0,6468086082500290000000,0,(((((((2)-(6))-((2)+((3)*(9))))+(((x)-(9))+((9)*((6)+(9)))))+((((7)-(5))-((0)-((2)*(6))))*(((7)-((8)*(5)))*((7)*((x)-(7))))))-(((((x)*(9))*((8)*((6)*(6))))*(((8)*(9))*((6)*((4)-(8)))))*((((7)+(8))+((1)+((6)+(7))))+(((5)+((4)+(3)))*((4)+((9)*(8)))))))*((((((3)+(4))+((9)+((1)*(2))))-(((6)-(4))*((5)*((8)*(2)))))*((((3)-(3))+((4)-((8)-(1))))+(((2)+(8))-((2)*((1)+(8))))))*(((((3)-(0))+((6)*((6)+(1))))+(((5)*(9))*((7)-((1)-(7)))))-((((7)-(6))-((6)-((x)+(x))))-(((7)*(1))+((5)+((8)+((9)+(9))))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,AddTreeWithDiv|FellTreeD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|SubXD|DivXD|MultXD|AddTreeWithDiv|DivXD|DivXD|DivXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,23,20,27,27,7
27,(x),20,-10,0.01691135117725139,0.008708480719030303,0.019999999883009503,0.02,20204003.74105,0.0685581208845112,854770283.64,0,1,1,0.29663962550477013,0,3178674446526170000000,0,317867440756025000000000,0,(((((((8)-(8))-((7)+((7)+(4))))*(((8)-((0)*(4)))+((7)*((9)+(6)))))+((((x)+((0)+(9)))+((x)+((8)+(x))))+(((0)*((8)+(6)))*((6)-((4)+(5))))))+(((((1)-(8))*((0)+((7)*(6))))*(((2)*((4)*(2)))-((3)+((4)*(6)))))*((((7)+((2)+(x)))+((3)*((9)+(3))))+(((8)*((7)*(3)))*((8)*((x)-(7)))))))*((((((6)*(5))*((9)*((7)*(7))))*(((8)*((4)-(7)))-((6)*((4)*(4)))))*((((1)+(8))+((9)-((8)*(6))))*(((9)-((0)-(3)))*((3)+((8)*(4))))))*(((((x)*(x))-((9)-((0)*(5))))+(((9)*((6)-(x)))+((0)*((5)*(4)))))*((((6)-(x))*((7)+((0)*(2))))-(((x)-((7)-(1)))-((3)-((1)-((4)-(6))))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,DivXD|FellTreeD|FellTreeD|FellTreeD|SkipD|DivXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|AddXD|FellTreeD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,27,24,28,28,7
