A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,0,4
AddRandomSubTreeR,SkipD,AddRandomSubTreeR,SkipD,0,0,1,4
ReplaceBranchXR,SkipD,ReplaceBranchR,SkipD,0,0,2,4
AddToLeafR,DivXD,AddToLeafR,DivXD,0,0,3,4
AddToLeafR,SubXD,AddToLeafR,SubXD,0,0,4,4
AddToLeafR,AddXD,AddToLeafR,AddXD,0,0,5,4
AddToLeafR,FellTreeD,AddToLeafR,FellTreeD,0,0,6,4
AddTreeWithAdd,DivXD,AddTreeWithAdd,DivXD,0,0,7,4
AddToLeafR,AddXD,AddToLeafR,AddXD,0,0,8,4
AddTreeWithAdd,MultXD,AddTreeWithAdd,MultXD,0,0,9,4
AddToLeafR,SubXD,AddToLeafR,SubXD,0,0,10,4
AddTreeWithMult,MultXD,AddTreeWithMult,MultXD,0,0,11,4
AddToLeafR,MultXD,AddToLeafR,MultXD,0,0,12,4
AddToLeafR,FellTreeD,AddToLeafR,FellTreeD,0,0,13,4
AddToLeafR,AddXD,AddToLeafR,AddXD,0,0,14,4
