gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
38,-0.8143268408080049,0.058176005693292177,-0.5832653191066226,0.16592614172229667,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,35,37,138241,1526.5710317460318,((((((((((5)*(((7)+(x))*(6)))*((x)*(x)))+((2)*(((8)+(x))+(7))))*(x))+(x))*(x))+(x))-(x))/(x)),((((5)+(5))+(x))/(x)),5*x*x*x+2*x+7,2
39,-0.8811420539563848,0.045067865624129226,-0.7786903975427334,0.3502350027682937,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,38,37,35875,0,((((((((((3)+(7))*((x)*(x)))+((2)*((x)+(((x)*(x))*(7)))))*((8)*(5)))+(x))*(x))+(x))-(x))/(x)),((((((8)-((6)+(4)))+(4))+(((x)-(5))*((x)-(((1)*(0))/((0)*(4))))))/(x))/(x)),5*x*x*x+2*x+7,2
40,-0.8030808749118098,-0.13792532522424872,-0.5980540136279299,0.10741006456381869,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,39,37,96976,1464.8270102670697,((((((((((5)*(x))*(((8)*(4))*(x)))+((2)*((x)+((3)*(8)))))*(x))+(x))*((x)+(8)))+(x))-(x))/(x)),((((((((5)+(x))*(x))*((x)*(x)))+(((2)*(x))-((((8)-(9))+(5))*(2))))-((x)-((0)+((8)-(4)))))/(x))/(x)),5*x*x*x+2*x+7,2
41,-0.8816643141286745,0.05645233383098103,-0.7048714372897251,0.16693657037694973,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,38,40,173185.8431746032,1518.5,((((((((((6)*(9))*(x))*(((4)*(7))*(x)))+((2)*((x)+(7))))*(x))+(x))*((2)+(1)))+(8))/(x)),(((((3)*(4))*(((0)*((7)-((0)+(5))))+((x)*(x))))/(x))/(x)),5*x*x*x+2*x+7,2
42,-0.8470130740064289,-0.05421645644738876,-0.7350023820802155,0.1140879501812559,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,41,41,112425,1519.4230057949105,(((((((((5)*(x))*((x)*((x)*((7)-((7)-(9))))))+((3)*((2)-(5))))*(x))+(x))*(x))+(x))/(x)),(((((6)+(6))+(((7)-(((6)-(7))*(7)))*(((x)+(8))*((8)-(((4)+((2)*(5)))/(x))))))/((1)+(6)))/(x)),5*x*x*x+2*x+7,2
43,-0.7810284042198118,0.003016040810820922,-0.516271955098771,0.16554118596767925,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,42,42,112550.5,1504.6551587301587,((((((((((5)*(((x)*(9))*(1)))*((x)*(x)))+((2)*((6)+(1))))*(x))+(x))*(x))+(x))-(x))/(x)),(((((((6)*(5))+(2))*((5)+((6)-((1)*(9)))))+((x)*(((((9)-(0))*(2))+((4)+(0)))+(((3)-((9)+(8)))/(x)))))+(x))/(x)),5*x*x*x+2*x+7,2
44,-0.7490034027979179,0.057228689523706223,-0.6039523445108661,0.1765072228068926,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,41,43,1246178.5,0,(((((((((5)*((5)*(6)))*(((6)*(9))*(x)))+((9)+(1)))*(x))+(x))*((7)*(4)))+(x))/(x)),((((((8)+(6))*((((8)+(8))-(5))+(((3)+(2))*(((4)-(9))*((1)-(0))))))+(((7)*((x)*(6)))*(((2)-(8))*((x)+((x)/(x))))))/((6)-(6)))/(x)),5*x*x*x+2*x+7,2
45,-0.8730703494238948,0.12691244713271796,-0.6224401307516799,0.3027002359408219,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,44,43,89253.5,0,(((((((((5)*((4)*(x)))*((x)*((6)+(9))))+((5)+(0)))*(x))+(x))*(x))+(x))/(x)),((((4)*(x))/(((0)*(5))*((x)-(9))))/(x)),5*x*x*x+2*x+7,2
46,-0.7850406091849562,0.13461582003464223,-0.6616176362658618,0.30148637323321914,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,45,43,697194.8786904762,0,((((((((((4)*(9))*(x))*(((8)*(9))*(x)))+((2)*((x)+(7))))*(7))+(x))*(x))+((6)-(3)))/(x)),(((((9)*(((1)*(1))+(4)))-((8)*((1)*(2))))/(((5)-(5))*(0)))/(x)),5*x*x*x+2*x+7,2
47,-0.8330960062331331,0.009792332397107755,-0.4989905620133812,0.20145204040095988,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,46,43,174190,1125.4697562106326,(((((((((5)*(x))*((((2)*(7))*(6))*((x)+(3))))+((2)*((7)+(7))))*(x))+(x))*(x))+(x))/(x)),((((((((6)*(6))*(x))*((x)*((x)-(7))))+((((x)-(0))+(1))*((((7)+(6))*(3))-(7))))*((((6)-(7))+((x)*((x)-(3))))+((6)+(((0)+(2))+((4)/(x))))))/((1)+(9)))/(x)),5*x*x*x+2*x+7,2
48,-0.7995145367641171,0.014570669339677758,-0.6036623051964448,0.25281070600943495,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,46,43,74748.47924603175,0,(((((((((9)*((7)*((4)+(0))))*((x)*(x)))+((4)+(3)))*(x))+(x))*(x))+((9)+(8)))/(x)),((((((8)-((4)*(5)))+(((0)*(x))*(((0)+((x)+(8)))+((6)+(1)))))+(((3)*((x)*((5)+(1))))*((4)-((5)-(5)))))/((0)*(7)))/(x)),5*x*x*x+2*x+7,2
49,-0.9250075938284857,0.08268941189549028,-0.8695557636263697,0.21646832246772277,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,48,47,23293,0,((((((((((x)*(9))*((1)*(4)))*((x)*((3)-(5))))+((2)*(1)))*(x))+(x))*(x))+(x))/(x)),(((((((5)*(1))*((2)-(2)))*(((x)*(x))+((2)*((7)+(6)))))+(((4)+(7))+((x)*((x)+((((3)-(0))-((6)*((5)+(7))))/(((8)-(4))-(4)))))))/(x))/(x)),5*x*x*x+2*x+7,2
50,-0.8979577755969593,0.20484588347369503,-0.8695557636263697,0.21646832246772277,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddXD|SkipD|SkipD|AddToLeafR|SkipD|SkipD|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|DivXD|AddRandomSubTreeR,48,47,23293,0,((((((((((x)*(9))*((1)*(4)))*((x)*((3)-(5))))+((2)*(1)))*(x))+(x))*(x))+(x))/(x)),(((((5)*((1)*(2)))-((2)*((x)*(x))))+(((2)*((7)+(6)))+((4)+((7)+(x)))))*((((x)+(3))-((0)-((6)*(5))))+(((7)/(8))-((4)-((4)/((x)/(x))))))),5*x*x*x+2*x+7,2
