stratNum,runTopAStrategy,runTopPStrategy,runFinAStrategy,runFinPStrategy
1,SkipD,AddTreeWithAdd,MultXD,AddTreeWithAdd
2,AddRandomSubTreeR,AddRandomSubTreeR,AddXD,AddRandomSubTreeR
3,AddTreeWithSub,AddTreeWithSub,AddTreeWithMult,AddTreeWithSub
4,AddToLeafR,SkipD,MultXD,SkipD
5,AddToLeafR,ReplaceBranchXR,SkipD,ReplaceBranchXR
6,AddTreeWithMult,SkipD,AddXD,SkipD
7,ReplaceBranchR,DivXD,SkipD,DivXD
8,AddTreeWithMult,MutateNonTerminalR,SkipD,MutateNonTerminalR
9,AddTreeWithMult,AddToLeafR,AddToLeafR,AddToLeafR
10,AddRandomSubTreeR,AddRandomSubTreeR,SkipD,AddRandomSubTreeR
11,MultXD,AddToLeafR,SkipD,AddToLeafR
12,SkipD,AddTreeWithSub,MutateTerminalR,AddTreeWithSub
13,SubXD,AddTreeWithAdd,AddToLeafR,AddTreeWithAdd
14,AddRandomSubTreeR,DivXD,DivXD,DivXD
15,SubXD,AddRandomSubTreeR,ReplaceBranchR,AddRandomSubTreeR
