generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
38,0.827971475604509,0.18213874630704355,0.9694296978147607,0.4879526520902342,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,37,37,28544454,28544454,((((((((5)*((6)*(7)))*(((4)*(8))*(x)))+(((0)+(7))*(((2)+(9))+((6)+(6)))))*((7)+(7)))*(x))*(x))+(x)),((((((((9)/(0))*(7))+((2)*(x)))*(((x)*(8))+((x)+(((x)+(5))-(8)))))+((x)+((4)/(9))))/(x))+(x)),5*x*x*x+2*x+7,1
39,0.767751711887094,0.13635766718862186,0.9818203609790418,0.3809604206132007,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,38,38,84494733,84494733,(((((((((6)+(4))*((7)*(((6)*(9))+(3))))*((x)*((2)+(8))))+((2)*((x)+(7))))*(x))*((0)+(7)))*(x))+(x)),((((((x)+((9)/(6)))*(((x)*(x))+((((6)-(2))/(0))*((4)*(x)))))+(((1)-(8))+(((3)*(x))*((x)-(0)))))/(x))+(x)),5*x*x*x+2*x+7,1
40,0.8104018291608084,0.12428120754967735,0.9555699988522477,0.325827149710327,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,38,39,56751215,56751215,((((((((((4)+(8))*(5))*(x))*((((x)+(6))+(6))*(x)))+(((1)+(6))*((x)+(7))))*((9)+(9)))*(x))*(x))+(x)),(((((x)+(8))*(((x)+((x)+(6)))*(((x)*((2)-(1)))*((x)+(((7)/(0))+(1))))))/(x))+(x)),5*x*x*x+2*x+7,1
41,0.8469424698935729,0.11025345927712112,0.9857697908225124,0.2743440187774249,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,40,40,203771561,203771561,(((((((((2)+((0)+(9)))*((x)*(9)))*(((6)+(6))*((7)*(9))))+((2)*((x)+(7))))*((8)+(1)))*(x))*(x))+(x)),((((x)+((5)/(8)))/(0))+(x)),5*x*x*x+2*x+7,1
42,0.7938359637117287,0.17650043561780301,0.9720442660763166,0.5165963829034441,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,41,41,34745052.8,34745052.8,(((((((((5)+(2))*((8)+((9)*(9))))*((x)*(x)))+((2)*((x)+(7))))*((3)+((7)+((5)+(7)))))*(x))*(x))+(x)),((((((((9)/(0))+(x))*((1)-(2)))*(((x)*(x))+((x)+(3))))+((((5)-(x))*(5))+((((5)/(4))*(x))*((x)*((x)+(x))))))/(x))+(x)),5*x*x*x+2*x+7,1
43,0.9146200802849249,0.09006111461970989,0.9837245849883669,0.3434413356157485,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,42,41,371372555,371372555,((((((((5)*(x))*(((x)*((8)+(8)))*((9)+((7)+((8)+(x))))))+((2)*((x)+(7))))*((7)*(8)))*(x))*(x))+(x)),((((((((1)/(0))*((9)/(x)))*((7)+(0)))*(((4)*(x))+(((2)+(1))*((5)*(0)))))+((((6)-(6))+((0)+(3)))+(((0)*(x))*((x)*((x)+(9))))))/(x))+(x)),5*x*x*x+2*x+7,1
44,0.8566235388671561,0.06184545246155755,0.9734707597484278,0.32624621114190344,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,43,43,25903827,25903827,(((((((((5)+(7))*((x)+(5)))*((x)*((7)*(x))))+((2)*(((7)+(9))+((1)+((0)+(3))))))*(x))*(x))*(x))+(x)),((((x)+((8)/(0)))/(x))+(8)),5*x*x*x+2*x+7,1
45,0.81464255550191,0.10165548800551982,0.9792202657345805,0.3337347862734993,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,42,44,50534133.8,50534133.8,(((((((((9)*(8))*((x)+(4)))*((x)*(x)))+((2)*(((6)+(9))+((9)+(x)))))*((x)+((x)+(4))))*(x))*(x))+(x)),(((((3)/(0))*(9))/((x)+(5)))+(x)),5*x*x*x+2*x+7,1
46,0.7591324091470664,0.10414989147178173,0.9706944498711536,0.34615251681443227,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,45,45,21820552.2,21820552.2,(((((((((2)+(7))*(x))*(((x)+(9))*((x)+(5))))+((2)*((x)+((2)+(8)))))*((6)+((7)*(4))))*(x))*(x))+(x)),((((x)*(2))/((0)*((8)/(1))))+(x)),5*x*x*x+2*x+7,1
47,0.8557530288918646,0.15008434903053577,0.9797698296552367,0.3642954007094895,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,46,46,116703899,116703899,((((((((5)*((x)*(x)))*((x)*((2)+((1)+(8)))))+((2)*((x)+(7))))*(((5)+(7))*((6)+(2))))*(x))*(x))+(x)),(((((((x)+(1))*((x)*(7)))+((((2)/(9))*(x))+(((3)+(0))+((2)*(9)))))+(((1)*((1)+(4)))*(((4)*(x))*((x)*((x)+(6))))))/((4)-(4)))+(x)),5*x*x*x+2*x+7,1
48,0.8821049994402724,0.0840644910623938,0.9845709133293772,0.3904237753806666,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,47,47,107405912.5,107405912.5,((((((((5)*(x))*((((6)+(7))*((6)+(x)))*(x)))+((2)*(((8)+(2))+((5)+(1)))))*((5)*(x)))*(x))*(x))+(x)),(((((((x)*(6))+((7)*(8)))+((((6)/(x))*(x))*((x)*((5)+(8)))))+(((2)*((x)+(7)))*(((x)*((9)+(x)))*((x)+((7)+((4)/(4)))))))/((7)-(7)))+(x)),5*x*x*x+2*x+7,1
49,0.8251765431236331,0.13472953928079776,0.9726641050411653,0.22519560213742826,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,48,46,53848750.6,53848750.6,(((((((((7)+((6)+(8)))*(((8)*((7)+(4)))+(4)))*((x)*(x)))+((2)*((x)+(7))))*((6)+(5)))*(x))*(x))+(x)),(((((((x)+(3))*((x)+((0)/(2))))*((x)-(4)))+((((4)/(0))+(((4)-(4))*(1)))+(((x)*(x))*((x)*((x)+((2)+(4)))))))/(x))+(7)),5*x*x*x+2*x+7,1
50,0.9400520813478263,0.20640791560265087,0.9726641050411653,0.22519560213742826,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,49,49,53848750.6,53848750.6,(((((7)+(6))+((8)*(8)))*(((7)+(4))+((4)*((x)*(x)))))+(((2)*((x)+(7)))*(((6)+(5))*((x)*((x)+(x)))))),(((((x)+(3))*((x)+((0)/(2))))*(((x)-(4))+((4)/((0)+(4)))))-((((4)*(1))+((x)*(x)))*(((x)*(x))+((2)+((4)/((x)+(7))))))),5*x*x*x+2*x+7,1
