TopAntagonist,TopProtagonist,FinalAntagonist,FinalProtagonist,Epoch
-0.975,0.10377872155069146,0.9973520209201593,1,1
0.8939046837044214,1,0.9525800937089229,-0.987366924984906,2
0.6831664721606214,0.36665577697920065,0.9834200589013106,1,3
-0.9666194793104237,0.5839594903626266,0.9648753899666511,1,4
-0.9748203201568115,0.19824575201358385,0.9845771175111286,-0.9964991991166646,5
0.8401839894221745,0.1329766960688228,0.9988631119697696,0.5424153326799521,6
0.9997602583074584,1,0.9951075592157953,0.17020581509310678,7
-1,0.12474136992268317,0.9885693181603884,0.17026026353043672,8
0.4603961443268438,1,0.8635323542229291,0.17193001560855203,9
0.42348952172482285,0.1547647967118728,0.997764025834596,0.1810107185638057,10
