gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038405456803032284,-0.000005299390265404158,-0.03840013070186904,0.011458446141494112,243.997,378.10841111111114,244.812,244.576,-0.9600000000000001,0.2859476819089942,0,0.00011669809735423421,6120.8,6120.3,6120.8,6118.8,(((x)+(0))*((x)*(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,11,12,12,2
12,x*x*x*x,25,-10,-0.038400163377336295,0.005727986070915101,-0.038400000000000004,0.011466755046025732,244.80700000000002,311.3301,244.832,244.5048,-0.9600000000000001,0.28883245887559056,0,0.0016738440037390107,6120.8,6109.5599999999995,6120.8,6094.08,(((x)*(0))*((0)+(0))),(((5)*((8)-(0)))-((0)-((x)+(x)))),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,3,12,13,13,2
13,x*x*x*x,25,-10,-0.038407057900927986,0.005724765203428126,-0.038400000000000004,0.011484493156823573,243.752,311.35769999999997,244.832,244.3528,-0.9600000000000001,0.29083966615008316,0,0.0025261879483684017,6120.8,6109.32,6120.8,6076.88,(((x)*((0)+(0)))*((x)*(0))),((((0)*((9)/(4)))+((4)*((0)*(6))))*(((0)+(8))*((9)-((x)-((x)+(x)))))),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,13,14,14,2
14,x*x*x*x,25,-10,-0.03843697294471311,-0.000014540582930334111,-0.03834679911122729,0.011435573314412684,239.17440000000002,378.18760000000003,252.97280000000003,244.77200000000002,-0.9555038557051366,0.2859476819089942,0.0022820375806911148,0.0004192478289580799,6285.42,6121.2,6808.8,6118.8,(((x)-((9)*(2)))*((x)*(x))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,14,15,15,2
15,x*x*x*x,25,-10,-0.03847418638086525,0.0000005470223313497336,-0.038400000000000004,0.011433239352465598,233.48,378.05831250000006,244.832,244.792,-0.9600000000000001,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(((x)-(0))*((0)*(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,15,15,16,16,2
16,x*x*x*x,25,-10,-0.03840091491308326,0.011420198340086264,-0.038400000000000004,0.011433239352465601,244.692,244.90375,244.832,244.792,-0.9600000000000001,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(((x)*(0))*((0)-(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,15,15,17,17,2
17,x*x*x*x,25,-10,-0.03841058554437329,0.011435540249951765,-0.038392811397202985,0.01145508523629031,243.21219999999997,244.77228333333332,245.93200000000002,244.60479999999998,-0.9596340347666973,0.2874320817073399,0.00018298261665139481,0.0008476393165594856,6134.8,6116.828333333333,6176.8,6106.08,(((x)*(0))-((x)*(x))),((((5)-(0))-((1)*(x)))+((1)-((x)-((x)+(x))))),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|MultXD|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,17,17,18,18,2
18,x*x*x*x,25,-10,-0.038405228074761474,0.005697364490169355,-0.03839634034766698,0.011433239352465601,244.032,311.5925,245.392,244.792,-0.9600000000000001,0.2859476819089942,0,0.0002936837713118328,6120.8,6121.3,6120.8,6118.8,(((x)*(x))*((0)-(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,15,18,19,19,2
19,x*x*x*x,25,-10,-0.03840091491308326,0.005682489372693269,-0.038400000000000004,0.011433239352465598,244.692,311.71996666666666,244.832,244.792,-0.9600000000000001,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(((x)-(0))*((x)*(0))),((0)-((x)+(x))),DeleteTerminalR|MutateNonTerminalR|SkipD|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,18,18,20,20,2
20,x*x*x*x,25,-10,-0.03840179715069926,0.011418943835539708,-0.03839986929813097,0.011437907276359769,244.55700000000002,244.9145,244.852,244.752,-0.9599869298130964,0.2859476819089942,0.000007546075927188628,0.00017504714603134048,6121.8,6120.05,6122.8,6118.8,(((x)*((0)*(x)))*((0)-(x))),((0)-((0)+(x))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|AddXD|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,20,20,21,21,2
21,x*x*x*x,25,-10,-0.03839957521892563,0.011425327221464983,-0.03839947719252386,0.011443695501988538,244.89700000000002,244.8598,244.912,244.70239999999998,-0.9599869298130964,0.28635379128778693,0,0.0005108693857663441,6122.8,6120.18,6122.8,6115.32,(((x)*((0)*(x)))*((0)-(x))),(((0)+((9)+(0)))-((x)-((2)+(x)))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|AddXD|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,21,20,22,22,2
22,x*x*x*x,25,-10,-0.03839986929813097,0.011426529211867731,-0.03839960789439289,0.011437907276359769,244.852,244.8495,244.892,244.752,-0.9599869298130964,0.2859476819089942,0.000006535093451831564,0.0002234598436610399,6122.3,6120.3,6122.8,6118.8,(((x)*((0)*(0)))*((0)-(x))),((0)-((0)+(x))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,21,22,23,23,2
23,x*x*x*x,25,-10,-0.03839973859626193,0.005734713716227573,-0.03839947719252386,0.011518569001251007,244.872,311.27245,244.912,244.06080000000003,-0.9599869298130964,0.2878055156188734,0.000006535093451831564,0.0009740500615290691,6122.3,6115.32,6122.8,6102.88,(((x)*((0)*(0)))*((0)-(x))),((((x)+(2))*((8)-((0)-(x))))-((2)*((x)-((8)+(x))))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,SkipD|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteTerminalR,AddToLeafR,21,22,24,24,2
24,x*x*x*x,25,-10,-0.0384303934126258,0.011427381107978418,-0.03839895438504771,0.011435386597456918,240.18120000000002,244.84219999999996,244.99200000000002,244.77360000000002,-0.9599803947196446,0.2859476819089942,0.000008223145596725054,0.00011669809735423421,6122.55,6119.3,6123.8,6118.8,(((x)*((0)*(x)))*((x)-(3))),((0)+(x)),DeleteTerminalR|SubXD|SkipD|MutateTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,22,24,25,25,2
25,x*x*x*x,25,-10,-0.04619973859626193,0.000008862386936216992,-0.03839960789439289,0.011468315466298926,198.966,377.98705714285717,244.892,244.49142857142854,-0.9599869298130964,0.2877401646843551,0,0.0021745195003733714,6122.8,6118.379999999999,6122.8,6103.44,(((x)*((0)*(0)))*((x)-(x))),((((x)+(8))+((0)-((1)-(7))))-((4)-((8)-((0)+(x))))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,25,25,26,26,2
26,x*x*x*x,25,-10,-0.038399705920794676,0.011404064828127045,-0.03839947719252386,0.011433239352465601,244.877,245.042,244.912,244.792,-0.9599869298130964,0.2859476819089942,0,0.00011669809735423421,6122.8,6120.3,6122.8,6118.8,(((x)*((0)*(0)))*((x)-(x))),((0)+(x)),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,26,26,27,27,2
27,x*x*x*x,25,-10,-0.038399705920794676,0.011419254544223913,-0.03839947719252386,0.011437907276359769,244.877,244.9118375,244.912,244.752,-0.9599869298130964,0.2859476819089942,0.000006535093451831564,0.00011669809735423421,6122.3,6120.3,6122.8,6118.8,(((x)*((0)*(x)))*((x)-(x))),((0)+(x)),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,26,26,28,28,2
