gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
28,x*x*x*x,25,-10,-0.038399705920794676,-0.0057125352428254,-0.03839947719252386,0.011435573314412684,244.877,444.66350000000006,244.912,244.77200000000002,-0.9599869298130964,0.2859476819089942,0,0.00011669809735423421,6122.8,6120.3,6122.8,6118.8,(((x)*((0)*(x)))*((0)-(x))),((0)+(x)),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,28,28,29,29,2
29,x*x*x*x,25,-10,-0.03839964056986015,0.005707272158634726,-0.03839947719252386,0.011449950520006724,244.887,311.50759999999997,244.912,244.64879999999997,-0.9599869298130964,0.2871520062736898,0,0.0006504346191291856,6122.8,6116.719999999999,6122.8,6108.48,(((x)*((0)*(0)))*((x)-(x))),((((2)+(7))*((2)-((0)/(2))))+((2)-((0)-((x)+(x))))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,26,28,30,30,2
30,x*x*x*x,25,-10,-0.043599765825817975,0.011432360226798865,-0.03839958611074805,0.011440210118814227,214.26383333333334,244.7995333333333,244.89533333333333,244.73226666666665,-0.9599869298130964,0.2861795221290714,0.000006535093451831564,0.00018993250212075938,6122.3,6118.803333333333,6122.8,6116.813333333333,(((x)*((x)*(0)))*((0)-(x))),((((0)+(8))-((1)/(3)))-((x)-((x)+(x)))),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,29,28,31,31,2
31,x*x*x*x,25,-10,-0.03839964056986015,0.005712743632284964,-0.03839947719252386,0.011437907276359769,244.887,311.4607142857143,244.912,244.752,-0.9599869298130964,0.2859476819089942,0,0.00011669809735423421,6122.8,6120.3,6122.8,6118.8,(((x)*((0)*(0)))*((0)-(x))),((0)+(x)),DeleteTerminalR|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,29,31,32,32,2
32,x*x*x*x,25,-10,-0.03839970592079467,0.0000024173177309105844,-0.03839960789439289,0.011435573314412684,244.877,378.0422857142857,244.892,244.77200000000002,-0.9599869298130964,0.2859476819089942,0,0.00011669809735423421,6122.8,6119.3,6122.8,6118.8,(((x)*((0)*(x)))*((0)-(x))),((0)+(x)),DeleteTerminalR|SubXD|SkipD|AddXD|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,32,31,33,33,2
33,x*x*x*x,25,-10,-0.03839970592079467,0.0057110765166084754,-0.03839947719252386,0.011437907276359769,244.877,311.475,244.912,244.752,-0.9599869298130964,0.2859476819089942,0,0.0002234598436610399,6122.8,6120.3,6122.8,6118.8,(((x)*((x)*(0)))*((0)-(x))),((0)-((0)+(x))),DeleteTerminalR|AddToLeafR|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,33,33,34,34,2
34,x*x*x*x,25,-10,-0.03839980394719645,0.011438702212684842,-0.03839973859626193,0.011473290139477567,244.862,244.7451880952381,244.872,244.4488,-0.9599869298130964,0.28981272289336596,0.000006535093451831564,0.0019280404628513926,6122.3,6110.27,6122.8,6085.68,(((x)*((0)*(x)))*((0)-(x))),((((6)*(9))-((7)*(0)))-((x)-((0)+(x)))),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,32,35,35,2
35,x*x*x*x,25,-10,-0.03839980394719645,0.01142273652370372,-0.03839973859626193,0.011437907276359769,244.862,244.882,244.872,244.752,-0.9599869298130964,0.2859476819089942,0,0,6122.8,6118.8,6122.8,6118.8,(((x)*((0)*(0)))*((0)-(x))),((0)+(x)),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,35,36,36,2
36,x*x*x*x,25,-10,-0.048799617697033074,0.011432305767686763,-0.04879932035028101,0.01144350878503277,183.6825,244.8,183.72799999999998,244.70399999999998,-0.9599725526075022,0.2867412289710029,0.000006833262380291503,0.0005632219814944249,6123.6,6119.1,6125,6112,(((x)*((0)*(x)))*((9)-((x)-(x)))),((((0)+(4))*((0)+(8)))+((6)-((x)-((x)+(x))))),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,36,37,37,2
37,x*x*x*x,25,-10,-0.03843042543458372,0.011425852362903078,-0.03839895438504771,0.011437533842448238,240.17629999999997,244.8553,244.99200000000002,244.7552,-0.9599738596261927,0.2859476819089942,0.000006535093451831564,0.0002234598436610399,6123.3,6120.3,6124.8,6118.8,(((x)*((0)*(x)))*((x)-((8)-(4)))),((0)+(x)),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,36,38,38,2
38,x*x*x*x,25,-10,-0.038297314076591295,0.01142156954273018,-0.03793673506731147,0.011435573314412686,260.545,244.892,315.7208,244.77200000000002,-0.9283513266239708,0.2859476819089942,0.01676666015843037,0.0001905671949809836,7127.65,6120.8,10963.68,6118.8,((((x)*(1))-((x)+(3)))*((x)*((x)-(x)))),((0)+(x)),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,37,39,39,2
39,x*x*x*x,25,-10,-0.03840567899620965,0.011422958250088693,-0.03839581754019083,0.011448130029688,243.963,244.88009999999997,245.472,244.6644,-0.9599869298130964,0.28720335343652564,0.000003267546725915782,0.0009979636651289907,6122.55,6119.110000000001,6122.8,6108.04,(((x)*((0)*(4)))*((5)-((3)-(1)))),(((9)*((x)-(0)))-((5)-((x)+(x)))),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|DivXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,39,40,40,2
40,x*x*x*x,25,-10,-0.038368860933211346,0.005717985043971845,-0.03827205071232519,0.011448223388165882,249.59689999999998,311.4158,264.4108,244.6636,-0.9472586589988237,0.2869792930896055,0.006427353785771449,0.0005655111613212289,6595.74,6117.09,8070.48,6109.96,((((x)*(x))*((x)*(2)))*((0)-((3)-(0)))),((((2)*(5))+((7)-(0)))-((x)-((x)+(x)))),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,38,41,41,2
41,x*x*x*x,25,-10,-0.0383729375245066,0.011427112702354502,-0.03814826820023527,0.011435573314412684,248.9731,244.8445,283.352,244.77200000000002,-0.9348921709580448,0.2859476819089942,0.012062988091159752,0.00013475135584276854,7594.33,6119.8,9962.8,6118.8,((((x)*(x))*((x)-(8)))*((5)*((6)+((0)-(x))))),((0)+(x)),AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchR,34,38,42,42,2
42,x*x*x*x,25,-10,-0.03841788132270292,0.011414240902216332,-0.03804357600313685,0.011447476520342814,242.09580000000003,244.9548,299.372,244.67,-0.9568108743955039,0.2867645685904737,0.0015781228219878673,0.0004649741929874211,6246.6,6117.63,6608.8,6111.8,(((x)*((x)-(1)))*((0)-((9)-(x)))),(((9)-(0))-((0)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|MutateTerminalR|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,42,42,43,43,2
43,x*x*x*x,25,-10,-0.03837274016468435,0.011427684523031539,-0.0382238138805385,0.011436973691580934,249.00330000000002,244.83960000000002,271.792,244.76,-0.9424205986145603,0.2859476819089942,0.008312007055262484,0.0002234598436610399,7070.36,6120.3,8810.8,6118.8,((((x)*(9))-((3)*(0)))-((8)*((x)-(x)))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|MutateTerminalR|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,43,42,44,44,2
44,x*x*x*x,25,-10,-0.03840606195268593,0.01142495378755345,-0.03839531303097634,0.011449763803050959,243.9044,244.863,245.54919999999998,244.65040000000002,-0.9597600313684487,0.2859476819089942,0.00011579162752806273,0.00023339619470844064,6130.98,6119.8,6157.52,6118.8,(((x)*((6)-(8)))*((5)+((3)-(x)))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,43,44,45,45,2
45,x*x*x*x,25,-10,-0.038407052019343885,0.011438654144182835,-0.03839893870082342,0.01145256455738746,243.75289999999998,244.74560000000002,244.99439999999998,244.6264,-0.9599461508299568,0.2870959911869598,0.000020389491569794416,0.0006611720522240058,6124.360000000001,6117.34,6129.04,6108.96,(((x)*((3)-(7)))*((9)-((8)-(0)))),(((9)*((x)-(6)))-((0)-((x)+(x)))),DeleteTerminalR|SubXD|AddRandomSubTreeR|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,45,45,46,46,2
46,x*x*x*x,25,-10,-0.03796384917004313,0.011414124204118978,-0.03593820415631944,0.01144430233209478,311.5718,244.9558,621.5360000000001,244.6972,-0.7139380473140766,0.2859476819089942,0.12310927299834999,0.00013475135584276854,15515.98,6119.8,43773.2,6118.8,((((x)*(5))+((6)*(9)))*((9)*((x)-(x)))),((0)+(x)),AddTreeWithAdd|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,SubXD,ReplaceBranchR,46,45,47,47,2
47,x*x*x*x,25,-10,-0.038433098941314865,0.011430018484978623,-0.038398431577571564,0.011459986556379188,239.7672,244.81959999999998,245.072,244.56279999999998,-0.9599281139720299,0.2881556099109361,0.00003041920455661284,0.0012643576895555754,6127.3,6116.07,6131.8,6099.88,(((7)*((0)*(x)))*((x)-((9)+(2)))),(((5)*((6)-(0)))-((3)+(x))),AddTreeWithAdd|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddTreeWithAdd,ReplaceBranchR,46,47,48,48,2
48,x*x*x*x,25,-10,-0.038381566461900406,0.01143346107885057,-0.03828449614429487,0.011458726216927761,247.65269999999998,244.7901,262.5064,244.5736,-0.9484888249901974,0.28771215714099,0.005740391859099938,0.0009989357133521337,6564.66,6116.52,7882.24,6103.68,((((7)*(9))*((3)*(x)))*((0)+((8)-(0)))),(((3)*((8)+(0)))-((0)-((x)+(x)))),AddTreeWithAdd|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,MutateTerminalR,ReplaceBranchR,46,45,49,49,2
49,x*x*x*x,25,-10,-0.03844524768004183,0.01143081203204063,-0.038383643968108755,0.011437907276359769,237.9082,244.81279999999998,247.3348,244.752,-0.9584101424650373,0.2859476819089942,0.0007830992675871991,0.00013475135584276854,6184.370000000001,6119.8,6364.08,6118.8,((((x)*(2))*((4)*(6)))*((3)-((5)-(x)))),((0)+(x)),AddTreeWithAdd|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,46,45,50,50,2
50,x*x*x*x,25,-10,-0.03836135995294733,0.005800058815841069,-0.038199568683832175,0.011757660063110333,250.74470000000002,310.7125,275.502,242.012,-0.9473373415239837,0.3179229605840507,0.007210861687282028,0.015987639337528226,6457.8099999999995,6050.3,8058.44,5844.8,((((x)*(0))-((2)*(3)))*((x)*((x)-(x)))),((((x)*((4)+(5)))+((3)*((0)*(3))))+(((5)+(x))-((x)-((0)+(x))))),AddToLeafR|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddXD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchR,50,50,51,51,2
51,x*x*x*x,25,-10,-0.038376258658998824,0.011430321900031744,-0.038014141942229775,0.011437907276359769,248.46489999999997,244.817,303.876,244.752,-0.9214403345967846,0.2859476819089942,0.01927329760815588,0.00013475135584276854,7597.4,6119.8,12021.2,6118.8,((((4)*(9))-((0)*(9)))*((x)*((x)-(x)))),((0)+(x)),AddToLeafR|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddXD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchR,50,50,52,52,2
52,x*x*x*x,25,-10,-0.03388981159854261,0.011424988796982656,-0.021977126409854678,0.011443415426554889,957.1759,244.86270000000002,2846.6396000000004,244.7048,0.21360117420208943,0.28649849692850615,0.5909958720977367,0.00033300765348533075,52282.4,6118.120000000001,194583.2,6114.08,((((8)*(7))*((8)*(x)))*((x)*((8)-(0)))),((((0)+(x))+((5)+((5)*(2))))-((6)-((x)-((3)+(x))))),AddToLeafR|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddXD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchR,50,50,53,53,2
53,x*x*x*x,25,-10,-0.03821533786433146,0.011429936796310474,-0.03746965625408444,0.011437907276359769,273.089,244.82029999999997,387.1932,244.752,-0.8725225460724088,0.2859476819089942,0.04222332116448626,0.00013475135584276854,9888.25,6119.8,19506.6,6118.8,((((x)*(x))*((x)*(6)))*((7)-((9)*(3)))),((0)+(x)),AddToLeafR|SubXD|MutateTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddXD|AddTreeWithAdd|FellTreeD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,MutateTerminalR,ReplaceBranchR,52,52,54,54,2
54,x*x*x*x,25,-10,-0.037411956606979484,0.011412957223145438,-0.03604810874395504,0.011441968370147694,396.0224,244.96579999999997,604.7184000000001,244.71719999999996,-0.8336808260358123,0.2859476819089942,0.06972111467679086,0.00011669809735423421,15342.84,6119.3,25450.16,6118.8,((((7)-(9))*((5)*(x)))*((x)*((x)-(0)))),((0)+(x)),AddToLeafR|AddToLeafR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddXD|AddTreeWithAdd|FellTreeD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchR,54,52,55,55,2
55,x*x*x*x,25,-10,-0.037981525290811655,0.011420612618331872,-0.03595372631028624,0.011434079578766552,308.86699999999996,244.9002,619.1608,244.7848,-0.7637783296301137,0.28603170453908927,0.10563931049526983,0.00004201131504752431,12039.6,6118.620000000001,36146.64,6118.08,((((9)+(0))*((3)*(x)))+((9)*((2)*((9)*(x))))),(((6)-((0)-(x)))-((x)+(x))),AddToLeafR|AddToLeafR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|AddXD|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddXD|AddTreeWithAdd|FellTreeD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,AddXD,54,55,56,56,2
56,x*x*x*x,25,-10,-0.03743020520193439,0.011432947607222212,-0.03532043915827996,0.011437907276359769,393.23,244.7945,716.0664,244.752,-0.7696651418115279,0.2859476819089942,0.08980576293354703,0.00011669809735423421,16120.999999999998,6119.3,35245.84,6118.8,((((5)*(x))*((0)+(9)))+((5)*((x)*((x)-(0))))),((0)+(x)),AddToLeafR|AddToLeafR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchR,54,56,57,57,2
57,x*x*x*x,25,-10,-0.044368249901973605,0.011434476352297553,-0.03100237877401647,0.011442855275687587,479.2204,244.7814,1376.8159999999998,244.7096,-0.22023787740164685,0.28644248184177606,0.3698810612991766,0.0003067125574081947,34420.4,6118.24,119319.2,6114.56,((((8)*(6))+((8)*(8)))*((x)*((x)*((5)-(0))))),(((0)+(8))-((x)+(x))),AddToLeafR|AddToLeafR|AddToLeafR|DeleteMaliciousR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,ReplaceBranchR,57,57,58,58,2
58,x*x*x*x,25,-10,-0.0326243801105229,0.011423903504677263,-0.01572666695888677,0.011435573314412684,2408.5878,244.872,8834.187199999998,244.77200000000002,0.8058924467070622,0.2859476819089942,0.873014790697378,0.00013475135584276854,204066.06,6119.8,788325.84,6118.8,((((6)*(x))*((x)*(8)))*((7)-((9)*((5)*(x))))),((0)+(x)),AddToLeafR|AddToLeafR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|DeleteMaliciousR|AddXD|ReplaceBranchR|AddToLeafR|DeleteTerminalR|AddXD|AddTreeWithAdd|FellTreeD|SubXD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddToLeafR,AddXD,57,55,59,59,2
