A,P,AFinal,PFinal,AGen,PGen,count,run
MutateTerminalR,DeleteMaliciousR,MutateTerminalR,DeleteMaliciousR,0,0,0,3
ReplaceBranchXR,DivXD,AddXD,DivXD,0,0,1,3
SubXD,SkipD,AddTreeWithAdd,DeleteNonTerminalR,0,0,2,3
AddTreeWithMult,MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,3,3
AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,MultXD,0,0,4,3
,FellTreeD,,FellTreeD,0,0,5,3
,DivXD,,DivXD,0,0,6,3
,FellTreeD,,AddXD,0,0,7,3
,AddTreeWithSub,,FellTreeD,0,0,8,3
,MultXD,,MultXD,0,0,9,3
,AddTreeWithDiv,,AddTreeWithDiv,0,0,10,3
,MultXD,,MultXD,0,0,11,3
,AddToLeafR,,AddToLeafR,0,0,12,3
,AddTreeWithAdd,,AddTreeWithMult,0,0,13,3
,MutateTerminalR,,MutateTerminalR,0,0,14,3
,MultXD,,MultXD,0,0,15,3
,AddRandomSubTreeR,,DeleteNonTerminalR,0,0,16,3
,DeleteMaliciousR,,AddTreeWithDiv,0,0,17,3
,ReplaceBranchR,,ReplaceBranchR,0,0,18,3
,ReplaceBranchXR,,ReplaceBranchXR,0,0,19,3
