gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
15,0.44599320092587813,0.11110439391773475,0.7667256535915362,0.33136637382128875,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,14,14,6194313,6194313,(((((((((5)*(x))*(((8)*(7))*(x)))+((2)*(((5)+(9))+(7))))*(x))*(x))+((9)*(0)))+(x))*(x)),((((((((7)+(5))*((5)*(9)))+((((0)/(0))*((3)+(3)))-((3)-(6))))*(((x)-((7)*(x)))*((x)+((x)*((x)*(x))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
16,0.3179639399065476,0.09335498540625531,0.8024816634671099,0.2541851152477385,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,15,15,6802214.5,6802214.5,((((((((((8)-((4)*(9)))*(x))*((x)*(x)))+((2)*((x)-(7))))*(x))*((3)+(8)))+(x))-(x))*(x)),((((((((2)+(7))-((0)*(x)))*(((2)-(5))+(((x)*(8))*(x))))+(((7)*((((3)+(2))/(0))*(x)))-((x)-((x)*((2)-(8))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
17,0.3348238768705266,0.010711809318954518,0.7969492977669658,0.15788681753248074,MultXD,DivXD,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,16,16,66789570.5,66789570.5,((((((((((5)*(2))*(x))*(((1)-(x))*(x)))*((2)*(((7)+(5))+(7))))*(x))*(x))+(x))-(x))*(x)),(((((((((3)+(2))+(9))*((x)*(4)))+(((6)-((7)*(2)))+((0)-(1))))*(((1)-(((3)/(5))*(x)))*((x)+((x)-((x)*(x))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
18,0.3479645292569593,0.10033508982922508,0.7236185483837223,0.21126628673554165,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,17,17,146823800.9,146823800.9,((((((((((9)*(9))*(x))*((x)*(x)))+(((3)+(5))*((x)+((1)+(x)))))*(x))*(x))+(x))*(x))*(x)),((((((((5)*(x))*(((6)+(4))*(x)))+(((2)*(8))*(((0)/(0))+(3))))+(((x)*(x))*((x)+((x)+((x)*(x))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
19,0.2411803192828414,-0.007778795366024572,0.743314552783613,0.12109444901219471,MultXD,DivXD,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,18,18,15210314.5,15210314.5,(((((((((((8)+(x))+(6))*(x))*((x)*(x)))+((2)*((x)-(7))))*(x))*((6)*(5)))+(x))-(x))*(x)),((((((((9)+(5))-(x))*(((x)*(x))-((2)*((x)*(3)))))+(((7)-((x)*((8)/(0))))+((5)-(9))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
20,0.5035294773728014,0.10396656440616367,0.7145898314725116,0.3017449173283303,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,18,19,8525834.5,8525834.5,((((((((((6)*(3))*(x))*((x)*(x)))+(((7)+(8))*((x)+(7))))*((7)*(3)))*(x))+(x))-(x))*(x)),(((((((9)+((x)*(x)))*(((5)*(x))-((4)*(6))))*(((((8)/(0))*(1))+((7)*(x)))*((x)+((x)-((0)-(0))))))/(x))-((7)+(1)))/(x)),5*x*x*x+2*x+7,3
21,0.3634300484149896,0.0899822756538525,0.9295952813549044,0.20695717155051824,MultXD,DivXD,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,20,20,54445732.7,54445732.7,((((((((((x)+((3)*(4)))*((5)+(8)))*((x)*(x)))+((2)*((x)+(7))))*(x))*(x))*(x))-(x))*(x)),((((((((8)*(2))*(((8)/(0))*(x)))*(((x)-(3))*(((5)*(1))+(7))))*((((1)+(8))*((3)*(7)))+((4)+((7)-((x)*(x))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
22,0.4192529171086953,0.04762344831870859,0.6765111734943796,0.263913624815303,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,21,21,1981637.5,1981637.5,(((((((((5)*(x))*((x)*((x)+(x))))+((2)*(((2)*(0))+(8))))*(x))*(x))-(x))-(x))*(x)),(((((((6)*(3))*(((x)+(5))*((6)*(9))))+(((((6)/(0))*(x))+((7)*(x)))-(((4)+(6))+((x)-((x)-(x))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
23,0.3748742674499855,0.033750506129272835,0.6760913360075778,0.3619546549382906,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,22,21,150027524.5,150027524.5,(((((((((5)*(x))*(((x)*(3))*(x)))*((2)*(((x)+(2))+((5)+(x)))))*(x))*(x))+(x))-(x))*(x)),(((((((5)*(9))*((9)+((4)*(4))))*(((x)+((x)/(4)))*((x)+(7))))-(((0)*((1)*((8)+(x))))+((x)-(((9)/(0))+((x)*(0))))))/(x))-(x)),5*x*x*x+2*x+7,3
24,0.2470519773456326,0.02993842496268049,0.5043724870271316,0.29385754397652664,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,22,21,13968864.4,13968864.4,(((((((((5)*((5)+(9)))*((x)*(x)))+((2)*(((9)*(2))+((4)+(2)))))*(x))*(x))*(x))-(x))*(x)),(((((9)+((0)/(0)))+(((0)-((4)*((8)*(6))))*((x)+((x)-((x)*(x))))))/((3)+(2)))-(x)),5*x*x*x+2*x+7,3
