gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.016542540999945593,0.0015014437757215466,0.019999999504140064,0.02,8165053.078169998,1.2275879074085763,201669852.512,0,1,1,0.3709086499687178,0,1183165578205877500000,0,118316554254960760000000,0,(((((((3)-(9))-((3)-((3)-(3))))-(((6)-(3))-((8)+((9)+(4)))))+((((1)-(5))-((1)*((3)*(x))))+(((6)*(9))*((7)*((4)*(x))))))*(((((9)*(4))*((2)*((9)*(4))))-(((3)*(5))*((x)*((8)-(0)))))-((((4)+(7))-((4)-((4)+(2))))+(((4)*(5))*((x)*((8)*(9)))))))*((((((5)*(5))*((3)-(8)))*(((8)+(0))-((6)+((0)+(8)))))-((((4)*(8))+((6)*((4)-(6))))+(((1)-(x))*((5)*((7)-(1))))))-(((((5)*(x))*((0)+((3)-(6))))+(((1)+(6))-((6)*((7)*(4)))))+((((9)*(x))+((3)+((4)-(8))))-(((8)-(4))-((9)-((7)-((6)-(4))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,DivXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD|SkipD|MultXD|FellTreeD|DivXD|AddXD|FellTreeD|AddTreeWithDiv|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,11,10,12,12,9
12,(x),20,-10,0.016678722576480585,-0.01,0.019999999984109132,0.02,196213213.94067997,0.2,6292922119.87,0,1,1,0.3561377905679279,0,80037188324516450000,0,2556694869465666000000,0,(((((((x)+(x))-((3)-(4)))+(((2)*(1))*((7)+(2))))-((((7)-(3))-((8)*(3)))-(((8)*(7))*((9)*((3)*(7))))))*(((((8)*(2))*((8)+(3)))*(((6)*(x))*((6)*((1)*(7)))))-((((6)-(6))-((4)-(4)))-(((6)-(0))-((0)+((8)+(9)))))))*((((((3)-(6))-((9)*(9)))+(((0)-(8))*((9)*(8))))-((((5)*(9))*((4)*(6)))*(((2)*(8))*((4)*(7)))))+(((((9)+(0))+((3)+(6)))*(((2)-(1))-((2)*(x))))*((((7)+(5))*((7)*(x)))-(((8)-(8))*((7)*((x)-((6)*(x))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,DivXD|AddXD|FellTreeD|FellTreeD|FellTreeD|FellTreeD|FellTreeD|AddXD|FellTreeD|SkipD|AddTreeWithDiv|SubXD|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,10,10,13,13,9
13,(x),20,-10,0.014819300468268914,0.014457150109185237,0.01999999946766988,0.02,4496280.67886,0.26930128538437637,187853356.69,0,1,1,0.3252985740944249,0,61032290683880760000,0,6103228185580233000000,0,(((((((x)+(3))+((0)*((0)+(4))))+(((2)-((0)*(3)))-((2)+((5)+(0)))))*((((4)+((3)*(x)))-((1)*((0)+(7))))-(((2)*((5)*(x)))-((3)-((x)+(3))))))*(((((8)*((x)*(x)))*((8)*((6)*(7))))*(((5)*((9)+(4)))-((6)-((6)*(8)))))*((((8)-((3)+(4)))*((9)*((6)+(8))))+(((x)+((2)+(7)))-((2)-((2)+(3)))))))*((((((3)-(5))-((6)*((x)-(9))))-(((1)-((9)-(7)))-((8)-((9)*(9)))))+((((6)*((8)+(2)))*((9)*((3)*(5))))+(((3)-((1)-(8)))-((7)-((9)-(x))))))-(((((5)+(7))*((9)+((8)+(0))))-(((9)-((0)+(x)))+((0)+((4)+(9)))))+((((0)+((x)+(x)))*((8)*((4)+(5))))*(((7)*((7)-(4)))+((2)*((1)-((7)+(1))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|AddTreeWithDiv|SkipD|AddTreeWithDiv|SkipD|MultXD|FellTreeD|SubXD|SkipD|SkipD|AddTreeWithDiv|SubXD|AddXD|FellTreeD|AddXD,AddToLeafR,SkipD,13,12,14,14,9
14,(x),20,-10,0.017312636695511262,0.010812519490993797,0.019999999945692445,0.02,41554098.937350005,3783949.4425482405,1841364477.205,0,1,1,0.20059018566670142,0,73556480299393340000,0,7355647710822981000000,0,(((((((x)+((x)+(4)))-((5)-((1)-(0))))-(((0)-((x)-(1)))+((2)+((2)-(1)))))+((((x)-((3)*(x)))*((6)-((x)-(0))))-(((3)*((7)*(x)))-(((0)+(8))+((4)+(7))))))-(((((3)*((5)-(2)))*((6)+((2)+(2))))+(((6)+((7)-(0)))*((7)-((6)+(8)))))*((((9)-((3)+(8)))+((8)+((5)+(2))))+(((9)*((7)*(3)))-(((5)+(1))*((3)-(9)))))))*((((((x)*((8)+(7)))*((6)-((3)*(8))))*(((9)*((6)-(1)))*((4)-((4)+(x)))))+((((8)-((9)-(5)))*((8)+((3)*(4))))-(((x)*((x)-(4)))-((2)-((3)-(7))))))*(((((5)-((8)-(6)))*((x)+((5)-(6))))*(((2)*((5)*(1)))*((x)*((1)*(2)))))*((((5)-((7)*(2)))*((4)-((5)+(x))))*(((6)*((3)*(1)))*(((9)+(x))*((6)+((5)+(8))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|DivXD|AddXD|MultXD|FellTreeD|DivXD|FellTreeD|SkipD|SubXD|FellTreeD|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,13,13,15,15,9
15,(x),20,-10,0.0187389350063474,-0.019603960396039607,0.01999999997066342,0.02,47791516.29771,5.05,3408713280.01,0,1,1,0.5366229678812787,0,39656584964275590000,0,3965658164583012000000,0,(((((((x)+((0)+(1)))-((0)-((1)+(5))))*(((x)*((6)*(2)))*((6)*((0)-(2)))))-((((1)-((3)-(4)))-((1)-((5)-(3))))*(((3)*((6)+(3)))+((6)+((7)+(8))))))+(((((0)+((8)+(4)))-((7)+((7)*(0))))+(((0)-((2)+(0)))-((6)-((7)-(5)))))-((((7)-((4)-(6)))-((8)*((5)*(2))))*(((x)+((6)*(8)))-((3)-((6)-(5)))))))-((((((1)+(2))*((5)*((3)*(x))))-(((1)*((7)*(x)))*((1)*((6)-(7)))))*((((6)+((1)+(9)))+((4)*((8)+(6))))+(((7)-((5)*(8)))+((0)-((3)*(9))))))+(((((6)+(7))+((2)+((3)+(5))))-(((6)-((5)-(6)))*((4)*((5)*(6)))))+((((0)*((1)*(7)))*((x)*((7)*(8))))*(((7)*((5)*(4)))+((4)*((5)+((7)+(5))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,SubXD|DivXD|AddXD|DivXD|SubXD|MultXD|FellTreeD|SubXD|MultXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|FellTreeD|AddXD,AddRandomSubTreeR,SubXD,15,14,16,16,9
16,(x),20,-10,0.015043101943604144,-0.019950818865883048,0.019999999961745108,-0.019950818865883048,61989397.126239985,40.666,2614044904.434,40.666,1,1,0.41348168304509814,0,2007710425310146000000,0,200769575132680330000000,0,(((((((x)+(3))+((1)+(6)))+(((x)-(6))*((6)+((2)*(8)))))*((((5)+(7))-((6)*((2)*(x))))*(((4)-(4))-((8)-((3)-(0))))))-(((((4)-(x))-((3)+((1)*(3))))*(((9)*(7))*((7)*((7)*(7)))))*((((9)*(1))*((9)*((6)*(8))))+(((2)*(0))-((7)+((3)+(4)))))))-((((((8)*(8))*((8)*(6)))*(((x)*(x))*((x)-((6)-(1)))))*((((0)-(4))-((x)-((3)-(6))))+(((2)*(1))-((x)+((0)+(7))))))+(((((6)+(5))+((8)+(4)))+(((0)+(6))*((8)-((6)+(6)))))*((((x)*(5))-((2)*((1)+(8))))*(((6)*(2))*((x)-((x)+((3)+(0))))))))),((0)+(x)),AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|DeleteTerminalR,SubXD|MultXD|SkipD|FellTreeD|MultXD|FellTreeD|AddTreeWithDiv|SubXD|SkipD|AddXD|FellTreeD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,16,15,17,17,9
17,(x),20,-10,0.018578672254848008,-0.019603960396039607,0.019999999994268658,0.02,383493665.07293,5.05,17447919242.211998,0,1,1,0.3852301655284108,0,98514310987891870000,0,9851430832699827000000,0,(((((((x)+((7)+(4)))*((5)*((6)+(7))))*(((3)*((3)+(3)))*((3)*((2)*(6)))))*((((1)*((6)*(1)))*((x)*((6)*(6))))*(((2)*((x)-(7)))*((2)-((7)*(5))))))-(((((8)*((x)+(5)))*((3)+((9)-(7))))*(((8)*((5)-(9)))*((9)+((9)+(x)))))+((((5)+((8)+(5)))-((0)*((6)*(5))))*(((1)-((x)-(9)))-((2)-((5)+(x)))))))*((((((9)*(9))*((8)-((5)*(7))))*(((x)*((3)*(8)))-((3)-((6)-(8)))))*((((6)*((8)-(1)))-((2)-((3)-(4))))-(((3)-((6)-(5)))-((5)+((0)+(1))))))+(((((8)-(1))-((5)+((3)-(5))))*(((7)*((2)-(8)))-((3)-((x)-(5)))))-((((1)-((0)-(1)))-((5)+((8)+(6))))-(((5)+((2)*(1)))-((3)*((5)*((5)+(4))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|AddTreeWithSub|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,DivXD|MultXD|SubXD|AddTreeWithDiv|SkipD|DivXD|DivXD|FellTreeD|DivXD|FellTreeD|MultXD|MultXD|SubXD|FellTreeD|AddXD,AddToLeafR,DivXD,17,15,18,18,9
18,(x),20,-10,0.014867231000888688,-0.0010642665397253724,0.019999999972012315,0.02,73160475.42064999,1.6205750364757927,3573000130.82,0,1,1,0.49152288089338925,0,10299385571946044000000000,0,161871510915650620000,0,(((((((x)+(2))+((1)+(9)))+(((8)*(8))+((9)+(5))))*((((9)*(4))*((7)*(7)))*(((4)*(8))*((2)+((9)*(2))))))-(((((x)-(4))+((8)+(3)))+(((4)*(5))*((3)*(7))))+((((2)-(3))*((2)+(0)))+(((8)-(6))-((4)+((1)*(5)))))))*((((((3)*(2))+((9)-(4)))+(((x)*(6))-((7)-(x))))*((((3)-(5))*((x)*(x)))*(((0)+(x))+((9)+(1)))))*(((((7)+(9))+((1)*(7)))+(((3)*(6))*((8)*(4))))-((((6)-(2))-((3)*(5)))+(((9)+(1))+((4)+((1)*((x)+(8))))))))),((0)+(x)),AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|MultXD|SkipD|AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|SubXD|FellTreeD|SkipD|SubXD|AddXD|AddXD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,18,17,19,19,9
19,(x),20,-10,0.01614222080038157,0.015542648172741615,0.019999999995316046,0.02,269616340.5719,0.12512893950771514,21349488634.108997,0,1,1,0.4373225235476485,0,786119436257095700000,0,78611905972901020000000,0,(((((((x)+((0)+(3)))+((2)+((3)+(3))))+(((5)+((0)*(0)))*((7)*((3)+(0)))))+((((2)-((8)*(4)))-((7)*((9)*(3))))*(((5)+((7)+(3)))-((4)*((3)-(9))))))-(((((5)-((x)-(8)))-((1)+((8)*(7))))*(((9)*((x)-(x)))*((0)-((4)-(9)))))-((((6)-((8)+(2)))-((1)*((4)+(9))))-(((3)-((7)*(x)))*((x)-((1)+(1)))))))*((((((6)+(9))*((1)+((5)+(6))))+(((6)*((5)-(5)))-((8)-((2)*(1)))))*((((x)*((x)*(5)))*((1)*((8)*(7))))*(((1)*((5)-(x)))*((6)+((2)*(6))))))*(((((x)*((9)*(3)))-((1)*((8)+(4))))-(((5)-((4)-(5)))-((9)*((0)+(6)))))*((((6)*((7)*(x)))*((1)+((4)*(2))))-(((7)-((7)-(6)))-((4)-((3)-((5)-(x))))))))),((0)+(x)),AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|MultXD|SkipD|FellTreeD|MultXD|AddXD|DivXD|FellTreeD|DivXD|SkipD|AddTreeWithDiv|AddXD|AddXD|FellTreeD|AddXD,AddToLeafR,AddXD,17,18,20,20,9
20,(x),20,-10,0.01672367612540534,0,0.01999999983467041,0,14224087.297610002,0.1,604852402.32,0.1,1,1,0.28468930497017525,0,551496218102012160000000,0,55149621360039990000000000,0,(((((((x)+((2)-(0)))+((9)*((1)+(3))))*(((4)*((4)*(2)))*(((9)*(3))*((6)*(x)))))-((((x)-((9)+(4)))+((2)-((3)+(6))))*(((7)*((3)*(4)))-(((2)-(0))-((6)-(x))))))-(((((3)-((5)*(3)))*((9)*((x)+(2))))+(((2)-((7)*(3)))+(((x)*(6))*((2)+(2)))))*((((5)*((5)+(6)))*(((6)*(9))*((2)+(7))))*(((8)-((2)-(3)))-(((0)-(3))-((7)*(5)))))))-((((((1)-((0)+(7)))-((3)-((x)-(3))))-(((2)-((x)-(3)))-((7)-((2)*(8)))))*((((4)-((x)+(6)))*((8)*((3)*(x))))*(((8)-((9)*(x)))*(((1)+(6))-((0)+(8))))))+(((((6)*((4)*(6)))*((9)-((4)+(2))))+(((5)*((8)-(x)))-(((2)*(0))+((x)+(7)))))+((((x)*((5)+(4)))+((2)*((5)+(2))))*(((8)*((x)+(x)))+(((8)+(5))+((1)+((5)+(3))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR,SkipD|MultXD|SkipD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|SubXD|MultXD|MultXD|MultXD|MultXD|SubXD|FellTreeD|DivXD,AddToLeafR,MultXD,20,20,21,21,9
21,(x),20,-10,0.019083754125687996,-0.01701492537313433,0.01999999997919401,0.02,129710423.9062,0.67,4806308561.035999,0,1,1,0.40006500804729167,0,414524851912730500000,0,41451788818254200000000,0,(((((((6)+((0)+(6)))+((1)-((3)*(8))))+(((x)-((9)+(6)))+(((0)+(3))-((5)+(x)))))-((((1)*((7)*(7)))-((0)*((9)+(2))))+(((2)+((7)+(0)))*(((8)+(3))+((8)*(9))))))*(((((8)+((5)+(4)))-((1)*((9)+(4))))*(((3)+((1)*(2)))*(((x)*(8))+((3)+(x)))))-((((1)*((x)+(4)))*((0)+((7)*(x))))*(((5)*((9)*(2)))+(((7)*(2))-((7)+(4)))))))*((((((0)*((0)-(6)))*((6)*((8)+(0))))-(((7)-((8)+(2)))*((4)-((5)-(6)))))*((((2)*((3)*(7)))*((6)*((2)+(9))))+(((5)-((9)+(8)))+(((7)*(8))-((0)*(2))))))-(((((6)-((5)-(6)))-((x)-((4)+(5))))*(((2)-((8)+(x)))*((x)-((7)+(x)))))*((((3)+((3)+(3)))+((9)*((3)-(9))))-(((8)-((5)-(0)))-(((8)-(6))-((x)+((7)*(6))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR,DivXD|DivXD|AddXD|FellTreeD|SubXD|FellTreeD|SkipD|FellTreeD|MultXD|MultXD|AddXD|DivXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,21,20,22,22,9
22,(x),20,-10,0.016740881834062925,-0.01,0.0199999995545257,0.02,3922307.43761,0.2,224479841.29799998,0,1,1,0.43631718898129745,0,647143321336482800000,0,64713999018599650000000,0,(((((((0)+(7))+((0)+((4)+(5))))+(((5)+((6)+(5)))+((x)*((3)+(0)))))-((((6)-((3)-(9)))-((7)-((8)-(5))))+(((8)-((9)-(6)))-((4)-((x)-(0))))))-(((((8)-(1))*((8)*((8)*(7))))*(((0)+((3)-(6)))*((3)*((9)*(7)))))*((((2)+((x)-(9)))-((8)-((3)-(3))))*(((3)*((0)+(6)))+((5)*((4)+(6)))))))+((((((2)+(9))-((4)+((3)*(x))))*(((4)-((6)-(x)))*((7)*((4)+(9)))))*((((7)-(x))*((4)+((9)+(2))))-(((5)*((7)-(3)))+((1)*((6)-(7))))))+(((((9)+(x))+((x)*((0)*(9))))-(((4)-((6)*(9)))*((9)*((5)*(9)))))*((((9)*(5))*((5)*((7)+(0))))*(((5)*((8)+(x)))-((9)-((x)-((1)*(7))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|DeleteTerminalR,AddTreeWithDiv|MultXD|SkipD|SubXD|MultXD|FellTreeD|FellTreeD|SubXD|FellTreeD|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,22,20,23,23,9
23,(x),20,-10,0.01763705233693797,0.011585578370958876,0.019999999988195037,0.02,120321763.82180001,0.15713136097668262,8471014041.724,0,1,1,0.3560260675655155,0,1790730532190075000000000,0,179073053211535670000000000,0,(((((((x)+(8))-((7)-((0)-(1))))-(((2)-(9))-((3)+((3)*(8)))))-((((5)*(1))+((5)*((5)*(1))))-(((7)*((6)*(2)))*((3)+((6)+(9))))))*(((((8)+(0))+((x)-((2)*(6))))*(((7)*((6)*(0)))+((9)+((6)*(7)))))-((((0)-(1))+((x)+((7)+(7))))*(((8)*((7)*(9)))-((9)*((3)-(4)))))))-((((((6)-(3))-((0)-((x)-(6))))+(((8)*(9))-((3)+((x)*(x)))))*((((3)+(0))+((0)-((2)-(x))))*(((1)-(x))*((7)*((4)*(9))))))-(((((8)*(x))*((8)*((8)*(x))))+(((5)+(7))-((5)-((3)+(4)))))-((((x)*(7))*((6)*((7)*(2))))+(((7)*((5)*(8)))*((7)+((6)*((x)*(3))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR,SubXD|MultXD|SkipD|FellTreeD|MultXD|SubXD|AddTreeWithDiv|SubXD|MultXD|SubXD|AddXD|MultXD|AddXD|FellTreeD|AddXD,AddToLeafR,SubXD,23,23,24,24,9
24,(x),20,-10,0.01852431785573066,-0.00045159452557536213,0.019999999996201015,0.02,288703923.12780005,1.0553825392749652,26322814617.06,0,1,1,0.3845347311965155,0,9015787372198446000000,0,901578736769361700000000,0,(((((((x)+(9))+((9)*((2)+(8))))*(((9)+((3)*(9)))*((7)*((x)+(8)))))+((((0)+((5)+(0)))*((3)*((5)+(5))))+(((3)*((6)+(8)))-((9)-((x)*(x))))))*(((((3)-(4))-((x)-((x)*(5))))*(((5)+((9)*(6)))-((1)-((8)+(8)))))+((((9)*((3)+(2)))-((6)-((6)-(9))))-(((5)-((1)-(x)))-((5)+((5)*(0)))))))*((((((4)*(4))+((3)+((9)-(4))))+(((7)-((5)-(7)))*((0)-((7)+(3)))))+((((8)-(2))+((4)-((x)*(1))))+(((4)*((x)*(2)))+((2)-((7)-(2))))))*(((((8)-(2))-((4)-((2)*(9))))+(((7)+((6)*(4)))+((x)+((2)*(4)))))+((((5)-((6)*(x)))*((5)*((3)-(9))))*(((3)*((8)+(1)))+((8)*((4)*((x)*(x))))))))),((0)+(x)),AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddToLeafR,AddTreeWithDiv|MultXD|SkipD|SubXD|MultXD|SkipD|DivXD|FellTreeD|FellTreeD|MultXD|FellTreeD|AddTreeWithDiv|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,24,22,25,25,9
25,(x),20,-10,0.017361239726094258,0.010737252956008103,0.019999999983643123,0.02,158355839.32706,0.23620903401471124,6113637091.8,0,1,1,0.29132479863007105,0,331354830421444800,0,26772962867260490000,0,(((((((x)+((1)*(8)))+((x)+((6)+(9))))+(((6)+((4)+(x)))+(((0)+(2))-((0)*(9)))))*((((0)-((3)-(2)))+((8)+((6)-(7))))*(((7)*((9)*(2)))+(((x)+(7))*((5)-(6))))))-(((((1)-((x)-(8)))-((x)+((4)+(0))))+(((8)+((3)+(3)))+(((7)+(1))-((6)-(9)))))*((((1)*((3)+(x)))*((7)*((5)-(x))))+(((5)+((8)+(x)))-(((2)-(x))*((7)-(5)))))))-((((((2)*((6)*(4)))-((2)*((5)*(2))))*(((4)+((7)-(1)))-((x)-((5)-(2)))))-((((x)-((0)-(8)))-((1)*((8)*(x))))-(((x)*((4)-(x)))+(((9)-(5))-((0)+(6))))))-(((((4)*((6)*(8)))*((8)*((1)*(4))))-(((7)*((3)+(0)))*((9)-((x)-(0)))))*((((x)*((5)*(7)))*((9)+((1)+(4))))*(((9)+((2)*(2)))*(((1)*(2))-((8)-((3)*(2))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR,AddTreeWithDiv|AddTreeWithDiv|SkipD|SubXD|MultXD|DivXD|AddTreeWithDiv|FellTreeD|MultXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|SubXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,25,23,26,26,9
26,(x),20,-10,0.016149429019106428,0.011903387020221357,0.019999999984289273,0.02,75445214.44871,0.2472673082782237,6365078435.1,0,1,1,0.43806531674107635,0,2133496280624678600000,0,186013561879143400000000,0,(((((((x)+((9)+(x)))+((7)+((1)+(5))))+(((3)+((6)+(1)))+((7)*((4)*(3)))))-((((0)-((9)-(7)))-((7)-((5)-(0))))-(((0)-((0)-(7)))*((x)*((1)+(9))))))*(((((8)*((9)-(6)))*((0)*((9)+(3))))-(((3)-((0)+(2)))+((5)*((2)+(9)))))-((((4)*((x)-(8)))*((6)*((4)*(3))))*(((6)*((1)*(4)))*(((6)-(3))-((0)-(0)))))))-((((((0)*(7))*((0)-((4)-(x))))+(((7)*((4)-(9)))*((0)+((7)-(4)))))-((((5)*((8)*(x)))*((5)+((9)*(9))))-(((3)*((2)-(1)))-((5)-((4)-(3))))))-(((((3)*((4)+(3)))*((2)*((0)+(x))))*(((3)*((9)-(0)))*((9)*((0)-(5)))))*((((2)+((5)*(1)))+((2)*((9)+(2))))-(((x)+((1)-(6)))*((6)-((6)*((5)*(9))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,DivXD|MultXD|SubXD|SubXD|MultXD|SubXD|AddTreeWithDiv|SubXD|MultXD|SkipD|AddTreeWithDiv|AddXD|SkipD|FellTreeD|AddXD,AddToLeafR,SubXD,26,25,27,27,9
27,(x),20,-10,0.018748571739669227,0.02,0.01999999999094424,0.02,154863657.6596,0,11042695402.164,0,1,1,0.46640911270724766,0,7634116610242937000,0,762940914589410700000,0,(((((((x)+((8)+(8)))-((7)-((8)+(x))))+(((7)+((6)*(4)))+(((8)-(7))-((7)*(3)))))-((((1)+((4)+(9)))-((2)*((8)*(0))))+(((9)+((3)-(x)))*(((4)*(x))+((1)+(x))))))+(((((2)+((7)+(3)))+((x)+((6)+(8))))*(((0)*((0)+(2)))*(((4)+(4))+((6)*(8)))))-((((3)-((5)*(9)))+(((0)-(3))-((5)+(9))))*(((6)+((2)-(2)))+(((2)*(7))*((4)*(2)))))))*((((((9)*((9)*(3)))-((x)*((3)*(5))))*(((8)-((0)+(5)))-((4)-((5)-(9)))))*((((6)-((5)+(5)))*((9)-((4)*(7))))-(((8)*((0)*(5)))*(((9)*(0))+((8)*(9))))))+(((((7)*((1)*(5)))-((3)-((1)-(9))))*(((x)-((3)-(6)))+(((x)-(x))*((4)*(0)))))-((((9)*((5)*(8)))*((8)+((5)*(1))))-(((8)-((4)-(2)))-(((0)-(7))-((7)-((0)-(1))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR,SkipD|MultXD|SkipD|SubXD|MultXD|DivXD|MultXD|SubXD|MultXD|FellTreeD|MultXD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,MultXD,27,26,28,28,9
