gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.015919451789698946,0.0188484126984127,0.019999999480374772,0.02,2381456.88697,0.005757936507936509,192446391.86,0,1,1,0.3898621650928164,0,10092031698032308000000,0,1009008326639445100000000,0,(((((((x)*((7)*(6)))*((7)+((8)+(7))))*(((5)+((0)*(7)))+(((6)-(4))-((9)*(5)))))+((((3)+((3)*(9)))*((1)*((9)*(2))))+(((8)*((1)*(0)))-(((x)*(1))+((7)*(8))))))+(((((3)*((7)*(6)))+((0)-((0)+(5))))-(((5)+((6)-(1)))-(((x)*(3))+((0)+(3)))))+((((8)+((1)+(x)))+((3)+((8)+(5))))*(((2)-((2)+(2)))+(((4)*(9))*((1)*(6)))))))*((((((6)*((9)*(8)))*((x)*((x)*(9))))*(((7)*((5)*(9)))*((2)*((9)*(9)))))*((((2)*((x)*(6)))-((1)+((1)*(4))))+(((7)-((1)-(x)))*(((9)*(x))+((x)-(9))))))-(((((9)-((x)-(1)))-((8)-((2)-(8))))*(((6)*((6)+(5)))*((2)+((1)*(6)))))+((((6)+((1)+(0)))+((4)*((6)-(5))))-(((3)+((4)+(x)))*(((3)*(1))+((6)+((3)-(6))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DivXD|DivXD|AddXD|FellTreeD|SubXD|SkipD|SubXD|DivXD|MultXD|FellTreeD|AddTreeWithDiv|AddXD|SubXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,11,10,12,12,7
12,(x),20,-10,0.01889716321822331,0.01617171301960981,0.019999999989191837,0.02,203012406.39049,0.08566918662774901,9252265259.434,0,1,1,0.31600020683920443,0,14423432390021930000000,0,5768352688744225000,0,(((((((x)*((1)-(1)))-((7)*((2)+(7))))+(((9)*((8)-(1)))+(((8)*(x))*((2)*(6)))))-((((1)-((9)-(5)))*((x)-((4)-(1))))+(((7)+((4)*(x)))*(((5)+(2))*((8)+(x))))))+(((((9)-((9)-(6)))-((9)*((2)+(6))))-(((0)-((5)+(5)))+(((0)+(8))+((1)+(1)))))+((((1)*((2)+(6)))*(((9)*(8))*((7)*(x))))*(((7)*((7)*(4)))+(((6)+(6))*((2)*(0)))))))*((((((4)*((x)*(4)))*((2)*((3)+(8))))+(((8)-((5)+(8)))+((2)+((3)-(2)))))*((((1)+((3)+(6)))-((9)+((3)+(3))))*(((1)+((5)*(8)))-(((5)+(4))*((5)+(0))))))-(((((0)*((2)+(5)))+((9)+((5)+(2))))+(((6)+((6)+(6)))-(((4)+(4))*((7)-(2)))))*((((1)-((1)+(5)))+((7)+((6)*(6))))*(((1)-((7)+(x)))-(((0)*(4))-((9)*((2)-(x))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|MultXD|AddTreeWithDiv|MultXD|DivXD|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,11,10,13,13,7
13,(x),20,-10,0.01711049181644431,0.0170839661730078,0.019999999889683234,0.02,17122817.91333,0.015798731306925367,906480520.128,0,1,1,0.3829823777809225,0,1374036921246331200000000000,0,3386763004163346000,0,(((((((x)*((4)+(2)))+((8)*((5)-(6))))-(((1)*((8)+(8)))*((8)*((2)+(1)))))-((((9)+((3)-(3)))*((1)*((9)+(8))))+(((7)+((7)+(x)))+((0)*((x)-(6))))))+(((((8)-((9)+(7)))+((9)+((0)+(3))))+(((7)+((3)+(7)))+((3)-((x)*(9)))))+((((9)+((7)*(8)))*((8)+((3)*(9))))+(((7)*((3)*(3)))*((2)*((2)*(7)))))))*((((((9)*(1))*((9)*((9)+(1))))+(((9)*((4)*(5)))*((1)*((6)+(8)))))+((((4)+((8)-(x)))+((0)*((9)*(3))))-(((9)*((3)*(0)))+((2)-((5)*(8))))))+(((((8)+(9))*((9)*((6)-(1))))+(((4)+((4)+(4)))+((0)+((0)+(4)))))*((((2)*((8)*(6)))*((8)*((8)*(3))))*(((7)+((2)*(3)))*((6)-((2)-((8)+(7))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|SkipD|AddXD|FellTreeD|AddTreeWithDiv|SkipD|SkipD|AddXD|AddTreeWithDiv|FellTreeD|DivXD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,11,12,14,14,7
14,(x),20,-10,0.013508941568259696,0.006429794865647406,0.019999999387308186,0.02,2344518.19692,0.10667021173050589,163214193.276,0,1,1,0.31222383983315893,0,122554615604932300000000,0,2122684379673130400000,0,(((((((6)+((x)-(3)))*((0)+((7)*(6))))-(((8)*((1)*(6)))*((9)*((8)*(4)))))*((((8)*((5)-(2)))*((5)-((8)*(3))))*(((0)+((x)*(2)))*((6)*((5)+(4))))))*(((((1)+((3)+(1)))+((7)+((4)+(5))))*(((6)*((5)+(3)))*((2)+((5)*(7)))))*((((5)*((6)*(1)))*((4)*((7)*(1))))*(((8)-((5)+(1)))+(((6)+(9))*((5)+(1)))))))-((((((1)*(7))+((7)-((9)+(0))))-(((0)*((2)*(4)))*((6)*((3)*(5)))))*((((8)*((5)+(0)))+((2)-((8)-(5))))+(((5)+((3)+(x)))+((1)+((x)+(7))))))+(((((5)*((4)*(7)))-((6)*((8)*(7))))+(((2)-((8)+(1)))*((2)+((2)+(6)))))*((((9)-((7)*(4)))-((0)-((5)+(2))))*(((7)+((7)*(3)))+((6)+((5)+((1)+(4))))))))),((0)+(x)),AddTreeWithAdd|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DivXD|DivXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|SkipD|AddXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddRandomSubTreeR,DivXD,14,13,15,15,7
15,(x),20,-10,0.018514250490023913,0,0.019999999996026918,0,294584822.44289,0.1,25169377034.51,0.1,1,1,0.49903749334898645,0,175118034612365640000000000,0,105003759513115730000000,0,(((((((5)+(9))*((1)+((2)-(1))))+(((3)+((5)+(9)))-((0)*((6)-(6)))))-((((1)-(5))*((0)-((0)+(7))))*(((x)-((x)*(0)))-((5)*((4)*(1))))))-(((((4)+(3))+((2)+((8)*(4))))+(((4)+((0)-(0)))-((5)+((8)+(3)))))-((((0)-((6)*(8)))*((4)*((5)*(2))))*(((7)*((3)*(9)))-((1)-((0)*(3)))))))*((((((6)+(2))*((8)*((9)-(7))))*(((5)-(5))+((7)+((7)*(x)))))+((((7)+(2))*((4)*((x)*(3))))*(((2)*((6)*(2)))*((4)*((8)*(7))))))*(((((x)+(0))+((4)*((3)-(8))))+(((1)*((4)+(7)))-((6)*((6)+(6)))))+((((1)+(1))+((5)+((4)+(0))))+(((9)-((8)+(3)))*((x)*((5)*((7)*(5))))))))),((0)+(x)),ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|FellTreeD|SubXD|FellTreeD|AddTreeWithDiv|DivXD|AddXD|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,15,14,16,16,7
16,(x),20,-10,0.018114718896157102,0,0.01999999998822304,0.02,248410848.77586,0.1,8491154795.783001,0,1,1,0.37218916241288846,0,31409419023471165000000,0,3140939249368602000000000,0,(((((((x)+((8)-(2)))*((5)-((4)-(4))))-(((4)*((4)-(3)))*((x)-((1)+(7)))))*((((5)*((5)-(3)))*((7)*((9)+(5))))-(((0)+((7)-(0)))*((x)-((9)*(9))))))+(((((x)*((4)*(5)))*((9)-((5)-(5))))+(((0)*((9)-(7)))-((x)+((2)*(9)))))-((((3)+((8)+(4)))*((1)*((9)+(3))))*(((8)-((5)-(7)))*((7)-((0)*(5)))))))*((((((7)*(4))+((8)*((6)+(2))))*(((2)-((2)*(3)))*((7)*((4)*(5)))))*((((9)*((6)*(9)))*((9)*((9)*(4))))-(((2)*((6)*(8)))*((8)+((5)-(9))))))*(((((9)+(8))-((9)-((5)+(0))))-(((7)*((x)*(x)))-((1)+((4)*(6)))))*((((9)-((0)*(8)))-((5)*((x)-(0))))-(((0)+((5)+(6)))-((0)*((7)+((7)*(8))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,DivXD|DivXD|AddXD|FellTreeD|SubXD|SkipD|SkipD|DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,16,15,17,17,7
17,(x),20,-10,0.017369464057319695,0.02,0.019999999989482934,0.02,175046660.00463,0,9508356628.243,0,1,1,0.38888513991880425,0,158455851843827500000000000,0,15845585184214803000000000000,0,(((((((5)*(9))*((5)*((1)*(9))))*(((2)*((3)*(x)))*((9)*((x)*(7)))))*((((7)+((9)+(7)))*((7)+((x)+(2))))+(((5)+((0)+(1)))+((3)+((5)-(8))))))*(((((8)+((3)-(4)))+((6)*((2)*(9))))*(((7)*((4)*(2)))*((6)*((1)-(7)))))-((((3)-((3)+(2)))-((4)*((4)+(3))))*(((1)*((0)-(2)))*((0)-((2)-(0)))))))*((((((2)*(2))+((6)*((1)*(2))))+(((5)+((9)+(7)))-((7)*((6)*(9)))))+((((3)*((4)+(2)))*((3)+((2)-(2))))*(((1)+((x)+(0)))-((2)*((0)-(2))))))-(((((5)+(6))*((x)+((x)+(5))))*(((0)-((3)+(x)))-((1)+((4)+(0)))))*((((5)+((3)*(x)))*((9)+((7)*(x))))-(((2)*((8)*(7)))*((3)*((1)*((9)*(5))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|SkipD|AddXD|FellTreeD|SubXD|SkipD|SubXD|DivXD|DivXD|MultXD|FellTreeD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,17,16,18,18,7
18,(x),20,-10,0.018343756724749652,0.008979964048952809,0.01999999999950108,0.02,2661106594.51636,0.06955528789288863,200433040981.629,0,1,1,0.39258773602016095,0,623501668699129500000000,0,8969341787375577000,0,(((((((1)+(6))+((x)+((6)+(7))))+(((8)+((8)+(0)))+((8)+((8)*(9)))))+((((9)+((9)-(4)))+((1)-((4)+(3))))*(((7)+((6)*(7)))*((7)*((7)*(7))))))*(((((9)*((4)*(4)))*((6)+((3)+(8))))+(((7)+((2)*(2)))+((5)*((8)-(9)))))*((((6)+((8)*(3)))-((6)*((8)*(2))))*(((6)*((1)*(7)))*((5)*((6)*(1)))))))+((((((4)+(x))+((4)+((0)*(0))))+(((4)*((9)+(4)))-((8)+((9)-(1)))))+((((2)+(2))+((8)+((x)*(9))))-(((0)+((0)*(9)))+((7)-((5)+(7))))))+(((((8)-(8))-((3)+((7)*(4))))*(((5)*((1)+(7)))*((5)*((7)+(0)))))*((((3)*((3)-(2)))-((5)*((8)-(5))))-(((5)-((1)*(4)))+((8)+((6)+((5)-(2))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,18,18,19,19,7
19,(x),20,-10,0.018321862602130135,0.017193977510067578,0.019999999999935042,0.02,26578926834.41481,0.014639285888088487,1539483166427.627,0,1,1,0.4564621256871425,0,459652091711747000000000,0,1022373322730861800000,0,(((((((x)+(4))-((9)+((4)-(4))))*(((0)*((1)*(9)))+((8)-((0)-(4)))))+((((9)*((6)+(3)))*((0)-((x)+(x))))+(((5)+((5)*(3)))+((4)-((3)-(8))))))+(((((0)+(6))*((0)-((3)-(x))))-(((6)-((7)*(8)))+((1)*((3)+(x)))))-((((9)+((9)-(3)))-((0)-((1)-(x))))+(((8)*((4)+(x)))-((7)*((7)-(7)))))))+((((((9)*(0))-((5)-((x)-(2))))+(((0)*((x)*(4)))*((9)*((3)+(0)))))+((((0)-(8))-((8)+((7)*(2))))*(((x)-((3)+(4)))-((9)*((2)+(7))))))*(((((4)+(5))*((5)*((4)*(x))))*(((4)*((8)*(6)))*((4)*((9)*(9)))))*((((5)*(3))*((x)*((6)*(6))))*(((6)+((3)+(x)))+((x)*((x)+((7)*(2))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|AddXD|DivXD|AddTreeWithDiv|SkipD|SubXD|AddXD|MultXD|FellTreeD|AddTreeWithDiv|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddXD,19,18,20,20,7
20,(x),20,-10,0.01775017275756381,0,0.019999999998026766,0.02,1080009059.98565,0.1,50678217530.16,0,1,1,0.26213697241172496,0,17147741572875548000000,0,1714773423812311000000000,0,(((((((x)*((4)*(9)))-((x)*((5)*(3))))+(((3)-((2)*(7)))+((3)+((x)+(9)))))*((((9)*((6)*(0)))*((0)*((7)*(4))))*(((5)-((6)*(6)))*(((1)*(5))*((9)*(3))))))+(((((1)-((5)-(9)))+((9)+((2)+(x))))+(((5)+((1)+(0)))+(((8)*(3))*((3)-(2)))))*((((6)-((6)-(3)))+((9)+((9)+(8))))+(((x)+((5)+(2)))+(((1)+(0))-((6)-(1)))))))*((((((2)+((x)*(9)))*((3)-((9)+(6))))*(((6)*((3)*(9)))*((7)-((8)+(2)))))+((((9)*((8)+(4)))*((7)*((9)*(3))))*(((9)*((x)*(8)))*(((9)+(7))*((2)*(2))))))+(((((4)+((8)-(4)))*((3)+((7)*(7))))*(((6)-((4)*(8)))*((3)*((1)*(4)))))*((((3)*((7)*(5)))*((2)+((0)-(5))))+(((6)*((x)*(9)))+(((4)*(6))+((9)*((x)-(9))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SkipD|SubXD|FellTreeD|SkipD|DivXD|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,20,19,21,21,7
21,(x),20,-10,0.018547238788094694,0,0.019999999999930962,0,14549281139.475258,0.1,1448477111401.92,0.1,1,1,0.4157242405788367,0,39325199286737320000000,0,3932519846447257000000000,0,(((((((x)*((8)-(x)))-((8)-((x)*(5))))+(((4)*((0)+(6)))-((5)*((7)+(9)))))*((((x)-((7)*(1)))+((7)*((8)-(0))))-(((x)*((9)+(6)))*(((2)*(x))+((3)*(2))))))*(((((9)*((8)*(4)))*((x)*((7)*(8))))*(((2)-((9)*(x)))-(((8)*(9))+((9)*(3)))))-((((0)-((3)-(1)))*((6)+((6)+(1))))+(((8)-((4)-(5)))+(((4)+(7))+((9)+(4)))))))+((((((2)+((2)+(3)))+((3)*((7)*(9))))*(((8)*((x)+(x)))*((x)+((6)+(9)))))+((((1)-((9)-(7)))-((2)-((x)-(6))))-(((7)-((1)+(4)))+((2)+((x)+(5))))))+(((((1)+((7)+(8)))+((9)+((6)+(5))))+(((2)+((9)*(9)))*((6)+((3)+(3)))))*((((3)*((7)*(x)))*((1)-((0)-(3))))+(((2)*((7)*(9)))*(((9)-(5))+((x)*((4)-(1))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|SkipD|SubXD|FellTreeD|DivXD|FellTreeD|AddTreeWithDiv|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,21,20,22,22,7
22,(x),20,-10,0.018294036442805302,0.009528093636686986,0.019999999997366878,0.02,434211617.83493996,0.07584548756456286,37977729004.5,0,1,1,0.4225211095093839,0,23125126812275575000000,0,8532542668922975000000,0,(((((((1)*(8))+((7)*((5)*(6))))-(((1)-((7)*(3)))*((4)+((5)-(9)))))*((((5)-(1))*((6)-((9)-(3))))+(((9)*((x)*(3)))*((2)+((4)*(8))))))-(((((3)*(8))-((8)-((8)+(x))))*(((7)+((6)*(0)))*((9)*((8)*(4)))))-((((0)+(1))*((2)*((5)*(3))))-(((6)-((1)-(9)))*((3)-((1)*(3)))))))+((((((x)-(0))*((3)+((2)*(6))))+(((0)*(3))*((x)*((3)*(6)))))-((((x)*(6))*((6)*((5)*(8))))*(((3)*((6)*(4)))+((x)-((0)*(4))))))+(((((4)+(0))+((4)+((6)+(x))))+(((5)+((4)-(6)))-((5)*((1)*(9)))))+((((3)-(3))-((5)+((2)-(7))))+(((9)+((4)*(9)))+((1)-((0)+((3)-(8))))))))),((0)+(x)),DeleteMaliciousR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|SkipD|SubXD|FellTreeD|DivXD|FellTreeD|AddTreeWithDiv|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,20,20,23,23,7
23,(x),20,-10,0.017357275153907597,0,0.01999999998721532,0,86404074.18245001,0.1,7821861973.1,0.1,1,1,0.361864582861784,0,26028725677607390000000,0,2602869874790668000000000,0,(((((((x)+((6)*(x)))+((8)+((9)*(9))))-(((8)+((2)*(7)))+((3)+((1)+(4)))))+((((8)+((2)+(3)))+((1)*((5)*(3))))*(((x)*((5)*(8)))*((x)*((8)*(x))))))-(((((x)+((x)*(7)))*((6)*((x)+(5))))*(((1)+((9)*(7)))+((3)-((3)+(0)))))-((((0)+((0)-(5)))-((4)*((7)*(2))))+(((4)+((8)+(5)))*((8)+((7)*(2)))))))+((((((4)*(x))+((x)-((2)*(x))))-(((4)*((3)+(x)))-((8)-((2)+(2)))))-((((3)-((2)+(7)))*((7)-((7)+(0))))-(((3)+((8)*(8)))+((8)+((7)-(4))))))+(((((3)+(2))*((0)+((2)*(4))))*(((8)*((4)-(5)))+((9)*((0)+(2)))))*((((8)+((9)*(6)))-((4)-((6)*(7))))+(((2)*((2)*(x)))-((1)+((9)*((6)*(5))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,23,23,24,24,7
24,(x),20,-10,0.017742494749261217,0,0.019999999998845743,0.02,1565943819.7253602,0.1,86635870162.038,0,1,1,0.42943541918209144,0,22649156304745936000000,0,18970510485542474000,0,(((((((x)-(5))-((1)+((2)*(2))))*(((1)*(8))-((1)+((8)-(3)))))*((((5)*(8))-((5)+((x)+(4))))*(((5)-(1))-((8)*((6)-(2))))))*(((((7)-(7))+((2)*((5)*(9))))*(((1)-(8))-((0)+((4)+(9)))))*((((x)*(8))-((2)*((x)+(2))))-(((6)+((0)-(3)))-((x)*((6)*(9)))))))*((((((7)*(x))+((3)*((1)*(2))))*(((2)-(6))*((7)-((4)*(8)))))*((((x)+(x))-((8)*((9)+(9))))*(((9)*(3))-((3)+((8)+(1))))))+(((((6)+(3))+((4)+((3)+(8))))-(((3)+(9))+((2)+((2)*(3)))))*((((x)*(5))*((6)*((7)*(7))))*(((4)-(4))+((6)*((8)-((5)+(1))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DivXD|DivXD|DivXD|SubXD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|DivXD|MultXD|MultXD|AddTreeWithDiv|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,24,23,25,25,7
25,(x),20,-10,0.019189932701635094,0,0.01999999999984011,0,8338475815.41027,0.1,625430789945.56,0.1,1,1,0.496028154753109,0,1631086252562940600000000000,0,71971032640899960000,0,(((((((x)*(6))*((0)+((4)*(2))))-(((x)*((0)-(x)))*((2)*((9)+(2)))))*((((0)*(4))+((2)*((2)+(x))))-(((1)*((6)*(6)))+((x)+((6)+(1))))))+(((((4)+(3))+((1)*((6)-(8))))-(((8)*((6)-(x)))-((6)+((1)+(8)))))-((((7)+((0)-(6)))*((7)*((0)*(4))))*(((8)*((6)*(5)))*((6)*((1)+(4)))))))*((((((5)-(7))-((6)*((5)+(2))))-(((4)-(4))+((9)-((6)*(7)))))+((((x)*(7))-((9)-((9)-(7))))*(((3)*((5)+(0)))-((7)*((1)*(2))))))*(((((0)-(7))-((5)+((x)*(7))))*(((7)*((9)*(6)))*((3)*((1)*(8)))))*((((3)*(3))+((1)-((4)-(1))))+(((8)+((0)-(8)))-((2)-((9)+((8)*(x))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddToLeafR,DivXD|DivXD|AddXD|SubXD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithDiv|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,25,24,26,26,7
26,(x),20,-10,0.01882007440997222,0.0105659925473334,0.01999999999990402,0.02,10454592676.097439,0.050929672520327804,1041887986899.19,0,1,1,0.5260839189834325,0,565203939708053800000000000,0,56520339021959250000000000000,0,(((((((x)-(4))*((6)*((x)+(0))))-(((1)-(2))-((3)-((2)-(2)))))-((((3)-(x))*((4)+((3)-(9))))*(((x)*((2)*(x)))*((x)*((4)*(3))))))*(((((6)+(1))*((x)*((x)*(7))))-(((9)-(8))-((1)+((7)-(4)))))*((((0)-(4))-((0)-((5)*(9))))*(((9)+((1)-(0)))*((6)*((3)*(3)))))))-((((((0)+(3))*((4)*((x)*(8))))*(((8)*(4))*((5)*((x)*(x)))))*((((8)-(8))-((2)*((0)-(8))))+(((1)-(6))*((9)*((x)*(4))))))*(((((3)*(0))*((9)+((5)-(1))))*(((8)-(7))*((5)*((4)-(3)))))*((((1)-(6))+((4)+((5)+(x))))+(((3)+((8)+(4)))+((x)-((5)*((x)*(3))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR,SubXD|AddTreeWithDiv|AddXD|SkipD|AddTreeWithDiv|SkipD|FellTreeD|DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,26,23,27,27,7
