gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.016306346954927158,0.02,0.019999999779400104,0.02,7663272.88342,0,453309370.62,0,1,1,0.5339233263696633,0,157663528810338780000000000000,0,15766352881033189000000000000000,0,(((((((9)-((0)*(6)))-((3)*((7)+(3))))-(((0)-((2)*(6)))*((5)*((x)*(x)))))*((((9)*((3)*(1)))*((9)*((2)*(8))))*(((5)*((6)*(2)))*((3)*((7)*(2))))))*(((((6)*((x)-(4)))*((x)*((7)-(4))))*(((3)-((9)*(5)))*((3)+((1)+(7)))))+((((x)+((5)+(8)))+((4)+((1)*(9))))*(((9)*((x)*(3)))*((1)*((4)*(6)))))))*((((((3)*(6))*((7)*((2)*(8))))+(((x)-((5)-(6)))*((8)-((7)*(8)))))*((((9)*((3)*(x)))-((8)*((5)-(3))))*(((9)-((0)+(x)))-((0)*((x)+(4))))))+(((((4)*((x)*(0)))+((5)+((7)-(x))))+(((8)*((3)-(x)))*((9)+((5)+(6)))))+((((6)+((1)+(4)))*((x)-((3)+(6))))+(((0)+((1)+(9)))+((6)+((5)+((6)*(9))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|SkipD|MultXD|DivXD|SubXD|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,11,9,12,12,3
12,(x),20,-10,0.017372924249458802,0,0.019999999985068063,0,96001532.49900001,0.1,6697054990.05,0.1,1,1,0.35715052211283854,0,233688815567833530000000,0,23368881388179898000000000,0,(((((((9)-(1))*((4)*((6)*(9))))+(((8)*(2))-((7)-((4)+(8)))))+((((6)-(9))+((2)-((4)*(9))))*(((3)+(1))-((6)*((x)+(x))))))+(((((2)-(4))*((1)-((5)*(2))))-(((6)-(2))*((2)-((2)+(7)))))*((((3)*(4))+((5)*((7)+(0))))+(((1)+((0)*(x)))-((5)*((2)+(1)))))))*((((((3)*(5))*((5)*((4)*(8))))*(((5)*(3))*((4)-((0)*(4)))))+((((6)+(6))*((8)-((1)*(4))))-(((1)*(2))*((7)*((9)*(4))))))*(((((4)*(7))*((x)*((8)*(x))))*(((9)*(8))+((8)+((6)+(9)))))+((((4)+(6))+((3)+((0)*(x))))*(((5)+(1))*((9)*((x)*((7)+(1))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd,SubXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|SkipD|SkipD|DivXD|SkipD|AddTreeWithDiv|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,SkipD,12,11,13,13,3
13,(x),20,-10,0.01691971372250844,0,0.01999999680366004,0,689814.85081,0.1,31285783.505,0.1,1,1,0.40318865380439306,0,41086230612643040000000000,0,3181893839650461700,0,(((((((8)*(3))*((8)*((9)*(9))))*(((4)*((2)*(5)))+((1)+((8)+(0)))))+((((1)+((x)+(6)))+((4)+((6)*(8))))*(((3)*((3)*(2)))*((4)*((8)-(9))))))-(((((9)*(5))*((1)+((5)+(x))))+(((6)+((5)+(9)))+((6)+((3)*(3)))))*((((x)*((3)*(9)))*((4)*((9)+(2))))*(((9)*((0)-(x)))*((1)*((7)-(6)))))))-((((((2)-(1))*((9)*((0)*(0))))*(((7)+((2)*(x)))-((5)-((7)-(7)))))-((((9)*(5))-((3)-((2)*(0))))*(((9)*((4)*(9)))-((8)+((0)*(9))))))*(((((2)-(6))-((7)*((4)*(5))))-(((2)+((1)+(5)))+((5)-((7)*(1)))))*((((x)+((x)*(9)))*((5)*((6)-(4))))-(((9)-((5)-(5)))-((8)-((5)-((2)*(5))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd,SubXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|SkipD|SkipD|DivXD|SkipD|AddTreeWithDiv|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,SkipD,13,11,14,14,3
14,(x),20,-10,0.01536083385219706,0.02,0.019999999986170434,0.02,90795468.34021002,0,7230885963.245999,0,1,1,0.41109176786444906,0,757476032660158400000000,0,75715489223069380000000000,0,(((((((0)-(5))-((3)*((7)+(5))))+(((9)+((x)+(9)))+((8)+((3)+(x)))))-((((x)+((x)+(2)))+((4)*((3)-(5))))-(((2)*((x)+(1)))*((7)*((5)*(7))))))*(((((x)*(7))*((x)*((8)*(8))))+(((9)+((8)-(4)))*((x)-((5)+(0)))))*((((7)*((9)+(6)))*((4)*((7)-(3))))*(((x)+((8)-(x)))*((8)*((1)*(5)))))))*((((((3)*(1))*((9)*((5)*(5))))*(((x)*((2)*(3)))+((1)*((x)+(x)))))*((((1)*(7))-((8)+((6)-(x))))-(((6)-((5)+(6)))+((7)+((6)+(7))))))+(((((9)+(6))+((8)*((3)-(3))))-(((0)+((8)*(8)))-((6)-((6)*(6)))))*((((5)*(1))+((9)+((8)-(8))))*(((1)+((x)+(8)))*((x)+((1)-((5)-(6))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,AddXD|DivXD|AddTreeWithDiv|AddXD|AddXD|SkipD|FellTreeD|FellTreeD|AddTreeWithDiv|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,14,13,15,15,3
15,(x),20,-10,0.014212816503159415,0.009625372204794315,0.019999912520573412,0.02,26941.47644,15.0886995907855,1143125.92,0,1,1,0.38380642310828994,0,415108763501692260000,0,41510876275571635000000,0,(((((((x)+(5))*((9)*(1)))+(((6)+(4))*((6)*((1)+(4)))))*((((4)+(7))*((2)*((2)-(8))))*(((4)+(2))*((8)-((4)-(5))))))*(((((9)+(1))*((8)*((9)-(8))))*(((8)*(x))*((0)-((9)+(5)))))+((((9)+(1))+((3)+((7)+(2))))+(((x)+(6))+((9)*((x)+(2)))))))*((((((1)-(9))-((x)*(3)))*(((9)+(5))-((0)*((7)*(7)))))*((((2)*(3))*((9)-(1)))*(((x)*(8))*((2)*((x)*(x))))))*(((((9)*(5))*((3)+(3)))+(((6)+(3))+((6)*((7)*(6)))))*((((7)+(3))+((1)+((6)+(8))))+(((8)+(2))+((x)*((7)-((x)*(1))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd,SubXD|DivXD|AddTreeWithDiv|AddXD|AddXD|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|DivXD|SubXD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,15,14,16,16,3
16,(x),20,-10,0.016377171959473306,0.02,0.019999999855480257,0.02,11353497.87078,0,691946979.954,0,1,1,0.365997725222779,0,16943879743135982000000,0,54334031930882620000,0,(((((((5)+((4)-(4)))*((9)*((9)+(2))))*(((x)*((5)-(7)))*((x)+((x)-(0)))))*((((6)*((9)*(7)))*((3)+((4)+(3))))+(((3)+((7)-(8)))-(((0)+(3))-((3)-(8))))))*(((((2)+((9)+(8)))+((0)+((9)+(3))))+(((9)+((8)+(3)))*(((5)*(6))*((3)+(0)))))*((((4)*((5)+(6)))+((0)+((3)+(7))))-(((5)*((8)*(5)))-(((1)-(9))+((0)+(6)))))))+((((((8)-((6)+(6)))*((4)*((2)+(0))))-(((4)*((5)*(3)))+((0)*((6)*(4)))))*((((9)+((x)*(x)))+((5)*((x)*(0))))*(((2)*((0)*(x)))*((0)*((7)-(6))))))-(((((9)*((8)*(5)))*((0)-((3)+(5))))*(((2)-((3)*(2)))*((x)*((5)*(6)))))*((((x)*((9)*(2)))*((9)-((2)+(4))))+(((1)-((2)-(3)))-(((4)-(5))-((9)-((3)-(4))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd,DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|FellTreeD|AddXD|AddTreeWithDiv|DivXD|DivXD|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,15,15,17,17,3
17,(x),20,-10,0.018713737549905816,0.013603043989063002,0.01999999997634282,0.02,67467677.68180001,39716423698087464,4227046350.336,0,1,1,0.4704304199430356,0,1671445890440638800000000,0,358421358913928200000,0,(((((((x)*((7)-(4)))*((3)+((1)+(5))))*(((3)*((6)*(3)))*((4)*((5)*(5)))))*((((9)*((7)+(1)))+((7)*((4)*(4))))*(((8)*((2)*(1)))+((5)+((0)*(x))))))-(((((1)-((x)-(9)))*((6)*((7)+(5))))-(((9)*((x)-(3)))+((0)-((6)-(x)))))*((((2)+((7)-(8)))*((x)*((1)-(0))))*(((6)+((6)-(x)))-(((4)+(2))*((9)*(3)))))))*((((((4)*((2)+(0)))*((9)*((7)-(5))))+(((7)*((3)-(7)))*((1)-((2)*(5)))))*((((3)*((0)+(1)))+((5)+((9)+(4))))+(((3)+((7)+(4)))+((1)+((1)-(x))))))*(((((6)-((6)-(1)))*((x)+((2)-(4))))*(((x)+((4)+(x)))*((1)-((2)*(5)))))*((((8)+((8)+(6)))-((0)-((x)*(1))))*(((3)*((x)+(6)))+((6)+((0)*((4)*(0))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd,SubXD|AddXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|DivXD|SubXD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,17,16,18,18,3
18,(x),20,-10,0.018041750842688286,-0.01,0.019999999948908616,-0.01,27508636.773659997,0.2,1957277193.393,0.2,1,1,0.4282483300894782,0,3561158390385490000000,0,31821520560749898000000,0,(((((((0)-((3)*(2)))+((5)-((2)-(9))))*(((2)-((0)*(9)))+((2)+((4)*(9)))))*((((5)+((4)-(4)))-((5)*((6)*(9))))+(((2)*((5)*(7)))*((6)*((9)*(5))))))*(((((5)-((2)*(2)))+((3)-((8)+(5))))+(((0)*((4)*(x)))*((5)+((4)*(2)))))*((((5)+((8)+(6)))*((9)*((2)+(7))))-(((x)+((1)+(5)))+((3)-((9)*(4)))))))-((((((4)+(1))+((5)+((6)+(x))))+(((8)+((4)+(3)))-((4)-((9)*(5)))))*((((8)*((1)-(x)))-((8)-((x)*(7))))+(((8)-((8)-(2)))-((7)*((5)*(9))))))-(((((7)*((x)*(x)))+((4)-((1)*(1))))*(((0)+((0)-(8)))+((6)*((x)-(7)))))-((((7)*((6)*(3)))*((1)-((2)+(5))))-(((6)+((7)+(6)))*((3)+((9)*((x)+(x))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|SkipD|SkipD|DivXD|AddTreeWithDiv|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,18,17,19,19,3
19,(x),20,-10,0.01745639930425793,0.010704087220142034,0.019999999993881724,0.02,202227946.19089997,0.21710036226907636,16344471856.715,0,1,1,0.42317721194024766,0,21104570004706763000,0,2110456886496949700000,0,(((((((9)-((1)-(3)))-((1)-((3)+(3))))*(((6)*((8)*(7)))-((x)*((1)-(x)))))+((((9)-((x)+(4)))*((4)*((9)-(8))))-(((x)+((6)+(7)))*((8)*((8)+(2))))))-(((((2)+((x)+(4)))-((8)*((4)+(8))))+(((6)*((1)-(2)))+((x)-((3)*(6)))))+((((5)-((5)*(5)))*((9)+((4)+(4))))-(((x)*((x)-(3)))-(((9)*(7))+((x)*(2)))))))+((((((0)*((8)+(2)))+((x)*((6)*(4))))+(((x)*((4)+(4)))*((4)+((3)+(3)))))+((((9)*((x)*(9)))*((1)-((3)*(8))))+(((4)+((8)-(2)))*((8)+((5)*(9))))))-(((((6)+((9)*(1)))*((8)*((6)*(9))))*(((8)*((3)*(5)))-((2)-((x)-(5)))))-((((3)*((1)-(3)))-((x)-((x)-(9))))-(((9)-((5)-(x)))-((9)-((4)-((8)+(0))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR,SubXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|MultXD|AddTreeWithDiv|SkipD|SkipD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,19,17,20,20,3
20,(x),20,-10,0.017418578993466882,0.02,0.019999999883356816,0.02,15832190.349689998,0,857315413.902,0,1,1,0.37279102229407657,0,399761127803545500000,0,39976090139097945000000,0,(((((((x)*((5)*(3)))-((3)*((x)*(8))))-(((7)*((3)*(7)))*((4)*((2)+(x)))))+((((9)+((2)+(9)))+((4)+((8)+(6))))*(((3)+((8)-(4)))-((8)-((4)-(8))))))-(((((5)-((6)-(8)))*((7)+((8)+(4))))+(((2)*((2)-(1)))-((7)-((9)-(3)))))*((((2)*((x)-(5)))-((5)-((4)-(x))))-(((1)-((1)+(x)))+((8)+((x)*(7)))))))+((((((6)*(4))*((3)*((3)*(x))))*(((x)*((9)-(0)))-((5)+((0)+(5)))))+((((x)-((4)-(9)))*((1)*((3)-(1))))+(((8)*((8)*(2)))+((4)*((3)*(6))))))*(((((x)*((5)*(4)))*((2)+((2)-(3))))+(((x)*((4)*(1)))*((1)+((1)-(8)))))*((((3)*((8)*(0)))-((3)+((9)*(4))))-(((7)+((4)+(1)))-((6)-((1)-((1)-(2))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,DivXD|AddTreeWithDiv|DivXD|AddXD|AddXD|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddXD|SkipD|AddTreeWithDiv|SubXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,18,19,21,21,3
21,(x),20,-10,0.016872656018050877,0.005934672950544467,0.019999999991993745,0.02,182701152.34120998,0.23261695806855096,12490237441.248001,0,1,1,0.39477281408287807,0,13980382782734008000,0,1396200443027539600000,0,(((((((4)*((8)*(0)))-((2)*((x)-(6))))-(((x)-((5)+(9)))+((6)-((2)+(7)))))*((((6)-((0)+(x)))*((1)+((7)+(3))))+(((4)+((9)+(0)))+((x)+((9)-(3))))))*(((((5)-((9)-(3)))-((x)-((0)-(8))))-(((9)+((5)*(9)))-((7)-((6)-(7)))))+((((0)+((8)-(2)))+((6)+((2)*(6))))+(((5)+((x)+(0)))-(((5)*(x))+((x)+(6)))))))-((((((5)-((5)-(x)))+((5)-((8)-(0))))*(((5)*((0)+(7)))*((x)-((8)*(9)))))-((((8)*((3)*(4)))*((8)*((8)*(3))))+(((3)+((1)*(4)))-((2)-((8)-(2))))))*(((((8)*((x)*(1)))*((0)+((4)+(9))))*(((7)-((1)-(5)))*((9)*((8)*(1)))))*((((x)-((5)+(9)))*((2)+((9)*(4))))-(((1)*((5)+(6)))+((7)-((4)*((3)+(2))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,DivXD|FellTreeD|DivXD|AddXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|DivXD|DivXD|SkipD|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,DivXD,20,20,22,22,3
22,(x),20,-10,0.01790404250651288,0.02,0.019999999995427845,0.02,337620366.44775003,0,21871523630.946,0,1,1,0.27462640489632506,0,1121628479537417400000,0,112162842317139900000000,0,(((((((1)-((4)-(8)))-((5)-((5)-(4))))+(((3)*((6)+(3)))+((4)+((3)+(0)))))+((((0)+((4)+(3)))*((5)*((9)*(3))))-(((6)*((2)+(3)))*(((1)+(6))*((3)-(1))))))*(((((6)*((7)*(8)))+((8)*((3)-(9))))-(((8)*((2)*(7)))-(((7)-(2))*((2)-(0)))))-((((8)-((x)*(9)))+((0)-((5)+(9))))*(((1)*((1)+(2)))+(((2)*(5))-((5)-(0)))))))-((((((8)*((1)*(8)))*((8)*((2)*(9))))*(((3)+((3)-(5)))+((7)-((7)*(3)))))*((((3)-((8)+(9)))*((4)*((6)*(3))))*(((7)*((5)*(6)))*((4)*((4)*(6))))))*(((((3)*((4)*(1)))*((8)*((6)*(6))))+(((0)+((9)*(4)))+((7)-((2)-(9)))))-((((4)-((4)-(6)))+((6)*((0)-(9))))+(((x)-((0)-(8)))-(((4)+(5))-((6)+((3)-(0))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd,SkipD|AddTreeWithDiv|DivXD|AddXD|AddXD|SkipD|AddTreeWithDiv|FellTreeD|DivXD|DivXD|SubXD|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,AddXD,22,20,23,23,3
23,(x),20,-10,0.01908086575041765,-0.018518518518518517,0.019999999919070085,0.02,19678556.25999,1.35,1235637061.272,0,1,1,0.32896712544220413,0,663705351059602200000000,0,66370535105691100000000000,0,(((((((x)*(1))-((5)-((5)-(x))))*(((6)*((9)*(8)))*((x)*((1)*(4)))))-((((3)*((x)-(8)))-((0)-((3)*(3))))*(((6)*((4)-(7)))-((2)+((x)*(8))))))+(((((9)-(9))+((4)+((0)+(x))))-(((1)+((2)*(1)))+((1)+((4)*(x)))))*((((8)*((3)*(7)))*((x)*((6)*(6))))+(((5)*((2)*(8)))+((2)+((9)+(4)))))))+((((((6)+(7))+((6)+((9)*(7))))-(((0)*((2)+(8)))*((8)-((x)+(5)))))+((((0)-(5))+((7)*((3)*(9))))+(((x)-((x)+(x)))-((7)*((0)*(4))))))*(((((3)-(4))*((4)*((2)*(6))))*(((5)-((4)+(0)))+((x)+((9)*(8)))))+((((x)-((9)+(0)))*((2)-((9)*(x))))-(((1)*((3)+(9)))-((5)*((8)*((7)*(4))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,DivXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|SkipD|MultXD|FellTreeD|DivXD|AddXD|SkipD|SubXD|SubXD|FellTreeD|AddXD,AddToLeafR,AddXD,23,22,24,24,3
24,(x),20,-10,0.018393484522430066,0.015228202531332143,0.019999999993363025,0.02,377788682.21492004,136683685.11591363,15067105932.376001,0,1,1,0.20335821014801087,0,2931447922203070300000,0,11597646133402868000,0,(((((((x)-((8)*(7)))+((0)-((2)+(3))))-(((x)-((5)-(5)))*((7)+((0)+(6)))))+((((4)*((2)*(x)))*((8)+((7)-(x))))+(((9)*((7)-(4)))-((0)-((6)*(9))))))*(((((4)+((5)+(8)))-((9)*((2)*(1))))*(((5)*((8)-(6)))*((6)*((8)*(1)))))*((((2)*((9)*(3)))*((8)*((9)*(6))))+(((x)-((x)+(1)))*(((0)-(6))-((x)*(9)))))))*((((((1)*((4)-(5)))-((2)*((1)-(8))))+(((x)*((9)*(2)))*((9)*((4)-(6)))))*((((7)+((4)*(x)))-((7)+((8)+(5))))*(((6)+((2)+(6)))+((x)-((7)-(6))))))-(((((2)-((0)-(4)))-((4)-((x)-(6))))-(((0)+((3)*(7)))+((5)*((8)-(1)))))+((((2)-((x)*(5)))-((6)*((4)-(8))))*(((x)*((x)+(6)))+((7)-((4)*((9)+(7))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,AddXD|MultXD|SubXD|DivXD|FellTreeD|SkipD|SubXD|DivXD|MultXD|AddXD|SkipD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,24,23,25,25,3
25,(x),20,-10,0.01697361828958096,-0.01,0.019999999991161425,0.02,188977218.45519996,0.2,11314041921.31,0,1,1,0.8321294311080947,0,719646455909002400000,0,124888242709420870000,0,(((((((6)+((9)*(5)))+((4)-((7)+(2))))+(((3)+((x)+(7)))+((6)+((9)+(2)))))-((((x)+((3)-(9)))+((0)-((9)-(1))))+(((9)*((6)+(x)))-((0)-((0)-(8))))))*(((((7)*((6)+(6)))*((3)*((5)-(3))))+(((1)*((5)*(x)))*((7)*((7)*(3)))))*((((5)*((3)*(5)))*((3)+((x)*(0))))+(((3)-((1)*(8)))*(((0)-(6))*((4)-(0)))))))-((((((7)*((6)+(9)))*((6)+((x)-(4))))*(((6)+((7)+(8)))*((7)*((8)*(x)))))+((((4)-((1)-(2)))-((0)-((7)-(0))))*(((x)*((0)+(x)))*((8)+((6)+(1))))))-(((((x)+((2)-(9)))*((9)+((8)-(7))))-(((6)-((5)*(7)))+((4)+((2)-(8)))))-((((1)-((9)-(3)))-((6)-((7)-(9))))-(((7)*((8)*(0)))*((2)-((2)-((6)+(5))))))))),((0)+(x)),AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,DivXD|MultXD|AddTreeWithDiv|AddXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|SkipD|AddXD|SkipD|AddXD|SkipD|FellTreeD|AddXD,AddToLeafR,AddXD,25,24,26,26,3
26,(x),20,-10,0.01777016237724839,-0.01,0.019999999992811938,-0.01,225766331.29669997,0.2,13911953739.084,0.2,1,1,0.28319243479056444,0,498528757700288450000,0,49852293905932970000000,0,(((((((x)*((9)*(6)))+((6)-((8)+(4))))*(((1)*((8)+(5)))*(((9)-(5))-((0)-(3)))))-((((3)-((5)*(8)))*((8)+((4)+(9))))*(((6)*((6)-(9)))+(((4)-(4))+((4)+(2))))))+(((((1)+((4)+(2)))+((8)+((9)+(0))))+(((2)*((5)-(4)))-(((8)*(4))*((1)+(7)))))*((((4)-((6)-(7)))*((8)-((4)*(8))))+(((7)-((1)*(5)))*(((1)*(x))*((8)*(8)))))))*((((((1)*((7)*(6)))+((1)-((6)-(5))))-(((2)-((5)-(4)))*((9)-((x)*(3)))))-((((6)+((9)-(1)))-((5)-((6)+(4))))*(((0)*((1)-(7)))*(((8)-(0))*((x)-(1))))))*(((((3)*((8)*(9)))*((3)+((6)*(3))))-(((7)*((1)+(x)))+((1)+((9)+(2)))))*((((7)*((3)+(9)))+((6)-((8)*(9))))+(((1)*((0)+(1)))-(((5)-(6))-((x)-((5)-(2))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|SkipD|SubXD|DivXD|SkipD|AddXD|SkipD|SkipD|SubXD|FellTreeD|AddXD,AddToLeafR,SkipD,26,25,27,27,3
27,(x),20,-10,0.01805476794393096,0,0.019999999998098487,0.02,743982430.9433501,0.1,52589703243.035995,0,1,1,0.26204495800899186,0,12685267363347139000000,0,1268526442223788200000000,0,(((((((x)-((x)-(x)))-((3)*((3)+(6))))-(((5)-((9)*(2)))*(((6)*(5))*((8)*(6)))))-((((0)-((8)*(4)))+((x)*((3)-(0))))-(((3)*((x)*(5)))*(((7)-(6))*((x)*(9))))))*(((((9)-((2)*(7)))*((2)*((1)*(7))))*(((8)*((4)*(x)))*(((3)-(8))+((5)+(8)))))-((((0)+((6)*(6)))*((1)-((x)+(7))))-(((1)-((x)+(6)))-(((7)-(6))+((1)*(6)))))))-((((((4)*((6)-(1)))-((5)*((5)+(5))))+(((7)-((5)*(2)))*((x)+((3)+(7)))))*((((8)+((3)*(9)))+((0)*((8)+(7))))-(((6)*((7)*(7)))*(((9)*(3))-((2)+(4))))))+(((((3)+((2)+(1)))+((9)+((4)+(5))))-(((1)*((1)-(x)))-((0)-((1)-(2)))))-((((8)-((6)-(8)))-((3)-((3)-(3))))-(((5)-((4)+(7)))+(((9)*(3))*((5)*((5)-(3))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithAdd,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|FellTreeD|DivXD|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,27,27,28,28,3
