gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.017341055220132004,0.01840778414081471,0.01999999999447684,0.02,190670629.68984002,207857.98183887263,18105579575.7,0,1,1,0.4514136200388954,0,13182336994987276000000,0,23090305641010508000,0,(((((((x)+(5))*((6)*((x)*(5))))-(((x)+((6)*(4)))-((1)+((5)-(9)))))-((((7)*(0))+((7)*((9)-(2))))+(((7)-((3)-(x)))-((3)-((2)-(9))))))-(((((0)-(7))-((4)+((4)+(7))))+(((0)+((2)+(8)))+((0)+((0)*(5)))))-((((2)*((1)-(9)))+((7)+((1)-(5))))-(((9)-((1)-(0)))-((2)-((5)*(1)))))))+((((((7)*(6))-((7)+((x)+(1))))+(((x)*(6))-((1)+((x)*(5)))))*((((9)*(8))*((3)-((4)*(1))))*(((6)*((5)*(6)))*((x)*((1)*(8))))))*(((((3)+(6))*((5)+((8)+(2))))*(((x)*((8)*(7)))*((3)-((1)-(5)))))-((((7)+(5))+((5)*((4)-(0))))*(((3)*((7)*(x)))-((8)*((8)+((2)+(6))))))))),(((0)+(x))*((x)/(x))),AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddToLeafR,SubXD|MultXD|MultXD|FellTreeD|AddXD|MultXD|DivXD|AddTreeWithDiv|AddXD|DivXD|SubXD|FellTreeD|AddXD|MultXD|DivXD,AddRandomSubTreeR,MultXD,11,10,12,12,8
12,(x),20,-10,0.016863125315811623,-0.01701492537313433,0.019999999994322278,-0.01701492537313433,364702884.79539,0.67,17612698303.315,0.67,1,1,0.5367238983984046,0,479721269562691940000,0,47971998199162720000000,0,(((((((8)*(2))*((8)*((9)*(3))))*(((3)*(2))*((x)-((3)-(6)))))+((((3)-(9))-((8)-((7)-(7))))*(((6)*((8)-(3)))+((2)+((9)+(4))))))+(((((4)+(5))+((x)+((x)+(8))))*(((6)*(1))*((5)+((7)-(9)))))+((((9)-(1))+((2)*((x)+(5))))+(((7)-((4)-(8)))-((0)*((6)*(8)))))))*((((((7)*(7))*((1)-((5)-(6))))+(((5)*(3))*((3)-((x)*(4)))))*((((6)*(6))*((2)*((5)*(8))))*(((5)*(3))*((6)*((9)*(x))))))*(((((x)*(6))*((4)+((x)+(0))))+(((6)+(1))+((x)+((5)+(4)))))-((((3)-(3))+((6)+((0)+(3))))+(((1)+(5))+((0)+((7)-((7)+(6))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,SubXD|AddTreeWithDiv|SkipD|SubXD|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|SubXD|FellTreeD|AddXD|MultXD|DivXD,AddTreeWithAdd,AddTreeWithDiv,12,11,13,13,8
13,(x),20,-10,0.015949876077707353,-0.01705882352941176,0.01999999998909856,0,154593769.34564,0.68,9173102988.56,0.1,1,1,0.5878137932749479,0,3490108246457626000000,0,349010698696037900000000,0,(((((((3)-((2)+(8)))+((5)+((2)+(3))))*(((3)-((1)-(7)))+((x)*((9)-(6)))))+((((8)+((6)+(1)))+((8)+((6)+(8))))+(((2)+((9)+(7)))*(((6)*(9))*((7)*(5))))))*(((((5)*((5)*(6)))*((6)*((8)*(8))))+(((3)*((9)+(8)))-((1)-((x)+(9)))))+((((1)+((0)*(2)))*((2)*((7)+(8))))-(((5)*((5)*(6)))-(((x)-(8))*((6)*(3)))))))*((((((8)-((2)+(6)))+((9)*((7)*(5))))*(((8)*((6)*(5)))*((4)*((3)*(6)))))-((((9)*((2)-(0)))-((6)-((7)+(2))))-(((3)*((x)-(4)))-((3)+((4)*(4))))))-(((((9)-((8)+(8)))-((2)-((7)+(6))))-(((5)-((5)+(0)))+((9)-((0)+(1)))))+((((6)-((4)-(0)))-((1)*((4)*(x))))-(((9)-((4)-(9)))-(((2)-(8))-((5)-((6)-(8))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,SubXD|MultXD|MultXD|FellTreeD|AddTreeWithDiv|SubXD|SubXD|FellTreeD|AddXD|SkipD|SubXD|FellTreeD|AddXD|MultXD|DivXD,AddToLeafR,SubXD,13,12,14,14,8
14,(x),20,-10,0.01704477831418427,-0.01705882352941176,0.019999999984261035,0.02,226543650.54848,0.68,6353657675.35,0,1,1,0.3527792113240443,0,48377907095508190000000,0,4837790706847586000000000,0,(((((((x)+(0))-((4)*((2)-(2))))-(((4)*((6)+(3)))*((x)+((1)-(3)))))*((((x)+((0)*(9)))*((3)*((9)-(0))))-(((1)-((3)-(x)))*((8)*((2)*(2))))))*(((((6)-(x))-((x)*((4)*(1))))*(((4)*((1)*(6)))*((7)*((7)*(5)))))*((((6)+((3)*(8)))+((4)+((x)+(8))))*(((9)-((0)*(x)))+((5)+((x)+(3)))))))+((((((4)+(x))+((3)+((2)+(3))))*(((x)+((x)*(9)))+((7)*((1)*(x)))))+((((6)+(3))-((0)+((2)*(9))))+(((8)-((2)+(9)))*((3)+((1)-(7))))))*(((((7)*(5))-((2)+((6)+(5))))-(((7)-((7)+(9)))+((8)+((0)-(4)))))-((((8)-((7)*(2)))*((3)+((5)*(6))))*(((6)*((7)*(7)))-((1)*((9)-((x)-(5))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchXR|AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR,SubXD|MultXD|MultXD|FellTreeD|AddTreeWithDiv|SubXD|SubXD|FellTreeD|AddXD|SkipD|SubXD|FellTreeD|AddXD|MultXD|DivXD,AddToLeafR,SubXD,12,12,15,15,8
15,(x),20,-10,0.01626063172375036,0.017704372889213806,0.019999999985918823,0.02,89979385.98661,0.8449873514550267,7101679520.266,0,1,1,0.458853541617512,0,170508502038435880000000000,0,17050849912862737000000000000,0,(((((((5)+(1))*((8)*((8)*(7))))*(((9)*(7))*((5)-((1)+(5)))))*((((x)+(5))*((x)+((2)*(8))))*(((1)*(3))*((6)+((1)*(6))))))*(((((x)+(7))+((8)+((8)+(8))))*(((x)*(1))-((8)-((2)-(7)))))-((((9)-(3))-((6)-((0)+(3))))*(((7)*((4)*(1)))*((4)*((5)*(2)))))))*((((((3)+(8))*((7)*(x)))*(((x)*(3))*((9)*((8)+(8)))))-((((3)+(4))+((x)-((2)*(1))))*(((7)-(7))+((8)*((x)-(9))))))-(((((8)+(1))-((2)-((4)*(7))))*(((5)+(5))+((8)*((8)*(3)))))-((((x)*(7))*((5)-((0)*(3))))*(((3)*(7))+((9)+((4)+((1)*(9))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddToLeafR,SubXD|DivXD|AddXD|MultXD|FellTreeD|AddXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|SkipD|SubXD|FellTreeD|FellTreeD|AddTreeWithDiv,AddRandomSubTreeR,DivXD,15,14,16,16,8
16,(x),20,-10,0.015779159279253597,-0.01705882352941176,0.019999999988243693,-0.017058823529411765,146274911.94196,0.68,8506073287.98,0.68,1,1,0.38698907058748977,0,86339341411425800000000,0,8633932397316831000000000,0,(((((((6)*(5))+((8)+((9)*(7))))-(((9)*(4))-((4)*((5)+(4)))))*((((x)-(6))-((0)-((7)-(7))))-(((4)+((1)*(6)))+((1)*((9)*(4))))))*(((((2)+(2))-((0)-((6)*(6))))+(((1)*((5)-(4)))*((8)+((3)+(6)))))-((((6)*(9))*((x)*((8)*(x))))*(((1)*((3)*(8)))*((2)*((7)*(4)))))))*((((((1)*(1))*((1)*((7)*(2))))*(((9)*(3))*((8)*((x)*(8)))))*((((4)*(7))*((0)-((9)+(x))))*(((x)-(x))*((4)-((x)*(3))))))+(((((6)*(6))*((9)*((2)*(8))))+(((2)*(6))+((9)+((2)+(8)))))+((((6)+(4))+((5)+((x)+(9))))*(((3)+((5)+(5)))*((x)+((8)+((3)-(2))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,SubXD|AddTreeWithDiv|DivXD|AddXD|AddTreeWithDiv|AddXD|AddXD|AddTreeWithDiv|FellTreeD|SkipD|SubXD|FellTreeD|AddXD|MultXD|DivXD,AddRandomSubTreeR,AddXD,16,16,17,17,8
17,(x),20,-10,0.01817062614829559,-0.01705882352941176,0.019999999981832887,-0.017058823529411765,144792351.60878,0.68,5504451582.521999,0.68,1,1,0.45177820536202007,0,73448279905674126000000,0,7344827988109735000000000,0,(((((((x)+(9))-((0)+((4)*(9))))-(((8)*((3)*(1)))*((x)*((4)*(6)))))*((((2)*(4))*((3)*((8)*(8))))*(((2)+((8)+(8)))+((5)+((6)+(0))))))+(((((1)+(3))+((9)*((3)*(6))))-(((8)-((2)+(6)))+((0)+((7)-(5)))))+((((2)-(6))-((6)-((8)-(3))))-(((4)-((x)+(8)))+((8)+((6)*(7)))))))*((((((9)*(4))*((9)*((5)-(5))))-(((7)+(9))*((x)*((8)-(3)))))*((((2)-(9))*((0)+((4)*(3))))-(((5)+((9)-(5)))*((9)*((6)*(7))))))*(((((5)*(5))+((0)*((5)-(6))))-(((x)-((7)-(5)))*((8)*((5)+(1)))))+((((7)+(1))+((0)+((x)*(x))))+(((3)*((6)+(5)))-((8)+((5)-((x)*(9))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|FellTreeD|AddXD|DivXD|SubXD|SubXD|FellTreeD|AddXD|SkipD,ReplaceBranchXR,AddXD,17,16,18,18,8
18,(x),20,-10,0.016319800252005395,-0.01,0.019999999994807168,-0.01,234097897.27522996,0.2,19257317061.044,0.2,1,1,0.46639960875018216,0,21826345160361944000000,0,2182634053000690000000000,0,(((((((0)-(4))-((7)*((1)-(0))))*(((7)*(4))-((5)-((6)+(4)))))*((((3)+(x))+((1)+((x)+(8))))+(((6)+(1))+((x)*((9)+(6))))))-(((((0)-(5))+((0)-((6)+(x))))*(((1)*(1))*((7)*((4)*(9)))))*((((7)*(8))-((8)*((9)+(8))))*(((x)-((1)-(4)))*((9)+((1)-(2)))))))-((((((5)*(2))-((5)*((x)+(3))))*(((7)+(6))*((1)+((2)-(1)))))+((((x)-(0))*((x)*((8)+(9))))-(((3)*(8))*((7)*((9)-(0))))))*(((((6)+(4))*((0)+((9)+(7))))+(((7)+(0))+((7)+((8)+(0)))))+((((2)*(0))-((8)*((4)*(4))))*(((1)*(7))*((6)-((1)*((9)*(x))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|SkipD|SubXD|AddXD|AddXD|MultXD|AddXD|FellTreeD|DivXD|SkipD|FellTreeD|AddXD|MultXD|DivXD,AddToLeafR,AddXD,18,17,19,19,8
19,(x),20,-10,0.016278717261934278,0.018000170889228083,0.01999999906751768,0.02,1601901.78549,210882.06695154254,107240639.01,0,1,1,0.23901705796723635,0,62546722108709630000000,0,6254671826541576000000000,0,(((((((9)+(7))+((4)-((9)*(5))))+(((8)+((8)-(9)))*((x)-((9)*(8)))))*((((8)+((3)+(2)))+((0)+((2)+(7))))*(((1)+((x)*(x)))*((0)-((5)+(0))))))-(((((3)*(5))*((9)*((4)-(0))))+(((2)*((9)-(2)))+((8)-((4)*(6)))))*((((3)*((7)*(8)))*((5)*((4)*(x))))-(((x)*((3)*(8)))*((2)*((6)+(x)))))))+((((((7)*(8))*((2)-((7)+(x))))-(((x)-((3)-(4)))-((5)-((4)-(5)))))-((((3)-(8))*((4)+((6)+(8))))+(((0)+((4)*(3)))*((1)*((x)+(9))))))+(((((5)-(4))+((7)*((3)*(6))))*(((2)*((4)*(4)))*((3)+((5)+(4)))))+((((7)+(8))+((4)*((0)*(3))))+(((2)*((7)*(7)))*((9)-((5)*((9)+(5))))))))),((0)+(x)),AddToLeafR|AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddToLeafR,AddXD|MultXD|AddXD|SubXD|AddTreeWithDiv|MultXD|SubXD|AddXD|FellTreeD|DivXD|SubXD|FellTreeD|SkipD|AddXD|SkipD,AddRandomSubTreeR,AddXD,19,18,20,20,8
20,(x),20,-10,0.016709690454102057,-0.01705882352941176,0.019999999974684254,0.02,49432003.52667,0.68,3950110986.064,0,1,1,0.24394146758548055,0,77922653341556660000000,0,7792265315670033000000000,0,(((((((1)+(1))+((0)*((2)-(4))))-(((5)+((1)-(2)))+((8)+((2)*(x)))))*((((7)*((x)*(8)))+((3)+((2)*(3))))*(((4)-((0)-(0)))-((4)-((1)-(x))))))-(((((x)-((4)*(3)))+((0)*((5)-(3))))*(((3)+((2)+(6)))-((0)*((4)-(2)))))-((((7)+((x)*(0)))+((2)+((x)+(6))))+(((1)+((x)+(x)))+((7)*((x)*(5)))))))*((((((3)-(2))+((0)-((4)*(x))))-(((3)-((0)+(8)))+((2)*((2)*(3)))))-((((9)+((5)*(3)))-((9)-((2)*(8))))+(((8)-((x)*(1)))*((0)+((7)*(3))))))*(((((5)*(5))*((4)*((9)*(x))))*(((8)*((7)*(5)))*((5)*((x)-(0)))))*((((7)*((9)*(9)))+((2)*((2)+(3))))+(((5)+((6)+(1)))+((7)+((0)-((3)-(4))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|SkipD|SubXD|AddXD|FellTreeD|DivXD|FellTreeD|AddTreeWithDiv|AddXD|SkipD|FellTreeD|AddXD|MultXD|DivXD,AddRandomSubTreeR,FellTreeD,20,18,21,21,8
21,(x),20,-10,0.019142669896238973,0.014818131092757796,0.019999999998959232,0.02,1364813138.3484898,2.156348105593727,96082845384.9,0,1,1,0.30658723612198574,0,209222685521079200000000,0,20922268532961660000000000,0,(((((((x)-((7)*(7)))-((0)*((5)+(x))))+(((8)+((5)+(4)))+(((6)+(7))+((9)*(5)))))*((((8)*((3)*(3)))*((5)*((8)*(9))))*(((2)+((9)+(4)))*(((0)+(6))-((6)-(9))))))+(((((5)+((8)*(5)))-((5)*((7)*(4))))*(((9)*((3)-(8)))*(((x)+(6))*((9)-(5)))))+((((4)+((1)-(1)))*((1)-((1)-(9))))-(((4)-((9)-(9)))*(((x)*(3))*((x)*(0)))))))*((((((2)*((9)*(1)))-((6)*((4)-(0))))-(((7)-((1)+(7)))-((1)+((0)+(3)))))+((((1)-((x)+(7)))*((9)-((3)*(5))))*(((1)*((x)-(7)))+(((8)-(2))+((3)-(3))))))+(((((8)-((1)*(1)))+((4)*((5)*(8))))+(((1)*((4)+(x)))+((x)*((5)-(0)))))*((((4)-((x)*(3)))-((9)+((7)-(9))))+(((8)+((7)-(7)))-(((6)*(6))+((5)*((4)*(4))))))))),(((0)+(x))*((x)/(x))),ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|SkipD|SubXD|AddXD|AddXD|MultXD|AddXD|AddTreeWithDiv|DivXD|SkipD|FellTreeD|AddXD|MultXD|DivXD,AddToLeafR,AddXD,21,21,22,22,8
22,(x),20,-10,0.01719519905214966,0.011339465322620767,0.019999999880615352,0.02,9062122.2912,0.10079003950572943,837628646.57,0,1,1,0.41237932467573873,0,306757560636853600000000,0,30675755865102140000000000,0,(((((((x)-(3))+((5)+((7)*(x))))*(((3)*((9)+(9)))*((4)*((2)-(1)))))-((((8)-(6))*((8)-((5)-(3))))+(((x)*((5)-(7)))*((3)+((8)*(2))))))+(((((x)-(5))*((9)*((8)*(2))))*(((2)*((4)*(3)))*((x)*((9)*(5)))))*((((6)-(5))*((9)-((4)+(x))))+(((0)+((x)-(0)))+((4)*((x)+(9)))))))+((((((3)-(7))*((2)+((6)+(7))))*(((5)+(8))+((0)+((7)+(5)))))+((((2)+(2))+((x)+((4)+(9))))*(((x)*((9)*(7)))*((4)*((7)*(5))))))*(((((2)*(5))*((x)-((9)-(1))))+(((0)-((3)+(6)))*((0)*((4)-(5)))))-((((5)-(8))-((7)*((9)*(4))))*(((5)*((x)-(0)))+((3)-((6)*((2)*(7))))))))),((0)+(x)),ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddToLeafR,AddXD|MultXD|SkipD|SubXD|AddXD|SubXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|SkipD|SkipD|SubXD|FellTreeD|AddXD|SkipD,AddToLeafR,SkipD,22,21,23,23,8
23,(x),20,-10,0.018566688245466947,0.01130426425886015,0.01999999997995565,0.02,81530944.8839,0.1263429973899804,4988936945.28,0,1,1,0.31889075846705656,0,91685331990850730000000000,0,9168533198884014000000000000,0,(((((((x)*((2)-(4)))-((3)+((8)+(6))))+(((9)*((5)*(6)))+((8)-((3)-(6)))))-((((8)-((1)-(7)))-((9)*((4)*(2))))-(((3)-((9)*(9)))*((8)+((7)+(3))))))+(((((8)*((5)*(9)))*((9)*((4)*(6))))*(((7)*((9)*(7)))+((0)+((9)*(1)))))*((((7)+((5)+(2)))*((3)+((1)+(8))))+(((5)+((3)+(x)))+(((6)+(7))*((6)*(7)))))))*((((((9)-((7)-(2)))*((8)*((3)*(3))))*(((9)*((8)-(4)))+((0)*((x)-(x)))))+((((6)+((3)*(x)))*((1)*((9)*(9))))+(((5)-((8)+(2)))*((0)-((7)*(x))))))+(((((8)*((8)*(x)))*((2)+((x)-(4))))*(((8)*((0)+(8)))-((3)*((2)*(1)))))*((((6)-((2)+(7)))+((5)*((7)*(0))))*(((1)*((8)*(x)))*((x)*((2)*((1)+(3))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,SubXD|MultXD|AddXD|SubXD|AddTreeWithDiv|MultXD|AddXD|FellTreeD|AddTreeWithDiv|SkipD|SkipD|FellTreeD|FellTreeD|AddXD|SkipD,AddToLeafR,AddXD,23,22,24,24,8
24,(x),20,-10,0.015218949110504542,0.01040029281676077,0.019999999917577768,0.02,23219600.290629998,140314573236.50888,1213264868.706,0,1,1,0.27809409624390763,0,2663943296752456600000,0,7131658853341013000,0,(((((((0)+((8)*(0)))*((x)+((8)-(0))))+(((6)*((3)*(7)))-(((x)*(0))*((1)*(5)))))-((((x)*((4)*(9)))*((2)+((8)+(9))))+(((6)-((0)-(6)))+(((5)*(3))-((x)*(4))))))*(((((8)*((5)*(2)))*((6)*((1)*(8))))-(((6)*((9)*(2)))*(((6)*(3))*((6)*(x)))))*((((3)*((1)-(0)))*(((5)-(3))*((7)*(x))))-(((4)*((x)-(9)))*(((x)-(2))*((x)+(1)))))))+((((((4)-((2)-(3)))-((1)-((1)-(5))))-(((2)+((x)+(4)))+((0)+((8)+(3)))))+((((6)-((0)+(x)))+((1)+((7)+(3))))+(((5)+((8)+(9)))+(((8)-(8))-((x)+(x))))))+(((((7)+((6)+(0)))+((2)+((9)+(x))))-(((1)*((x)-(x)))-(((x)*(1))*((3)*(8)))))*((((x)*((2)+(8)))+((2)-((0)-(4))))-(((9)-((1)-(5)))+(((2)*(x))-((6)*((2)*(6))))))))),((0)+(x)),AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,AddTreeWithDiv|MultXD|SkipD|SubXD|AddXD|FellTreeD|SubXD|DivXD|FellTreeD|DivXD|AddXD|FellTreeD|FellTreeD|AddXD|SkipD,AddToLeafR,FellTreeD,23,24,25,25,8
25,(x),20,-10,0.017336565024963013,-0.01701492537313433,0.019999999985821505,-0.01701492537313433,125789943.02606001,0.67,7052935617.28,0.67,1,1,0.40743116623799147,0,23200920003430176000000000,0,2320092000310944200000000000,0,(((((((7)+((3)+(0)))+((9)+((4)+(7))))+(((7)+((2)-(x)))*((x)*((9)-(7)))))*((((4)+((5)-(9)))+((2)+((8)-(4))))*(((2)+((4)*(3)))-(((8)*(3))*((9)-(2))))))+(((((1)+((6)-(2)))*((0)+((3)*(x))))*(((9)*((1)*(8)))+(((1)*(6))*((6)*(2)))))*((((5)*((x)*(4)))*((9)*((6)-(4))))+(((2)-((8)*(2)))-(((7)+(0))+((1)*(7)))))))*((((((9)-((x)+(6)))-((2)+((8)+(9))))*(((7)-((9)*(5)))-((8)*((4)+(6)))))*((((x)*((x)*(8)))*((3)*((4)*(1))))*(((7)+((5)+(6)))+(((2)+(5))+((9)+(x))))))+(((((3)*((2)+(1)))*((2)*((7)*(3))))+(((2)*((3)*(7)))+((8)*((8)+(2)))))*((((7)-((0)*(3)))+((6)+((x)*(2))))+(((5)*((7)-(9)))*(((1)-(0))+((0)+((2)*(3))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,SubXD|MultXD|AddXD|SubXD|AddTreeWithDiv|MultXD|AddXD|FellTreeD|AddTreeWithDiv|SkipD|SkipD|FellTreeD|FellTreeD|AddXD|SkipD,AddToLeafR,FellTreeD,25,22,26,26,8
26,(x),20,-10,0.017983860146467197,-0.01705882352941176,0.019999999979876674,-0.017058823529411765,85705628.5846,0.68,4969357763.16,0.68,1,1,0.4286666962329775,0,7126175082557332000000,0,10661243486572974000,0,(((((((6)+((2)-(1)))*((8)*((9)*(9))))*(((9)*((x)-(6)))*((2)+((x)*(8)))))*((((8)+((7)*(x)))-((3)+((4)+(9))))-(((6)*((0)-(3)))*((8)*((9)*(2))))))*(((((6)+((7)+(2)))+((x)*((x)*(9))))*(((9)*((7)*(8)))*((6)*((3)+(x)))))-((((5)-((0)-(4)))*((3)*((4)-(6))))+(((5)-((6)+(x)))+((1)+((9)*(4)))))))*((((((9)*(8))*((0)*((5)*(2))))*(((9)*((6)-(6)))-((9)-((x)-(0)))))*((((4)-((3)*(x)))*((8)*((8)*(6))))+(((8)*((x)+(7)))+((7)*((0)-(5))))))+(((((1)+(3))-((0)-((5)-(3))))-(((9)-((8)-(5)))-((0)-((0)+(0)))))*((((6)*((4)*(6)))+((4)*((9)-(x))))*(((6)-((5)*(9)))-((8)+((x)*((0)+(9))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,SubXD|MultXD|AddXD|SubXD|SubXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|SkipD|SubXD|FellTreeD|FellTreeD|AddXD|SkipD,AddToLeafR,SubXD,26,25,27,27,8
