gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.01715237718069728,-0.010049751243781095,0.019999999989417275,0.02,287980073.98858,0.20099999999999998,9449361504.604,0,1,1,0.4200993299167163,0,185061143290877540000,0,18506028203597290000000,0,(((((((6)+((1)+(5)))+((7)+((0)+(9))))*(((0)*((1)+(0)))+((9)*((4)*(6)))))*((((x)*((5)*(8)))*((5)*((7)*(5))))*(((5)*((7)*(8)))*((3)*((1)*(0))))))+(((((x)+((2)+(1)))+((6)+((0)+(8))))+(((8)*((2)*(4)))*((6)+((0)+(3)))))+((((2)*((1)+(9)))-((7)*((7)+(9))))-(((6)-((2)-(x)))-(((0)+(4))-((x)-(9)))))))-((((((1)*((2)*(x)))-((1)-((x)+(9))))+(((x)*((9)*(4)))-((0)*((2)-(x)))))-((((5)*((2)*(3)))+((5)+((x)+(5))))+(((5)+((3)+(1)))+((3)*((3)*(3))))))*(((((5)*((8)+(4)))-((9)-((0)*(7))))+(((4)+((6)*(6)))-((4)*((0)-(8)))))-((((0)-((7)-(8)))+((3)*((9)*(3))))*(((x)+((7)-(0)))*((1)-((6)-((1)*(2))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult,FellTreeD|AddXD|SkipD|FellTreeD|MultXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|SkipD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,AddXD,11,10,12,12,4
12,(x),20,-10,0.01821778642997441,0,0.019999999989464955,0.02,410317376.92934006,0.1,9492128828.764,0,1,1,0.3901319483235398,0,416943080641138400000000,0,2042544313178964600000,0,(((((((x)*(2))-((x)*(4)))+(((7)-(x))*((5)*((x)*(1)))))+((((6)*(9))*((3)-((7)-(1))))-(((7)-(3))-((3)-((6)-(1))))))*(((((4)+(4))-((8)*((8)*(x))))*(((6)*(8))*((2)*((3)*(9)))))+((((4)-(9))-((7)*((1)*(5))))*(((9)*(4))-((6)+((4)*(9)))))))-((((((9)*(8))+((6)+(5)))*(((0)+(7))+((x)*((1)+(4)))))+((((6)*(6))+((1)*(7)))-(((0)-(4))*((5)*((7)*(5))))))*(((((7)*(x))*((6)*(x)))+(((0)+(4))+((4)-((x)-(5)))))-((((0)+(1))+((4)+((0)+(9))))+(((0)+(6))+((9)-((1)*((6)+(0))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|MultXD|DivXD|FellTreeD|MultXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,12,12,13,13,4
13,(x),20,-10,0.014961693736246203,0,0.019999999789710097,0.02,5171383.238120002,0.1,475534006.074,0,1,1,0.3648778807699628,0,22840422314363503000,0,2283872606729672300000,0,(((((((x)*((0)+(2)))+((2)*((6)+(1))))*(((7)+((8)+(8)))-((0)*((9)*(3)))))+((((7)+((1)+(x)))+((1)*((6)+(6))))*(((5)*((5)*(2)))+((6)+((9)+(0))))))+(((((9)+((7)+(9)))*((x)*((4)-(6))))-(((5)*((9)+(6)))*((2)+((2)*(9)))))*((((5)*((3)-(x)))-((5)-((1)-(2))))-(((2)-((0)-(5)))-((1)-((7)+(7)))))))*((((((3)-(7))*((7)*((4)*(3))))*(((5)+((1)*(9)))-((x)*((5)+(6)))))*((((x)+((0)-(1)))-((7)-((8)*(9))))*(((3)-((4)-(0)))*((5)+((6)*(5))))))*(((((8)-(9))-((4)*((1)*(5))))*(((x)*((3)*(3)))*((2)*((3)*(9)))))-((((3)+((7)+(2)))+((9)+((x)-(3))))-(((x)-((9)-(1)))-((4)-((6)-((5)-(3))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddTreeWithSub|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,AddXD|AddXD|DivXD|SkipD|DivXD|MultXD|DivXD|AddTreeWithDiv|SkipD|FellTreeD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,AddXD,13,12,14,14,4
14,(x),20,-10,0.01879095791606494,-0.018518518518518517,0.0199999999381568,-0.018518518518518517,32975596.607649997,1.35,1616992620.8860002,1.35,1,1,0.4249028044060327,0,849537918702704900000,0,170640785348280580000,0,(((((((x)+(6))+((5)-((x)-(5))))+(((8)+((2)*(4)))*((8)+((2)+(x)))))+((((7)-(8))-((2)-((4)-(1))))-(((3)-((2)+(8)))+((6)+((4)+(9))))))+(((((0)-(1))*((2)-((1)*(1))))-(((5)-((7)*(6)))*((0)-((5)-(8)))))-((((9)+((3)*(8)))*((4)*((8)*(8))))*(((8)*((6)*(x)))*((7)*((1)+(5)))))))+((((((4)-(0))*((9)*((x)+(3))))+(((9)*(x))*((3)*((8)+(5)))))+((((1)*(8))+((7)+((4)+(5))))+(((1)-((8)-(3)))*((1)-((4)*(9))))))+(((((5)-(8))*((6)-((4)*(3))))*(((3)+((7)*(x)))-((9)-((7)*(7)))))*((((6)*(2))-((2)-((8)+(x))))*(((4)-((1)*(2)))*((8)-((3)-((5)-(3))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,AddXD|MultXD|DivXD|MultXD|SubXD|MultXD|AddTreeWithDiv|DivXD|SkipD|DivXD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,14,12,15,15,4
15,(x),20,-10,0.01733134544881014,0.02,0.01999999999704812,0.02,423177725.79447997,0,33876708993.795,0,1,1,0.3344231377369196,0,3862214236945602700000000,0,386221364559113700000000000,0,(((((((x)*((x)*(2)))-((8)+((5)*(9))))+(((9)*((4)*(1)))*((5)-((6)-(2)))))*((((0)*((4)+(3)))+((8)-((7)*(1))))*(((5)+((3)-(5)))*(((3)+(9))*((6)-(9))))))-(((((4)*((x)+(1)))-((3)*((1)*(3))))*(((1)-((5)-(9)))*((6)*((7)+(x)))))+((((2)+((2)+(2)))+((4)+((1)+(0))))+(((6)*((x)*(2)))*(((7)-(0))+((5)+(7)))))))-((((((8)*((2)*(4)))*((9)*((9)*(x))))*(((x)*((8)*(8)))+((1)*((4)*(9)))))*((((1)*((7)*(3)))*((8)*((3)*(8))))+(((8)+((2)*(4)))+((3)+((6)*(4))))))+(((((5)*((2)*(x)))*((2)-((x)+(3))))-(((2)+((2)*(1)))+((1)*((8)-(9)))))*((((6)-((2)+(9)))+((6)+((9)-(4))))+(((6)*((8)*(5)))+((9)+((8)+((9)-(4))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|MultXD|DivXD|DivXD|AddXD|DivXD|DivXD|MultXD|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,14,14,16,16,4
16,(x),20,-10,0.015804469416765117,-0.010049751243781095,0.01999999997612251,-0.010049751243781095,71732915.21639,0.20099999999999998,4188045023.99,0.201,1,1,0.393082053391005,0,264168435689945000000,0,26416604687593997000000,0,(((((((5)-(9))*((9)+((2)-(9))))*(((1)-(2))*((5)*((0)+(4)))))+((((8)+(3))+((2)-((9)-(7))))*(((0)*((9)-(9)))+((8)-((7)+(x))))))+(((((3)+(2))+((x)+((3)+(0))))+(((8)*(5))-((4)*((5)*(2)))))*((((6)*(x))*((6)*((7)*(5))))*(((5)*((6)*(x)))*((6)-((x)+(9)))))))-((((((1)*(5))*((5)+((8)+(x))))+(((5)+(4))-((5)-((5)-(2)))))*((((3)-(2))-((0)+((x)+(x))))*(((4)-(1))-((2)*((9)-(0))))))+(((((1)+(5))*((7)*((0)+(5))))*(((9)*(x))*((6)*((9)*(0)))))+((((x)*(2))-((5)-((9)*(4))))*(((5)*((8)+(3)))*((0)+((x)+((0)+(7))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,AddXD|MultXD|DivXD|AddXD|AddXD|MultXD|DivXD|AddTreeWithDiv|SkipD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,15,15,17,17,4
17,(x),20,-10,0.01729087190968062,-0.01705882352941176,0.019999999990022114,-0.017058823529411765,122434047.81837001,0.68,10022161343.257,0.68,1,1,0.2899070486699737,0,10900582467129873000000,0,1073870132192320300000000,0,(((((((x)*(1))-((3)+(7)))+(((8)-(x))*((7)*(6))))*((((3)*(3))*((6)*(5)))*(((x)+(8))*((0)+((8)*(9))))))-(((((8)*(6))*((4)*(x)))+(((x)*(1))*((1)+(4))))*((((1)+(0))+((3)+(1)))+(((4)+(1))+((9)+((x)*(4)))))))+((((((8)-(3))*((x)*(4)))-(((1)+(8))*((8)*(1))))-((((1)*(1))+((9)*(8)))+(((3)+(0))+((1)+(4)))))+(((((6)+(6))*((9)*(6)))*(((0)+(x))*((8)*(9))))*((((9)-(3))+((4)*(9)))*(((3)*(6))+((7)-((8)-(3)))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithMult,SubXD|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,16,16,18,18,4
18,(x),20,-10,0.016359727266502304,0,0.019999999998777454,0,1087968042.1629298,0.1,81796587129.515,0.1,1,1,0.34365749832888015,0,26741515849807550000000,0,2674151581004128000000000,0,(((((((9)*((8)*(0)))+((8)*((4)+(3))))+(((4)+((9)+(x)))*((x)+((9)-(6)))))*((((2)-((6)-(8)))+((2)-((5)*(6))))-(((9)*((1)-(9)))-((7)-((5)*(x))))))+(((((x)+((1)+(4)))*((x)-((4)-(3))))-(((6)-((5)*(6)))+((x)+((0)-(1)))))-((((7)-((5)-(9)))-((0)-((3)-(0))))*(((4)+((8)+(3)))+(((4)*(4))-((7)*(3)))))))+((((((6)*((9)+(9)))*((0)+((6)-(9))))-(((8)*((5)-(0)))+((8)+((6)+(0)))))+((((8)+((7)+(0)))*((6)-((5)*(8))))*(((6)*((8)*(3)))*((9)*((2)*(5))))))*(((((3)*((5)*(9)))*((x)*((1)*(3))))*(((4)*((5)*(9)))*((x)-((6)-(6)))))-((((6)*((9)-(7)))+((2)-((8)-(2))))+(((9)+((4)+(8)))-((2)-((2)*((x)+(3))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,SubXD|SubXD|DivXD|AddXD|AddXD|MultXD|DivXD|AddTreeWithDiv|SkipD|SkipD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,18,17,19,19,4
19,(x),20,-10,0.016381906898223865,0.013209050885818608,0.019999999998340824,0.02,902013909.2216499,0.23802957221728924,60270817370.382,0,1,1,0.29030104258202466,0,92900265912767350000,0,9289840645145767000000,0,(((((((3)+((0)-(6)))-((9)*((9)-(7))))*(((6)*((6)*(5)))*((4)+((2)-(1)))))-((((1)*((0)-(4)))*((2)*((8)*(4))))*(((9)+((5)-(4)))*((5)-((0)+(3))))))-(((((5)+((8)*(4)))-((7)*((2)*(3))))*(((1)*((7)*(4)))*((7)*((x)-(0)))))+((((3)*((1)*(4)))-((1)*((4)*(7))))-(((1)*((0)*(7)))*(((3)-(9))+((1)+(9)))))))+((((((1)*(0))-((7)+((1)*(9))))*(((x)+((2)*(x)))-((0)+((6)+(9)))))+((((9)+((5)*(x)))+((8)-((4)-(5))))+(((9)+((4)+(9)))+((1)+((0)+(6))))))+(((((0)-((x)-(0)))-((8)-((0)-(7))))+(((9)-((7)+(6)))+((x)*((x)-(6)))))-((((8)-((7)-(x)))+((0)+((x)+(1))))-(((x)-((5)*(8)))*((5)+((2)+((2)+(4))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD|SubXD|SkipD|MultXD|SubXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|FellTreeD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,FellTreeD,18,18,20,20,4
20,(x),20,-10,0.018136902343997424,0,0.019999999995701866,0.02,459029571.65681994,0.1,23265905030.029,0,1,1,0.49589319499077383,0,26319784635216473000000,0,37914632912177450000,0,(((((((x)+((2)-(5)))*((7)+((x)*(5))))*(((9)*((3)*(9)))*((x)*((6)*(x)))))*((((2)+((9)-(6)))*((5)*((2)+(x))))+(((5)*((8)*(9)))-(((8)*(6))+((8)-(4))))))-(((((7)-((4)-(x)))-((6)-((9)*(6))))+(((x)*((5)*(6)))-(((4)-(9))-((9)*(4)))))+((((x)+((8)-(8)))*((2)+((8)-(x))))+(((2)*((6)-(3)))*(((8)*(7))-((2)*(6)))))))-((((((5)+((1)+(1)))+((6)+((5)+(8))))+(((x)+((5)+(2)))+((x)+((3)-(x)))))+((((9)*((x)*(4)))-((3)*((4)+(6))))-(((2)*((9)-(9)))-(((5)*(9))*((x)*(2))))))*(((((3)*((5)-(5)))-((3)*((1)+(4))))*(((5)*((1)-(8)))*((9)*((2)+(6)))))+((((3)+((x)+(7)))*((5)-((4)-(8))))+(((1)-((0)*(4)))-(((2)+(7))*((8)*((2)-(x))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|FellTreeD|DivXD|AddXD|FellTreeD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|SkipD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,20,18,21,21,4
21,(x),20,-10,0.018054994522862976,0,0.01999999998157216,0,131350024.41095999,0.1,5426572704.46,0.1,1,1,0.3618274304692011,0,7066812710494816000000,0,23217887860139123000,0,(((((((x)+((1)+(9)))*((8)+((8)*(x))))*(((3)+((0)-(8)))*(((4)*(4))+((7)*(9)))))*((((2)-((6)*(5)))-((7)+((4)+(0))))+(((9)*((x)*(7)))+(((7)*(6))+((4)-(x))))))+(((((3)-((x)*(7)))-((3)+((7)+(6))))+(((7)+((3)+(6)))*(((4)-(9))-((5)*(1)))))-((((x)*((2)-(5)))-(((9)*(4))*((1)*(8))))*(((6)*((x)*(4)))*(((3)-(6))+((x)+(3)))))))*((((((2)*((7)+(7)))+((x)+((9)+(2))))*(((8)-((4)*(2)))-((1)-((7)-(8)))))-((((7)+((9)+(x)))*((1)-((5)-(9))))*(((6)*((2)+(9)))+(((3)-(5))-((x)-(5))))))-(((((5)-((4)*(5)))+((1)*((1)-(x))))*(((6)*((2)-(x)))-(((9)-(x))-((4)+(4)))))-((((2)+((1)+(3)))*((6)-((0)+(4))))-(((3)*((4)+(6)))+(((0)*(7))-((6)+((1)+(5))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,SubXD|MultXD|DivXD|FellTreeD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|DivXD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,21,21,22,22,4
22,(x),20,-10,0.016686196430302228,-0.0011999985586987273,0.01999999999785739,0.02,702137076.82706,1136411637138462,46672068517.70599,0,1,1,0.38880016993326794,0,366776392130960600000000000,0,36677639213070590000000000000,0,(((((((9)+((4)*(5)))*((3)+((3)*(5))))*(((5)*((8)+(5)))+(((0)+(1))+((0)+(8)))))+((((7)+((7)*(6)))-((x)-((1)*(8))))+(((9)-((1)+(x)))+(((2)+(7))*((x)*(6))))))+(((((5)+((6)+(x)))*((9)+((8)*(7))))-(((8)+((x)*(8)))*(((x)*(6))*((2)*(9)))))*((((6)*((9)-(5)))-(((7)*(2))-((1)*(6))))*(((x)+((1)+(2)))-(((x)-(9))-((3)-(1)))))))*((((((1)+((5)+(0)))+((3)-((6)*(5))))+(((1)*((x)-(1)))+((2)-((4)-(7)))))+((((7)*((7)*(x)))*((7)*((4)-(5))))*(((8)*((9)-(3)))*(((9)-(8))-((8)*(5))))))-(((((0)*((5)*(4)))-((x)+((8)*(1))))*(((8)*((1)*(6)))*(((7)*(1))*((5)*(9)))))*((((4)*((6)+(1)))+((9)-((x)-(4))))+(((3)+((4)+(1)))+(((8)+(2))+((6)+((x)-(5))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddXD|MultXD|DivXD|SkipD|FellTreeD|MultXD|DivXD|AddTreeWithDiv|SubXD|DivXD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,22,21,23,23,4
23,(x),20,-10,0.018299178341426442,-0.01701492537313433,0.01999999999316579,-0.01701492537313433,226966797.3575,0.67,14632273518.65,0.67,1,1,0.9475012939303882,0,13507918721328523000000,0,5512511112938713000,0,(((((((0)-(5))+((8)*((7)*(0))))-(((1)+((1)*(0)))*((8)*((x)-(8)))))-((((7)+(4))*((6)+((3)+(1))))-(((0)*((x)+(1)))+((x)*((2)-(7))))))-(((((7)-(6))-((9)+((3)-(6))))+(((1)*((x)*(5)))*((4)*((8)*(1)))))*((((6)+(8))+((8)*((5)-(x))))+(((x)+((x)-(9)))*((3)*((6)+(4)))))))*((((((7)*(6))*((4)+((1)*(x))))+(((8)-(7))*((x)-((2)*(x)))))*((((9)*(3))*((5)*((x)*(9))))*(((2)*((4)*(6)))+((3)-((1)*(5))))))*(((((7)-(1))-((3)*((9)*(5))))+(((4)-((0)*(8)))*((5)-((1)+(x)))))*((((4)+(0))+((0)*((7)-(6))))-(((0)*((9)+(6)))+((1)+((4)+((6)+(4))))))))),(((0)+(x))/((x)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddXD|MultXD|DivXD|FellTreeD|MultXD|MultXD|MultXD|AddTreeWithDiv|SubXD|FellTreeD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,MultXD,23,22,24,24,4
24,(x),20,-10,0.018804361132574485,-0.018518518518518517,0.019999999998768385,-0.018518518518518517,1085788787.00819,1.35,81194233041.34799,1.35,1,1,0.4036021057250205,0,31776308102300025000000,0,4393611145853467000,0,(((((((7)-((3)*(x)))+((0)-((5)*(4))))+(((7)+((x)+(9)))*((3)*((9)+(6)))))*((((3)-((5)+(7)))+((6)+((7)-(4))))*(((6)*((4)*(4)))*((9)*((7)*(9))))))*(((((x)-((0)*(3)))+((7)*((3)*(9))))-(((6)-((7)*(2)))*((9)*((5)*(6)))))-((((x)*((8)-(x)))-((9)*((6)*(1))))+(((8)+((6)+(2)))-(((5)*(2))-((9)-(0)))))))-((((((4)*(x))+((2)*((7)+(9))))+(((3)-((0)*(1)))*((8)+((x)*(7)))))-((((2)-((2)*(x)))+((5)*((5)+(6))))+(((4)-((1)+(0)))-((2)+((3)-(9))))))*(((((4)*((2)*(3)))*((2)*((9)*(6))))*(((0)+((9)+(3)))-((8)*((9)-(4)))))-((((0)-((x)-(3)))-((3)-((x)-(2))))-(((1)-((4)-(6)))*((4)*((0)-((8)*(8))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult,AddXD|FellTreeD|DivXD|SkipD|SubXD|AddTreeWithDiv|DivXD|MultXD|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,24,24,25,25,4
25,(x),20,-10,0.01751190986340994,-0.018518518518518517,0.01999999998990527,-0.018518518518518517,183712349.51921996,1.35,9906159913.7,1.35,1,1,0.34052507886326944,0,1060661640255415800000,0,106066132908693220000000,0,(((((((x)+(7))+((1)+((1)+(9))))+(((1)+((5)+(2)))-((x)-((3)*(8)))))*((((7)*(3))*((4)*((6)*(5))))*(((9)*((1)*(8)))*((1)*((3)*(4))))))*(((((9)*(9))*((3)*((7)*(1))))*(((5)*((9)*(7)))*((9)-((6)+(9)))))*((((8)-(3))*((7)-((2)-(x))))-(((8)+((5)*(0)))-((8)-((x)*(9)))))))*((((((1)*(1))-((3)-((1)+(5))))*(((2)-(0))-((6)+((8)-(6)))))*((((0)*(7))*((2)+((8)-(3))))+(((6)*((1)*(0)))*((0)*((6)+(3))))))+(((((6)*(2))*((3)-((2)*(x))))*(((x)-(0))-((6)*((3)*(7)))))*((((4)-(8))+((8)+((7)+(2))))*(((2)+((7)+(4)))*((8)+((0)+((7)-(4))))))))),(((0)+(x))/((x)*(x))),DeleteTerminalR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult,FellTreeD|SubXD|DivXD|AddXD|AddXD|MultXD|MultXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,FellTreeD,25,25,26,26,4
26,(x),20,-10,0.01806339267029857,0.0008008777514232186,0.01999999969110207,0.02,9114867.520660002,983978354601944.4,323731533.33599997,0,1,1,0.35161863592424975,0,600323471920565700000000,0,60032347191801910000000000,0,(((((((3)-(x))*((3)+((4)+(4))))*(((4)-(1))-((2)*((4)-(7)))))-((((2)*(8))-((0)*((6)*(8))))-(((9)*((8)+(7)))-((8)-((3)*(1))))))*(((((5)*(7))*((6)*((x)*(1))))-(((x)+(3))-((4)*((4)-(3)))))-((((x)*(6))-((0)*((7)*(3))))*(((1)+((7)*(8)))+((5)*((9)*(8)))))))*((((((2)*(8))*((5)*((9)*(7))))*(((9)*(8))*((9)*((7)-(7)))))*((((6)+(x))-((x)+((6)+(3))))*(((2)+(7))+((7)*((7)*(x))))))*(((((9)+(7))*((5)+((2)*(2))))+(((3)+(9))*((7)*((3)*(8)))))+((((6)-(7))*((4)-((x)+(7))))+(((6)+(5))-((4)+((9)+((8)*(9))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|MultXD|DivXD|AddXD|FellTreeD|MultXD|DivXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,26,25,27,27,4
27,(x),20,-10,0.016312134774160193,-0.01701492537313433,0.019999999955807434,-0.01701492537313433,37520542.80736999,0.67,2262824116.038,0.67,1,1,0.31294671237279575,0,1928834596252803500000000,0,53077400313977670000000,0,(((((((x)*((0)+(7)))*((x)-((1)-(1))))*(((3)*((6)*(8)))-(((8)-(4))*((8)*(6)))))+((((2)+((0)+(4)))-((0)+((4)+(1))))+(((7)-((1)*(7)))+(((8)+(3))+((4)+(5))))))+(((((6)*((7)*(6)))*((7)*((x)-(4))))+(((4)-((2)*(9)))*(((9)-(6))+((2)-(6)))))*((((1)-((8)*(7)))-(((0)-(9))+((5)+(8))))*(((7)*((1)*(x)))*(((9)*(3))*((8)*(1)))))))*((((((1)*((7)*(5)))*((7)-((5)*(1))))-(((9)+((5)*(3)))*((4)*((5)*(6)))))*((((7)*((2)*(6)))*((4)*((7)-(3))))-(((7)-((x)-(4)))+(((5)-(2))-((3)+(8))))))-(((((0)*((2)-(8)))*((0)-((8)-(8))))+(((5)+((1)+(6)))+(((x)+(9))-((8)-(8)))))*((((4)*((6)+(x)))-((5)-((x)-(7))))-(((5)+((6)*(8)))+(((5)*(2))+((1)*((1)-(5))))))))),(((0)/((x)*(x)))+((x)/((x)*(x)))),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult,AddXD|SubXD|FellTreeD|SkipD|AddXD|MultXD|MultXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|MultXD|AddXD|DivXD|MultXD,AddToLeafR,MultXD,27,26,28,28,4
