gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.015026840772901033,-0.00037855529982404497,0.01999999999242582,0.02,202576197.23773,0.7447589411322022,13202751666.72,0,1,1,0.5069547591001977,0,137984808915763930000000,0,13797463267227770000000000,0,(((((((4)*(4))-((5)-((x)*(9))))*(((3)*(2))*((8)*((7)*(9)))))*((((9)*(6))*((5)+((5)+(5))))+(((2)+(x))+((7)+((1)-(6))))))*(((((7)*(7))*((5)-((1)-(6))))-(((2)-(x))*((5)-((x)-(9)))))*((((6)+(7))+((5)-((7)*(4))))*(((6)-(1))*((9)*((x)*(4)))))))*((((((7)*(7))*((6)+(5)))*(((x)-(0))*((9)+((1)-(8)))))+((((7)+(x))-((7)+((8)+(8))))+(((0)+(9))+((1)+((3)+(x))))))-(((((6)-(4))-((0)-((3)-(2))))-(((6)*(x))*((3)*((7)*(2)))))*((((3)*(9))*((x)-((8)+(8))))-(((9)-(7))*((7)+((2)*((x)*(4))))))))),(((0)+((x)-(x)))/((x)+(x))),DeleteMaliciousR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,AddTreeWithDiv|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|AddXD|SubXD|DivXD|AddXD,AddToLeafR,AddTreeWithDiv,11,10,12,12,1
12,(x),20,-10,0.016792657270226184,0.02,0.0199999999977725,0.02,487670784.06006014,0,44893381133.69,0,1,1,0.03292842109185294,0,2445209173461183000000,0,226541047239218100000000,0,(((((((5)+(4))+((7)*((4)-(5))))+(((6)*((0)*(6)))-((5)+((9)*(2)))))*((((9)*((8)+(9)))+((8)+((3)+(5))))+(((5)+((4)+(5)))+((0)+((x)+(9))))))-(((((4)*(5))*((8)-((4)*(4))))+(((0)+((5)*(2)))-((3)+((2)-(1)))))*((((5)+((5)+(1)))-((5)*((4)*(x))))*(((3)*((5)*(7)))+((5)*((4)-(5)))))))*((((((5)*(2))*((5)*((4)*(3))))*(((3)*((8)*(4)))*((x)-((9)*(x)))))*((((5)+(4))*((5)*((5)*(5))))*(((7)*((5)*(1)))*((8)*((x)*(x))))))+(((((0)*(6))*((7)-((2)*(4))))-(((9)*((3)+(x)))-((4)*((4)+(x)))))+((((1)-((6)+(8)))*((1)-((3)+(3))))*(((6)+((9)*(x)))+((3)-((0)*((4)+(7))))))))),((0)*((x)+(x))),AddToLeafR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd,FellTreeD|DivXD|SubXD|AddXD|DivXD|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|SkipD|FellTreeD|MultXD|AddXD,AddToLeafR,AddTreeWithDiv,12,11,13,13,1
13,(x),20,-10,0.017987748360560246,0.02,0.019999999995588345,0.02,391517233.1357299,0,22667241406.663998,0,1,1,0.2559669415981689,0,73944668247381530000000000,0,2962626448458038300,0,(((((((x)*(4))*((1)-((5)*(2))))*(((8)*((7)*(x)))*((8)*((x)*(4)))))+((((7)+((9)*(3)))*((3)*((x)+(x))))*(((x)-((1)*(5)))*((2)*((3)*(2))))))-(((((7)-((7)*(7)))*((1)*((2)*(5))))*(((9)*((7)*(6)))*((7)*((5)-(x)))))+((((2)-((5)*(1)))+((x)+((6)+(5))))*(((4)+((2)+(8)))-((x)-((1)-(x)))))))*((((((4)*(7))*((7)*((5)-(8))))+(((2)+((9)-(9)))-((8)+((6)+(7)))))*((((x)*(2))-((3)-((5)-(x))))*(((3)+((4)+(2)))+((2)+((0)+(9))))))+(((((0)+(4))*((1)*((3)*(7))))*(((7)*((7)*(0)))+((1)*((9)+(0)))))+((((9)-((0)*(6)))-((2)*((5)*(x))))*(((0)*((2)-(8)))*((2)-((1)*((x)-(7))))))))),((0)+(x)),AddToLeafR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,FellTreeD|AddTreeWithDiv|DivXD|MultXD|DivXD|MultXD|DivXD|MultXD|DivXD|SubXD|SkipD|MultXD|FellTreeD|DivXD|AddXD,AddToLeafR,DivXD,12,12,14,14,1
14,(x),20,-10,0.01700447705974495,0.014400690878509132,0.01999999998140384,0.02,72095571.49923998,5215316937436242000,5377454201.796,0,1,1,0.2989275536825786,0,30750447290220470000000000,0,3075044395335290500000000000,0,(((((((x)+(1))+((x)*((8)-(x))))-(((7)-((9)-(8)))-((7)-((3)-(2)))))-((((1)*((x)+(1)))-((2)-((3)+(5))))*(((x)*((7)*(4)))*((x)*((x)*(8))))))*(((((6)*((x)*(3)))*((4)*((1)*(6))))*(((5)*((5)*(9)))*((0)+((x)-(2)))))*((((9)*((2)-(9)))+((2)-((2)+(1))))+(((7)+((0)+(9)))+((4)+((6)+(6)))))))+((((((8)+(1))+((x)+((8)+(1))))+(((2)+((8)*(7)))*((7)*((3)-(1)))))*((((6)+((5)+(1)))*((6)+((4)*(6))))*(((4)-((4)-(9)))-((2)+((1)+(4))))))*(((((3)-(x))*((x)*((5)*(5))))*(((5)*((6)+(x)))+((9)-((6)+(2)))))+((((3)*((5)*(6)))*((2)*((0)-(8))))-(((x)*((5)-(8)))-((8)*((9)-((2)-(0))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddTreeWithDiv|AddTreeWithDiv|DivXD|MultXD|SubXD|DivXD|MultXD|DivXD|AddXD|SkipD|AddTreeWithDiv|SkipD|SubXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,13,13,15,15,1
15,(x),20,-10,0.015373984827862161,-0.0007926340174987445,0.019999999960914932,0.02,30187670.66941,2.5278759207593233,2558521853.858,0,1,1,0.2860362178727831,0,1887282572346661400000000,0,188727235519748080000000000,0,(((((((x)+((2)*(2)))-((4)+((0)+(0))))+(((0)+((x)+(9)))+(((1)+(x))*((3)*(9)))))+((((7)+((0)+(6)))+((8)+((8)+(1))))+(((7)*((x)*(6)))*(((2)*(8))*((x)*(7))))))*(((((6)*((7)*(7)))*((9)*((2)*(x))))*(((5)*((x)*(9)))*(((2)*(6))-((8)+(2)))))+((((3)+((x)+(3)))+((9)+((4)+(7))))-(((6)-((9)+(1)))+(((2)-(5))*((0)+(5)))))))+((((((5)*((9)-(3)))*((1)*((3)+(6))))*(((3)+((6)+(9)))*((x)*((3)*(7)))))-((((8)*((6)*(9)))*((x)+((4)-(0))))-(((9)+((6)+(1)))+(((9)-(7))-((8)+(x))))))-(((((0)+((9)-(1)))*((4)+((x)*(9))))+(((4)*((2)-(8)))-(((2)-(5))-((8)+(1)))))+((((6)*((4)-(x)))-((2)-((8)*(4))))+(((6)+((6)*(2)))+(((4)*(1))+((0)+((2)-(2))))))))),((0)*((x)+(x))),AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,MultXD|AddXD|SubXD|AddXD|DivXD|MultXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|MultXD|AddXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,15,14,16,16,1
16,(x),20,-10,0.017445126672059927,0.014004157489087076,0.019999999993921,0.02,404888208.14381003,21248.462416705745,16450071543.658,0,1,1,0.4415579991001063,0,35379990115591930000000000,0,3537999011167640300000000000,0,(((((((5)-((7)-(x)))-((1)*((7)*(4))))*(((x)*((7)*(9)))*((2)*((4)*(3)))))*((((9)*((x)*(1)))+((4)*((1)+(1))))-(((9)-((1)*(3)))+((4)*((6)*(2))))))+(((((2)*((4)+(8)))-((8)*((8)-(7))))+(((0)*((8)*(1)))+((0)+((7)*(7)))))+((((6)+((x)+(3)))*((x)*((4)+(9))))+(((4)+((x)-(9)))-((2)-((9)-(6)))))))-((((((7)-(9))-((6)-((7)*(2))))+(((7)+((9)+(3)))+((9)+((9)+(5)))))*((((x)*((5)-(x)))*((4)*((1)+(1))))-(((2)-((2)+(6)))*((5)*((3)*(8))))))+(((((x)*(7))*((6)-((x)-(1))))*(((9)+((5)+(2)))*((2)+((6)+(6)))))+((((2)+((9)+(3)))+((1)+((0)*(8))))*(((2)*((6)*(9)))*((6)*((9)*((6)+(3))))))))),((0)*((x)+(x))),AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,SkipD|MultXD|DivXD|AddXD|SubXD|DivXD|SubXD|AddXD|AddXD|AddXD|FellTreeD|SkipD|FellTreeD|MultXD|AddXD,AddToLeafR,AddXD,16,15,17,17,1
17,(x),20,-10,0.017459629736612175,0.018000000011327844,0.019999999999627326,0.02,4035063241.315401,423156934711488500,268331605798.31,0,1,1,0.48868335478721137,0,118275916504718280000000,0,2484559025357815000,0,(((((((8)*(1))*((9)*((1)+(x))))+(((5)-(6))*((7)-((x)+(9)))))+((((0)+(4))+((6)+((2)+(6))))+(((7)+(3))-((3)+((0)+(9))))))+(((((9)*(3))*((1)-((6)+(6))))+(((4)+(7))*((7)*((2)+(3)))))*((((5)*(3))*((2)*((5)*(3))))*(((7)*(9))*((6)*((1)-(x)))))))+((((((9)*(6))+((8)+(x)))*(((4)*(5))*((8)*((0)-(1)))))-((((4)*(1))+((3)+((7)+(0))))+(((5)+(x))*((5)*((5)*(4))))))*(((((2)*(8))*((6)*(7)))*(((6)*(6))+((6)+((3)*(x)))))+((((4)-(3))+((3)*((5)*(1))))*(((6)*(x))*((x)*((2)-((2)*(9))))))))),((0)+(x)),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd,FellTreeD|AddTreeWithDiv|MultXD|MultXD|SkipD|SkipD|MultXD|DivXD|AddTreeWithDiv|FellTreeD|SkipD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,MultXD,17,16,18,18,1
18,(x),20,-10,0.01765026035968847,-0.0007898688186096895,0.01999999999150606,0.02,269674210.8016,0.3967939998430058,11773098263.935,0,1,1,0.8750728718188956,0,2918479377644796700000000,0,4503508459461091300,0,(((((((x)-((7)+(x)))+((x)-((0)*(1))))+(((8)+((4)+(0)))+((4)+((6)+(6)))))+((((0)*((1)-(x)))*((x)*((1)+(4))))-(((9)+((7)*(7)))-((6)+((5)+(9))))))+(((((2)+((8)+(9)))+((x)+((1)+(4))))*(((5)-((8)-(2)))-((3)-((x)*(6)))))*((((2)*((5)-(8)))-((2)-((2)*(x))))*(((8)-((7)-(5)))-((3)+((3)*(5)))))))+((((((4)*(0))-((9)*((x)-(4))))-(((1)+((6)-(3)))-((5)-((3)+(5)))))-((((9)+((5)+(7)))*((6)+((x)*(x))))-(((7)+((5)-(9)))+((0)*((1)*(6))))))*(((((7)*(x))*((9)*((8)*(3))))*(((5)*((7)*(0)))+((4)*((1)+(2)))))*((((x)+((5)*(5)))*((2)+((8)*(4))))*(((5)+((5)*(6)))+((9)-((2)*((4)*(1))))))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,FellTreeD|AddTreeWithDiv|MultXD|AddXD|AddTreeWithDiv|DivXD|SubXD|DivXD|AddTreeWithDiv|FellTreeD|SkipD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,FellTreeD,18,16,19,19,1
19,(x),20,-10,0.01720028072606011,0.008474465657087003,0.019999999997461767,0.02,757606153.52831,5.500487651098459,39397479580.9,0,1,1,0.3923173241318071,0,4397266058166369000000000,0,439726605803158500000000000,0,(((((((8)-(3))*((3)-((6)*(1))))+(((8)+(5))+((9)+((3)+(1)))))+((((5)+(0))*((5)-((3)*(6))))*(((4)+((7)-(x)))*((5)+((x)+(9))))))*(((((4)*(x))*((4)*((5)*(9))))*(((9)*(9))*((1)*((x)+(5)))))*((((5)+(8))*((4)*((1)-(5))))-(((x)+((x)*(4)))*((3)+((5)+(3)))))))+((((((2)-(1))*((1)+((3)-(0))))+(((8)*(6))*((x)+((4)*(x)))))-((((1)*(8))*((1)-((2)*(8))))*(((x)-(6))-((4)+((2)-(6))))))-(((((2)+(8))*((0)+((4)*(2))))-(((8)+(7))-((3)-((9)-(0)))))-((((7)-(4))-((0)-((1)*(8))))*(((7)*((6)*(5)))*((2)*((1)*((6)-(1))))))))),((0)*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|DivXD|SubXD|AddXD|AddXD|DivXD|MultXD|AddTreeWithDiv|SkipD|SubXD|AddXD|SkipD|FellTreeD|MultXD|AddXD,AddToLeafR,AddXD,19,17,20,20,1
20,(x),20,-10,0.018400624723501055,0.01646861143406718,0.019999999998881378,0.02,1068524130.7473301,9.291595837632276,89395802199,0,1,1,0.27683238979755714,0,98075452805383290000000,0,743107084110492400000000,0,(((((((x)*(x))-((7)*((0)+(7))))+(((9)-((2)-(9)))*((7)-((0)-(6)))))+((((4)*(8))*((7)+((5)-(x))))*(((3)+((3)+(6)))-((x)+((x)-(6))))))*(((((3)-(4))+((6)+((4)*(5))))*(((7)-((4)+(1)))+((7)*((7)-(1)))))*((((0)+((9)+(4)))+((7)+((4)+(6))))*(((2)*((5)-(5)))*((6)*((7)*(4)))))))*((((((7)*(9))*((9)*((3)*(4))))*(((4)*(4))*((6)*((1)*(6)))))*((((9)*(5))+((3)-((5)*(7))))*(((x)-((8)*(1)))-((x)-((6)-(0))))))-(((((6)*(x))-((0)+((6)+(1))))+(((x)*((5)+(4)))-((8)-((2)+(8)))))*((((5)*(1))*((9)*((4)*(6))))*(((8)*((3)-(0)))*((0)-((0)-((3)+(x))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR,SubXD|AddXD|DivXD|MultXD|AddTreeWithDiv|DivXD|MultXD|DivXD|AddTreeWithDiv|FellTreeD|SkipD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,DivXD,19,18,21,21,1
21,(x),20,-10,0.018530237588254287,-0.019603960396039607,0.019999999995620365,0.02,537290701.97086,5.05,22832941758.336002,0,1,1,0.44740610141617804,0,13462986981915335000000,0,1346298682156269300000000,0,(((((((8)+((9)+(9)))+((9)+((5)+(9))))*(((7)*((7)*(8)))-((9)-((2)+(2)))))*((((1)+((8)+(5)))+((1)+((1)-(1))))*(((3)+((3)-(2)))+(((8)*(5))*((x)*(3))))))*(((((x)*((4)*(2)))*((8)*((7)*(5))))*(((6)*((9)*(5)))*(((4)+(7))*((1)-(3)))))*((((1)+((9)-(4)))+((4)+((8)+(6))))+(((7)+((x)-(9)))-(((x)*(2))-((2)-(7)))))))*((((((8)+((2)*(1)))*((6)-((8)+(4))))+(((8)-((3)-(8)))-((9)*((5)*(5)))))*((((9)*((8)*(9)))*((5)*((6)*(4))))*(((8)-((0)-(x)))-((3)*((9)*(x))))))-(((((x)-((2)+(0)))+((x)*((x)+(0))))-(((8)*((4)+(3)))-((2)+((4)*(5)))))-((((1)-((3)-(2)))+((1)+((8)+(6))))*(((5)*((x)*(x)))*(((5)*(7))-((9)-((7)-(2))))))))),((0)*((x)+(x))),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR,AddTreeWithDiv|AddTreeWithDiv|DivXD|FellTreeD|DivXD|DivXD|SubXD|AddTreeWithDiv|FellTreeD|SubXD|SkipD|MultXD|FellTreeD|MultXD|AddXD,AddToLeafR,AddTreeWithDiv,21,19,22,22,1
22,(x),20,-10,0.01618555573635997,0.0012520540165840144,0.02,0.02,86740724.19323999,901392138442.8655,488190681300124160,0,1,1,0.3892398029830685,0,2571739668735525000000000,0,10264517339528761000,0,(((((((x)+((8)+(x)))*((9)*((3)*(4))))-(((x)+((0)*(8)))+((1)-((8)-(4)))))-((((7)-((6)+(0)))*((1)*((5)-(5))))*(((4)+((8)-(3)))*((2)*((5)-(8))))))+(((((x)+((8)+(1)))-((x)*((7)*(1))))*(((4)*((6)-(9)))-((0)+((8)-(5)))))*((((9)-((3)-(6)))*((5)+((3)+(6))))-(((7)+((9)+(8)))-((8)*((2)+(4)))))))-((((((7)*(9))-((5)+((4)*(4))))*(((x)-((1)-(6)))+((1)-((5)-(x)))))-((((2)+((2)+(5)))+((3)+((9)+(9))))+(((4)+((2)*(3)))+((1)+((0)+(7))))))+(((((0)+(1))+((4)+((3)*(5))))-(((x)*((4)*(4)))*((7)*((x)*(4)))))*((((x)*((6)*(2)))*((2)*((7)*(2))))*(((3)*((7)*(8)))*((x)-((1)-((4)*(6))))))))),(((0)+((x)-(x)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,AddTreeWithDiv|DivXD|SubXD|AddXD|AddTreeWithDiv|AddXD|SubXD|AddTreeWithDiv|SkipD|FellTreeD|FellTreeD|AddXD|SubXD|MultXD|AddXD,AddToLeafR,AddXD,22,21,23,23,1
23,(x),20,-10,0.01824722319820487,-0.01701492537313433,0.019999999999926202,-0.01701492537313433,35399346808.38149,0.67,1355084630230.0579,0.67,1,1,0.5854523868821923,0,749138193978496500000000,0,464318482280865300000,0,(((((((x)+(7))+((x)-((9)-(0))))+(((9)-(x))*((2)+((0)*(x)))))+((((9)-(3))*((1)+((2)-(1))))-(((4)-((0)+(8)))*((9)*((2)-(3))))))*(((((0)*(4))*((4)-((4)-(2))))+(((4)*(4))*((9)-((9)*(9)))))*((((7)*(1))*((x)*((9)*(4))))*(((8)*((1)*(3)))*((1)*((8)+(6)))))))-((((((9)+(1))*((x)*((5)-(2))))*(((9)*(8))*((2)*((7)*(5)))))*((((6)*(9))*((1)*((4)*(1))))*(((2)*(5))+((8)+((9)*(4))))))+(((((8)+(4))+((5)+((9)-(7))))*(((x)*(x))+((1)-((0)-(7)))))-((((5)-(0))+((2)+((7)-(x))))+(((2)-(5))+((3)*((4)+((6)-(4))))))))),((0)*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithMult,FellTreeD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|MultXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|AddXD|SkipD|FellTreeD|MultXD|AddXD,AddToLeafR,AddTreeWithDiv,23,22,24,24,1
24,(x),20,-10,0.016463925256363237,0.0009954538257155032,0.01999999999931711,0.02,4102966407.7832103,2.329009090593434,146436720584.58,0,1,1,0.9298064817247702,0,152473792034371640000000000,0,3540831731591527000000,0,(((((((x)-(4))-((5)+((9)*(9))))+(((x)+((6)*(6)))-((0)-((8)-(0)))))-((((0)+((6)-(x)))-((2)*((6)*(8))))*(((7)+((7)*(6)))-((x)*((5)+(7))))))*(((((9)*(4))-((6)-((2)-(0))))-(((2)-((x)*(8)))-((7)+((2)*(6)))))-((((1)*((0)-(9)))*((6)*((1)*(8))))+(((3)*((9)+(9)))+((2)+((0)+(7)))))))-((((((3)*(2))*((9)+((7)-(x))))*(((2)+((9)-(9)))+((4)*((1)-(0)))))-((((3)-(5))+((6)+((8)+(0))))*(((1)*((x)+(4)))+((3)-((3)*(1))))))-(((((1)*(0))+((4)+((3)+(9))))*(((9)+((7)-(2)))+((5)*((6)*(x)))))*((((9)*((5)*(1)))*((4)*((5)*(2))))*(((5)*((6)*(x)))*((5)*((x)*((5)+(1))))))))),((0)*((x)+(x))),AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,MultXD|SubXD|SubXD|AddXD|AddXD|DivXD|MultXD|MultXD|MultXD|SubXD|SkipD|MultXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,24,23,25,25,1
25,(x),20,-10,0.017488964174859192,0.018800140292221764,0.01999999999977958,0.02,7275943753.398359,761752.1425398062,453679108476.75,0,1,1,0.35279854670284116,0,148639364315437060000000,0,3010729872320761500000000,0,(((((((x)+(1))-((6)-((0)*(1))))*(((x)-((9)-(8)))+((5)*((0)+(1)))))+((((3)*(3))*((9)*((7)*(8))))*(((4)*((5)+(1)))*((4)-((4)+(8))))))*(((((6)-(x))-((6)-((0)+(8))))*(((x)*((1)+(4)))+((x)-((x)+(0)))))+((((x)+((4)-(8)))+((0)*((6)*(6))))+(((7)*((9)-(2)))+((9)-((2)-(5)))))))-((((((1)*(8))*((0)-((0)*(2))))*(((4)*(0))*((1)*((7)*(5)))))*((((7)*(x))*((6)-((1)+(0))))-(((2)-((6)*(3)))+((9)*((x)*(x))))))*(((((6)*(4))*((3)*((5)*(2))))*(((8)*((5)*(3)))*((6)*((6)+(7)))))-((((1)+(x))*((0)-((5)-(7))))*(((6)-((7)+(4)))*((2)+((7)*((6)*(6))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,FellTreeD|DivXD|SubXD|AddXD|AddTreeWithDiv|DivXD|MultXD|AddXD|DivXD|SubXD|AddTreeWithDiv|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,DivXD,25,24,26,26,1
26,(x),20,-10,0.017995880880988906,0.019200000009529008,0.01999999999985608,0.02,8164383359.595659,2306654434079.361,694826671774.514,0,1,1,0.2834876706882393,0,88090695755553950000000,0,2362426110212453400,0,(((((((x)+((x)*(8)))-((5)+((6)-(0))))+(((4)-((7)-(8)))*((2)*((9)-(5)))))-((((2)+((4)-(3)))*((7)-((x)+(5))))*(((x)*((3)*(9)))*(((4)-(6))+((x)+(0))))))*(((((8)+((8)-(3)))*((4)*((0)+(8))))+(((2)*((5)-(6)))+(((5)-(5))*((6)-(3)))))+((((7)-((0)-(0)))-((1)*((9)+(9))))+(((7)-((3)+(9)))*(((9)*(x))-((8)-(2)))))))*((((((2)-((4)*(x)))+((7)*((x)*(6))))-(((1)-((9)-(8)))-((3)-((0)*(4)))))-((((9)*((7)+(4)))*((1)*((5)*(6))))*(((8)*((x)*(x)))*((5)*((8)*(x))))))+(((((0)*((9)*(0)))*((3)-((2)*(6))))+(((3)+((5)*(3)))*((2)*((9)+(3)))))+((((6)+((4)+(0)))+((7)*((0)-(x))))*(((6)*((5)-(5)))-(((1)+(5))+((x)+((x)-(7))))))))),((0)*((x)+(x))),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR,AddTreeWithDiv|DivXD|SubXD|AddXD|AddXD|DivXD|MultXD|MultXD|AddXD|SubXD|AddTreeWithDiv|SubXD|FellTreeD|MultXD|AddXD,AddToLeafR,AddXD,26,25,27,27,1
27,(x),20,-10,0.018143611749994598,0.009480910289173295,0.019999999998951096,0.02,2497149836.82099,8.557860217461162,95337703204.41199,0,1,1,0.44393149932168324,0,5040338422834384000000000,0,504033842012437760000000000,0,(((((((x)+((7)-(5)))*((5)*((x)-(7))))*(((5)*((6)*(5)))+((9)-((7)-(2)))))-((((5)*((9)*(7)))*((4)-((x)+(1))))+(((2)-((0)+(0)))*((6)+((6)+(5))))))*(((((2)*((3)-(0)))*((3)+((9)*(9))))+(((9)-((3)+(x)))*((6)+((6)*(7)))))+((((4)+((8)*(x)))*((4)-((8)+(x))))+(((x)+((7)-(8)))-(((2)*(9))*((8)*(x)))))))*((((((3)*((3)*(5)))*((3)+((2)*(6))))+(((2)*((4)*(6)))*((9)+((x)+(9)))))*((((8)-((2)-(4)))-((1)-((5)-(x))))*(((2)-((2)+(2)))-((5)*((x)*(8))))))-(((((2)-((6)-(9)))*((8)*((3)*(1))))*(((6)*((3)*(6)))*((9)*((7)*(6)))))-((((0)-((7)*(0)))-((3)+((5)-(5))))*(((x)+((x)*(8)))*((8)*((7)+((7)+(x))))))))),((0)+(x)),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,FellTreeD|DivXD|SubXD|AddXD|AddXD|DivXD|MultXD|MultXD|DivXD|FellTreeD|SkipD|FellTreeD|AddXD|SkipD|AddXD,AddToLeafR,AddXD,27,26,28,28,1
