gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
22,0.04980909424470348,0.12258482564033787,0.4706608980344777,0.3361666436288064,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,21,20,7946536.733333334,7946536.733333334,((((((((5)*((9)*(8)))*((x)*(x)))-((2)*(((x)-(6))+((3)/(9)))))*(x))*(x))*(x))+(x)),((((((6)*((7)*((4)/(0))))*(((x)+(3))/(((6)/(8))*(x))))+(((2)-((x)+(7)))*((x)*((((1)*(1))-(1))*(((x)-(5))+(x))))))-((x)*(0)))/(x)),5*x*x*x+2*x+7,3
23,0.02287349495589088,0.08889360626358397,0.5301244702742169,0.40463590064533206,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,22,22,1985900,1985900,((((((((5)*(x))*(((9)/(9))*(x)))*((2)*(((2)+(1))*((9)-(6)))))*(x))*(x))*(x))+(x)),((((((x)*(3))*((((0)*(7))*(x))+((5)/(0))))*(((x)-(((1)-(3))+(7)))*(((1)*(2))*(((2)/(5))*((x)*(6))))))-(x))/(x)),5*x*x*x+2*x+7,3
24,-0.007471760701361898,0.10642743247792832,0.32128822736727364,0.3000263581063364,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,23,23,12378095,12378095,((((((((5)*((2)*(5)))*((x)+(x)))*((2)*((((8)*(x))/(4))+(7))))*(x))*(x))*(x))+(x)),((((((5)*(((x)+(5))*(x)))*(((4)/(0))-((7)-((7)/(4)))))*(((0)*((4)+(7)))+(((3)-(1))*((x)*((x)+(x))))))-(((x)*(2))*(9)))/(x)),5*x*x*x+2*x+7,3
25,0.13233272515968528,0.1732822323533843,0.48698001877160274,0.38972436237738184,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,23,24,18304797.542857144,18304797.542857144,((((((((5)*(x))*((x)*((6)/(7))))*((2)*(((7)+(x))*((x)-(3)))))*(x))*(x))*(x))+(x)),((((((5)*(((6)-(5))*(x)))*(((x)+(0))-((2)+((7)*(6)))))/((((((5)*(1))/(9))-(1))*((x)-(7)))*(((0)/(0))*((x)*((x)+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
26,-0.014828009244299051,0.021368299465659067,0.4283591639430491,0.30223497067646216,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,25,25,5704778.4,5704778.4,((((((((5)*(x))*((((7)*(6))*(8))*((2)/(6))))*((2)*((x)-(7))))*(x))*(x))*(x))+(x)),((((((((9)*(6))*(1))-((x)+(6)))/(((1)*((7)/((3)/(0))))+((x)+(0))))-((x)+(8)))-(x))/(x)),5*x*x*x+2*x+7,3
27,0.14275049225799039,0.11273088636240022,0.577492605880855,0.3880520841558815,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,26,26,64731605,64731605,((((((((5)+(x))*((x)*(x)))*((((5)+(2))*(3))*(((3)/(1))+(7))))*(x))*(x))*(x))+(x)),((((((5)*((x)+(x)))*(((5)-(8))+(((x)+(3))*((1)-(x)))))+(((8)+((2)/((0)/(9))))+(((3)*(2))-(4))))-((2)*((4)/(5))))/(x)),5*x*x*x+2*x+7,3
28,-0.0432458954051192,0.17957182752176173,0.6444321893254715,0.3206804873607288,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,27,26,168667690,168667690,((((((((5)*((5)+((x)*(6))))*((x)*(x)))*((2)*(((1)+(5))+(7))))*(x))*(x))*(x))+(x)),((((((5)*((x)/((9)*(0))))-(((7)*((7)-(3)))*((x)-((9)*(3)))))+((x)*(9)))-(x))/(x)),5*x*x*x+2*x+7,3
29,0.04058672280086305,0.1749020546813766,0.41083841452803016,0.3505951422143457,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,28,28,6926833.18888889,6926833.18888889,((((((((5)*(x))*((x)*(((7)*(1))*(x))))+(((2)/(9))*((x)*(7))))*(x))*(x))*(x))+(x)),(((((x)+((x)-(5)))+((((9)/(7))+(((8)-(1))/(3)))*((x)*((x)*(((1)/(0))+(x))))))-(x))/((7)*(7))),5*x*x*x+2*x+7,3
30,0.045361475757959034,0.12464232896286358,0.5215725238580184,0.3008929951410654,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,29,29,70662475,70662475,((((((((5)*((9)+(7)))*((x)*(x)))*((2)*(((8)*(2))+((8)/(2)))))*(x))*(x))*(x))+(x)),((((((5)*((1)+((5)-(2))))/(((8)/(0))+(0)))+(((2)*(((9)/(0))+((3)*(1))))*((x)*(8))))-(x))/((7)*(6))),5*x*x*x+2*x+7,3
31,-0.011786705162388,0.08041320079894002,0.6464302526988743,0.25858175770795666,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,29,30,3359481.1,3359481.1,(((((((((9)+(8))*(x))*((x)*(x)))+((((0)-(4))/(x))*((x)+(7))))*(x))*(x))*(x))+(x)),((((((x)+((1)*(x)))*(((9)/(7))*((4)-(8))))+(((((0)/((1)*(0)))/((4)*(x)))+((x)*(9)))*((x)*((x)*(5)))))-((2)-(1)))/(x)),5*x*x*x+2*x+7,3
32,-0.10243360365268543,0.17235599572894975,0.220889469157949,0.6105977336486158,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,31,31,1281308.2,1281308.2,(((((((((7)*(8))*(x))*((x)*((9)-(0))))+(((3)/(1))*((x)*(7))))-(x))*(x))*(x))+(x)),(((((((x)-(3))-((1)*(x)))+((x)*(1)))*(((x)+((2)/((9)*(x))))*((x)*((x)*(((x)/(0))+((7)/(9)))))))-((3)/(8)))/(x)),5*x*x*x+2*x+7,3
33,-0.05876351016778778,0.08061410787567348,0.07125940223721736,0.3304523049578011,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,32,32,4090694.4,4090694.4,(((((((((8)/(4))-(x))*(((2)+(3))*(x)))*((2)*((x)+((3)*(5)))))*(x))*(x))*(x))+(x)),((((((5)*(((3)*(x))*(2)))*(((x)*(1))*((2)*(x))))+((((4)/(0))*((9)+(0)))*(((9)*(1))*(((8)-(1))*((x)+((3)/(1)))))))-(x))/(x)),5*x*x*x+2*x+7,3
34,-0.0424365825763198,0.1752568624050162,0.27170559717807985,0.3431766778809321,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,33,33,574574.6,574574.6,(((((((((x)+(4))*(x))*((x)+(x)))+((((1)+(8))/(1))*((x)-(7))))*(x))*(x))*(x))+(x)),((((((5)*(((x)/(x))*((0)*(8))))-((((4)*(2))-(2))/((x)+(2))))-(((((2)/(0))/((1)-(9)))+((7)*(1)))*((x)*((x)+(2)))))-(x))/(x)),5*x*x*x+2*x+7,3
35,0.020200105593319362,0.058161992182055755,0.41552145109964667,0.42076502735874544,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,32,34,7545471.285714286,7545471.285714286,((((((((5)+(x))*(((2)+(1))*(x)))*((2)*(((x)*(4))+((5)/(7)))))*(x))*(x))*(x))+(x)),(((((((6)*(0))*((x)-(7)))*(((3)+(3))+(((x)-(1))/((3)-(9)))))+(((4)-(((2)/((6)*(2)))+((8)/(0))))*((x)*((x)*((x)+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
36,0.0054598099160635015,0.1194127897467194,0.20888234084446172,0.2548376675164958,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,35,35,4221104.8,4221104.8,(((((((((4)/(x))*((3)*(9)))*((x)*(x)))*((2)*((x)-((2)-(1)))))*(x))*(x))*(x))+(x)),(((((((8)/(3))-((9)*(((8)/((2)-(2)))/(((1)*(3))*(x)))))/(((6)*(x))-((x)+(2))))*((x)*(3)))-(x))/(x)),5*x*x*x+2*x+7,3
37,0.0618706979568562,0.11637624367211656,0.3988075879027862,0.4518109172296353,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,36,36,58389206.666666664,58389206.666666664,((((((((5)*(x))*(((1)*(5))*(x)))*(((x)*(x))*((x)+((8)/(3)))))+(x))*(x))*(x))+(x)),(((((((8)-(5))+((x)*((3)/(9))))*(((6)/((3)/((6)*((0)*(6)))))*((2)*(5))))*(((6)+((3)*(4)))*((x)-(5))))-(x))/(x)),5*x*x*x+2*x+7,3
