TopAntagonist,TopProtagonist,FinalAntagonist,FinalProtagonist,Epoch
0.016557593963451682,0.200771349862259,-0.9758429752066116,0.16666666666666666,1
0.9731214324810384,0.17719008264462804,-0.9780181818181818,0.6121212121212121,2
-0.7106363636363636,0.1722625684691801,-0.9758049586776859,0.21977961432506893,3
0.8218885699565761,0.16671684710017895,-0.9751752066115702,0.05757575757575758,4
-0.9873090909090909,1,-0.7794727272727272,-0.5265423242467718,5
-0.9863173553719008,0.2169569824115279,-0.9826446280991735,0.16679292929292933,6
-0.995,0.6028466483011938,0.5789312509569744,0.24820936639118457,7
-0.9836512396694215,0.18787878787878787,-0.9765057851239669,0.1393939393939394,8
-0.9723636363636363,0.3194909220363119,-0.8330909090909091,0.1578512396694215,9
-0.957603305785124,0.9161616161616161,-0.9808181818181818,0.32633608815426995,10
