generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
39,-0.7878897166223926,0.18311288828213917,-0.11906390285511707,0.5571631641086187,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyAddXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategySubXD,StrategyMutateTerminalR,38,38,758439,758439,((((((5)*(x))*(((x)*((1)+(4)))*((6)*((9)-(7)))))*(x))-(x))*(x)),(((((x)-(((2)*(7))*(9)))/((x)*((x)-(x))))+(6))*((7)+(5))),5*x*x*x,1
40,-0.8623117052905662,0.07351181707502617,-0.33637191961485213,0.29440711832125965,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategySkipD,StrategyReplaceBranchR,39,39,731141.4,731141.4,((((((((7)+(5))*((1)-(2)))*(x))*((x)*((6)*(4))))*(x))-(x))*(x)),(((((1)+(9))+(3))/((0)*(6)))*(x)),5*x*x*x,1
41,-0.813789808087917,0.12871448746573555,-0.5746851867688267,0.27894115260931857,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyAddTreeWithMult,StrategyMultXD,40,39,6914391,6914391,(((((5)*((x)*((7)+(6))))*((((x)*(6))*(7))*(x)))*(x))-(x)),(((((8)-(4))*(((3)+(2))-((8)*(2))))/(0))*(x)),5*x*x*x,1
42,-0.7779129267490223,0.05736053625823029,-0.5958211183512434,0.19630932374887974,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyAddTreeWithSub,StrategyMutateTerminalR,41,39,443149.5,443149.5,((((((x)*(6))*(x))*(((9)-(2))*((5)*(7))))*(x))-((6)+(7))),(((((5)*((9)*(3)))*((5)+((3)*((x)-(1)))))/((4)+(x)))*(x)),5*x*x*x,1
43,-0.8831904248446538,0.09094601729926373,-0.6188540082891115,0.25611488915125274,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyReplaceBranchXR,StrategyMultXD,42,42,373884.5,373884.5,((((((x)*((8)+(9)))*(x))*((x)*(x)))*(x))-(x)),((((((((8)+(2))*(5))+(x))*((x)*(x)))-((6)-(0)))/(x))*(2)),5*x*x*x,1
44,-0.9176632756076166,0.17255211671202975,-0.650424326324101,0.25591529833027377,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategySubXD,StrategyAddTreeWithAdd,43,42,591274.2,591274.2,((((((3)*((x)*((7)-(1))))*(x))*((x)*((8)+(5))))*(x))-(x)),((((((0)-((8)+(1)))*((6)*(8)))*(((6)*(6))*(((4)*(6))*((3)-(x)))))/((9)-(9)))*(x)),5*x*x*x,1
45,-0.8150233319829885,0.11659680651482529,-0.7115215545960832,0.2678234618916437,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyAddTreeWithAdd,StrategyAddTreeWithMult,44,43,98763.5,98763.5,((((((((x)*(3))*(5))+(2))*(x))*(((x)+(5))+(x)))*(x))-(x)),((((2)*(3))/((0)*((9)+(x))))*(x)),5*x*x*x,1
46,-0.857845187772066,0.10891817494101377,-0.6347253450978779,0.22729677943727533,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategySubXD,StrategyMultXD,45,45,481426,481426,((((((6)-(2))*((x)*((4)*(8))))*((x)*(7)))*((7)+(7)))-(x)),((((((0)+((2)+(3)))+((9)+(x)))*((x)*((x)-(x))))/((9)*(0)))*(x)),5*x*x*x,1
47,-0.8456135392279686,0.13843551323897202,-0.41300770166076023,0.2714719933825994,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyReplaceBranchXR,StrategyMutateTerminalR,45,46,488532,488532,((((((x)*(6))*((6)*(5)))*((x)*((8)+(1))))*(x))-(x)),(((((((x)*(0))-(5))-((x)*((x)*(9))))+(((5)+(1))-((0)-(5))))/(0))*((7)+(1))),5*x*x*x,1
48,-0.7989410962478807,0.018690426640757908,-0.6750468637143965,0.0759749290134377,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyReplaceBranchXR,StrategyMutateTerminalR,47,47,71082,71082,(((((((6)-(0))*(5))*(x))*((x)*(((2)+(5))+(1))))*(x))-(x)),((((4)*(x))*((0)+(x)))*(x)),5*x*x*x,1
49,-0.855518207278617,0.07986245576677262,-0.6684417785560746,0.190579297563978,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyAddTreeWithSub,StrategyAddTreeWithMult,48,48,1336064.4,1336064.4,((((((6)*((8)+(3)))*(x))*((x)*((x)*(8))))*(x))-(x)),((((((5)*(x))*((x)-(3)))*((3)+((1)*(8))))/((6)*(2)))*((x)+(7))),5*x*x*x,1
50,-0.880938651411723,0.05148512762538822,-0.7878442302762034,0.1568184489343678,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyMultXD,StrategyMutateTerminalR,49,47,143682,143682,((((5)*(x))+((x)*((8)*(x))))*(((7)-(1))+((0)*((x)-(x))))),((((((5)*(x))+((6)-((7)+(3))))*((x)*((1)+((2)*((6)+(0))))))/(x))*(x)),5*x*x*x,1
