specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
(x),20,-10,ANTAGONIST-nla,PROTAGONIST-3c2c2c1c1c1c1c2c1c1c1c1c2c1c2c1c1c2c1c1c1c1c2c1c1c1c1,0.9488909332515588,1,4891.5,0,0.8548647892204948,0.40416580755922443,1274.1796296296295,0.8250000000000001,4891.5,0,((((6)*(5))*((5)/((1)-(0))))-((8)-((4)*((x)*(x))))),((((1)/((0)/(5)))*(((x)/(4))-((0)*(8))))*(((3)*((9)*(7)))*((0)-((8)-((x)*(x)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,DeleteTerminalR,SkipD,0,0,-1,0.45,0.8381070619472781,0.4048836761518236,0,2.75,8143.25,0,((((3)*(9))-((3)/((x)*(9))))*((x)+((5)+((x)*(x))))),(((((1)/(0))*((3)+(6)))-(((x)*(4))-((5)*(7))))+(((8)+((2)-(0)))-(((x)*(0))-((x)+((8)/(0)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,SkipD,0,4
(x),20,-10,ANTAGONIST-nla,PROTAGONIST-3c2c2c1c1c1c1c2c1c1c1c1c2c1c2c1c1c2c1c1c1c1c2c1c1c1c1,-0.188,1,203,0,0.8548647892204948,0.40416580755922443,1274.1796296296295,0.8250000000000001,4891.5,0,((((6)*(5))*((5)/((1)-(0))))-((8)-((4)*((x)*(x))))),((((1)/((0)/(5)))*(((x)/(4))-((0)*(8))))*(((3)*((9)*(7)))*((0)-((8)-((x)*(x)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,AddXD,SkipD,0,0,0.9692997267675683,0.009999999999999964,0.8381070619472781,0.4048836761518236,8143.25,4.95,8143.25,0,((((3)*(9))-((3)/((x)*(9))))*((x)+((5)+((x)*(x))))),(((((1)/(0))*((3)+(6)))-(((x)*(4))-((5)*(7))))+(((8)+((2)-(0)))-(((x)*(0))-((x)+((8)/(0)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,SkipD,1,4
(x),20,-10,ANTAGONIST-nla,PROTAGONIST-3c2c2c1c1c1c1c2c1c1c1c1c2c1c2c1c1c2c1c1c1c1c2c1c1c1c1,0.8778501628664495,0.009999999999999964,2046.6666666666665,4.95,0.8548647892204948,0.40416580755922443,1274.1796296296295,0.8250000000000001,4891.5,0,((((6)*(5))*((5)/((1)-(0))))-((8)-((4)*((x)*(x))))),((((1)/((0)/(5)))*(((x)/(4))-((0)*(8))))*(((3)*((9)*(7)))*((0)-((8)-((x)*(x)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,DeleteMaliciousR,SkipD,0,0,-0.5847,0,0.8381070619472781,0.4048836761518236,103.825,5,8143.25,0,((((3)*(9))-((3)/((x)*(9))))*((x)+((5)+((x)*(x))))),(((((1)/(0))*((3)+(6)))-(((x)*(4))-((5)*(7))))+(((8)+((2)-(0)))-(((x)*(0))-((x)+((8)/(0)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,DeleteTerminalR,2,4
(x),20,-10,ANTAGONIST-nla,PROTAGONIST-3c2c2c1c1c1c1c2c1c1c1c1c2c1c2c1c1c2c1c1c1c1c2c1c1c1c1,0.46751863684771033,1,469.5,0,0.8548647892204948,0.40416580755922443,1274.1796296296295,0.8250000000000001,4891.5,0,((((6)*(5))*((5)/((1)-(0))))-((8)-((4)*((x)*(x))))),((((1)/((0)/(5)))*(((x)/(4))-((0)*(8))))*(((3)*((9)*(7)))*((0)-((8)-((x)*(x)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,DeleteTerminalR,SkipD,0,0,0.865332820315506,1,0.8381070619472781,0.4048836761518236,1856.428571428571,0,8143.25,0,((((3)*(9))-((3)/((x)*(9))))*((x)+((5)+((x)*(x))))),(((((1)/(0))*((3)+(6)))-(((x)*(4))-((5)*(7))))+(((8)+((2)-(0)))-(((x)*(0))-((x)+((8)/(0)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,MutateNonTerminalR,3,4
(x),20,-10,ANTAGONIST-nla,PROTAGONIST-3c2c2c1c1c1c1c2c1c1c1c1c2c1c2c1c1c2c1c1c1c1c2c1c1c1c1,-0.8823555555555554,1,29.411111111111115,0,0.8548647892204948,0.40416580755922443,1274.1796296296295,0.8250000000000001,4891.5,0,((((6)*(5))*((5)/((1)-(0))))-((8)-((4)*((x)*(x))))),((((1)/((0)/(5)))*(((x)/(4))-((0)*(8))))*(((3)*((9)*(7)))*((0)-((8)-((x)*(x)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,AddXD,SkipD,0,0,-0.7123999999999999,0.009999999999999964,0.8381070619472781,0.4048836761518236,71.9,4.95,8143.25,0,((((3)*(9))-((3)/((x)*(9))))*((x)+((5)+((x)*(x))))),(((((1)/(0))*((3)+(6)))-(((x)*(4))-((5)*(7))))+(((8)+((2)-(0)))-(((x)*(0))-((x)+((8)/(0)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,SkipD,4,4
(x),20,-10,ANTAGONIST-nla,PROTAGONIST-3c2c2c1c1c1c1c2c1c1c1c1c2c1c2c1c1c2c1c1c1c1c2c1c1c1c1,-0.98,1,5,0,0.8548647892204948,0.40416580755922443,1274.1796296296295,0.8250000000000001,4891.5,0,((((6)*(5))*((5)/((1)-(0))))-((8)-((4)*((x)*(x))))),((((1)/((0)/(5)))*(((x)/(4))-((0)*(8))))*(((3)*((9)*(7)))*((0)-((8)-((x)*(x)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,MutateNonTerminalR,SkipD,0,0,-0.236,0.05118165784832449,0.8381070619472781,0.4048836761518236,191,4.7440917107583775,8143.25,0,((((3)*(9))-((3)/((x)*(9))))*((x)+((5)+((x)*(x))))),(((((1)/(0))*((3)+(6)))-(((x)*(4))-((5)*(7))))+(((8)+((2)-(0)))-(((x)*(0))-((x)+((8)/(0)))))),AddXD|AddToLeafR|DeleteTerminalR|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithDiv,AddTreeWithSub|SubXD|SkipD|AddTreeWithAdd|DivXD|SkipD|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,DeleteTerminalR,5,4
