gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,-0.018514833333333335,0.0013561429360839936,-0.015988,0.02,0.37129166666666663,1.202,1.003,0,0.3394980184940555,1,0.5152104588403624,0.7659416862050705,82,5,378.5,0,((9)*((7)*(6))),(((6)-(0))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,11,11,12,12,2
12,(x),20,-10,-0.018532,-0.004093137254901961,-0.0138,0.02,0.36699999999999994,0.3133333333333333,1.55,0,0.48612538540596095,1,0.5007774283726861,0.5163977794943223,152.58333333333334,1.6666666666666667,486.5,0,((9)*((9)*(6))),(((0)-(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|SubXD|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,12,12,13,13,2
13,(x),20,-10,-0.018066666666666665,0.007860696517412936,-0.0108,0.02,0.48333333333333334,0.72,2.3,0,0.09090909090909091,1,0.4454000362443871,0,133.5,0,275,0,((x)*((7)*(8))),(((0)+(0))*((x)+(x))),AddTreeWithDiv|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|ReplaceBranchR|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,ReplaceBranchXR,ReplaceBranchR,13,12,14,14,2
14,(x),20,-10,-0.019133333333333332,-0.004248035914702581,-0.016399999999999998,0.02,0.21666666666666667,0.485,0.9,0,0.5594713656387665,1,0.6057987503048095,0.408248290463863,128.83333333333334,0.8333333333333334,567.5,0,((7)*((9)*(9))),(((0)-(6))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,14,14,15,15,2
15,(x),20,-10,-0.01918,0.0034991708126036487,-0.017,0.02,0.205,0.4016666666666666,0.75,0,-0.62,1,0.13942548786598047,0.408248290463863,32.333333333333336,0.8333333333333334,95,0,((5)*((4)*(x))),(((0)+(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|SubXD|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,15,15,16,16,2
16,(x),20,-10,-0.018597333333333334,0.013809523809523806,-0.0174,0.02,0.3506666666666667,0.11666666666666665,0.65,0,0.7435897435897436,1,0.6808157407892544,0.408248290463863,202.91666666666666,0.8333333333333334,975,0,(((x)*(7))*((7)*(4))),(((0)*(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddTreeWithDiv|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,16,16,17,17,2
17,(x),20,-10,-0.018031999999999996,0.00709231619679381,-0.01568,0.02,0.49199999999999994,1.155,1.08,0,0.6282527881040892,1,0.6009022143992173,0.408248290463863,149.23333333333332,0.8333333333333334,672.5,0,(((7)*(4))*((6)*(4))),(((0)-(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddTreeWithDiv|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,17,16,18,18,2
18,(x),20,-10,-0.019024,0.010055187637969094,-0.01812,0.02,0.24399999999999994,1.0233333333333332,0.47,0,0.038461538461538464,1,0.40685651047801014,0.7631562142886654,87.08333333333333,6.666666666666667,260,0,(((x)+(9))*((6)*(x))),(((0)+(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,17,18,19,19,2
19,(x),20,-10,-0.018879999999999997,0.010416666666666668,-0.016399999999999998,0.02,0.28,0.15,0.9,0,-0.3,1,0.24982169641566362,0.408248290463863,56.1,0.8333333333333334,175,0,((x)*((9)*(4))),(((0)*(4))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,19,19,20,20,2
20,(x),20,-10,-0.01798,-0.0022129252726267655,-0.01548,0.02,0.505,1.0533333333333332,1.13,0,0.7757847533632287,1,0.7649262381939747,0.408248290463863,245.38333333333333,0.8333333333333334,1115,0,(((8)*(x))*((4)*(7))),(((0)-(7))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,20,20,21,21,2
21,(x),20,-10,-0.01816,0.006836946221274579,-0.01424,0.02,0.46,1.3416666666666666,1.44,0,-0.32,1,0.30951424307560815,0.7200822998230956,73.58333333333333,3.3333333333333335,170,0,((x)*((7)*(5))),(((0)+(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,21,21,22,22,2
22,(x),20,-10,-0.019237333333333335,0.008416252072968491,-0.01808,0.02,0.19066666666666665,0.7033333333333333,0.48,0,0.5663486556808326,1,0.6156868942716828,0.7373940601876312,109.68333333333334,5,576.5,0,((9)*((8)*(8))),(((0)-(x))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult,AddXD|ReplaceBranchR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,21,22,23,23,2
23,(x),20,-10,-0.018064,0.0026388888888888885,-0.014159999999999999,0.02,0.484,0.26666666666666666,1.46,0,0.1935483870967742,1,0.4727987914728373,0.6123724356957945,80.01666666666667,1.6666666666666667,310,0,((x)*((9)*(7))),(((0)*(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,SkipD|ReplaceBranchR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,23,23,24,24,2
