gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03321176051333159,0.01142857142857143,-0.018828133577310155,0.01142857142857143,3323.9565000000002,244.832,10367.1008,244.832,-0.09325676382172261,0.28571428571428575,0.42731682204049715,0,130878.48000000001,6120.8,443999.52,6120.8,((((x)*(x))*((6)*(x)))*((1)+((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,SkipD,DeleteTerminalR,11,11,12,12,4
12,x*x*x*x,25,-10,-0.029216240027748364,0.01142857142857143,-0.007452117835473895,0.01142857142857143,10723.566,244.832,37710.114,244.832,0.8409513813983691,0.28571428571428575,0.8713700830438613,0,807263.1,6120.8,3078706.4,6120.8,((((x)*(x))*((9)*(7)))*((8)*((x)-((x)*(x))))),(0),SkipD|DivXD|MutateNonTerminalR|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,SkipD,DeleteTerminalR,12,12,13,13,4
13,x*x*x*x,25,-10,-0.027759041710233957,0.01142857142857143,-0.017649717357208206,0.01142857142857143,5993.9566,244.832,10944.128799999999,244.832,-0.3376143641354071,0.28571428571428575,0.24030148245334446,0,177309.24,6120.8,324346.4,6120.8,((((6)*(x))*((9)+(0)))*((x)*((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddToLeafR,DeleteTerminalR,13,13,14,14,4
14,x*x*x*x,25,-10,-0.02041866383608165,0.01142857142857143,-0.001971602897849143,0.01142857142857143,13602.087000000001,244.832,34531.58,244.832,0.8019757134898383,0.28571428571428575,0.733912914844376,0,857407.4,6120.8,2472747.2,6120.8,((((x)*(x))*((9)*(5)))*((9)*((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,MultXD,DeleteTerminalR,14,14,15,15,4
15,x*x*x*x,25,-10,-0.03334821714481767,0.01142857142857143,-0.0192359209580447,0.01142857142857143,3257.1385999999998,244.832,10167.422,244.832,-0.2251143641354072,0.28571428571428575,0.3477251119718281,0,134046.9,6120.8,379433.6,6120.8,((((7)*(x))*((x)*(x)))*((9)*((1)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddToLeafR,DeleteTerminalR,15,15,16,16,4
16,x*x*x*x,25,-10,-0.032036486610946366,0.01142857142857143,-0.01649789716918083,0.01142857142857143,4676.3956,244.832,14615.9328,244.832,0.5402057085165008,0.28571428571428575,0.7092457019614906,0,325932.8,6120.8,1064963.2,6120.8,((((5)*(7))*((5)*(x)))*((x)*((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,16,16,17,17,4
17,x*x*x*x,25,-10,-0.027034617701844614,0.01142857142857143,-0.004182311481800091,0.01142857142857143,6370.9354,244.832,17627.6504,244.832,0.12604721412557182,0.28571428571428575,0.5146018213237484,0,179953.6,6120.8,560286.56,6120.8,((((x)*(x))*((2)*(4)))*((x)*((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,SkipD,DeleteTerminalR,17,17,18,18,4
18,x*x*x*x,25,-10,-0.024557512976132338,0.01142857142857143,-0.005184062778581606,0.01142857142857143,8127.4328000000005,244.832,18781.673600000002,244.832,0.43003515813712156,0.28571428571428575,0.6404599672579763,0,477986.56000000006,6120.8,859112.64,6120.8,((((x)*(4))*((6)*(x)))*((8)*((8)-((x)*(x))))),(0),DeleteNonTerminalR|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,DeleteNonTerminalR,DeleteTerminalR,18,18,19,19,4
19,x*x*x*x,25,-10,-0.027302039118558843,0.01142857142857143,-0.00853560550050645,0.01142857142857143,13424.4162,244.832,44233.7088,244.832,0.871103219391258,0.28571428571428575,0.8285424919455718,0,1044426.12,6120.8,3798884.64,6120.8,((((x)*(9))*((x)*(6)))*((x)*((x)-((x)*(x))))),(0),SkipD|AddTreeWithMult|SubXD|AddTreeWithMult|AddToLeafR,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,19,19,20,20,4
20,x*x*x*x,25,-10,-0.020830729605030053,0.009591492081054736,0.003766716347956029,0.011438374068749185,10637.5072,268.4554,26428.4104,244.74800000000002,0.6172081233829626,0.28571428571428575,0.738144944031559,0,376667.55999999994,6120.8,1279191.2,6120.8,((((x)*(5))*((6)*(x)))*((x)*((7)-((x)*(x))))),(0),SkipD|AddTreeWithMult|SubXD|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,20,20,21,21,4
