specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x*x*x,25,-10,ANTAGONIST-Eun,PROTAGONIST-2c2c2c1c2c1c1c1c2c2c1c1c2c2c1c1c2c1c1c2c2c2c1c1c1c1c2c1c2c2c2c1c1c1c1c2c2c2c1c2c2c2c2c2c2c2c1c2c2c1c2c2c1c2c2c1c2c1c2c2c1c2c2c2c1c1c1c1c1c2c2c1,0.9596330586467,0.2885523834419405,12130322.08,6096.48,0.017466816996861877,0.0013770296370217156,51688607.58,6095.44,89235143.2,6084.48,((((x)*(6))*((5)*((x)*(9))))*((9)*((6)*((x)*(x))))),((0)+((7)*(8))),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,AddRandomSubTreeR|AddTreeWithMult|SubXD|DeleteMaliciousR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,0.6652719665271967,0.284780700935452,0.8997022426798906,0.0021984286220754854,1462871.2,6128.8,4221465.84,6084.48,((((x)*(x))*((x)*((3)*(5))))*((1)*((4)*((x)*(x))))),((7)*(8)),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,DeleteNonTerminalR|AddTreeWithSub|FellTreeD|MutateNonTerminalR|AddToLeafR,MultXD,DeleteNonTerminalR,0,4
x*x*x*x,25,-10,ANTAGONIST-Eun,PROTAGONIST-2c2c2c1c2c1c1c1c2c2c1c1c2c2c1c1c2c1c1c2c2c2c1c1c1c1c2c1c2c2c2c1c1c1c1c2c2c2c1c2c2c2c2c2c2c2c1c2c2c1c2c2c1c2c2c1c2c1c2c2c1c2c2c2c1c1c1c1c1c2c2c1,0.9944664994128566,0.28995276061019115,88490819.2,6084.48,0.017466816996861877,0.0013770296370217156,51688607.58,6095.44,89235143.2,6084.48,((((x)*(6))*((5)*((x)*(9))))*((9)*((6)*((x)*(x))))),((0)+((7)*(8))),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,AddRandomSubTreeR|AddTreeWithMult|SubXD|DeleteMaliciousR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,0.85497254636084,0.28995276061019115,0.8997022426798906,0.0021984286220754854,3376353.84,6084.48,4221465.84,6084.48,((((x)*(x))*((x)*((3)*(5))))*((1)*((4)*((x)*(x))))),((7)*(8)),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,DeleteNonTerminalR|AddTreeWithSub|FellTreeD|MutateNonTerminalR|AddToLeafR,MultXD,DeleteNonTerminalR,1,4
x*x*x*x,25,-10,ANTAGONIST-Eun,PROTAGONIST-2c2c2c1c2c1c1c1c2c2c1c1c2c2c1c1c2c1c1c2c2c2c1c1c1c1c2c1c2c2c2c1c1c1c1c2c2c2c1c2c2c2c2c2c2c2c1c2c2c1c2c2c1c2c2c1c2c1c2c2c1c2c2c2c1c1c1c1c1c2c2c1,0.9945126551889705,0.2893926097428908,89235143.2,6089.28,0.017466816996861877,0.0013770296370217156,51688607.58,6095.44,89235143.2,6084.48,((((x)*(6))*((5)*((x)*(9))))*((9)*((6)*((x)*(x))))),((0)+((7)*(8))),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,AddRandomSubTreeR|AddTreeWithMult|SubXD|DeleteMaliciousR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,0.8840061678670365,0.28608771962581925,0.8997022426798906,0.0021984286220754854,4221465.84,6117.6,4221465.84,6084.48,((((x)*(x))*((x)*((3)*(5))))*((1)*((4)*((x)*(x))))),((7)*(8)),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,DeleteNonTerminalR|AddTreeWithSub|FellTreeD|MutateNonTerminalR|AddToLeafR,AddTreeWithMult,DeleteNonTerminalR,2,4
x*x*x*x,25,-10,ANTAGONIST-Eun,PROTAGONIST-2c2c2c1c2c1c1c1c2c2c1c1c2c2c1c1c2c1c1c2c2c2c1c1c1c1c2c1c2c2c2c1c1c1c1c2c2c2c1c2c2c2c2c2c2c2c1c2c2c1c2c2c1c2c2c1c2c1c2c2c1c2c2c2c1c1c1c1c1c2c2c1,0.9710226196035718,0.2867972440577329,16898145.84,6111.52,0.017466816996861877,0.0013770296370217156,51688607.58,6095.44,89235143.2,6084.48,((((x)*(6))*((5)*((x)*(9))))*((9)*((6)*((x)*(x))))),((0)+((7)*(8))),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,AddRandomSubTreeR|AddTreeWithMult|SubXD|DeleteMaliciousR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,-0.9875,0.2871520062736898,0.8997022426798906,0.0021984286220754854,6120.8,6108.48,4221465.84,6084.48,((((x)*(x))*((x)*((3)*(5))))*((1)*((4)*((x)*(x))))),((7)*(8)),MultXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,DeleteNonTerminalR|AddTreeWithSub|FellTreeD|MutateNonTerminalR|AddToLeafR,MultXD,DeleteNonTerminalR,3,4
