gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.06481372890390145,-0.022840548387699083,-0.05975007597046138,-0.01138277909516963,NaN,NaN,NaN,NaN,-0.9875096392628414,0.2884823645835279,0.00018431175199405176,0.0014828356601313331,6060.3,6113.22,6116.08,6097.08,(((0)*(8))*((8)+(6))),((5)*((1)*(7))),DivXD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,AddRandomSubTreeR,AddTreeWithAdd,0,0,1,1,1
1,x*x*x*x,25,-10,-0.04456455263200889,-0.005647114289448621,-0.03949871013592994,0.01178543421028064,213.2229,444.10290000000003,245.4636,241.774,-0.9874874199451051,0.3052822226786415,0.00007551113314901975,0.009446388271555584,6091.9400000000005,6067.610000000001,6126.96,5953.12,(((6)-(8))+((1)*(x))),((x)*((x)*(3))),DivXD|FellTreeD|ReplaceBranchR|AddToLeafR|MultXD,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,1,1,2,2,1
2,x*x*x*x,25,-10,-0.03951023701967063,0.011567582202139779,-0.03949961851391975,0.011803405717273188,239.8193,243.6408,245.0188,241.62,-0.9874652823160371,0.2939625072352821,0.000019934824746407547,0.0024824710933872836,6123.68,6067.58,6137.8,6050.12,(((8)-(7))+((9)*(2))),((5)*((5)*(5))),DivXD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,ReplaceBranchXR|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,DivXD,ReplaceBranchXR,2,2,3,3,1
3,x*x*x*x,25,-10,-0.039501566584433406,0.011535466885747898,-0.03949803130309763,0.011931586907407064,244.06489999999997,243.916,245.796,240.5216,-0.9874509867991113,0.2987658009223818,0.000023662409787649528,0.005652746460428114,6127.55,6079.610000000001,6144.8,6008.96,(((8)*(x))-((8)*(5))),((x)*((x)*(2))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,ReplaceBranchR|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,ReplaceBranchR,ReplaceBranchR,3,3,4,4,1
4,x*x*x*x,25,-10,-0.039500963517840805,0.011465366338667215,-0.03949031989282447,0.011556892656422133,244.36020000000005,244.5167,249.572,243.73239999999998,-0.9870221212913345,0.29130645853950005,0.00028231176671104425,0.0038249508817488824,6148.4400000000005,6110.360000000001,6354.8,6072.88,(((9)*(4))-((6)*(5))),((x)+((9)*(8))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,ReplaceBranchR,ReplaceBranchXR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.0395028507302967,0.011604797225386038,-0.03949754933995556,0.012171518195567341,243.4361,243.3219,246.032,238.46560000000002,-0.9873774669977781,0.3375655843307132,0.00008859415068186424,0.0257116061745653,6136.9,6006.96,6180.8,5676.48,(((6)-(8))*((8)+(x))),((x)*((8)*(x))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,AddRandomSubTreeR,AddTreeWithAdd,5,5,6,6,1
6,x*x*x*x,25,-10,-0.03950583420467913,0.0116554208600183,-0.03949986276303751,0.01274931381518756,241.97519999999997,242.88809999999998,244.8992,233.5144,-0.9875040844334074,0.3458464813189686,0.00006895605510629337,0.02863990883928838,6097.79,5972.93,6118.8,5605.52,(((2)*(5))*((0)+(x))),(((x)*(x))+((x)*(9))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult,AddTreeWithMult,AddTreeWithAdd,6,6,7,7,1
7,x*x*x*x,25,-10,-0.0395008732518625,0.011565878409918406,-0.03949731897791138,0.012249379166122076,244.40439999999998,243.65540000000001,246.1448,237.79840000000002,-0.9873550026140374,0.32468211438280714,0.00009082886996532534,0.01984590648759857,6133.43,6041.82,6191.8,5786.88,(((x)-(1))-((8)*(9))),((x)*((x)*(6))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|FellTreeD,SkipD,FellTreeD,7,7,8,8,1
8,x*x*x*x,25,-10,-0.03950555074500065,0.011525267472039137,-0.03949734838583192,0.011982700674048212,242.114,244.0034,246.1304,240.08360000000002,-0.9872982289896746,0.306733947009728,0.0001827086938032336,0.011035066207398612,6111.32,6077.44,6219.6,5940.68,(((x)*(2))-((5)*(9))),((7)*((7)*(9))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,AddTreeWithMult,AddTreeWithAdd,8,8,9,9,1
9,x*x*x*x,25,-10,-0.03950258360835185,0.011522396698844226,-0.03949614429486342,0.011683300035476225,243.56689999999998,244.02800000000002,246.72,242.64919999999998,-0.9871140210430009,0.29447597886364063,0.00026636103992055076,0.003539086788655322,6127.92,6090.5199999999995,6309.8,6045.72,(((0)-(9))*((7)*(3))),(((6)+(3))*((3)*(9))),AddXD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|FellTreeD|AddTreeWithAdd|AddTreeWithMult,AddXD,AddTreeWithAdd,9,9,10,10,1
10,x*x*x*x,25,-10,-0.03949920312704222,0.011490736505032025,-0.03949752891778852,0.01199507067236776,245.22220000000002,244.29930000000002,246.042,239.97760000000002,-0.987357044830741,0.30938065985772173,0.00006938990771594171,0.012351285681070757,6157.17,6018.67,6190.8,5918,(((x)-(2))*((6)*(6))),(((7)*(7))+((9)*(9))),SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|SkipD,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult,SkipD,AddTreeWithAdd,10,10,11,11,1
11,x*x*x*x,25,-10,-0.03950392493628284,0.011528464999906642,-0.03949511501764476,0.01198321414567657,242.91010000000003,243.976,247.22400000000002,240.0792,-0.9871076493268854,0.306733947009728,0.00021569633598153256,0.010015182739505323,6156.8,6068.64,6312.92,5940.68,(((7)-(4))*((x)*(x))),((7)*((7)*(9))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,SkipD,AddTreeWithMult,11,11,12,12,1
12,x*x*x*x,25,-10,-0.03950263384688277,0.011549003865040985,-0.03949958583845249,0.01189723098754598,243.54229999999998,243.8,245.0348,240.81599999999997,-0.9874632400993334,0.299101891442762,0.000054966474085450105,0.006388046032339849,6111.6900000000005,6086.9,6138.8,6006.08,(((1)+(6))-((5)*(5))),((x)*((9)*(8))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,SkipD,ReplaceBranchXR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.039500501976865776,0.011465681423530074,-0.03949048327016077,0.011618695968780927,244.5862,244.514,249.49200000000002,243.2028,-0.986585086916743,0.295092144817671,0.0005152913864615915,0.005037735982250654,6224.49,6100.68,6568.8,6040.44,(((1)-(9))*((x)*(x))),((7)*((3)*(7))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,FellTreeD,AddTreeWithAdd,13,13,14,14,1
14,x*x*x*x,25,-10,-0.03950175079238008,0.011470326007804772,-0.03949686233825644,0.01164030845641093,243.9747,244.4742,246.36839999999995,243.0176,-0.9872337766305058,0.2978042086001831,0.00011597218165692677,0.006646924754777328,6168.139999999999,6099.16,6251.16,6017.2,(((1)-(7))*((8)*(x))),((x)*((9)*(7))),AddXD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,AddTreeWithMult,MutateTerminalR,14,14,15,15,1
15,x*x*x*x,25,-10,-0.0395033841572997,0.011510645200440655,-0.03949992893085871,0.01169426965662752,243.1749,244.12869999999998,244.8668,242.55519999999996,-0.9874509867991113,0.2947327146778199,0.000053051675002911385,0.0033196367780266166,6106.83,6085.4800000000005,6144.8,6043.52,(((6)*(8))-((9)*(8))),((4)*((5)*(7))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,SkipD,AddTreeWithAdd,15,15,16,16,1
16,x*x*x*x,25,-10,-0.04962426745686838,0.011582659596317945,-0.04961440824728793,0.01199086954086301,183.9827,243.51160000000004,188.81040000000002,240.0136,-0.9870976833093713,0.30330302294751393,0.0002161594069155972,0.006751715306194038,6164.620000000001,6054.98,6317.8,5970.08,(((3)-(5))*((5)*(8))),((7)*((8)*(6))),SkipD|FellTreeD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,FellTreeD,FellTreeD,16,16,17,17,1
