gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03950036862011502,0.012526688854864914,-0.03949346490654817,0.015351121235319383,244.65150000000003,235.4221,248.032,211.21919999999997,-0.9868464906548163,0.6132438336725359,0.0003267860761210712,0.16319434462401267,6200.93,5411.78,6440.8,3314.16,(((0)*((9)-(x)))*((x)*(x))),(((x)*((2)*(x)))*((5)*(x))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,11,11,12,12,3
12,x*x*x*x,25,-10,-0.03950372091883414,0.01126856666728906,-0.03949430221539668,0.011782493418227312,243.01,246.2031,247.622,241.79919999999998,-0.9869322637563718,0.28751610433743496,0.0002838681218141348,0.0009121173854260044,6190.3,6113.110000000001,6398.8,6105.36,(((0)-((5)*(x)))*((x)+(x))),((2)*((4)*(x))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,12,12,13,13,3
13,x*x*x*x,25,-10,-0.039472126805319564,0.01149253365573128,-0.039375,0.01170780663592061,258.4805,244.2839,306.04,242.43919999999997,-0.9750000000000001,0.29620777862837727,0.006367009891323163,0.005003145453546411,7570.5,6080.530000000001,12241.6,6030.88,(((x)*((x)*(0)))-((x)*(x))),(((0)+((6)*(9)))*((1)*(x))),MultXD|DeleteTerminalR|DeleteMaliciousR|SkipD|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,13,13,14,14,3
14,x*x*x*x,25,-10,-0.039533199500065355,0.010711286573183711,-0.039499959155665926,0.012610863192486513,228.5754,250.9785,244.852,234.7008,-0.9874959155665927,0.34639729633848054,0.000002042216703690425,0.029797374601666187,6121.3,5982.860000000001,6122.8,5600.8,(((x)*((0)*(x)))*((0)-(x))),((((x)*(9))*((x)-(0)))+((3)*((4)*(x)))),MultXD|DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,14,14,15,15,3
15,x*x*x*x,25,-10,-0.03952916142497713,0.012139834662135671,-0.03949195366618743,0.01542487443284725,230.55269999999996,238.7371,248.77200000000002,210.58720000000002,-0.9866953666187427,0.6082864984969286,0.0003969139800509972,0.1836293647539842,6223.3,5619.389999999999,6514.8,3356.64,((((x)*(4))-((5)*(7)))+((0)*((x)-(x)))),((((2)*(3))*((x)*(1)))*((x)*((4)+(6)))),MultXD|SubXD|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,ReplaceBranchR,AddTreeWithMult,15,15,16,16,3
16,x*x*x*x,25,-10,-0.03946533030812966,0.006732395797023367,-0.039361545876356034,0.01169669697705249,261.80850000000004,342.21119999999996,312.628,242.53440000000003,-0.9750040844334075,0.28771215714099,0.006245915566592597,0.0009823466262556674,7652,6116.29,12239.6,6103.68,((((3)+(0))*((x)*(x)))*((x)*((x)-(x)))),((6)*((2)*(2))),MultXD|SubXD|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,AddToLeafR,AddTreeWithMult,16,16,17,17,3
17,x*x*x*x,25,-10,-0.03952478046170435,0.009463649646455779,-0.03949967242844073,0.012007674066882017,232.6979,278.4791666666667,244.9924,239.8696,-0.9874959155665927,0.2986350990533451,0.000002042216703690425,0.006991365124344169,6122.3,6067.09,6122.8,6010.08,(((4)*(0))*((x)-(x))),((8)*((3)*(9))),MultXD|SubXD|DeleteTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchXR,DeleteTerminalR,AddTreeWithSub,17,17,18,18,3
18,x*x*x*x,25,-10,-0.03949339342896353,0.011563194353679258,-0.03947351980133316,0.013456317568198367,248.06699999999998,243.6784,257.7984,227.45600000000002,-0.9848727290550254,0.4357226879772953,0.001312275407210597,0.07801043215029636,6443.42,5831.38,7407.28,4835.36,(((0)-((4)*(x)))*((x)*((x)-(x)))),((((x)*(6))-((0)*(9)))*((2)*((x)*(2)))),MultXD|SubXD|DeleteTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03948616949581754,0.011626129637582392,-0.03944494673898837,0.012467651287413412,251.6043,243.13909999999998,271.7896,235.928,-0.9820111750098027,0.32147058274361906,0.0027443911833251815,0.017351950038478135,6792.74,6036.32,8808.48,5814.4,(((0)-((8)*(x)))*((x)*((x)-(0)))),(((4)*((7)-(4)))*((6)*((2)*(5)))),MultXD|SubXD|AddXD|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,19,19,20,20,3
20,x*x*x*x,25,-10,-0.03951107453274082,0.011530565565659021,-0.03949944778460332,0.012030920327874974,239.40919999999997,243.95800000000003,245.1024,239.6704,-0.9874570317605541,0.30278021547136696,0.000022902517202435368,0.008532964878540605,6125.34,6084.24,6141.84,5974.56,(((0)-(9))*((x)-(x))),((8)*((5)*(8))),MultXD|SubXD|DeleteTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteTerminalR,AddTreeWithMult,20,20,21,21,3
21,x*x*x*x,25,-10,-0.039503346580512355,0.009126013437921554,-0.03949981620049667,0.011852325559684079,243.19330000000002,274.35279999999995,244.922,241.20080000000002,-0.9874959155665927,0.293570401628172,0,0.0032574952295404552,6122.8,6089.44,6122.8,6053.48,(((x)*((x)*(0)))*((x)-(x))),(((x)*(9))*((4)+(7))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,SubXD,AddTreeWithMult,21,21,22,22,3
