gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
42,x*x*x*x,25,-10,-0.03949991831133185,0.011510633530630919,-0.03949983662266371,0.011848731258285566,244.872,244.1288,244.912,241.2316,-0.9874959155665927,0.30193065332262825,0.000002042216703690425,0.00778904053742309,6122.3,6080.88,6122.8,5981.84,((0)*((0)-(x))),((7)*((6)*(7))),MultXD|SubXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|DivXD,DeleteMaliciousR,AddToLeafR,42,42,43,43,3
43,x*x*x*x,25,-10,-0.044562428522415376,0.011705694400358499,-0.03949983662266371,0.014088541180424597,214.26300000000003,242.4573,244.912,222.0384,-0.9874959155665927,0.39765110069645426,0.000002042216703690425,0.0563011753587011,6122.3,5885.25,6122.8,5161.6,((0)-(x)),((((x)*(x))*((7)-(4)))*((x)-((2)*(0)))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,DeleteNonTerminalR,43,43,44,44,3
44,x*x*x*x,25,-10,-0.039499959155665926,0.011484796571876694,-0.03949991831133185,0.011626958194073604,244.852,244.3502,244.872,243.132,-0.9874959155665927,0.29889183486752435,0.000002358148727238434,0.006277031593216154,6121.8,6087.35,6122.8,6007.88,(((0)*((0)*(x)))*((0)-(x))),(((x)*((2)*(x)))-((1)-((x)-(0)))),MultXD|SubXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,AddToLeafR,44,44,45,45,3
45,x*x*x*x,25,-10,-0.03949992852241537,-0.00009034766697163521,-0.03949983662266371,0.011596429971805742,244.86700000000002,378.8372,244.912,243.39359999999996,-0.9874959155665927,0.29195063203689536,0.000002042216703690425,0.002729157769403633,6122.3,6100.02,6122.8,6067.36,((0)-(x)),((x)*((6)*(5))),AddRandomSubTreeR|SubXD|DeleteTerminalR|FellTreeD|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,AddRandomSubTreeR,MutateNonTerminalR,45,45,46,46,3
46,x*x*x*x,25,-10,-0.03949992852241537,0.011453918255316768,-0.039499877466997776,0.01152034281233079,244.86700000000002,244.61480000000003,244.892,244.04559999999998,-0.9874959155665927,0.28813227029146526,0.000002042216703690425,0.0009671909396983869,6122.3,6113.71,6122.8,6100.08,(((0)*((x)*(0)))*((0)-(x))),((6)*((6)-(6))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MutateNonTerminalR,46,46,47,47,3
47,x*x*x*x,25,-10,-0.03950157250686184,0.009637601821127969,-0.03949983662266371,0.011643482644658967,244.062,267.3664,244.912,242.99039999999997,-0.9874959155665927,0.29301491868476587,0.000002358148727238434,0.004875812790567568,6121.8,6103.48,6122.8,6058.24,(((x)*((x)*(0)))*((0)-(x))),((4)*((x)*(9))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,DeleteNonTerminalR,47,47,48,48,3
48,x*x*x*x,25,-10,-0.039499959155665926,0.0115313824523405,-0.039499877466997776,0.011995257389323525,244.852,243.951,244.892,239.976,-0.9874959155665927,0.30661724891237374,0.000002358148727238434,0.010396331362776097,6121.8,6074.29,6122.8,5941.68,(((x)*((0)*(0)))*((0)-(x))),(((3)*(7))*((6)*(x))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,MultXD,48,48,49,49,3
49,x*x*x*x,25,-10,-0.0496249489445824,0.005800152174318952,-0.04962487746699778,0.011809100584424075,NaN,NaN,183.68400000000003,241.57120000000003,-0.9874959155665927,0.31726945123886713,0.000002358148727238434,0.015816864802893047,6121.8,6053.700000000001,6122.8,5850.4,((0)-(x)),(((6)*((8)*(x)))-((0)*((1)+(8)))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MutateNonTerminalR,49,49,50,50,3
50,x*x*x*x,25,-10,-0.039499938733498885,0.007003830550874019,-0.039499877466997776,0.011633586646003327,244.862,350.745,244.892,243.0752,-0.9874959155665927,0.2937057714211028,0.000002042216703690425,0.003920221498271349,6122.3,6102.620000000001,6122.8,6052.32,(((0)*((x)*(0)))*((x)-(x))),((5)*((3)*(8))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MutateNonTerminalR,50,50,51,51,3
51,x*x*x*x,25,-10,-0.03949992852241537,0.011512278973803615,-0.039499877466997776,0.011888828724536475,244.86700000000002,244.1147,244.892,240.88800000000003,-0.9874959155665927,0.3011464421084079,0.000002042216703690425,0.007577183647067861,6122.3,6085.8,6122.8,5988.56,(((x)*((x)*(0)))*((0)-(x))),(((5)*(9))*((2)*(3))),DeleteTerminalR|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteTerminalR,AddToLeafR,51,51,52,52,3
52,x*x*x*x,25,-10,-0.047093656466474974,0.009114318955775025,-0.03949974839890211,0.011811901338760578,198.9718,278.45419999999996,244.9552,241.5472,-0.9874789243236178,0.30246279664656356,0.000009376184383610833,0.0070725650593873955,6124.38,6064.139999999999,6131.12,5977.28,(((0)*((x)*(x)))*((x)-((x)*(5)))),(((4)*(8))*((3)*(x))),MultXD|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR,MultXD,52,52,53,53,3
53,x*x*x*x,25,-10,-0.039499887678081304,0.01169095543066266,-0.03949983662266371,0.012717151819556736,244.887,242.58360000000002,244.912,233.79,-0.9874959155665927,0.3366039920085143,0,0.02378637635779269,6122.8,5975.38,6122.8,5684.72,(((x)*((0)*(0)))*((x)-(x))),(((8)*(x))-((4)*(x))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|DeleteNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,DeleteNonTerminalR,53,53,54,54,3
54,x*x*x*x,25,-10,-0.03949992852241537,0.012541801258472285,-0.039499877466997776,0.015323580484343785,244.86700000000002,235.2926,244.892,211.4552,-0.9874959155665927,0.6457792632148925,0.000002042216703690425,0.17221896716650506,6122.3,5217.16,6122.8,3035.36,(((0)*((x)*(0)))*((x)-(x))),(((9)*(8))*((x)*(x))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,SkipD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddToLeafR,54,54,55,55,3
55,x*x*x*x,25,-10,-0.03949983662266371,0.01153997143230577,-0.03949967324532741,0.012125772541404487,244.912,243.87740000000002,244.99200000000002,238.8576,-0.9874836622663704,0.30718673562746235,0.000007074446181768717,0.010215824672826028,6123.8,6067.49,6128.8,5936.8,(((x)*((x)*(0)))*((x)-(8))),(((3)*(x))+((9)*(x))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithMult,MutateTerminalR,MutateNonTerminalR,55,55,56,56,3
56,x*x*x*x,25,-10,-0.03949985704483074,0.011523832085441681,-0.039499632400993336,0.011998431577571562,244.90200000000002,244.0157,245.012,239.9488,-0.9874816200496668,0.3084984222417238,0.000009189975166634667,0.012605162654547293,6123.05,6081.43,6129.8,5925.56,((0)-(9)),(((9)*(5))*((2)+(9))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR,DeleteNonTerminalR,56,56,57,57,3
57,x*x*x*x,25,-10,-0.03949992852241537,0.011522373359224753,-0.039499877466997776,0.011747670705976812,244.86700000000002,244.0282,244.892,242.09759999999997,-0.9874959155665927,0.2971506992549994,0.000002042216703690425,0.005498718418940981,6122.3,6092.77,6122.8,6022.8,(((0)*((x)*(0)))*((x)-(x))),(((x)*((2)*(x)))-((0)-((7)+(7)))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,57,57,58,58,3
58,x*x*x*x,25,-10,-0.03949991831133185,0.011469427432455145,-0.03949983662266371,0.011644602946393568,244.872,244.48190000000002,244.912,242.98080000000002,-0.9874959155665927,0.29195063203689536,0.000002358148727238434,0.00300678651018059,6121.8,6105.6900000000005,6122.8,6067.36,(((0)*((6)*(0)))*((x)-(x))),((5)*((6)*(x))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteNonTerminalR,MutateNonTerminalR,58,58,59,59,3
59,x*x*x*x,25,-10,-0.03949984172820546,0.00824955121125272,-0.039499652823160376,0.011885654536288443,244.9095,695.6691999999999,245.002,240.91519999999997,-0.9874816200496668,0.2998674309614056,0.000008061799711855253,0.00582095537396025,6124.05,6067.04,6129.8,5999.52,(((0)*((x)*(0)))*((x)-(9))),((6)*((8)*(5))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR,AddToLeafR,59,59,60,60,3
60,x*x*x*x,25,-10,-0.039499872361456016,0.009677917384004276,-0.0394996119788263,0.011773017532722148,244.8945,267.25469999999996,245.02200000000002,241.8804,-0.9874816200496668,0.29667457101779415,0.000008724353582567578,0.005114433701900258,6123.55,6084.98,6129.8,6026.88,((0)-(9)),(((4)*((4)+(5)))+((x)-((0)*(x)))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,60,60,61,61,3
61,x*x*x*x,25,-10,-0.03949986725591426,0.011467968706238216,-0.039499795778329634,0.011628265212763975,244.89700000000002,244.4944,244.93200000000002,243.12079999999997,-0.9874918311331853,0.2941165487237897,0.000002042216703690425,0.0039611643424678055,6123.3,6098.93,6124.8,6048.8,(((0)*((x)*(x)))*((0)-(4))),((8)*((2)*(8))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MutateTerminalR,DeleteNonTerminalR,61,61,62,62,3
62,x*x*x*x,25,-10,-0.03949995976833094,0.011526632839778181,-0.03949981620049667,0.0121515394813003,244.85170000000002,243.9917,244.922,238.6368,-0.9874959155665927,0.3195007188602798,0.000002042216703690425,0.017505706871897626,6122.3,6055.42,6122.8,5831.28,((0)-(x)),(((7)*(8))*((6)*(x))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddToLeafR,62,62,63,63,3
63,x*x*x*x,25,-10,-0.03949984172820547,0.011517938831525293,-0.03949967324532741,0.012112702354500815,244.9095,244.06619999999998,244.99200000000002,238.96959999999999,-0.9874857044830742,0.3115372406968277,0.000006012123188096524,0.012228392946891393,6123.8,6054.219999999999,6127.8,5899.52,(((0)*((x)*(0)))*((x)-(7))),(((7)*(6))*((7)*(2))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|AddToLeafR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,DeleteNonTerminalR,63,63,64,64,3
64,x*x*x*x,25,-10,-0.03949994894458241,0.011460114924286278,-0.03949983662266371,0.011632513023507669,244.857,244.56169999999997,244.912,243.0844,-0.9874959155665927,0.30582370185036517,0.000002358148727238434,0.00958806377535658,6121.8,6070.54,6122.8,5948.48,((0)-(x)),(((4)*(x))*((6)*(5))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,64,64,65,65,3
65,x*x*x*x,25,-10,-0.03949991831133185,0.011487200552682193,-0.03949983662266371,0.011701551617902426,244.872,244.32960000000003,244.912,242.4928,-0.9874959155665927,0.29301491868476587,0.000002358148727238434,0.0030892041486907107,6121.8,6097.52,6122.8,6058.24,(((0)*((x)*(0)))*((x)-(x))),(((0)+(9))*((4)*(x))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddToLeafR,65,65,66,66,3
66,x*x*x*x,25,-10,-0.039499892783623064,0.011495929570364287,-0.03949983662266371,0.011666495509457218,244.8845,244.25480000000005,244.912,242.79319999999998,-0.9874959155665927,0.2990458763560319,0.0000010211083518174568,0.0067261693700356485,6122.55,6092.99,6122.8,6006.56,((0)*((0)-(x))),((7)*((8)*(4))),MultXD|SubXD|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MutateNonTerminalR,66,66,67,67,3
67,x*x*x*x,25,-10,-0.03949990299470658,0.00781975504544373,-0.03949975493399556,0.011663881472076483,244.8795,329.3657,244.952,242.81560000000002,-0.9874836622663704,0.29575965793453707,0.00000653828363678709,0.006648592023432729,6124.05,6088.4800000000005,6128.8,6034.72,((((x)*(0))*((2)+(2)))*((x)*((x)-(8)))),((4)*((8)*(5))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|FellTreeD,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,67,67,68,68,3
68,x*x*x*x,25,-10,-0.03923977523362959,0.009213419110006968,-0.038457402627107576,0.016758033497021867,372.25469999999996,273.57539999999995,755.3544,199.1632,-0.8878499542543459,0.5496667102339564,0.049857506981634624,0.1303652295115382,18295.769999999997,5513.32,54915.84,3858.96,((((x)*(x))*((x)*(7)))+((8)*((7)-(0)))),((((6)+(x))+((0)*((5)*(9))))-((x)-((8)+((6)*(x))))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR,MultXD,68,68,69,69,3
69,x*x*x*x,25,-10,-0.039036668205136585,0.0009938043786439099,-0.03819057802901581,0.011820490318725846,471.70889999999997,3641.1176,886.0088000000001,241.4736,-0.9375,0.29740276714528446,0.022630274481591214,0.21426175377947268,18493.96,7056.82,30604,6020.64,((((x)*(4))+((2)*(x)))*((x)*((x)-(0)))),(((9)*(8))*((9)*(5))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithMult|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MutateTerminalR,AddTreeWithMult,69,69,70,70,3
70,x*x*x*x,25,-10,-0.03933229377695726,0.008717924031273082,-0.03874401140373808,0.011912728494874623,326.95169999999996,353.86440000000005,615.0124000000001,240.6832,-0.9119521957913999,0.3004929327632243,0.03777049849567678,0.007165071085597971,15371.56,6085.76,43113.84,5994.16,((((x)*(7))*((x)*(5)))+((7)*((x)-(0)))),((((3)*(7))*((x)*(0)))+((x)+((x)*((4)+(x))))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithMult|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,70,70,71,71,3
71,x*x*x*x,25,-10,-0.03814809930891387,0.007413695490641699,-0.03542962602927722,0.0118623149168176,906.8091000000001,1397.6141999999998,2237.9476,241.11519999999996,-0.8534181806299831,0.30456336239893955,0.0667208972429743,0.009424538342326899,33250.96,6080.42,71775.84,5959.28,((((9)+(6))*((x)*(9)))*((x)*((x)-(0)))),((((2)*(7))*((4)*((x)*(3))))-((1)-((0)+((x)*(1))))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithMult|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,71,71,72,72,3
72,x*x*x*x,25,-10,-0.03947553322278134,0.010484857283056072,-0.03943569059600052,0.012136555445600017,256.8125,253.67739999999998,276.32199999999995,238.7652,-0.9810956084172003,0.317932296431839,0.0027715137700800364,0.013557036238964641,7312.599999999999,5985.1,9256.8,5844.72,((((x)*(0))-((8)*(7)))+((0)*((x)-(0)))),((((6)+(4))*((9)*(7)))+((1)-((1)*((0)*(x))))),AddTreeWithSub|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub,MultXD,72,72,73,73,3
73,x*x*x*x,25,-10,-0.039076863522742124,0.0011298794426472594,-0.03781847307541498,0.013425509270496858,452.02670000000006,490.10540000000003,1068.2152,227.71999999999997,-0.8740772448046008,0.43465840132942485,0.05670865467478145,0.4364125906147675,20007.56,8791.98,61659.84,4844.48,((((x)*(x))*((9)*(6)))+((7)*((x)-(0)))),(((x)*(4))*((x)*(x))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,73,73,74,74,3
74,x*x*x*x,25,-10,-0.03896682276009672,0.013462397539070525,-0.037294193569468045,0.026977052486136265,505.9097,227.40390000000002,1324.9360000000001,111.5952,-0.8645362534309241,0.7376626771477118,0.06147574771990186,0.22428567327394533,21178.030000000002,5130.2,66331.72,2248,((((0)+(x))*((x)*(x)))*((x)*((x)-(3)))),((((0)+(8))-((7)*((x)*(x))))*((x)-((2)*((2)*(x))))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,74,74,75,75,3
75,x*x*x*x,25,-10,-0.03936940902333028,0.006838761698890547,-0.039044940203894915,0.014824672778535022,308.7777,827.8219,467.6584000000001,215.7304,-0.9670430335903802,0.28813227029146526,0.009641874773042586,0.0012709181834784163,9442.720000000001,6116.370000000001,16137.84,6100.08,((((0)+(4))*((x)*(x)))*((9)*((x)-(0)))),(((5)*(2))*((3)*(1))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,75,75,76,76,3
76,x*x*x*x,25,-10,-0.038991533173768134,0.007863026749418058,-0.03759169226244935,0.012602367570999124,493.8099,716.255,1179.2616,234.77360000000002,-0.9000131518755717,0.2923053942528522,0.04129288396349282,0.0018451485983181214,19891.24,6115.91,48959.96,6064.32,((((x)*(9))+((0)*(x)))*((x)*((x)-(7)))),(((8)+(3))*((8)*(x))),MultXD|SubXD|MutateTerminalR|SkipD|DeleteMaliciousR,MultXD|AddTreeWithMult|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,76,76,77,77,3
77,x*x*x*x,25,-10,-0.03820502855018952,-0.001291684727688645,-0.03548977094497452,0.012686016767182631,878.9329000000002,1640.4334000000003,2208.4968,234.0568,-0.7207108547902236,0.3014731967809997,0.12224559823034421,0.0077533691289283614,51432.62,6067.780000000001,136757.84,5985.76,((((x)*(x))*((x)*(x)))+((x)*((x)-(0)))),((8)*((7)*(5))),MultXD|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|FellTreeD|AddToLeafR|AddTreeWithMult,MutateTerminalR,FellTreeD,77,77,78,78,3
78,x*x*x*x,25,-10,-0.03785348034570644,0.008765157826465452,-0.03371167331067834,0.015144290714150865,1051.0734,822.3032031746031,3079.1672000000003,212.99155555555558,-0.6375040844334073,0.4284313908546035,0.17499591557453695,0.019422460425929544,48967.4,6002.320000000001,177501.2,4897.84,((((x)*(x))*((x)*(x)))*((0)+((6)*((5)-(x))))),((((2)*(7))-((4)*((x)*(x))))-(((x)*(x))-((x)*((7)*(x))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithMult|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,78,78,79,79,3
79,x*x*x*x,25,-10,-0.038544960626061955,0.0017011099079368886,-0.037057670565939095,0.011943443434098254,712.4803999999999,1324.4217999999998,1440.7528,240.41999999999996,-0.8057711410273167,0.28747876094628155,0.09435786102996807,0.0008822376159978995,45469,6117.02,95106.88,6105.68,((((x)*(x))*((x)+(7)))*((x)*((x)-((2)*(0))))),(((1)*(6))*((4)-(x))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,MultXD,79,79,80,80,3
80,x*x*x*x,25,-10,-0.03873317417657822,0.009368145113099637,-0.0367021745523461,0.015331936068114348,620.319,332.5122,1614.8264,211.3836,-0.8374999999999999,0.48053475736131607,0.07713962046060624,0.09541625501530575,22954.2,5677.24,79570.4,4451.36,((((1)-(6))+((7)*(x)))*((x)*((x)*((x)-(0))))),((((x)*(x))*((0)-((x)*(1))))*(((4)+(0))-((x)*((8)*(6))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,MultXD,80,80,81,81,3
81,x*x*x*x,25,-10,-0.039312649081819376,0.008510719976245473,-0.0387498325382303,0.011926032077973003,336.57099999999997,279.1257,612.162,240.5692,-0.9125000000000001,0.33482084508094184,0.03749591601151027,0.026098364405609527,15305,6032.17,42845.6,5700,((((8)+(0))*((x)*(x)))*((x)*((x)-((0)*(3))))),((((x)*(0))*((2)*((5)+(x))))*(((x)+(8))+((3)-((x)*(x))))),MultXD|SubXD|AddRandomSubTreeR|FellTreeD|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,MultXD,81,81,82,82,3
82,x*x*x*x,25,-10,-0.03625388368350543,0.008914760597743217,-0.02926575692719906,0.014957801967996716,1834.3382999999997,320.3382,5256.1723999999995,214.5896,-0.0015981571036465774,0.6162313049648039,0.4655385940805223,0.1655826114041132,160471.58,5416.74,488881.44,3288.56,((((x)*(x))*((x)*(x)))*((x)+((0)*((7)-(x))))),((((x)-(8))-((6)*((9)*(7))))*((2)-((7)*((0)*(x))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,82,82,83,83,3
83,x*x*x*x,25,-10,-0.039312019262187956,0.011581107511623135,-0.038749571134492226,0.01279575965793454,336.87940000000003,243.52489999999997,612.2900000000001,233.11640000000003,-0.9125040844334075,0.34400731930466616,0.037479945514700276,0.028975699916633655,15314.75,5993.67,42843.6,5621.28,((((x)*(x))*((x)*(x)))*((6)+((2)+((0)-(x))))),((((x)*(8))*((1)+((x)*(1))))+((4)*((0)*((0)*(x))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,MultXD|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddToLeafR,83,83,84,84,3
84,x*x*x*x,25,-10,-0.041912174879100775,0.003967004839014651,-0.030099412658476016,0.01164917751180985,1511.9968,331.6458,4847.9612,242.9416,-0.44597552607502283,0.28995276061019115,0.2534670565365473,0.0023969732381447445,86176.92,6103.0199999999995,271285.84,6084.48,((((6)+(8))*((x)*(x)))*((x)*((5)*((7)-(0))))),((7)*((9)-(7))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MutateNonTerminalR,84,84,85,85,3
85,x*x*x*x,25,-10,-0.0389996340347667,0.006920859437602194,-0.03792061740295387,0.015514965364004707,489.8432000000001,758.6263,1018.1988,209.81519999999998,-0.9125056365181022,0.4143295927703195,0.037167978811838386,0.0655196405184746,21178.97,5855.61,42842.84,5018.68,((((8)*(x))*((x)*(x)))*((x)-((3)+(0)))),((((1)*(7))*((7)*((7)-(2))))*((6)*((x)-((x)*(x))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,AddTreeWithMult,85,85,86,86,3
86,x*x*x*x,25,-10,-0.03835160804143249,0.0054960390018031855,-0.0350837553914521,0.015676148776070358,807.1582000000001,30639.2478,2407.308,208.43399999999997,-0.6468406090707097,0.28620441772317345,0.17032765324794147,0.0004368002145427338,47824.46,6121.55,172929.44,6116.6,((((x)*(x))*((5)+(0)))*((x)*((7)*((9)-(x))))),((((0)*(1))*((7)*(0)))-((5)+((0)-((x)+(x))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,SubXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddToLeafR,86,86,87,87,3
87,x*x*x*x,25,-10,-0.03915512902725134,0.011603455197266466,-0.038339743987714024,0.01199642437029707,413.7029,243.3334,812.9676000000001,239.96599999999998,-0.9250040844334074,0.3234544503986408,0.029635340296130408,0.018745678360228935,17118.97,5984.5599999999995,36722.8,5797.4,((((x)*(x))*((x)*(x)))*((7)-((0)+((0)-(x))))),((((5)*(1))*((8)*((7)*(1))))*((x)*((x)-((x)-(x))))),MultXD|SubXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR,SubXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,SubXD,87,87,88,88,3
