generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,0.9843971859801303,0.015602814019869808,0.9999999999162756,0.0665123823032504,0.9999999999162756,0.0665123823032504,StrategyMutateTerminal,StrategyAddSubX,1,1,(((1)+((0)0(0)))*((7)-((x)*((5)+(0))))),(((x)+(0))*((((x)-(x))-(x))+(6))),10000*x*x*x,1
2,0.990946303893961,0.009053696106038948,0.9999999999765129,0.047933515047589914,0.9999999999765129,0.047933515047589914,StrategyAddMultX,StrategyMutateTerminal,2,2,(((1)*(((((x)*(7))*(8))+(6))0(0)))*((x)*((x)*(x)))),((((1)0(1))*(((x)*(8))0((5)*((x)-(4)))))*((1)*((2)+(((x)-(x))*((7)*(8)))))),10000*x*x*x,1
3,0.9987396308283731,0.0012603691716270278,0.999999999942989,0.016800050388680324,0.999999999942989,0.016800050388680324,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,3,3,(((1)0((0)*(0)))*((x)*((x)*((8)+((4)*(6)))))),((((1)*((x)*(1)))+(((1)-((x)*(3)))0((x)+(4))))-(((x)+(x))*(((x)*(9))*((x)*((3)+(7)))))),10000*x*x*x,1
4,0.9990713820933842,0.0009286179066159147,0.9999999999731156,0.009757091659897495,0.9999999999731156,0.009757091659897495,StrategyAddMultX,StrategyAddSubX,4,4,((((x)+(6))0((0)0(0)))*((x)+(((x)+(7))*((x)*(5))))),((((1)0((x)*(0)))0(((x)*(4))+((3)+((1)*(8)))))+(((1)*((x)-(3)))*((9)*((4)*(x))))),10000*x*x*x,1
5,0.999201823624282,0.0007981763757180778,0.9999999999496354,0.01582237032881084,0.9999999999496354,0.01582237032881084,StrategyAddRandomSubTree,StrategyAddTreeWithSub,5,5,(((1)0((((x)-(0))*(8))0(0)))*((x)*(((x)+(0))*(x)))),((((4)*(7))0((((x)-((4)+(8)))*((x)*(5)))0((x)-(8))))*(((x)*(x))*((8)*(7)))),10000*x*x*x,1
6,0.9974943553541974,0.0025056446458025213,0.9999999999263595,0.02645899326259527,0.9999999999263595,0.02645899326259527,StrategyAddTreeWithMult,StrategyAddRandomSubTree,6,6,((((7)*(x))0((0)0(0)))+((x)*((x)*((x)+(4))))),((((((x)*(9))+(5))0(0))0((0)+((1)-(x))))+((x)*(((6)+(1))-((x)*((x)*(3)))))),10000*x*x*x,1
7,0.9985710545611214,0.0014289454388787825,0.9999999999765093,0.01671646659996678,0.9999999999765093,0.01671646659996678,StrategyAddSubX,StrategyAddRandomSubTree,7,7,(((1)0((((7)*(0))+((x)*(1)))0(0)))*((x)*(((x)-(5))*(x)))),((((x)+(9))0(((3)-(4))0((7)+((x)*(3)))))*((x)*((x)-((x)-(x))))),10000*x*x*x,1
8,0.9989491993282811,0.0010508006717188786,0.9999999999494845,0.01018777889974416,0.9999999999494845,0.01018777889974416,StrategyAddSubX,StrategyAddRandomSubTree,8,8,(((1)0(((x)+(((x)-(3))-(7)))0(0)))*(((7)*(4))*((x)*(x)))),((((2)+((6)+(((1)+(x))+(x))))0(((x)-(1))*((3)+(x))))0(((x)-((8)-(3)))*((x)*((x)*((3)*(5)))))),10000*x*x*x,1
9,0.9998776068971591,0.000122393102840815,0.9999999999730086,0.0033266600057029823,0.9999999999730086,0.0033266600057029823,StrategyAddSubX,StrategyAddMultX,9,9,(((1)0((0)0(0)))*(((((x)-(9))+(6))+((8)*(5)))*((x)*(x)))),((((0)+((5)0(x)))-((4)-(5)))+(((6)*(x))*(((x)*(3))+(((x)*(2))*(2))))),10000*x*x*x,1
10,0.9982957951346992,0.0017042048653008604,0.9999999999463388,0.026655910625677324,0.9999999999463388,0.026655910625677324,StrategyAddAddX,StrategyAddTreeWithAdd,10,10,((((x)-(5))0((0)0(0)))*((((x)-(3))+((2)*(4)))*((x)*(x)))),((((1)0(x))-((7)0(((9)+((x)*(3)))*((9)*(5)))))+(((7)*((5)+(4)))*(((x)-(0))*((x)*(x))))),10000*x*x*x,1
11,0.9993092286272778,0.0006907713727222885,0.9999999999597492,0.02002012367067746,0.9999999999597492,0.02002012367067746,StrategyAddAddX,StrategyAddRandomSubTree,11,11,((((x)+(1))0((0)0((9)+((4)+(x)))))*((x)*((((x)-(5))*(6))*(x)))),((((1)0(0))0((0)*((9)-(2))))+(((x)-(5))*((x)*(((x)-(9))*((x)*(0)))))),10000*x*x*x,1
12,0.9996131611451408,0.00038683885485917496,0.99999999998998,0.009980060188016249,0.99999999998998,0.009980060188016249,StrategyAddSubX,StrategyAddMultX,12,12,(((((3)*((x)-(8)))+(4))0((0)0(0)))*((x)*(((x)+(0))*(x)))),((((1)0((x)*(1)))0((((7)+(1))*(3))-((x)*(x))))*((((4)*(0))*(0))*((4)+((x)+((x)*(7)))))),10000*x*x*x,1
13,0.9987039097338138,0.0012960902661862104,0.9999999999461244,0.023286807180928803,0.9999999999461244,0.023286807180928803,StrategyAddAddX,StrategyAddRandomSubTree,13,13,((((x)-(8))0(((2)+(6))0((4)*(3))))*((x)*((x)*((x)+(5))))),((((x)-((7)-(6)))*((8)0((0)0(0))))*(((x)-(x))*(((x)-(9))*(((x)*(3))+((x)*(4)))))),10000*x*x*x,1
14,0.9996373833377332,0.00036261666226675664,0.999999999976543,0.009990060150110532,0.999999999976543,0.009990060150110532,StrategyAddSubX,StrategyAddRandomSubTree,14,14,(((1)0((0)0(0)))*((x)*(((x)+(0))*((x)*(((x)-(x))*(x)))))),(((8)-((x)*(4)))+(((x)-(1))*(((x)*(x))*(((5)-(8))*(x))))),10000*x*x*x,1
15,0.9978856973541155,0.0021143026458847105,0.9999999999127012,0.0346091677366439,0.9999999999127012,0.0346091677366439,StrategyAddSubX,StrategyAddRandomSubTree,15,15,((((x)-(4))0(((x)*(0))0(0)))*((x)*(((1)*(9))*((x)+(9))))),((((x)*(9))*(7))*(9)),10000*x*x*x,1
