A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithMult,AddToLeafR,AddTreeWithMult,AddToLeafR,0,0,0,1
SubXD,AddTreeWithDiv,SubXD,AddTreeWithDiv,0,0,1,1
FellTreeD,FellTreeD,FellTreeD,FellTreeD,0,0,2,1
AddXD,DeleteTerminalR,AddXD,DeleteTerminalR,0,0,3,1
DivXD,ReplaceBranchXR,DivXD,ReplaceBranchXR,0,0,4,1
AddToLeafR,ReplaceBranchR,AddToLeafR,ReplaceBranchR,0,0,5,1
AddRandomSubTreeR,ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,0,0,6,1
FellTreeD,MutateNonTerminalR,FellTreeD,MutateNonTerminalR,0,0,7,1
AddToLeafX,ReplaceBranchR,AddToLeafX,ReplaceBranchR,0,0,8,1
AddTreeWithDiv,DeleteNonTerminalR,AddTreeWithDiv,DeleteNonTerminalR,0,0,9,1
DeleteTerminalR,DivXD,DeleteTerminalR,DivXD,0,0,10,1
FellTreeD,MultXD,FellTreeD,MultXD,0,0,11,1
ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,AddTreeWithSub,0,0,12,1
AddTreeWithSub,SkipD,AddTreeWithSub,SkipD,0,0,13,1
MutateTerminalR,MutateNonTerminalR,MutateTerminalR,MutateNonTerminalR,0,0,14,1
