A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddTreeWithMult,DeleteTerminalR,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,0,0
SubXD,SubXD,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,1,0
FellTreeD,DeleteTerminalR,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,2,0
AddXD,ReplaceBranchXR,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,3,0
DivXD,AddXD,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,4,0
AddToLeafR,AddTreeWithSub,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,5,0
AddRandomSubTreeR,DivXD,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,6,0
FellTreeD,DivXD,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,7,0
AddToLeafX,AddTreeWithSub,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,8,0
AddTreeWithDiv,AddRandomSubTreeR,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,9,0
DeleteTerminalR,AddTreeWithDiv,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,10,0
FellTreeD,SubXD,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,11,0
ReplaceBranchR,AddRandomSubTreeR,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,12,0
AddTreeWithSub,AddTreeWithAdd,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,13,0
MutateTerminalR,AddToLeafR,((((0)-((6)*(8)))*((6)*((x)*(9))))+(((5)+(1))*((3)+((x)*((x)*(x)))))),((0)+(x)),0,0,1,0,14,0
