gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
28,0.9976356095520589,0.4174345148616731,0.9999991231630464,0.5750194299191496,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,26,27,327828379929.2,327828379929.2,((((((((((((((((9)+(7))+(7))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((6)-((7)/(x)))*(((6)+(5))+((2)*((x)+(7)))))-((((((0)/(7))/(x))*((x)/(0)))*((x)*(x)))*(((2)+(9))*(((8)/(x))/((1)/(9))))))+(x))/(x))-(x))/(x)),5*x*x*x+2*x+7,2
29,0.9971037872812499,0.39886957948729906,0.999999229180655,0.6074413541685124,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|SubXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,27,28,361662112885,361662112885,(((((((((((((((x)+(6))*(x))*((x)*((6)+(x))))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((x)+(5))-((((2)/(5))*(x))+((2)*(((3)/(5))+((1)/(3))))))-(((8)/((8)/((0)/(7))))-(0)))+(x))+(x))/((x)/(9)))-(x))-((x)+(5))),5*x*x*x+2*x+7,2
30,0.998693920608325,0.3740089418975036,0.9999991829257034,0.5793816646331673,MultXD,AddTreeWithDiv,SubXD|MultXD|MutateNonTerminalR|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,27,27,347488091591.7,347488091591.7,(((((((((((((((5)+(x))*(x))*((x)*((7)+(9))))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((((0)+(4))/(1))/(3))/(5))-(((4)/(0))/(3)))-(2))+(x))/(((0)/(4))/(2)))-(x))/(x)),5*x*x*x+2*x+7,2
31,0.9993634930222006,0.34941319451887265,0.9999992286309329,0.5954912573802806,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,30,30,387818146353.2,387818146353.2,(((((((((((((((9)+(x))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*((9)+(5)))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((3)/(1))-((7)/(5)))*((4)-((7)/(3))))+(x))/((0)/(6)))-((((6)/(3))-(7))/(5)))/((3)/(0))),5*x*x*x+2*x+7,2
32,0.9999431548327684,0.34242031016574126,0.9999991997415326,0.516081437927741,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,31,31,285119084041.7,285119084041.7,((((((((((((((((5)+(6))+(9))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((x)*(3))*((1)+((1)*(x))))+((x)+(2)))+((((((3)/(3))/(3))*(x))-((x)*(x)))*((((((3)-(x))/((3)/(0)))/(0))*(x))*(((5)/(3))*(((6)-(x))*((9)/(5)))))))-(x))/(x))/(x)),5*x*x*x+2*x+7,2
33,0.9950694707954413,0.3452405837276962,0.9999991878625574,0.560896772796709,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,31,32,334668649743.2,334668649743.2,(((((((((((((((8)+(8))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*((5)+(9)))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((x)/(0))*(1))+(((6)/(1))*((x)*(0))))+(((6)+((0)*(0)))*(((5)+(9))+(((2)/(2))-((3)/(8))))))*(((((4)/(1))*((2)/(3)))-((x)*(x)))*((x)-((8)/(7)))))-(x))/(x))/(x)),5*x*x*x+2*x+7,2
34,0.9999118373325182,0.371084819233846,0.9999992277190856,0.5564124740480463,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SubXD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,32,33,251090038595.7,251090038595.7,((((((((((((((((8)+(x))*(x))*((x)*(x)))+((2)*((x)+((3)+(6)))))-(x))*(x))*(x))-(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((x)-(((1)/(0))-(6)))+((((1)*(8))-(((7)/(3))*(x)))*(((9)/((4)/(0)))-(9))))-((9)/(x)))/((1)/(x)))-((3)/(5)))/(x)),5*x*x*x+2*x+7,2
35,0.9972552359372817,0.35340295778682823,0.999999196235104,0.5215291537655998,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv,33,30,268848599441.7,268848599441.7,((((((((((((((5)*((9)+(9)))*(((x)+(x))*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((((0)/(x))*(x))*(((x)/((8)/(7)))+((8)*(x))))+(((2)*((9)/(1)))+((6)+((7)-(x)))))*(((9)-((5)/(6)))-((9)/(6))))-((6)/((9)*(0))))/(x))-(x))/(x)),5*x*x*x+2*x+7,2
36,0.9999055510216857,0.3568774299433573,0.9999991859691895,0.5535816013464422,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,33,34,473480799591.4,473480799591.4,(((((((((((((((x)+(x))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*((x)+(7)))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((5)*(x))*((x)*(((7)/(5))+((9)/(5)))))+(((2)*(x))+(((9)/(8))-(((6)*(4))-(((3)/(2))/(3))))))*((((6)+(6))-((x)-(2)))*((x)+((8)/(4)))))-((0)/(0)))/(x))-(x))/(x)),5*x*x*x+2*x+7,2
37,0.9986784241460951,0.3532352293252281,0.9999991678310493,0.6135302799589364,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,36,34,293734049992.5,293734049992.5,(((((((((((((((x)+((9)+(2)))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((x)+(2))*(((3)/((1)/((0)/(8))))*(x)))*((((9)-(8))+(2))*((x)+((5)/(1)))))+((((x)*((3)/((6)-(3))))*((x)*((9)/(5))))*(((x)*(5))*((x)*((x)*(x))))))-(x))/((6)/(2)))-(x))/(x)),5*x*x*x+2*x+7,2
