gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
38,0.9999119907552044,0.3485976817837006,0.9999991588018037,0.5508456659992548,MultXD,AddTreeWithDiv,SubXD|AddTreeWithDiv|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,37,35,455956267591.7,455956267591.7,(((((((((((((((x)+(x))*(x))*(((9)+(7))*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((((8)-(9))-(7))*((x)*((1)+(6))))+(((2)/(4))+(x)))*((((x)*((2)/(2)))-(((9)-(3))*((((1)/((1)/(7)))/(1))/(0))))*(((x)*(x))*(((x)/(1))*((x)*(x))))))-(x))/(x))-(x))/(x)),5*x*x*x+2*x+7,2
39,0.9973013927830817,0.3688301275766053,0.9999991912973821,0.5811324680850425,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,38,38,530510698898,530510698898,(((((((((((((((x)+(x))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*((9)+(x)))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((5)*((x)/(0)))*((x)*(x)))+(((5)/(9))+(4)))+(((((1)/(3))+(x))+((7)-(x)))*(((((2)/(1))/(6))*(((3)/(1))+((0)*(5))))*((x)*(((8)/(1))*(x))))))-(x))/(x))/(x)),5*x*x*x+2*x+7,2
40,0.999901918352861,0.34761435996942697,0.9999991427508449,0.5069816681192814,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv,39,39,313591947966.7,313591947966.7,((((((((((((((((8)+(6))+(8))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((((9)/(0))*(6))+((8)*((x)*(x))))+(((2)*(5))+((8)+((7)-(x)))))*(((((x)/(0))*((3)/(8)))-((x)*(x)))*(((x)*(x))*(((8)/(8))*(((5)-(7))*((8)/(7)))))))-(x))/((1)/(2)))-(x))/(x))/(x)),5*x*x*x+2*x+7,2
41,0.9972793732342811,0.36236281710498297,0.9999991603160739,0.5103332870298369,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,40,38,336443345880,336443345880,(((((((((((((((6)+((8)+(x)))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((5)*((5)/(4)))*((x)*(((5)/(5))+(2))))*(((x)+(((7)/(5))/(0)))-((1)+((9)*(7)))))+((((3)/(((0)/(7))-(x)))*(3))*((x)*(1))))+((1)/(x)))/(x))/(x)),5*x*x*x+2*x+7,2
42,0.9999187360625125,0.3631859935942133,0.9999991933701601,0.5431254887039743,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,38,40,364916209805,364916209805,(((((((((((((((8)+((x)+(8)))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((0)*(4))-((9)+(4)))-(((9)/((8)/(x)))/((1)/((4)/(3)))))/(((0)/(x))/(6)))/(x)),5*x*x*x+2*x+7,2
43,0.9998963132276805,0.36812389138193774,0.9999992181807861,0.5474643805927704,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,42,40,320958637012.2,320958637012.2,(((((((((((((((2)+(x))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*((x)+(9)))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((x)-((1)/(0)))*((((1)/((2)/(2)))-((2)/(1)))*(((((6)/(x))/(9))*(x))*((x)*((x)*(5))))))+((4)/((x)+(1))))/(x))/(x)),5*x*x*x+2*x+7,2
44,0.9999036643105346,0.35788123636962255,0.999999232019994,0.5314444697624989,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithSub|AddTreeWithDiv,43,41,408368872946.4,408368872946.4,(((((((((((((((x)+(6))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*((8)+(x)))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((5)*(x))*((x)*((x)+(9))))*(((2)*((x)/(6)))+((x)*((2)+(8)))))*(((((5)/(x))+(1))-((((6)/(9))/((6)/(9)))*((4)/(3))))*(((x)*(x))*((x)*(((8)/(0))*(x))))))-(x))/(x))-(x))/(x)),5*x*x*x+2*x+7,2
45,0.9998798922094668,0.3577686463982063,0.9999991650713226,0.509119843233395,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,42,43,373531175755.8,373531175755.8,((((((((((((((((7)+(x))+(x))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((7)+(5))/(((x)/(x))/(1)))*((8)+((9)/(9))))-((2)/((6)/(0))))/(x))-((9)/(x)))/(x)),5*x*x*x+2*x+7,2
46,0.9998995620769123,0.35896681303759925,0.9999992244852178,0.5231629472399889,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|DivXD|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,45,42,285119084041.7,285119084041.7,((((((((((((((((7)+(9))+(4))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((5)*(x))*((x)*(((5)/(6))*(5))))*((((7)/(0))+(((7)/((6)/(0)))/((7)/(0))))+(((4)+(0))-((x)*(8)))))+(((8)+(1))*(((x)*(x))*((x)*((x)*(x))))))-(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,2
47,0.999903131900043,0.3458489127893944,0.9999991521570192,0.5132049023828772,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,46,46,486535903627.5,486535903627.5,(((((((((((((((x)+(8))*(x))*(((x)+(9))*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((x)-(x))+((9)*(((5)-((2)/((2)/(8))))*(x))))+(((2)*((3)/(x)))+((x)+(2))))*((((x)*(x))-((x)-(x)))*(((x)*((x)-(2)))*((x)*((x)*((((2)/(8))/(0))*(x)))))))-((2)/((3)/(2))))/(x))/(x)),5*x*x*x+2*x+7,2
48,0.9990466839495593,0.35053339971497766,0.9999992459237537,0.5529290728280596,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SubXD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,44,44,242642803977.9,242642803977.9,((((((((((((((((8)+(9))*(x))*((x)*(x)))+((2)*((x)+((9)+(5)))))-(x))*(x))*(x))-(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((x)*((8)/(9)))*((((8)/(9))*((2)/(4)))*((((7)/(4))*((0)-(6)))*((5)-((2)/(5))))))-(x))/(x))-((7)/(0)))/((5)/(0))),5*x*x*x+2*x+7,2
49,0.9999227449005121,0.3496607906070086,0.9999991924396506,0.541487322869513,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SubXD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,48,48,342063003849.2,342063003849.2,((((((((((((((((8)+(4))*(x))*((x)*((x)+(x))))+((2)*((x)+(7))))-(x))*(x))*(x))-(x))-(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((x)+(1))+(((4)/(7))+((((((7)/(4))/(0))/((0)*(4)))/((x)/(x)))*(x))))*(((x)+(2))*((2)*(1))))*((((x)*(x))-((x)+(9)))*(((x)*(x))*(((9)/(8))*((x)*(x))))))-(x))/(x))/(x)),5*x*x*x+2*x+7,2
50,0.9999987894329565,0.40093767823118726,0.9999991327528487,0.541487322869513,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SubXD|SkipD|AddTreeWithAdd|SkipD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,48,48,242391206978.4,242391206978.4,(((((8)+(9))*((x)*((x)*(x))))+(((2)*(x))+((7)-((x)+(1)))))*((((x)*(x))-((x)-(x)))*(((x)*(x))*((x)*((x)*((x)*(x))))))),((((((((x)+(1))+(((4)/(7))+((((((7)/(4))/(0))/((0)*(4)))/((x)/(x)))*(x))))*(((x)+(2))*((2)*(1))))*((((x)*(x))-((x)+(9)))*(((x)*(x))*(((9)/(8))*((x)*(x))))))-(x))/(x))/(x)),5*x*x*x+2*x+7,2
