gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
51,x*x*x*x,25,-10,-0.038400000000000004,-0.019902505089463035,-0.038400000000000004,0.0004122391408530467,244.832,510.6974214682539,244.832,242.30876666666666,-0.9600000000000001,0.014690890079728151,0,0.007720620534553844,6120.8,6100.63625,6120.8,6030.88,(0),(((9)/(1))*((6)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,49,51,52,52,2
52,x*x*x*x,25,-10,-0.038400000000000004,-0.029962705190640322,-0.038400000000000004,0.0002082080773755073,244.832,644.2968444444444,244.832,243.55759999999998,-0.9600000000000001,0.004574565416285452,0,0.0021175585237478123,6120.8,6112.08,6120.8,6092.8,(0),(((2)*(x))/((4)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DivXD,DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|MultXD|MutateTerminalR,AddTreeWithDiv,DeleteTerminalR,51,51,53,53,2
53,x*x*x*x,25,-10,-0.04880000000000001,-0.029993122747726718,-0.04880000000000001,0.000017383348581885256,NaN,NaN,NaN,244.72560000000001,-0.9600000000000001,0.0009541236439681325,0,0.0004243156239845667,6120.8,6117.290571428572,6120.8,6114.96,(0),(((2)*(9))/((6)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|MultXD|DivXD,DeleteNonTerminalR,DeleteTerminalR,52,53,54,54,2
54,x*x*x*x,25,-10,-0.038400000000000004,-0.04999050730996881,-0.038400000000000004,-0.03997028088454046,244.832,910.9288971428572,244.832,777.5740952380953,-0.9600000000000001,0.0015248551387619165,0,1.0003373981283346,6120.8,12779.253999999999,6120.8,6111.466666666666,(0),((x)/((6)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,53,54,55,55,2
55,x*x*x*x,25,-10,-0.03839996732453274,-0.024996696771082252,-0.03839986929813097,0.000017077340237710475,244.83700000000002,577.8893015873016,244.852,244.72747301587304,-0.9599869298130964,0.001143641354071363,0.000006535093451831564,1.0002894508721905,6121.3,12779.693333333333,6122.8,6113.8,((0)+((x)-(4))),((x)/((8)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,54,54,56,56,2
56,x*x*x*x,25,-10,-0.03840091491308326,-0.009819014865781626,-0.038400000000000004,0.0007102059488022124,244.692,376.95522619047625,244.832,240.4849714285714,-0.9600000000000001,0.030816233172134343,0,0.016573649955268315,6120.8,6030.1883333333335,6120.8,5932.18,(0),(((x)*((3)/(8)))+((3)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,55,54,57,57,2
57,x*x*x*x,25,-10,-0.038400000000000004,-0.004946376688611701,-0.038400000000000004,0.00014756241014246603,244.832,311.1193119047619,244.832,243.92880000000002,-0.9600000000000001,0.009149130832570905,0,0.003966896825704304,6120.8,6099.6,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,56,57,58,58,2
58,x*x*x*x,25,-10,-0.03840091491308326,0.000023235523274951487,-0.038400000000000004,0.00006992549993464938,244.692,244.6898,244.832,244.40400000000002,-0.9600000000000001,0.0028100901842896056,0,0.0011667597552210088,6120.8,6113.1,6120.8,6103.6,(0),((9)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,57,56,59,59,2
59,x*x*x*x,25,-10,-0.03840091491308326,0.00002013048777294191,-0.038400000000000004,0.00004764083126388832,244.692,244.70879999999997,244.832,244.5404,-0.9600000000000001,0.0022088615867207613,0,0.0011059764794228598,6120.8,6114.02,6120.8,6107.28,((0)-(0)),((7)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,57,59,60,60,2
60,x*x*x*x,25,-10,-0.038400000000000004,0.00002829695464645171,-0.038400000000000004,0.00008783165599268104,244.832,244.6588,244.832,244.2944,-0.9600000000000001,0.0028100901842896056,0,0.0011702684119965236,6120.8,6111.18,6120.8,6103.6,(0),((9)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DivXD|MutateTerminalR,DeleteNonTerminalR,AddTreeWithAdd,59,60,61,61,2
61,x*x*x*x,25,-10,-0.038400000000000004,-0.014932198405437198,-0.038400000000000004,0.00012913344660828643,244.832,444.2635000000001,244.832,244.0416,-0.9600000000000001,0.009149130832570905,0,0.005282253149035917,6120.8,6092.8,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DivXD|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MutateTerminalR,59,61,62,62,2
62,x*x*x*x,25,-10,-0.038400000000000004,-0.004943406090707097,-0.038400000000000004,0.00014769311201150116,244.832,311.10110000000003,244.832,243.928,-0.9600000000000001,0.009149130832570905,0,0.00418660345648628,6120.8,6101.96,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,61,62,63,63,2
63,x*x*x*x,25,-10,-0.03840091491308326,0.000033263625669848033,-0.038400000000000004,0.00007580708404130416,244.692,244.62839999999997,244.832,244.368,-0.9600000000000001,0.0018951771010326042,0,0.00039471098864310737,6120.8,6112.5599999999995,6120.8,6109.2,(0),((6)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,61,61,64,64,2
64,x*x*x*x,25,-10,-0.038400000000000004,0.000054371977519279224,-0.038400000000000004,0.00014481767089269428,244.832,244.49919999999997,244.832,243.9456,-0.9600000000000001,0.009149130832570905,0,0.0043749721518599755,6120.8,6104.38,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,61,61,65,65,2
65,x*x*x*x,25,-10,-0.038400000000000004,-0.0048589400078421115,-0.038400000000000004,0.00046921970984185185,244.832,310.5841,244.832,241.96,-0.9600000000000001,0.036518102208861654,0,0.017649322662862003,6120.8,6059.1,6120.8,5897.28,(((x)*(4))-((9)*(0))),((x)*((4)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|SkipD,DeleteTerminalR|DeleteTerminalR|DivXD|MultXD|MutateTerminalR,SkipD,DeleteTerminalR,64,65,66,66,2
66,x*x*x*x,25,-10,-0.04880000000000001,-0.004985067311462554,-0.04880000000000001,0.00007868252516011103,NaN,NaN,NaN,244.3504,-0.9600000000000001,0.0028100901842896056,0,0.0014050450921448028,6120.8,6116.5,6120.8,6103.6,(0),((9)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,65,66,67,67,2
67,x*x*x*x,25,-10,-0.038400000000000004,0.000018232910730623953,-0.038400000000000004,0.00006639654947065945,244.832,244.7204,244.832,244.4256,-0.9600000000000001,0.0022088615867207613,0,0.0010073587417034245,6120.8,6116.42,6120.8,6107.28,(0),((7)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DivXD|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,65,65,68,68,2
68,x*x*x*x,25,-10,-0.03840091491308326,-0.0399930682761994,-0.038400000000000004,-0.03996523330283623,244.692,777.7136,244.832,777.5432000000001,-0.9600000000000001,0.0025225460724089188,0,0.00160769700107868,6120.8,6118.02,6120.8,6105.36,(0),(((8)+((0)+(6)))*((0)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,67,68,69,69,2
69,x*x*x*x,25,-10,-0.038400030061429884,0.00006770809290267711,-0.03839973336818717,0.00028715200627369005,244.8274,244.41760000000002,244.8728,243.0744,-0.9600000000000001,0.009149130832570905,0,0.004027378261669378,6120.8,6100.52,6120.8,6064.8,((0)*(0)),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,67,68,70,70,2
70,x*x*x*x,25,-10,-0.03840091491308326,0.00007106914128872115,-0.038400000000000004,0.00022088615867207017,244.692,244.39700000000005,244.832,243.48,-0.9600000000000001,0.009149130832570905,0,0.004320988437667374,6120.8,6102.9400000000005,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,69,70,71,71,2
71,x*x*x*x,25,-10,-0.038400000000000004,0.000041105737812051215,-0.038400000000000004,0.00013579924192916087,244.832,244.58039999999997,244.832,244.00080000000003,-0.9600000000000001,0.009149130832570905,0,0.0044040049239084805,6120.8,6104.860000000001,6120.8,6064.8,((0)+((x)*(0))),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,69,71,72,72,2
72,x*x*x*x,25,-10,-0.038400000000000004,0.00002764344530126867,-0.038400000000000004,0.00008521761861194889,244.832,244.66280000000003,244.832,244.31039999999996,-0.9600000000000001,0.0022088615867207613,0,0.0012752868316958555,6120.8,6114.04,6120.8,6107.28,((0)+((0)*(x))),((7)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,71,71,73,73,2
73,x*x*x*x,25,-10,-0.038400000000000004,0.00002365703829564803,-0.038400000000000004,0.00007201672983923658,244.832,244.68720000000002,244.832,244.3912,-0.9600000000000001,0.0028100901842896056,0,0.0011499474489142926,6120.8,6112.62,6120.8,6103.6,((0)*(0)),((9)*(x)),AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,72,71,74,74,2
74,x*x*x*x,25,-10,-0.038400000000000004,0.000019866684093583043,-0.038400000000000004,0.00005698601490001473,244.832,244.71040000000002,244.832,244.4832,-0.9600000000000001,0.0018951771010326042,0,0.0009483168959639153,6120.8,6115.96,6120.8,6109.2,(0),((6)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,73,74,75,75,2
75,x*x*x*x,25,-10,-0.038400000000000004,0.0000598614560188216,-0.038400000000000004,0.0002300352895046402,244.832,244.46560000000002,244.832,243.424,-0.9600000000000001,0.009149130832570905,0,0.003928470023607806,6120.8,6099.120000000001,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR,DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,73,71,76,76,2
76,x*x*x*x,25,-10,-0.038400000000000004,0.000045712978695595376,-0.038400000000000004,0.00015096065873741933,244.832,244.5522,244.832,243.908,-0.9600000000000001,0.009149130832570905,0,0.004241606251997292,6120.8,6102,6120.8,6064.8,(0),((x)*(x)),AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,72,76,77,77,2
77,x*x*x*x,25,-10,-0.03840025225460725,0.000010885455338959629,-0.038400000000000004,0.00004430793360345183,244.79340000000005,244.7654,244.832,244.56080000000003,-0.9600000000000001,0.0022088615867207613,0,0.0010746470558156628,6120.8,6115.48,6120.8,6107.28,(0),((7)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,76,76,78,78,2
78,x*x*x*x,25,-10,-0.038400000000000004,0.00005747614690890126,-0.038400000000000004,0.0001666448830218272,244.832,244.48020000000005,244.832,243.812,-0.9600000000000001,0.009149130832570905,0,0.00440400492390848,6120.8,6104.860000000001,6120.8,6064.8,(0),((x)+((0)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,76,78,79,79,2
79,x*x*x*x,25,-10,-0.038400000000000004,0.00012923147301006463,-0.038400000000000004,0.0007399032806169143,244.832,244.041,244.832,240.3032,-0.9600000000000001,0.036518102208861654,0,0.017011380494138202,6120.8,6048.98,6120.8,5897.28,(0),((4)*((x)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,78,71,80,80,2
80,x*x*x*x,25,-10,-0.038400000000000004,0.000030780290158149495,-0.038400000000000004,0.00020507123251862572,244.832,244.6436,244.832,243.5768,-0.9600000000000001,0.009149130832570905,0,0.004574565416285452,6120.8,6106.8,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,79,71,81,81,2
81,x*x*x*x,25,-10,-0.03840091491308326,-0.0005370791175202261,-0.038400000000000004,0.0015358776630505844,244.692,250.25619999999998,244.832,235.4312,-0.9600000000000001,0.0025225460724089188,0,0.0012081500868090156,6120.8,6115,6120.8,6105.36,(0),((8)*(x)),AddTreeWithDiv|FellTreeD|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,80,81,82,82,2
82,x*x*x*x,25,-10,-0.038400016337733635,0.0000876682786563853,-0.038400000000000004,0.00028715200627369005,244.8295,244.2954,244.832,243.0744,-0.9600000000000001,0.009149130832570905,0,0.00479795595111323,6120.8,6089.9,6120.8,6064.8,((x)*((0)*(0))),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,81,81,83,83,2
83,x*x*x*x,25,-10,-0.038400000000000004,0.0001719709841850742,-0.038400000000000004,0.0007443471441641621,244.832,243.7794,244.832,240.27599999999998,-0.9600000000000001,0.054554960135929954,0,0.027172417460460077,6120.8,6036.34,6120.8,5786.88,((0)+(0)),((6)*((x)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,82,83,84,84,2
84,x*x*x*x,25,-10,-0.038400000000000004,0.00007789831394588953,-0.038400000000000004,0.0002391844203372102,244.832,244.35520000000005,244.832,243.36800000000002,-0.9600000000000001,0.009149130832570905,0,0.004314605428186562,6120.8,6102.5,6120.8,6064.8,(0),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,83,81,85,85,2
85,x*x*x*x,25,-10,-0.038400000000000004,0.000016599137367664866,-0.038400000000000004,0.00003790354202065208,244.832,244.73039999999997,244.832,244.6,-0.9600000000000001,0.0025225460724089188,0,0.0013007517598698387,6120.8,6114.04,6120.8,6105.36,(0),((8)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,84,85,86,86,2
86,x*x*x*x,25,-10,-0.038400000000000004,0.00019886289373938128,-0.038400000000000004,0.0007669585675075177,244.832,243.6148,244.832,240.1376,-0.9600000000000001,0.0725918180629984,0,0.03619042846562265,6120.8,6008.74,6120.8,5676.48,((0)*(0)),((8)*((x)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,85,81,87,87,2
87,x*x*x*x,25,-10,-0.038400000000000004,0.00003555090837799016,-0.038400000000000004,0.0001325316952032427,244.832,244.6144,244.832,244.02079999999998,-0.9600000000000001,0.009149130832570905,0,0.004574565416285452,6120.8,6106.8,6120.8,6064.8,((0)*(0)),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MutateNonTerminalR|MutateTerminalR,DeleteNonTerminalR,MultXD,86,86,88,88,2
88,x*x*x*x,25,-10,-0.038400000000000004,0.0001556006648636166,-0.038400000000000004,0.0005867206901058698,244.832,243.87959999999998,244.832,241.24079999999998,-0.9600000000000001,0.054554960135929954,0,0.02706689602973719,6120.8,6035.360000000001,6120.8,5786.88,((0)+(0)),((6)*((x)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteNonTerminalR,DeleteTerminalR,87,88,89,89,2
89,x*x*x*x,25,-10,-0.038400000000000004,0.00029048657083208647,-0.038400000000000004,0.002108874656907594,244.832,243.054,244.832,231.924,-0.9600000000000001,0.10454842504247812,0,0.05174761663183694,6120.8,5955.96,6120.8,5480.88,(0),(((x)*(2))*((x)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,87,89,90,90,2
90,x*x*x*x,25,-10,-0.038400000000000004,0.00006726271618737702,-0.038400000000000004,0.0002653901450790769,244.832,244.42030000000003,244.832,243.20759999999999,-0.9600000000000001,0.01827212129133449,0,0.009136060645667245,6120.8,6092.84,6120.8,6008.96,(0),((2)*((x)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,87,90,91,91,2
91,x*x*x*x,25,-10,-0.038400000000000004,0.00004151418115279136,-0.038400000000000004,0.00008743955038557272,244.832,244.57789999999997,244.832,244.29679999999996,-0.9600000000000001,0.0039733368187166085,0,0.0016542125399770004,6120.8,6111.37,6120.8,6096.48,(0),((9)*(4)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteNonTerminalR,MultXD,87,90,92,92,2
92,x*x*x*x,25,-10,-0.03840013070186904,0.00004173010457799944,-0.03840013070186904,0.00009998692981309752,244.812,244.57660000000004,244.812,244.22,-0.9600000000000001,0.004561495229381792,0,0.002213516319900694,6120.8,6107.4,6120.8,6092.88,(0),((7)*(6)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR,SkipD|MultXD|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteNonTerminalR,ReplaceBranchR,91,91,93,93,2
93,x*x*x*x,25,-10,-0.038400000000000004,0.00006509279683396356,-0.038400000000000004,0.00014462161808914087,244.832,244.4336,244.832,243.9468,-0.9600000000000001,0.009149130832570905,0,0.00479795595111323,6120.8,6089.9,6120.8,6064.8,((0)*(0)),((x)*(x)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteNonTerminalR|MultXD|MutateTerminalR,DeleteNonTerminalR,MultXD,91,93,94,94,2
94,x*x*x*x,25,-10,-0.038400000000000004,0.0000596003191150999,-0.038400000000000004,0.00013789047183374958,244.832,244.46720000000002,244.832,243.988,-0.9600000000000001,0.005397987191216828,0,0.002349460772595126,6120.8,6107.120000000001,6120.8,6087.76,((0)*(0)),(((3)*(3))*((2)*(x))),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchXR|ReplaceBranchXR,SkipD|MultXD|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,ReplaceBranchXR,MutateTerminalR,93,94,95,95,2
95,x*x*x*x,25,-10,-0.04101501699124297,0.00003607384929310651,-0.03840045745654163,0.00007273559011894088,227.2321,244.61119999999994,244.762,244.3868,-0.9600000000000001,0.0022088615867207613,0,0.0007560964738939316,6120.8,6112.64,6120.8,6107.28,((0)*((x)*(x))),((2)*(9)),AddXD|ReplaceBranchXR|AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR,SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|DivXD,DeleteNonTerminalR,ReplaceBranchR,94,93,96,96,2
96,x*x*x*x,25,-10,-0.04100004901320089,-0.03996503725003268,-0.03839993464906548,-0.039914847732322574,229.5225,777.5419999999999,244.842,777.2348,-0.9599934649065482,0.006620049666710305,0.000003267546725915782,0.002658679574111663,6121.05,6104.469999999999,6121.8,6080.28,((0)-(1)),((9)*(7)),AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR,SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,AddToLeafR,ReplaceBranchR,96,96,97,97,2
97,x*x*x*x,25,-10,-0.041000032675467264,-0.00497045804482454,-0.038400000000000004,0.00008835446346883047,NaN,NaN,244.832,244.29120000000003,-0.9600000000000001,0.0020128087831657003,0,0.0007204526827104642,6120.8,6114.94,6120.8,6108.48,(0),((9)+(7)),AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR,SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,AddTreeWithDiv,ReplaceBranchR,97,97,98,98,2
98,x*x*x*x,25,-10,-0.04100000000000001,0.00004653852554807479,-0.038400000000000004,0.00013057116716769357,229.53,244.5472,244.832,244.03279999999998,-0.9600000000000001,0.008384524898706152,0,0.003785652779481351,6120.8,6101.68,6120.8,6069.48,((0)+(0)),((9)*(9)),AddTreeWithDiv|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,AddTreeWithDiv,ReplaceBranchR,97,98,99,99,2
99,x*x*x*x,25,-10,-0.038400000000000004,0.0000731438155095497,-0.038400000000000004,0.00020794667363743704,244.832,244.38440000000003,244.832,243.55919999999998,-0.9600000000000001,0.008384524898706152,0,0.003785652779481351,6120.8,6101.68,6120.8,6069.48,((0)+(0)),((9)*(9)),AddTreeWithDiv|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR,AddTreeWithDiv,ReplaceBranchR,97,98,99,99,2
