gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03794806299830088,-0.0017317373914667422,-0.03654118938700823,0.0005321399849953202,313.98740000000004,271.8397,529.2672,241.57960000000003,-0.8528652463730232,0.01914782381388051,0.054082291650936455,0.010298836200286094,10105.24,6063.42,22514.56,6003.6,((((x)*(6))*((2)-(x)))*((x)*((8)-(2)))),((((7)+(x))*((9)-((4)+(0))))*((9)*((8)*((4)+(0))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithSub,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,11,10,12,12,0
12,x*x*x*x,25,-10,-0.03844112599660175,-0.0030545610719678877,-0.03839490262710757,0.00217775454188995,238.53889999999998,366.43050000000005,245.612,231.50239999999997,-0.9600000000000001,0.1423343353809959,0.00039085243184067267,0.07083646770697144,6090.59,5899.9400000000005,6120.8,5249.6,(((x)*((6)-(2)))-((5)*((0)*(x)))),((((2)+(0))*((x)*(8)))-((1)+((1)*(x)))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithSub,ReplaceBranchR|SkipD|DivXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,11,12,13,13,0
13,x*x*x*x,25,-10,-0.03821789635341786,-0.007524716522595746,-0.03745732061168475,0.010121578878577963,272.6975,362.94786,389.0808,182.87984,-0.8780237877401648,0.9878316559926807,0.040999224865992105,0.4991081962850111,9254.25,4651.96,18664.8,74.48,((((0)-(4))+((0)*(x)))*((7)*((8)*(x)))),((((x)*(x))*((x)-(0)))-((x)+((7)*(x)))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithSub,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddToLeafR,ReplaceBranchR,11,13,14,14,0
14,x*x*x*x,25,-10,-0.038416337733629596,0.0011909430782029865,-0.038334126258005495,0.0048862893739380475,242.33199999999997,237.546,254.912,214.924,-0.9600000000000001,0.46663181283492355,0.000012256044654080347,0.23466076283757692,6119.389999999999,5418.82,6120.8,3264.64,((((0)+(8))*((0)*(x)))-((8)*((4)+(2)))),(((x)*((8)-(4)))*((3)*((x)*(x)))),SubXD|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithSub,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,SubXD,ReplaceBranchR,14,10,15,15,0
15,x*x*x*x,25,-10,-0.03837478368840675,-0.002999709159625895,-0.03826490132008888,0.002943406090707099,248.69060000000005,630.3412000000001,265.5048,226.81599999999997,-0.9482891125343094,0.28860279701999747,0.00585762533773671,0.1432967633145865,6568.3,5669.8,7912.8,4354.32,(((x)*((x)*(3)))-((5)*((4)*(4)))),((((1)+(x))-((2)*((2)-(4))))*((6)-((8)*((3)*(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,15,15,16,16,0
16,x*x*x*x,25,-10,-0.038291050189517714,0.00027736084608324165,-0.03807362697686577,0.006643576003136845,261.5035,246.94439999999997,294.7736,204.16800000000003,-0.9446294602012809,0.14977127172918575,0.008824037698350527,0.08334728182607361,7248.43,5942.82,8472.8,5204.08,(((x)*((x)*(2)))-((8)*(7))),((((7)+(2))*((x)*(2)))-((x)+((5)*(x)))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithSub,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,16,16,17,17,0
17,x*x*x*x,25,-10,-0.03838006404391583,-0.002519785208903118,-0.038264383740687496,0.00029486341654685736,247.8826,379.2553,265.584,243.02720000000002,-0.9471912168344008,0.00436544242582673,0.006664484236812496,0.008709535926559805,6552.719999999999,6130.719999999999,8080.8,6094.08,(((4)-((9)*(x)))*((7)*(x))),(((1)*(8))*((1)*(5))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,15,15,18,18,0
18,x*x*x*x,25,-10,-0.03844922493791661,-0.00036645942075261235,-0.03814321788001569,0.0009552999607894397,237.2996,247.8874,284.12480000000005,238.9848,-0.9598300875702523,0.07273559011893867,0.00008495621487386584,0.03452672369958196,6127.3,5988.9,6146.8,5675.6,(((9)+(4))*((4)-(6))),(((x)+(5))*((7)*(x))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,18,18,19,19,0
19,x*x*x*x,25,-10,-0.03845877074892171,-0.0018163284964246903,-0.038387081427264415,0.0020699254999346503,235.83889999999997,289.4959,246.80880000000002,232.16240000000002,-0.9600000000000001,0.14309240622140898,0,0.07056323272879281,6120.8,5892.719999999999,6120.8,5244.96,(0),(((x)+(x))*((8)*(x))),AddToLeafR|SkipD|DeleteTerminalR|AddTreeWithDiv|FellTreeD,ReplaceBranchR|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddToLeafR,ReplaceBranchR,19,19,20,20,0
20,x*x*x*x,25,-10,-0.03843904260880931,0.0011552935576419048,-0.03816578225068619,0.004547706182198407,238.8577,237.76069999999999,280.67199999999997,216.9964,-0.9365782250686185,0.43586459286367796,0.011711372716230083,0.21749505604203953,7016.69,5449.8,9704.8,3452.96,((((x)*(2))*((4)*(x)))*((6)-((5)-(9)))),(((6)+((x)*(x)))*((5)+((4)*(x)))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SubXD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,AddXD,19,20,21,21,0
