gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
78,x*x*x*x,25,-10,-0.041010233520672686,-0.00498852522833476,-0.038400000000000004,0.0005605803162985259,NaN,NaN,244.832,241.40079999999998,-0.9600000000000001,0.05013723696248858,0,0.025164137555788654,6120.8,6044.77,6120.8,5813.92,(((0)*((x)*(3)))*((1)*((5)-(9)))),(((5)+((7)*(7)))*((2)+((8)+(7)))),DeleteMaliciousR|AddRandomSubTreeR|SkipD|DivXD|DeleteMaliciousR,MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,77,78,79,79,4
79,x*x*x*x,25,-10,-0.04883573650503203,0.00009388201466075982,-0.04880000000000001,0.00035733890994641413,178.15560000000002,244.25740000000002,183.62400000000002,242.6448,-0.9600000000000001,0.03161678211998439,0,0.015543001841665264,6120.8,6069.9400000000005,6120.8,5927.28,(((0)+((0)*(x)))*((6)+(3))),(((x)*((3)*(8)))*((2)*((0)+(3)))),DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddToLeafR|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MultXD,DeleteMaliciousR,MutateTerminalR,78,79,80,80,4
80,x*x*x*x,25,-10,-0.03840166775584891,0.0002558336673788213,-0.03830118938700824,0.001028558358384527,244.5768,243.2673,259.952,238.5364,-0.9501189387008235,0.08161024702653255,0.005077795407595154,0.040805123513266275,6470.120000000001,5995.92,7632.8,5621.28,(((x)*((x)*(9)))-((6)*((0)-(9)))),(((x)*((x)*(9)))-((7)*((6)*(0)))),DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|SkipD,DeleteMaliciousR,ReplaceBranchR,80,79,81,81,4
81,x*x*x*x,25,-10,-0.03849301137106261,-0.00000786473571894242,-0.03835608417200366,0.0000762645405829323,230.59939999999997,244.8832,251.55200000000002,244.36520000000002,-0.955608417200366,0.002502940792053427,0.0021957913998170153,0.0010266130541042994,6288.8,6111.6,6792.8,6105.48,(((0)-((3)*(x)))*((x)*(4))),((3)*(7)),DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,80,81,82,82,4
82,x*x*x*x,25,-10,-0.03839945628022481,-0.000014702365553203138,-0.03839782512089923,0.00007365050320219716,244.9152,244.9257,245.16479999999999,244.38119999999998,-0.9598771402431054,0.0051496536400471235,0.00006142987844731662,0.002550759936385646,6125.5,6112.6900000000005,6139.6,6089.28,(((1)-((4)*(x)))*((0)+(3))),(((3)-((0)*(0)))*((9)+(7))),DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,80,80,83,83,4
83,x*x*x*x,25,-10,-0.03838992680695334,0.00024145536531172424,-0.038358823683178674,0.0011022742125212396,246.37339999999998,243.35410000000005,251.13279999999997,238.08520000000004,-0.9567063129002745,0.039707227813357726,0.0016468435498627754,0.018626153256426345,6246.8,6034.02,6624.8,5877.76,(((x)*((1)-(4)))*((x)*((0)+(3)))),(((4)*((9)*(5)))*((7)-(3))),DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithDiv,80,80,84,84,4
84,x*x*x*x,25,-10,-0.03845106391321396,0.00015839672748016987,-0.03838536139066789,0.0006118154489609209,237.0182,243.8625,247.072,241.08720000000002,-0.9585361390667887,0.034871258658998906,0.0007319304666056903,0.017485001433871855,6176.8,6067.76,6344.8,5907.36,(((4)-((8)*(x)))+((0)*(x))),(((2)*(7))*((5)*(8))),DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,80,84,85,85,4
85,x*x*x*x,25,-10,-0.03771335380995948,0.0025393582005929344,-0.0356,0.02009266762514704,349.9026,229.28910000000005,673.288,121.84880000000001,-0.68,1,0.14,0.5000817019728367,16832.2,4591.35,48966.4,0,(((x)*((0)-(x)))*((x)*((7)*(x)))),(((x)*((x)*(x)))*((x)+(0))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,85,85,86,86,4
86,x*x*x*x,25,-10,-0.0384281819370017,0.00002040933932536948,-0.038316178277349365,0.00006273689713762995,240.5196,244.70710000000003,257.65840000000003,244.44800000000004,-0.9516178277349366,0.003097634296170441,0.004151988341076417,0.001732299328563313,6539.379999999999,6113.94,7403.44,6101.84,((((x)*(6))-((x)*(2)))*((4)-((0)*(x)))),(((9)*(x))+((0)+(x))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithSub,MutateTerminalR,85,80,87,87,4
87,x*x*x*x,25,-10,-0.03787717683962881,-0.00037983254575887866,-0.03594121029930728,0.00030205201934387825,324.8344,247.75660000000005,621.076,242.9832,-0.7564255652855835,0.007044830741079579,0.10203299495489628,0.0028799131900302346,13852.660000000002,6102.4,37271.76,6077.68,((((0)-(6))*((3)*(6)))*((x)*((8)*(6)))),((((2)+(6))*((1)/(6)))*((8)*((6)+(x)))),MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|ReplaceBranchR,SkipD,ReplaceBranchR,87,87,88,88,4
