TopAntagonist,TopProtagonist,FinalAntagonist,FinalProtagonist,Epoch
-0.8790733884297521,1,-0.9752231404958678,0.4696969696969697,1
-0.7704545454545455,1,-0.97539173553719,0.16753797004913082,2
0.9623338981980385,0.3395959595959597,-0.9751721369539551,0.256969696969697,3
0.8802330012521096,0.1752124418791086,-0.9935179063360882,0.20672176308539947,4
0.9807553355832096,0.09605142332415055,-0.9750909090909091,0.17024793388429751,5
-0.975,0.33301132537496186,-0.9755914994096813,1,6
0.7488860710631665,0.20165289256198346,-0.9779735537190083,0.18318932242607494,7
0.9019127023050515,0.2843893480257117,-0.9698409090909091,0.17211399711399714,8
-0.975,1,-0.9750743801652892,1,9
0.44226294766849006,0.1694811753902662,-0.9726515151515152,0.16170798898071626,10
-0.15,0.17682006209278942,-0.9750578512396694,0.359504132231405,11
0.9980631215993038,-0.8576929000462036,-0.9832876033057851,0.3162534435261708,12
-1,0.16393225181103965,-0.9753884297520661,0.19449035812672177,13
0.7407647440051847,0.13027376384438077,-0.7598429752066116,0.17024793388429751,14
-0.975,1,-0.9769355371900826,0.1696969696969697,15
-0.9832066115702479,0.20707070707070702,-0.9751005916305917,1,16
0.949042525907243,1,-0.9750909090909091,0.1674931129476584,17
-0.975,0.16322314049586778,-0.974297520661157,0.17079889807162535,18
-0.3750363636363636,0.1693755739210285,-1,0.226258953168044,19
0.800531914893617,0.1681523022432114,-1,0.16887052341597797,20
