generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
32,0.9978671164681935,0.0021328835318065154,0.9999999999698564,0.026756433195708338,0.9999999999698564,0.026756433195708338,StrategyMutateTerminal,StrategyReplaceBranch,32,32,((((1)-(x))0((0)0(7)))*((x)*((x)*(((9)+(5))+(x))))),(((0)-(1))*((5)+(((x)*((x)*(1)))-((0)+(8))))),10000*x*x*x,2
33,0.998732953743526,0.001267046256473881,0.9999999999396926,0.03326373741302956,0.9999999999396926,0.03326373741302956,StrategyMutateTerminal,StrategyReplaceBranch,33,33,(((1)0((0)0((x)-(5))))*((x)*((((9)+(0))+(6))*(x)))),((((7)+(4))0((7)*(4)))*((6)-((((1)*((x)+(x)))+(7))*((x)+(3))))),10000*x*x*x,2
34,0.9979309033912626,0.002069096608737267,0.9999999998592983,0.02673006025046816,0.9999999998592983,0.02673006025046816,StrategySkip,StrategyAddTreeWithMult,34,34,(((1)0((0)0(0)))*((x)*(((((1)+(9))-(8))-(4))*(2)))),(((x)*(8))*((x)*((4)-(((x)-(3))*(x))))),10000*x*x*x,2
35,0.9983623330069936,0.0016376669930063092,0.9999999999395316,0.026816426772684716,0.9999999999395316,0.026816426772684716,StrategyAddTreeWithSub,StrategyAddTreeWithMult,35,35,((((x)+(9))0((0)0((x)*(3))))*((2)*((x)*((4)-(3))))),(((x)+(1))*(8)),10000*x*x*x,2
36,0.9992196683821516,0.0007803316178482974,0.9999999999465233,0.016666740149993732,0.9999999999465233,0.016666740149993732,StrategyAddTreeWithAdd,StrategyReplaceBranch,36,36,(((4)0((((4)+(7))-(5))0(0)))*(((5)+(2))*((x)*(x)))),((2)+((x)+(4))),10000*x*x*x,2
37,0.9974839459271406,0.0025160540728593533,0.9999999999429654,0.026667331410756476,0.9999999999429654,0.026667331410756476,StrategySkip,StrategyReplaceBranch,37,37,(((1)0((0)0((2)+(9))))*((x)*((x)*(((2)+(8))-(4))))),(((((2)*(3))+((x)+(x)))0((0)*((3)*(2))))+((x)*(3))),10000*x*x*x,2
38,0.9998731550508073,0.00012684494919255258,0.9999999999163394,0.0021494159883981845,0.9999999999163394,0.0021494159883981845,StrategySkip,StrategyReplaceBranch,38,38,((((9)+(5))0((0)0((4)-(1))))*((x)*(((2)+(9))*(3)))),(((((x)+(x))*(3))+((3)-((7)0(0))))*((6)*((x)-(x)))),10000*x*x*x,2
39,0.9994446976001217,0.0005553023998779703,0.9999999999193141,0.010010488509973476,0.9999999999193141,0.010010488509973476,StrategySkip,StrategySkip,39,39,(((1)0((0)0(0)))*(((4)+(5))*((x)*((8)-((9)+(0)))))),(((((4)-(6))0(5))+((1)+(((x)-(0))0(0))))*((3)*(9))),10000*x*x*x,2
40,0.9986047891732336,0.0013952108267665068,0.9999999998930472,0.030213650051110937,0.9999999998930472,0.030213650051110937,StrategySkip,StrategyAddTreeWithMult,40,40,(((1)0((0)0((6)+(x))))*(((4)+(1))*(((4)-(2))*(x)))),((((1)0(9))+((3)-((5)*(0))))*((0)+(((x)-(6))*(((x)+(0))*(x))))),10000*x*x*x,2
41,0.9997467211070575,0.0002532788929423827,0.999999999950182,0.004906641620556532,0.999999999950182,0.004906641620556532,StrategySkip,StrategyReplaceBranch,41,41,(((1)0((6)0((4)+(0))))*(((8)-(7))*(((5)+(x))*(x)))),((((1)0(3))+((2)*(8)))*(((2)*(4))*(((x)-(3))*((5)-(8))))),10000*x*x*x,2
