gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-0.10192469596462134,-0.10407535910517407,-0.07294212271973466,-0.058493388911299356,NaN,NaN,7.093166666666666,662.2383333333332,-0.7512437810945274,0.6741293532338308,0.5657452210059274,1.1412171926209382,NaN,8353.025562008708,250,10.916666666666668,((((8)*(6))*((x)-(0)))*((0)-((0)+(x)))),((((0)+((8)-(5)))-((4)/((9)+(x))))+(((x)-(x))+((4)+((x)*(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,MultXD|MultXD|AddRandomSubTreeR|AddTreeWithDiv|SubXD|AddTreeWithSub|AddXD|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|SubXD|AddXD|AddTreeWithAdd|MultXD,SkipD,MultXD,0,0,1,1,4
1,x*x,20,-10,-0.10747837202874516,-0.07910266025561369,-0.07359557766721946,-0.0054865356293381405,NaN,NaN,6.436444444444444,5.326555555555555,-0.8557213930348259,-0.8,0.5375644082103989,0.06115943814487901,52.7125,348.05,145,167.5,(((4)*((0)-(8)))*((x)+((x)+(x)))),(((x)*(5))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,0,0,2,2,4
2,x*x,20,-10,-0.11187117882808181,-0.05328995997743893,-0.07080619126589277,0.0414742951907131,NaN,NaN,9.239777777777778,2,-0.9213930348258706,1,0.5245669738468132,0.9095661607450374,36.371875,390.65,79,0,((((4)*(5))-((1)-(7)))+((1)/((4)-((5)+(x))))),(((2)*(0))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,2,0,3,3,4
3,x*x,20,-10,-0.0934817219089296,-0.05740906701989339,-0.03978340806388066,0.024705882352941178,13.581450757575759,229.24640496545248,48.44,3.36,0.46296890028855403,-0.014705882352941176,1.0104034209999389,0.4463312440034096,501.46875,357.425,1871.4,34,((((3)+(7))*((7)*((8)*(x))))/(((1)-(x))-((7)+((x)+(x))))),((1)-((0)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,2,3,4,4,4
4,x*x,20,-10,-0.08527921708719485,-0.039127522341507646,-0.04749006728914261,0.031756164383561644,12.555766233766233,389.36625,43.818000000000005,1.73,0.5173374315627701,1,0.7360648175566107,0.7603481704310058,554.8,25,2082.2,0,((((x)*(9))-((x)*(6)))-((5)-((5)*((x)+(x))))),(((3)-((3)*(5)))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,2,3,5,5,4
5,x*x,20,-10,-0.07339892031393418,-0.05819431219293064,-0.02081879216712369,-0.004008528784648187,NaN,NaN,150.214,6.26,0.8426922324398356,0,0.897550041474814,0.3807822663827329,1633.1817307692306,162.5625,6388.75,33.5,((((x)*(6))*((9)*((9)/(2))))*(((3)*(7))/((2)*((2)+(x))))),(((4)-((3)*(x)))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,AddTreeWithSub,5,5,6,6,4
6,x*x,20,-10,-0.11303432835820897,-0.04794863170496991,-0.07520199004975124,-0.005737250895837858,NaN,NaN,4.822,7.212000000000001,-0.9099502487562189,1,0.5252362903782877,1.431351585429349,36.825,NaN,90.5,0,((((4)+(3))*((8)*(0)))-((3)-((1)+((x)+(x))))),(((3)-(3))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MultXD,6,5,7,7,4
7,x*x,20,-10,-0.10834451559562339,-0.0775858331690432,-0.07708052151540047,-0.030405554925888145,NaN,NaN,2.9340758770225377,5.81,-0.9651741293532339,-0.27015250544662306,0.5167753038944989,0.32185022556638754,NaN,256.225,35,45.9,((7)-((8)+(x))),((8)*((1)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,7,5,8,8,4
8,x*x,20,-10,-0.09562048092868988,-0.049518486272789625,-0.06725207296849088,0.019720682302771856,NaN,NaN,12.811666666666667,2.4,-0.9576119402985075,1,0.015434409646317381,0.8102676079673505,25.725,92.125,42.6,0,((((6)+(4))*((0)+(0)))/((6)*((x)+(x)))),(((9)-((9)*(x)))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,8,7,9,9,4
9,x*x,20,-10,-0.09514262023217247,-0.05787098650385678,-0.06762985074626865,0.03178192371475954,NaN,NaN,12.432,4,-0.6671641791044776,0.7014925373134329,0.1468446633094798,0.8342228213688466,113.58333333333333,19842.15,334.5,10,(((x)*((2)+(9)))*((x)+(x))),(((2)-(4))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,7,7,10,10,4
10,x*x,20,-10,-0.09797984013464422,-0.06986200271776948,-0.05992338308457712,-0.008612588449672725,7.055260664682539,1073.0798611111113,20.177,3.5469999999999997,-0.3781094527363184,-0.4755381604696673,0.681375809159462,0.14316751783469153,197.06719990079364,4274.305555555556,625,63.875,((((1)+((2)*(7)))/((3)*((x)*(1))))-(((2)*(9))*((2)-((x)+(x))))),((((x)*(1))/((8)*((2)+(x))))-(((x)-(2))*((x)+((x)*(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,10,9,11,11,4
11,x*x,20,-10,-0.1082255291005291,-0.07250578126133314,-0.07634285714285714,-0.04150513048499196,NaN,NaN,3.6754285714285713,16.702,-0.9390049751243782,0.5522388059701493,0.5193664476702232,0.719333937661736,NaN,229.025,61.3,15,((((4)-(8))+((6)*((7)+(3))))+(((x)/(5))+((0)/((5)+(x))))),((x)+((3)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,11,10,12,12,4
12,x*x,20,-10,-0.09875135534908662,-0.06039079711615185,-0.03871205489551723,-0.023694985250737464,114.37904166666667,38752.1375,453.791,9.83,0.9554917825873225,-0.8814159292035398,0.9621041055392842,0.04859461217976289,5668.60625,791.325,22580.1,282.5,((((9)-((x)*(9)))*((4)*((7)-(x))))*(((1)*(6))+((5)*((1)+(x))))),((((8)-(1))-((2)+((0)*(2))))-((x)*((x)+((x)*(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,11,12,13,13,4
13,x*x,20,-10,-0.0978227277148094,-0.06110517641487429,-0.07621565854935847,0.016879926211638436,NaN,NaN,3.803263157894737,2.452,-0.9164179104477612,0.40298507462686567,0.02417129042705181,0.6604991545645913,47.61,425.375,84,20,((((9)+((3)*(6)))-((5)+((4)-(0))))-(((5)+(6))/((2)/((4)+(x))))),(((4)-(8))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,12,10,14,14,4
14,x*x,20,-10,-0.09822469932446015,-0.030947862291510645,-0.05749780227296499,0.04,6.813611111111111,64.77250167824873,22.63244444444444,1.34,0.029266879165459246,1,0.8286299746352321,0.8057654650300887,280.825,278.75,1035.3,0,((((7)-((1)*(8)))/((2)*((x)-(6))))*(((x)-(7))-((0)-((x)+(x))))),((((x)+(4))+((2)-(4)))*((2)-((2)+((x)*(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,14,10,15,15,4
15,x*x,20,-10,-0.08519111124105894,-0.037555268991161406,-0.012081857899559184,0.06,40.166000000000004,208.04335333656113,149.29,0.67,0.8110902255639098,1,1.1544932225042561,0.8575695153830846,1427,107.11766682805704,5320,0,((((6)*((7)*(7)))/((1)+((3)+(7))))*(((3)*(x))+((3)+((1)+(x))))),(((((x)-(2))+((2)-(4)))-(((3)*(7))*((x)*(3))))*(((x)+((x)+(x)))-(((x)*(0))*((2)+((x)*(x)))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,14,15,16,16,4
16,x*x,20,-10,-0.08275272215378643,-0.05329901147383862,-0.0568619665587609,0.010307692307692306,NaN,NaN,23.28,2.64,0.03550863723608445,0,0.499664246686838,0.5301089689076225,287.8125,270.775,1042,33.5,(((8)*((x)*(4)))*((x)-((1)+(x)))),((0)*((7)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,14,15,17,17,4
17,x*x,20,-10,-0.09510255449811844,-0.0323767741521777,-0.045314380851647275,0.05295640441858504,14.585170918367348,437.85474999999997,53.412,0.9079999999999999,0.6043307086614174,1,1.0740110981065496,0.8251496310247293,654.625,128.5,2540,0,((((8)+(7))*((x)*(4)))-((4)*((9)-((2)+(x))))),(((x)-((x)*(x)))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,14,16,18,18,4
18,x*x,20,-10,-0.08954975124378109,-0.041860904808886684,-0.06367562189054726,0.05432835820895522,NaN,NaN,16.406,0.86,-0.2935323383084577,1,0.7042642301756986,1.3940841818809362,193.55,NaN,710,0,((((6)*((3)+(6)))-((3)*((3)-(6))))*(((3)*(x))*((4)/((9)+(x))))),(((0)*((x)*(x)))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,18,17,19,19,4
19,x*x,20,-10,-0.09168207174466288,-0.0813460228254008,-0.011850675038353005,-0.025790309061559276,NaN,NaN,311.5848163702923,15.574000000000002,0.40917107583774265,0.2537313432835821,0.6889638772994052,0.921999961218472,448.80000000000007,NaN,1701.0000000000005,25,((((7)-((8)*(x)))-((6)*((5)-(9))))*(((9)+(9))/((5)*((x)+(x))))),(((4)+(1))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,19,17,20,20,4
20,x*x,20,-10,-0.11348905472636815,-0.03588977753909177,-0.07683980099502487,0.017982409381663116,1.5184999999999997,22.51058983822872,3.176,2.1,-0.9353233830845771,0.8507462686567164,0.6047218330226501,0.6325027328492,23.675,35.5,65,5,((((3)+(5))*((1)-(3)))-((7)+((8)+(x)))),(((0)-(1))+((x)*(x))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|SkipD|SkipD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|AddXD|SkipD|ReplaceBranchR,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|MutateTerminalR|SkipD|AddXD|ReplaceBranchR|MultXD,SkipD,MutateNonTerminalR,19,17,21,21,4
