specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x,20,-10,ANTAGONIST-FeK,PROTAGONIST-3c2c2c2c1c2c2c1,-0.5282587064676617,-0.9199522102747909,474.1,418.5,0.29403728369298027,0.5496037344265791,279.9925,584.425,591,33.5,((((4)+((6)-(x)))*(((5)/(4))+((1)-(7))))*(((9)*((9)/(1)))+((x)-((x)+((x)+(x)))))),(((6)-((6)*(2)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,0,0,-0.9512437810945273,-0.9935642518202601,0.010833580849131557,0.5669556690190614,49,5205.3,49,134,((((4)/(2))-((8)+(9)))-((x)+((x)+(x)))),(((2)+((2)+(1)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,0,3
x*x,20,-10,ANTAGONIST-FeK,PROTAGONIST-3c2c2c2c1c2c2c1,-0.41194029850746267,-0.9819134002807473,591,1852.2,0.29403728369298027,0.5496037344265791,279.9925,584.425,591,33.5,((((4)+((6)-(x)))*(((5)/(4))+((1)-(7))))*(((9)*((9)/(1)))+((x)-((x)+((x)+(x)))))),(((6)-((6)*(2)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,0,0,-0.9724626865671642,-0.9090909090909091,0.010833580849131557,0.5669556690190614,27.675,368.5,49,134,((((4)/(2))-((8)+(9)))-((x)+((x)+(x)))),(((2)+((2)+(1)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,1,3
x*x,20,-10,ANTAGONIST-FeK,PROTAGONIST-3c2c2c2c1c2c2c1,-0.9728159203980099,0,27.32,33.5,0.29403728369298027,0.5496037344265791,279.9925,584.425,591,33.5,((((4)+((6)-(x)))*(((5)/(4))+((1)-(7))))*(((9)*((9)/(1)))+((x)-((x)+((x)+(x)))))),(((6)-((6)*(2)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,0,0,-0.9741293532338309,-0.75,0.010833580849131557,0.5669556690190614,26,134,49,134,((((4)/(2))-((8)+(9)))-((x)+((x)+(x)))),(((2)+((2)+(1)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,2,3
x*x,20,-10,ANTAGONIST-FeK,PROTAGONIST-3c2c2c2c1c2c2c1,-0.9725870646766169,0,27.55,33.5,0.29403728369298027,0.5496037344265791,279.9925,584.425,591,33.5,((((4)+((6)-(x)))*(((5)/(4))+((1)-(7))))*(((9)*((9)/(1)))+((x)-((x)+((x)+(x)))))),(((6)-((6)*(2)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,0,0,-0.96,-2,0.010833580849131557,0.5669556690190614,40.2,32767,49,134,((((4)/(2))-((8)+(9)))-((x)+((x)+(x)))),(((2)+((2)+(1)))*((x)*(x))),ReplaceBranchR|AddXD|SkipD|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddTreeWithAdd,AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|SubXD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|MultXD|MultXD,AddXD,MultXD,3,3
