A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,MultXD,MultXD,MultXD,0,0,0,0
AddTreeWithMult,SubXD,AddTreeWithMult,SubXD,0,0,1,0
MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,0,0,2,0
SubXD,MutateTerminalR,SubXD,MutateTerminalR,0,0,3,0
SubXD,MutateTerminalR,SubXD,MutateTerminalR,0,0,4,0
AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,0,0,5,0
AddTreeWithDiv,AddRandomSubTreeR,AddTreeWithDiv,AddRandomSubTreeR,0,0,6,0
MultXD,AddToLeafR,MultXD,AddToLeafR,0,0,7,0
AddTreeWithSub,MutateNonTerminalR,AddTreeWithSub,MutateNonTerminalR,0,0,8,0
ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,AddTreeWithSub,0,0,9,0
MutateTerminalR,MutateNonTerminalR,MutateTerminalR,MutateNonTerminalR,0,0,10,0
ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd,0,0,11,0
ReplaceBranchXR,SubXD,ReplaceBranchXR,SubXD,0,0,12,0
AddTreeWithAdd,AddXD,AddTreeWithAdd,AddXD,0,0,13,0
MutateNonTerminalR,MutateTerminalR,MutateNonTerminalR,MutateTerminalR,0,0,14,0
