gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x,20,-10,-0.08030397288349408,-0.004498862998304795,-0.031542923043097464,0.05134328358208955,274.4136666666667,3.225138888888889,1087.276,0.96,0.9813613105316941,0.9402985074626866,1.2418313848923472,0.5819015857994513,13513.0875,32.75,53920.1,2,((((6)/((8)+(x)))*((x)*((9)/(4))))*(((8)+(4))*((x)+((x)+((x)*(x)))))),((x)*((x)-(2))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,8,11,12,12,2
12,x*x,20,-10,-0.07896302594950994,-0.04389818722133483,-0.021093397330377996,0.0032268071407667532,NaN,NaN,3005.324428571428,2.6919999999999997,0.9932690105244546,0.2059701492537313,1.2509853661062345,0.45526708334628235,37343.875,82.32499999999999,149309.4,26.6,((((x)+((2)*(3)))*(((1)*(2))+((x)*(x))))*(((x)*(x))+((x)+((0)/((4)*(x)))))),(((x)+((6)+(6)))-((x)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,12,12,13,13,2
13,x*x,20,-10,-0.025524233672296896,-0.005620105458958591,0.0658951559547029,0.043462686567164184,1101.7680083333332,8.0405,4216.0242499999995,1.224,0.9947206238173935,0.08656716417910444,1.0211249380657954,0.08043759967893127,48925.50104166666,33.599999999999994,190363.4,30.6,((((x)*((8)+(8)))*(((5)-(8))*((2)/(8))))+(((4)/((2)*(x)))*((x)+((x)+((x)*(x)))))),((x)+(5)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,12,13,14,14,2
14,x*x,20,-10,-0.05057599858904035,-0.03137513057370144,0.030934045406345992,0.000676355066771407,280.2147797619047,282.3685,1057.4452499999998,2.6679999999999997,0.9777672902640642,-0.11842105263157894,1.3411527526298046,0.03980834351774378,12000.994791666664,40.75,45203.66666666666,38,((((7)*((4)/(3)))*(((4)/(8))*((1)*(x))))*(((x)-((1)*(x)))-((4)+((x)+((x)*(x)))))),((x)-(4)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,13,13,15,15,2
15,x*x,20,-10,-0.07952872748461315,-0.039401376877183474,-0.02659913168685349,-0.006323458806338524,56.85156547619047,340.22324999999995,218.87961904761906,11.322000000000001,0.9011924324779842,0.19402985074626866,1.3680365562351293,0.14197931266077893,2551.1964285714284,32.1,10171.285714285714,27,((((x)*(5))*((x)*(x)))+((x)/((7)+((x)*(x))))),(((7)*(4))+((x)+(7))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,15,14,16,16,2
16,x*x,20,-10,-0.0631006904221948,-0.028317740052026422,0.04073514638987512,0.004374681215769891,NaN,NaN,16999.299166666668,2.568,0.9962967534872238,0.21791044776119406,0.9766963430283744,0.33923675549946336,67878.36708333333,60.9,271383.5,26.2,((((9)-((0)/(6)))*(((0)*(3))*((6)*(1))))*(((7)+((3)*(x)))*((5)+((x)+((x)*(x)))))),(((x)-((x)+(3)))+((6)*(3))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,15,14,17,17,2
17,x*x,20,-10,-0.06350584227032835,-0.04231681134113407,0.033079000469400814,0.013671641791044775,13039.749702380954,1042.0925,52120.835999999996,2.222,0.9995724984010164,0.2059701492537313,0.9857657251975908,0.5273924976850385,588152.6642857143,131.325,2350868.4,26.6,((((2)*((6)*(6)))/(((1)+(6))*((x)*(x))))*(((x)*((x)-(3)))+((x)+((9)/((4)*(x)))))),(((9)+(6))-((x)+(3))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,16,17,18,18,2
18,x*x,20,-10,-0.0559828687774013,-0.05672075890460812,0.03331768899089147,0.005313432835820895,NaN,NaN,6187.466162698414,2.502,0.996477249947743,0.050746268656716394,0.9766492067173742,0.43516028561625136,74951.18148148149,108.95,285288.4777777778,31.8,((((x)-((7)+(6)))*(((5)/(3))*((7)*(x))))+(((8)/((3)*(x)))*((x)+((x)+((x)*(x)))))),((x)+(3)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,16,17,19,19,2
19,x*x,20,-10,-0.04561338035531141,-0.03837669525328973,0.04438531835615839,0.07325373134328358,1296.2005436507936,4508.90275,3968.636285714286,0.226,0.9932032183606433,0.8417910447761194,1.1459235093952485,0.6654747394693089,51737.016666666656,50.425,147864.1,5.3,((((2)-((x)*(6)))/((5)*((4)*(x))))*(((7)+(8))*((x)+((x)+((x)*(x)))))),((((x)*(1))*((x)-(x)))-((0)*((5)+(3)))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,19,19,20,20,2
20,x*x,20,-10,-0.05546949021972699,-0.0334398873513726,0.03474738452650665,0.002115759232008968,1161.8264285714283,352.44875,4577.2775,2.648,0.9952617807218123,0.026865671641791003,0.9761118781537812,0.1307653025919169,53461.68561507936,38.4125,212105,32.6,((((0)-((4)*(7)))*(((3)/(4))*((8)+(0))))*(((5)*((x)*(x)))-((0)+((x)+((x)*(x)))))),(((x)*((2)*(0)))-((x)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,18,20,21,21,2
