gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x,20,-10,-0.05798740831434279,-0.026328074630380748,0.005671191162706979,0.010208955223880599,119.92264583333333,6600.019613018448,351.89066666666673,2.338,0.9299636926207516,0.16417910447761194,1.4298983104486567,0.4346331409172953,5122.525000000001,93.77499999999999,14349.7,28,((((x)+((5)+(1)))*((x)*((x)*(x))))+(((5)+(6))*((3)+((9)/((9)*(x)))))),((x)+((9)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,21,20,22,22,2
22,x*x,20,-10,-0.07667722262151172,-0.017139046556234428,0.003241453034445898,0.025791044776119404,12355.84671428571,179.49024999999997,49413.286952380935,1.8160000000000003,0.9995865763971264,0.8507462686567164,1.2453067168199177,0.436901644388298,607797.8515873014,26.3,2430920.7142857136,5,((((x)*((8)*(x)))*((4)*((9)*(6))))*(((4)/(7))+((5)+((x)+((x)*(x)))))),((x)*((x)+(1))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,22,22,23,23,2
23,x*x,20,-10,-0.06580831127827085,-0.025442748305591466,0.0012686503995926835,0.009492537313432834,391.3474196428571,2165.40775,1389.53825,2.362,0.9845886078375746,0.17611940298507459,1.0353420815681207,0.42404565163107,17748.75,87.775,65211.5,27.6,((((3)*((7)+(x)))*((2)*((x)*(9))))*(((9)*(4))/((3)+((x)+((x)*(x)))))),(((x)-(4))+((8)*(2))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,22,22,24,24,2
24,x*x,20,-10,-0.052987675610047996,-0.02296108736082057,0.038472494026588394,0.013611940298507463,2383.463348214286,169.11800000000002,7824.365500000001,2.224,0.9950178650436309,0.19402985074626866,1.1300149033033458,0.2022527211728853,71692.771875,36.675,201720.75,27,((((x)+((8)*(x)))*((3)*((x)*(3))))+(((9)/(2))*((5)+((x)+((x)*(x)))))),(((8)-(x))-((5)-(2))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,22,22,25,25,2
25,x*x,20,-10,-0.03310066746823366,-0.03092010073818618,0.03977962955861665,-0.0008341341239010441,1535.100404761905,185.58700000000002,6050.486285714286,2.734,0.9951367445803736,0.08656716417910444,0.8348609473678411,0.07951496544068389,52712.200000000004,34.175000000000004,206651.7,30.6,((((x)+((x)-(3)))*(((7)+(0))/((3)*(7))))*(((x)*(x))+((x)-((0)+((x)*(x)))))),((x)+(5)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,25,24,26,26,2
26,x*x,20,-10,-0.051909316359520084,-0.018413920837961836,0.017373828504120083,0.021611940298507458,163.37895059523808,106.79962499999998,393.00546666666673,1.9560000000000002,0.9368257782254801,0.14626865671641787,0.8512191745470032,0.16828401394470652,7180.2125,33.125,15908.387500000003,28.6,((((6)+((9)/(8)))+(((3)*(0))*((x)*(x))))*(((x)-((4)+(4)))+((5)+((x)/((6)*(x)))))),(((2)+((7)*(0)))-((x)-(5))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,24,22,27,27,2
27,x*x,20,-10,-0.062001798037907375,-0.03036896301899041,-0.0046264704385616095,0.0006349868305531164,3864.399166666666,331.1464444444444,15418.670777777777,2.68,0.9986926021445227,-0.1625,1.2449536053730783,0.07820105614537007,192244.775,43,768702.5,40,((((x)*((6)*(x)))*((x)*((x)*(4))))/(((8)+(7))+((x)+((x)+((x)*(x)))))),((x)*(6)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,26,27,28,28,2
28,x*x,20,-10,-0.07122295750065157,-0.023964427774201297,-0.0035093180418628634,-0.0038339363787124985,666.147814227362,31352.32625,2597.9950000000003,2.98,0.9920510043417599,0.09253731343283586,1.249623141335882,0.19047486859527493,31627.61666666667,36.325,126431.06666666668,30.4,((((x)*((9)+(7)))*(((4)/(6))*((x)*(x))))*(((3)/((3)-(7)))+((1)+((x)+((x)*(x)))))),(((5)*(9))-((x)*(3))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,28,28,29,29,2
29,x*x,20,-10,-0.07115131491934766,-0.033380373216985615,-0.034348543259480196,0.004998179832544595,NaN,NaN,394.2422666666667,2.54,0.9481317093311313,0.22388059701492538,1.2230855175625122,0.23046955857603868,NaN,39.3,19376,26,((((1)*((8)*(1)))-(((x)+(x))*((7)/(7))))+(((4)*((x)+(7)))*((5)*((6)+((x)*(x)))))),((((0)*(3))+((8)*(5)))-((x)-((2)-(7)))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,29,29,30,30,2
30,x*x,20,-10,-0.08024169095085681,-0.029597119072658593,-0.029366441604896158,0.0026865671641791043,19.22878611111111,167.80561111111115,68.47346825396826,2.59,0.5951620862244332,0.03283582089552243,0.7649110211963889,0.29779497973654073,672.33375,49.85,2482.475,32.4,((((2)-((1)*(2)))/(((8)+(3))/((1)*(x))))+(((1)*((x)*(x)))+((1)*((6)+((x)*(x)))))),((x)+(2)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,30,30,31,31,2
31,x*x,20,-10,-0.08357186154469909,-0.003655834962866017,0.0016609376491298921,0.027164179104477614,573.1394476190476,3.37825,1896.6231904761903,1.77,0.985710969161895,1,1.2435834461350679,0.568431462189783,17618.042857142857,28.8,70333.67142857143,0,((((1)*((9)*(6)))*(((6)*(x))+((4)*(6))))/(((7)*((x)+(8)))/((6)+((x)+((x)*(x)))))),(((x)*(x))+((x)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,29,30,32,32,2
32,x*x,20,-10,-0.057547299965840744,-0.017408104254216933,0.040422143716357474,0.007944688323090431,2790.7271261160718,168.28132125696118,11153.472904761906,2.414,0.9963229240985676,0.15820895522388062,1.2440177398490204,0.07500468472179647,68394.56419270833,31.3,273315,28.2,((((x)*((x)+(0)))*(((x)*(6))/((9)*(6))))*(((x)*(4))*((1)+((x)+((x)*(x)))))),((x)+((7)*(2))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,32,31,33,33,2
33,x*x,20,-10,-0.04093600671865536,-0.0500523839122362,0.03884848846629712,-0.00852565515534306,235.56369801587297,9334.937583333332,705.7139999999999,3.0153333333333334,0.952108649035025,-0.014705882352941176,1.0703542468897604,0.10820469447595008,7550.021428571428,39.225,20985,34,((((x)-((9)*(x)))*((5)+((7)*(5))))*(((7)+(x))+((x)*((9)/(9))))),((((6)+(3))-((x)-(3)))-((5)-((2)*(9)))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,33,31,34,34,2
34,x*x,20,-10,-0.03977097330198157,-0.02975522133907825,0.03646634842459783,0.00020128448617358824,519.7048571428571,168.37100462962965,1911.2673333333335,2.6885185185185185,0.9861770167113678,0.1044776119402985,1.443251901610399,0.08218799411478239,19950.17857142857,33.875,72705,30,((((x)*(8))*((6)/((1)/(6))))*(((x)+(x))*((3)+((x)*(x))))),((x)+(6)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,34,31,35,35,2
35,x*x,20,-10,-0.08103938148617036,-0.030179341101611648,-0.033950613807727285,0.003257462686567165,NaN,NaN,124.617,2.592,0.8252553792653771,0.09850746268656718,0.878806479875958,0.050682005710958856,1773.329642857143,32.675,5751.25,30.2,((((0)+((6)*(2)))+(((x)-(1))*((6)*(5))))/(((8)*(1))*((x)+((x)+((x)*(x)))))),(((x)+(8))-((x)*(6))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,34,35,36,36,2
36,x*x,20,-10,-0.05559180309061446,-0.03390455052549772,0.03228811103307253,0.0066865671641791035,NaN,NaN,14604.10012244898,2.4559999999999995,0.9985110857444238,0.03283582089552243,1.1295139190436396,0.21386731358882233,185033.705,39.825,674988.5,32.4,((((x)*((x)*(6)))*((9)*((6)*(x))))-(((1)+(7))/((5)+((x)*(x))))),((x)+(2)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,36,36,37,37,2
37,x*x,20,-10,-0.05641983887342995,0.0022793469982291532,0.0021113497468586108,0.039044776119402984,223.80027721088433,2.9252142857142855,860.000261904762,1.3719999999999999,0.9726625642378738,0.8507462686567164,0.9694242279886451,0.432776637598734,9216.18125,26.175,36762.775,5,((((x)-((3)*(2)))*(((x)*(x))*((x)+(2))))+(((6)*((9)*(6)))+((x)/((4)*((6)+(3)))))),((x)+((x)*(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,34,36,38,38,2
38,x*x,20,-10,-0.06172415834166687,-0.021766829311303935,0.05394957644043112,0.03140298507462686,NaN,NaN,1137.612111111111,1.6280000000000001,0.968951966684379,0.8507462686567164,1.3574019497794514,0.48717658255709034,8583.725,29.175,32369.2,5,((((x)+((5)*(6)))*((1)*((x)*(3))))*(((x)+(x))+((0)/((1)+((7)*(x)))))),((x)*((x)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,38,36,39,39,2
39,x*x,20,-10,-0.06878707600901506,-0.030532882520204405,0.039228312879362646,0.004326313637292987,11008.245946428571,169.13766666666666,44027.33228571429,2.54,0.9995322710845098,0.14925373134328357,1.2550706965322136,0.09527040333543563,537181.85,38.025,2148680.5,28.5,((((0)-((9)*(4)))*(((x)+(7))/((8)*(0))))+(((5)*((6)*(x)))*((x)+((x)+((x)*(x)))))),(((2)*((2)+(9)))-((x)+((6)-(x)))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,38,39,40,40,2
40,x*x,20,-10,-0.062133430308993966,-0.03083544662485352,0.005449670170536942,0.00446067979430578,NaN,NaN,149876.61,2.532,0.9998658399613843,0.11641791044776115,1.478015983478419,0.07057197838417574,1876665.9874999998,33.075,7491053.3,29.6,((((4)*((x)+(5)))*(((9)/(1))*((8)*(5))))+(((x)*((x)*(x)))+((4)+((x)+((x)*(x)))))),((4)-((x)-(1))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,38,37,41,41,2
41,x*x,20,-10,-0.016823887750612897,-0.03471222975695515,0.059623878345837086,0.03450746268656717,6248.792793253969,260.39248366642863,23095.960634920633,1.524,0.9987351038020388,0.5522388059701493,1.0218827638603087,0.7161724752856103,199205.98124999998,961.0500000000001,794531.6,15,((((9)+((2)-(5)))*(((x)+(9))/((1)*(5))))*(((6)*((x)*(x)))*((3)+((x)+((x)*(x)))))),((((x)-(2))*((x)-(6)))*((x)+((5)*(x)))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,38,37,42,42,2
42,x*x,20,-10,-0.03877324401800977,-0.023246472397668604,0.03077395319349824,0.009074626865671643,20667.145263888884,167.59316666666666,82344.34663888888,2.376,0.9997548663567694,0.14029850746268654,1.4731092322501136,0.22833883412772576,1027567.8527777776,39.75,4099804.444444444,28.8,((((x)*((5)*(3)))*(((x)*(x))+((x)*(x))))*(((6)+(2))+((8)/((9)+((x)*(x)))))),((x)+(9)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,38,41,43,43,2
43,x*x,20,-10,-0.07365825361499474,-0.03252912490921307,0.0013968343078600487,-0.00010348258706467772,36476.67582416667,169.89466666666664,145790.86213,2.6919999999999997,0.9998620906694979,0.050746268656716394,1.03323499657097,0.12002913921681187,1823264.3869047621,37.45,7287396.7,31.8,((((8)*((4)*(x)))*(((7)/(9))/((9)-(2))))*(((x)*((x)*(x)))+((x)+((x)*((9)+(7)))))),((x)+(3)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|SkipD|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,43,41,44,44,2
44,x*x,20,-10,-0.04258060352360283,-0.039229570788549856,0.002269973182376714,0.00266738258812418,NaN,NaN,675.703,2.602,0.940771386391563,0.23582089552238802,0.8854642385776315,0.16686285764488065,7510.3125,31.488775510204082,16968.15,25.6,((((x)+((7)*(x)))*(((x)*(x))/((2)+(7))))+(((6)+(3))*((1)*((9)+((x)*(x)))))),(((3)*((5)-(7)))-((x)-(9))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,43,44,45,45,2
45,x*x,20,-10,-0.08148878110390452,-0.035387286783281284,-0.03209400145897272,0.018851128970531955,105.34139285714285,331.472,415.19599999999997,2.0639999999999996,0.9505238076483793,0.050746268656716394,0.9575671289638212,0.19486866369524808,5104.877083333333,40.85,20312.8,31.8,((((x)*((5)*(x)))*((x)*((4)/(2))))+(((8)*(1))*((6)+((x)*(x))))),((x)+(3)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,43,45,46,46,2
46,x*x,20,-10,-0.058303147820689176,-0.03112751850147101,-0.0023226537287994752,0.0032656371322577838,NaN,NaN,226.44027901234574,2.572,0.8633281565756156,0.08656716417910444,0.9602687549286479,0.081227908214918,2659.565833333334,33.675,7353.380000000003,30.6,((((x)*(3))*((1)*((6)/(5))))*(((x)*(x))+((x)+((x)*(x))))),((x)+(5)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,46,46,47,47,2
47,x*x,20,-10,-0.06270745351581317,-0.05080060768761699,0.037758436564374505,0.012473522796974033,NaN,NaN,88527.84783333333,2.272,0.9997725078575334,-0.0821917808219178,1.4780720120844901,0.2461951915817595,1108858.7291666667,51.275000000000006,4417735,36.5,((((7)+((2)*(x)))*(((9)*(3))*((x)*(6))))*(((6)/(2))*((4)+((x)+((x)*(x)))))),((2)*((x)+(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,43,46,48,48,2
48,x*x,20,-10,-0.06606036258120125,-0.003225389148070989,0.024630831125088345,0.03986069651741294,494.01097817460317,4.79964880952381,1964.860555555555,1.3446666666666667,0.987830351466715,0.06268656716417914,1.2453515357348566,0.07711767389817585,20676.231249999997,34.575,82582.49999999999,31.4,((((x)-((0)+(7)))*(((6)-(4))*((x)*(x))))*(((x)+(x))+((x)*((x)/((3)-(9)))))),(((x)-((1)+(3)))-((x)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,43,48,49,49,2
