A,P,AFinal,PFinal,AGen,PGen,count,run
ReplaceBranchR,SubXD,ReplaceBranchR,SubXD,0,0,0,2
MultXD,MultXD,MultXD,MultXD,0,0,1,2
AddToLeafR,SubXD,AddToLeafR,SubXD,0,0,2,2
MultXD,AddToLeafR,MultXD,AddToLeafR,0,0,3,2
MultXD,SubXD,MultXD,SubXD,0,0,4,2
AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,0,0,5,2
AddXD,MutateTerminalR,AddXD,AddTreeWithDiv,0,0,6,2
AddTreeWithMult,AddTreeWithDiv,AddTreeWithMult,AddTreeWithDiv,0,0,7,2
AddTreeWithMult,ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,0,0,8,2
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,0,0,9,2
AddXD,AddTreeWithMult,AddXD,AddTreeWithMult,0,0,10,2
MultXD,MutateTerminalR,MultXD,ReplaceBranchR,0,0,11,2
AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd,MutateTerminalR,0,0,12,2
ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,AddTreeWithMult,0,0,13,2
AddTreeWithDiv,ReplaceBranchXR,AddTreeWithDiv,ReplaceBranchXR,0,0,14,2
