gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
83,x*x*x*x*3*x+1,25,-10,-0.03573804382096478,0.0000003881353998511876,-0.02769504454344198,0.000001726633415091551,22692.7193,8451.046,65719.2552,8450.763200000001,0.1104982264813677,0.00011927401880559206,0.5352496496582647,0.00005515022857387417,1642980.67,211269.65999999997,5938105.08,211253,((((7)*((8)*(x)))*((9)*((4)*(x))))*(((3)*(0))+((3)*((6)+(x))))),(((x)*(2))+((x)-(2))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR,AddTreeWithMult,MutateTerminalR,83,80,84,84,3
84,x*x*x*x*3*x+1,25,-10,-0.03394900721725297,0.0000007719858961795443,-0.02059589141990448,0.000004055316639389304,35248.503300000004,8450.964899999999,115641.35519999999,8450.271200000001,0.38976958219406316,0.0001987900313425616,0.6748853969333175,0.00010152069437378374,2322372.12,211267.33,8655673.08,211236.2,((((x)*((x)*(8)))*((4)*((3)*(5))))*(((x)*(3))*((x)+((0)+(x))))),(((7)*(x))*((x)-(3))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,83,84,85,85,3
85,x*x*x*x*3*x+1,25,-10,-0.035100153472928455,0.000008403615334130796,-0.02698631922241049,0.000031689024234400315,26411.379199999996,8449.3525,70860.1176,8444.4328,0.1813695772037587,0.001503988579986053,0.5467153109372663,0.0007178384162082658,2017800.44,211186.14,6452185.08,210960.44,((((x)*((x)*(x)))*((3)*((8)*(9))))*(((5)*(x))+((6)*((0)+(x))))),(((x)*(9))*((6)-(3))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,83,85,86,86,3
86,x*x*x*x*3*x+1,25,-10,-0.038544951632492136,0.0000006905617709878922,-0.03840006664199146,0.000002476355819011904,7685.5,8450.9821,8450.776,8450.6048,-0.960001211672572,0.00017947899972648766,0.0000006058362859717725,0.00009194996784108855,211270.19999999998,211268.32,211271.8,211240.28,((((x)*((0)*(1)))*((6)*((3)*(x))))*(((9)*(3))*((x)+((1)+(x))))),(((6)*(x))*((2)-(1))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,86,85,87,87,3
87,x*x*x*x*3*x+1,25,-10,-0.03817146240359867,-0.0000007081939963640021,-0.037135128792274825,0.0000015732811051977813,9658.2533,8451.2777,15132.1208,8450.795600000001,-0.8564924767439328,0.00011927401880559206,0.05380805583407678,0.00005420139607351097,333615.9,211270.05,758000.28,211253,((((6)*(2))*((9)*((9)*(x))))*(((3)*(x))+((6)*((8)+(0))))),((((x)*(x))-((3)-(x)))*((6)*((0)+(0)))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,87,85,88,88,3
88,x*x*x*x*3*x+1,25,-10,-0.03851994502035704,0.0000005452564274556363,-0.038400025066476336,0.0000024252383823801884,7817.5838,8451.0128,8450.9956,8450.615600000001,-0.9600000833024893,0.00020712028027505589,0.0000005323019676771957,0.00010445888325068141,211273.84,211267.53000000003,211277.76,211234.44,((3)-(0)),(((x)-((8)-(x)))-((6)+((x)*(7)))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,87,85,89,89,3
89,x*x*x*x*3*x+1,25,-10,-0.04255971398610932,0.0000001976432539457143,-0.03412794198360266,0.0000036255515240126064,12889.480912500001,8451.0863,31015.946200000002,8450.362,-0.6127931646521032,0.0000312384334967158,0.600600020764825,0.0000173042403462767,616938.1699999999,211274.76,2045209.08,211271.6,((((x)*((x)*(x)))*((8)*((5)*(3))))*(((3)*(x))+((0)/((4)+(x))))),(((9)-(8))+((x)+(0))),AddTreeWithMult|AddXD|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,87,89,90,90,3
90,x*x*x*x*3*x+1,25,-10,-0.03850485129085727,0.0000013711782969980307,-0.038400003710747255,0.000006101907343020378,7897.3081999999995,8450.838300000001,8451.108400000001,8449.8388,-0.9600001211672573,0.0002692184995896626,0.0000006252618646739984,0.0001329097401380894,211274.66,211263.44,211277.56,211221.32,((6)+(0)),(((x)*(x))-((3)-(8))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,89,89,91,91,3
91,x*x*x*x*3*x+1,25,-10,-0.03688783124808901,-0.000005068308100448571,-0.03219502778800653,0.000001645224164160733,16438.3353,8452.2001,41225.512,8450.7804,-0.4367107860631149,0.00011643416121495648,0.26164501085992337,0.00004986901548680739,902272.52,211268.52,2975268.28,211253.6,((((x)*(x))*((x)*((6)*(9))))*(((3)*(5))*((7)+((0)+(x))))),(((x)-(3))-((3)*(x))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,DeleteTerminalR|SubXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,91,91,92,92,3
92,x*x*x*x*3*x+1,25,-10,-0.03851586687126263,0.00000006781844826385357,-0.03840002423345144,0.000006806192025492765,7839.1244,8451.1137,8451,8449.69,-0.960001211672572,0.0002769807770040573,0,0.00016519037892791553,211271.8,211266.25,211271.8,211219.68,((((x)*(0))*((3)*((7)*(4))))*((8)*((x)+((1)+(x))))),((((7)+(x))*((9)-(8)))+((7)-((2)+((3)*(9))))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd,DeleteTerminalR|SubXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,92,91,93,93,3
93,x*x*x*x*3*x+1,25,-10,-0.03797361757152418,0.00000030909617747626713,-0.03645176689312953,0.0000024593166734689167,10703.2608,8451.0627,18741.6076,8450.6084,-0.765175303462449,0.00016471174025534796,0.10100667602366564,0.00007728518212203058,443263.69,211267.5,1240333.48,211243.4,((((7)*(x))*((x)*((x)*(0))))-(((8)*(3))*((x)+((1)+(x))))),((((5)*(x))*((x)+(1)))-((4)-((6)+((2)+(x))))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,DeleteTerminalR|SubXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,93,91,94,94,3
94,x*x*x*x*3*x+1,25,-10,-0.03840005196939391,0.0000002755085799783133,-0.03840002423345144,0.000011300739972226633,8450.853500000001,8451.07,8451,8448.7404,-0.96,0.0006213608408250299,0.0000006058362860272837,0.0003230027302229258,211273.4,211248.91,211278.2,211146.92,((0)*(0)),(((x)*(5))*((5)-(x))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,94,93,95,95,3
95,x*x*x*x*3*x+1,25,-10,-0.037865960652826464,0.0000027188285206820058,-0.036248611054051014,0.000015013380462351052,11271.899799999997,8450.553600000001,19814.667599999997,8447.956,-0.7970444882623953,0.001457414915500098,0.08147836170508838,0.0007355197406648476,426454.31999999995,211203.06,1072001.88,210970.28,((((x)*(x))*((x)*((x)*(3))))*(((3)-(0))+((8)*((8)+(x))))),((((9)-(7))-((2)-(0)))+((7)*((x)*((x)+(3))))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,DeleteTerminalR|SubXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,91,91,96,96,3
96,x*x*x*x*3*x+1,25,-10,-0.04590566263244144,0.0000005505966681712786,-0.03722200205775111,0.000007334405537346023,22270.1409,8451.0117,70068.9508,8449.5784,0.19780100589746127,0.0002718690333408857,0.5789009270343591,0.0001372108425946983,1804541.56,211264.03,6584345.08,211220.76,((((x)*(x))*((x)*((x)*(8))))*((x)*((x)+((0)+(x))))),(((x)+((6)-(x)))+((3)*((3)*(x)))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,FellTreeD|SubXD|ReplaceBranchR|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,91,96,97,97,3
97,x*x*x*x*3*x+1,25,-10,-0.03831318093395344,0.000008229638984364732,-0.03804790241492023,0.000050182176864441185,8909.7024,8449.3893,10310.8916,8440.525599999999,-0.9367201954579317,0.0021811999534264567,0.011640508107320147,0.0010836250916451404,242014.12,211159.96999999997,334241.08,210817.36,((((x)*(x))*((9)*((3)*(3))))*(((4)*(0))+((x)*((x)+(x))))),((((5)-((0)*(9)))+((2)*((x)+(x))))-(((7)*(6))-((3)-((x)-((x)+(x)))))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,DeleteTerminalR|SubXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,97,91,98,98,3
98,x*x*x*x*3*x+1,25,-10,-0.0384151079666525,0.0000005769997161309233,-0.03840002423345144,0.000003099231250553473,8371.3284,8451.0061,8451,8450.473199999999,-0.96,0.00012040996184179118,0.0000006058362860272837,0.00005514609981131117,211273.4,211269.39,211278.2,211252.76,(0),(((x)*(3))-((5)-(6))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteNonTerminalR,DeleteTerminalR|SubXD|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,96,98,99,99,3
99,x*x*x*x*3*x+1,25,-10,-0.03840437807592076,0.000001117011178846373,-0.038400048466902884,0.0000036198718088329884,8428.0032,8450.892,8450.872,8450.3632,-0.960001211672572,0.0000904967952208247,0.00021648045089367463,0.000044662358743205356,210700.08,211272.3,211271.8,211259.08,((((x)*(0))*((9)*((9)*(x))))*(((8)*(3))*((2)-((6)+(x))))),(((x)*(6))+((4)-(7))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,FellTreeD|MultXD|ReplaceBranchR|SkipD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddTreeWithMult,MutateTerminalR,98,96,99,99,3
