gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.034821082780283986,0.0000010365480205744078,-0.026006588239948964,0.000003051900290710006,28778.0717,8450.909,79605.6272,8450.4832,0.2788056318741899,0.000209013518668767,0.5803455800876255,0.00009896024272615507,2305895.3000000003,211265.1,7323899.4,211234.04,((((x)*((x)*(x)))*((4)*((4)+(7))))*(((x)+(6))*((x)+((2)*(5))))),((7)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DeleteMaliciousR|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddToLeafR,DivXD,11,11,12,12,0
12,x*x*x*x*3*x+1,25,-10,-0.029046411362307803,0.0000001632921256264782,-0.006176283158185569,0.0000007535088807113565,96672.3975,8451.093499999999,333919.4912,8450.9688,0.7637615731673254,0.00003237437653305268,0.8159245216762556,0.000018664444904847294,6421629.76,211276.41999999998,22358576.76,211271.36,((((x)*(x))*((3)+((x)*(7))))*(((x)*(x))*((3)*((x)+(1))))),((x)+(3)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DeleteMaliciousR|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,ReplaceBranchXR,DivXD,12,11,13,13,0
13,x*x*x*x*3*x+1,25,-10,-0.038000491465754634,0.0000001689717103397021,-0.03653733286254805,0.0000007023914440796406,10561.314100000001,8451.0923,18289.652000000002,8450.979599999999,-0.8732435168417755,0.000026694661351781535,0.04411607687535085,0.000012419966132571037,320336.92000000004,211276.47,669522.04,211272.56,((((9)+((4)*(4)))*((x)+((x)*(7))))+(((3)*(x))*((3)*((x)+(1))))),((x)-(3)),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DeleteMaliciousR|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,13,11,14,14,0
14,x*x*x*x*3*x+1,25,-10,-0.03109505593442744,0.0000002678967814012099,-0.015603055511172416,0.0000019954732670048686,49276.52189999999,8451.0714,137827.59519999998,8450.706400000001,0.33575254100963187,0.0000904967952208247,0.6233307057718774,0.00005070358058457873,3018849.84,211274.55,7951788.04,211259.08,((((x)*((x)*(x)))*((x)+((x)*(7))))*(((1)*(3))+((x)*((7)+(1))))),((3)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,14,13,15,15,0
15,x*x*x*x*3*x+1,25,-10,-0.02943913019324551,0.0000005869040314546001,-0.003539943615471246,0.000001932996400009784,128389.4841,8451.004,483010.1572,8450.7196,0.8638519715830981,0.0001499444807842083,0.8983442973383667,0.00007040341994714647,9984948.32,211268.43,38795677.48,211246.52,((((x)*((x)*(7)))*((6)*((3)+(9))))*(((x)*(4))*((3)*((x)+(1))))),((5)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithMult|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithAdd,DivXD,15,15,16,16,0
16,x*x*x*x*3*x+1,25,-10,-0.03576814375299154,0.00000020446975772725425,-0.027405041456682176,0.0000008349181316421751,22408.382200000004,8451.0848,66749.636,8450.951599999999,0.06298577425726447,0.00003294234805115225,0.5123117679263921,0.000015002047791532311,1561263.1900000002,211275.97999999998,5637006.2,211271.24,((((9)+((2)*(x)))*((7)*((x)*(6))))*(((5)*(4))-((8)*((x)+(1))))),((x)+(6)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithMult|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,15,15,17,17,0
17,x*x*x*x*3*x+1,25,-10,-0.03288543902778422,0.0000007435711892836236,-0.023331115543392553,0.000002714903856623363,37578.7909,8450.9709,88044.29759999998,8450.5544,-0.05180177415369871,0.0001499444807842083,0.4581514707372729,0.00007004171840398599,2206584.8400000003,211268.26,5008340.36,211246.52,((((x)-(5))*((9)*((7)*(x))))*(((x)*(x))*((3)*((x)+(1))))),((x)*(5)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithMult|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,ReplaceBranchXR,DivXD,17,15,18,18,0
18,x*x*x*x*3*x+1,25,-10,-0.03550037222960059,0.0000008027332604034804,-0.027359297381367317,0.000003082192105009109,23766.831400000003,8450.958400000001,66767.62240000001,8450.476799999999,-0.03227636736776445,0.00023854803761118413,0.4517199968787404,0.00011807662055816998,1546013.39,211265.22,5111472.68,211227.8,((((x)*((x)*(x)))*((8)*((0)+(0))))+(((x)*(x))+((6)+((5)*(9))))),((8)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddRandomSubTreeR,DivXD,18,18,19,19,0
19,x*x*x*x*3*x+1,25,-10,-0.03687977353082334,0.0000004520130780833098,-0.032753372264625505,0.0000019576084991278907,16480.895800000002,8451.0325,38276.361600000004,8450.714399999999,-0.6989313918804685,0.0001499444807842083,0.12476940319402895,0.00007368344623183786,616712.28,211269.87,1590230.84,211246.52,((((8)*(8))*((x)+((7)*(1))))*(((x)*(x))*((3)*((x)+(1))))),((5)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,19,18,20,20,0
20,x*x*x*x*3*x+1,25,-10,-0.03273949036767156,0.000000705704611267292,-0.016695035868328777,0.0000027887401539776843,132112.9105,8450.978900000002,498148.6732,8450.538800000002,0.8887579129337808,0.000209013518668767,0.9252404460595937,0.0001021334996880679,12022039.56,211266.40000000002,47481624.44,211234.04,((((x)*((x)*(5)))+((5)*((x)*(x))))*(((6)+(2))*((8)*((x)+(1))))),((x)*(7)),AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|AddTreeWithAdd|AddXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,20,17,21,21,0
