A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithDiv,AddTreeWithMult,AddToLeafR,AddTreeWithMult,0,0,0,2
AddTreeWithMult,ReplaceBranchR,AddToLeafR,SubXD,0,0,1,2
AddTreeWithDiv,DeleteMaliciousR,AddTreeWithDiv,AddXD,0,0,2,2
AddXD,DeleteNonTerminalR,AddXD,DeleteNonTerminalR,0,0,3,2
AddRandomSubTreeR,SkipD,AddRandomSubTreeR,SkipD,0,0,4,2
,DeleteMaliciousR,,AddTreeWithSub,0,0,5,2
,MutateNonTerminalR,,MutateNonTerminalR,0,0,6,2
,ReplaceBranchR,,MultXD,0,0,7,2
,SkipD,,DeleteMaliciousR,0,0,8,2
,AddTreeWithSub,,AddTreeWithSub,0,0,9,2
,MutateTerminalR,,MutateTerminalR,0,0,10,2
,MultXD,,MultXD,0,0,11,2
,AddTreeWithDiv,,AddTreeWithDiv,0,0,12,2
,MultXD,,MultXD,0,0,13,2
,AddTreeWithAdd,,DeleteNonTerminalR,0,0,14,2
,SkipD,,SubXD,0,0,15,2
,AddTreeWithSub,,AddTreeWithSub,0,0,16,2
,MutateTerminalR,,MutateTerminalR,0,0,17,2
,AddTreeWithMult,,MutateTerminalR,0,0,18,2
,MutateNonTerminalR,,AddToLeafR,0,0,19,2
