gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
55,x*x*x*x*3*x+1,25,-10,-0.03350635986616817,-0.02466497890131667,-0.019919845304934493,0.001444911360606877,60031.854300000006,6149.0078789851395,208993.43080000003,8145.849728571428,0.7280205963961209,0.14437973250434738,0.8419892369373283,1.1978304826333894,5029810.48,114396.5275,19420422.76,180773.91,((((x)-(6))*((x)*((x)*(x))))*(((3)*(x))+((1)*((x)*(x))))),((((x)-((0)*(9)))*(((4)*(2))+((8)+(x))))/(((1)/(5))*((8)*((x)+((x)*(x)))))),AddRandomSubTreeR|SkipD|SubXD|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MutateNonTerminalR,AddRandomSubTreeR,55,55,56,56,4
56,x*x*x*x*3*x+1,25,-10,-0.038412754690261466,-0.020570918360655298,-0.03823732621728129,0.000041488005440751284,8383.758299999998,6823.396935185185,9310.3636,8442.362488888888,-0.9536553794949029,0.0012393138525414625,0.003174318426259942,1.0916509186660293,219640.47999999998,137975.9162962963,244790.2,211016.36,((((9)-(x))*((x)*((x)*(x))))+(((3)*(x))+((1)-((x)*(x))))),(((x)+(3))*((7)*(6))),AddRandomSubTreeR|SkipD|SubXD|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,56,55,57,57,4
57,x*x*x*x*3*x+1,25,-10,-0.04560900941034144,-0.019932026636909253,-0.03518993887679846,0.0004994684733209602,9988.1272,6651.661599999999,25406.526400000002,8345.6012,-0.7437274418278838,0.023601488464025204,0.1085132432637675,1.1616301484066769,493888.26,120761.82,1353620.12,206291.72,((((x)*(7))*((x)*((x)*(3))))*((x)+((1)-((x)*(x))))),((((4)+((x)*(x)))-((x)+((7)-(4))))/(((2)/(5))*((x)+((x)*(x))))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,56,56,58,58,4
58,x*x*x*x*3*x+1,25,-10,-0.03624577683831082,-0.014916978102826248,-0.03204804357477487,0.00032750752325606797,19829.6378,7094.753338888888,42001.876000000004,8381.9328,-0.35174209549305135,0.00011927401880559206,0.2923218807611421,1.1547349708493473,1404691.51,122016.3,3424069.08,211253,((((x)*(x))*((x)*((x)*(4))))*((x)+((1)*((x)-(x))))),(((x)+((5)-(2)))+((3)*(x))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,58,58,59,59,4
59,x*x*x*x*3*x+1,25,-10,-0.03882510986935708,-0.020110858437547563,-0.03840351566796763,0.000012345470989857104,6205.716799999999,6690.566024920636,8432.5584,8448.519671111111,-0.960291626869218,0.00003355239153347385,0.007359887626062141,1.0000167761957668,178597.44,77393.02777777778,209737.84,211271.11111111112,((((x)*(x))+((x)*((x)*(3))))*((7)+((1)-((x)-(x))))),(((x)+(2))/((9)+(9))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,58,58,60,60,4
60,x*x*x*x*3*x+1,25,-10,-0.038625650426783266,-0.029999415136409847,-0.038400112988467336,0.000010111407613282891,7259.2526,5773.33684,8450.531200000001,8448.991680000001,-0.9600000378647678,0.00036160853320419843,0.000004786571458825536,1.154899366387472,211251.31,121986.22,211278,211201.8,((0)+(1)),(((x)*((x)+(6)))+((x)+((8)+(x)))),FellTreeD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR,FellTreeD,AddRandomSubTreeR,59,59,61,61,4
61,x*x*x*x*3*x+1,25,-10,-0.035173416396012465,-0.024991982444931463,-0.025297941235773495,0.00003210932315780915,25493.797400000003,6218.044066666667,77655.6128,8444.344000000001,-0.35174209549305135,0.0004748241891496945,0.30479145087090803,1.1548376245850622,1009285.7,121997.52,3424069.08,211177.88,((((x)*(x))*((x)*((x)*(4))))*((x)+((1)*((x)-(x))))),(((6)+((9)+(7)))-((6)*(x))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,60,61,62,62,4
62,x*x*x*x*3*x+1,25,-10,-0.038611691731565305,-0.03507001426381267,-0.03826763355613593,-0.000004658532830176723,7332.9818,5342.82985,9150.2816,8452.304600000001,-0.9588729021735323,0.0004464256132436142,0.002710855820156921,1.0001921636969646,201691.05,77374.5,217231.48,211183.88,((((x)*(x))*((x)*((2)*(3))))-((x)+((1)-((x)-(x))))),(((0)+((8)+(3)))+((x)*(x))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,62,62,63,63,4
63,x*x*x*x*3*x+1,25,-10,-0.03858777019115082,-0.049993806028320265,-0.03817031443849863,0.00002687136360180063,7459.3342999999995,3987.0393666666664,9664.3168,8445.450666666666,-0.9482155982018022,0.0007446106602574566,0.006265950426656971,1.0003723053301288,224067.09,77355.47,273522.88,211120.88,((((x)*(x))*((x)*((x)*(3))))-((x)+((1)-((3)-(x))))),((((0)+(9))-((6)+(9)))/((4)*((x)+((x)*(x))))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,63,60,64,64,4
64,x*x*x*x*3*x+1,25,-10,-0.037472985873601726,-0.030080535720107684,-0.03400953465146901,0.0002212482562485564,13347.5749,5791.120052380953,31641.3684,8404.383066666667,-0.5212983677445189,0.010877790515065064,0.21733042723637144,1.0054388952575326,811558.22,76820.23999999999,2528480.48,208979.96,((((x)*(x))*((x)*((x)*(3))))*((x)+((1)*((x)-(3))))),((((x)*(8))*((x)/(2)))+((x)+((x)*(x)))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,62,63,65,65,4
