gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
65,x*x*x*x*3*x+1,25,-10,-0.03415883558284696,-0.03499021294058636,-0.02006417517831667,0.00004538849725149491,38013.381,5325.114471428571,133942.5832,8441.5384,0.5135841557910727,0.00038735657535905553,0.7371912795568806,1.000002177224153,2870028,77394.57,10858928.76,211196.36,((((x)*(x))*((x)*((x)*(x))))*((x)+((1)-((x)*(x))))),(((8)*((0)+(9)))+((x)*(x))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,62,65,66,66,4
66,x*x*x*x*3*x+1,25,-10,-0.034674685585166856,-0.014993528208080108,-0.02293165913000016,0.000033821483817179943,28128.071099999997,7110.927481111111,90154.20840000002,8443.982257777778,-0.18218593683588746,0.000037023328588817554,0.3891339178686484,1.154361981953778,1236575.92,122084.64444444445,4319657.08,211270.37777777776,((((x)*(x))*((x)*((x)*(5))))*((x)+((1)*((x)-(x))))),(((2)*(x))/((9)+(x))),SubXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,62,63,67,67,4
67,x*x*x*x*3*x+1,25,-10,-0.037272851321149075,-0.024985118783561692,-0.03383744814183384,0.00005749779226379535,14404.676599999999,6216.593959588568,32550.321600000003,8438.980000000001,-0.6590767850161541,0.002008347288078027,0.1512198713600837,1.1552741066405232,602854.73,121917.70736263737,1800741.08,210853.88,((((x)*(x))*((x)*((9)*(3))))*((x)+((1)-((x)*(x))))),((((6)+((1)+(9)))*(((0)-(8))-((1)/(2))))*(((9)-((7)*(3)))*((x)+((x)*((9)/(5)))))),MultXD|SkipD|SubXD|MutateNonTerminalR|SkipD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,67,67,68,68,4
68,x*x*x*x*3*x+1,25,-10,-0.031191205424282803,-0.023279282585189753,-0.013694782592292194,0.006922338420160025,78121.4195,5856.187948051948,265318.02640000003,6988.5888,0.7591357861384522,0.0038500895975069945,0.8214265627311147,0,6171830.68,32767,21929181.24,210464.76,((((x)*(x))*((x)*((x)*(2))))*((x)+((1)*((x)*(x))))),((((x)+(9))+((0)/(5)))*((x)+((x)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|SkipD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,67,66,69,69,4
69,x*x*x*x*3*x+1,25,-10,-0.030621585954915664,-0.020928590423946583,-0.020942258020305245,0.00015479117107207574,84399.73599999999,6990.375255555556,221457.49439999997,8418.424,0.7524373444748889,0.0025323956754648995,0.9038371638633501,1.155503850175491,7832738.89,121875.685,21335831.08,210743.16,((((x)*(8))*((x)*((x)*(3))))*((x)+((1)*((x)*(x))))),((((1)*((2)*(7)))+((3)+((9)*(x))))+(((9)+(x))*((4)*((8)/(9))))),MultXD|SkipD|SubXD|MutateNonTerminalR|SkipD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,67,66,70,70,4
70,x*x*x*x*3*x+1,25,-10,-0.03723018756127204,-0.019977356547636514,-0.014574217178460793,0.0001621359894205874,128864.2299,6661.231932142857,428762.7512,8416.8722,0.7662652483111626,0.0004168910943013349,0.8625494277795973,1.154821958624523,7536847.4,122000.38571428572,22598073.08,211190.12,((((x)*(x))*((x)*((x)*(3))))*((x)*((9)*((x)-(x))))),(((4)+((6)-(0)))/((4)+((x)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|SkipD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,67,66,71,71,4
71,x*x*x*x*3*x+1,25,-10,-0.036424626506662776,-0.029984704518357365,-0.029823875894436816,0.00006481125582002509,18884.961900000002,5770.22847718254,53749.8296,8437.435066666669,-0.5512644011544967,-0.00035882919484291146,0.20413081080492682,0.9998205854025786,753082.6200000001,77413.76000000001,2370201.24,211354.04,((((x)*(x))*((x)*((x)*(3))))*((x)-((0)*((x)-(x))))),((((x)+(3))+((4)+(5)))-((x)*((7)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MultXD,AddRandomSubTreeR,71,71,72,72,4
72,x*x*x*x*3*x+1,25,-10,-0.033270001712015544,-0.03121589026286054,-0.017034794043333606,0.00006866649438197616,45935.01960000001,6281.234486666667,162851.0704,8436.620266666667,0.5769067481423797,0.003469927328044372,0.7701130881013829,1.1558811287002497,3266372.2,121806.692,12484139.08,210545.08,((((x)*(x))*((x)*((x)*(3))))*((4)+((1)*((x)*(x))))),((((9)+(7))-((x)*(6)))+((7)+((x)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MutateTerminalR,AddRandomSubTreeR,72,72,73,73,4
73,x*x*x*x*3*x+1,25,-10,-0.035307472747493004,-0.024763301659081697,-0.026279521666492372,0.0017509647143266064,25789.032900000002,6175.765508333333,76484.2096,8088.712033333332,0.24026112180172454,-0.05792424091090681,0.5859311875571459,0.9710378795445466,2033855.2000000002,80642.45,6952329.48,224268.8,((((x)*(x))*((x)*((x)*(9))))*((x)-((1)*((x)-(x))))),((((3)*(9))*((7)/((2)*(7))))-(((0)*(x))-((7)-((x)*(x))))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MultXD,AddRandomSubTreeR,72,69,74,74,4
74,x*x*x*x*3*x+1,25,-10,-0.034856977255580554,-0.03481309762728414,-0.031009219048628776,0.0007413626204691276,27165.2147,5287.693603333334,47488.90039999999,8294.494240000002,-0.6111951048428091,0.0014396184745989102,0.14528643813150355,1.0001576688934306,1217370.35,77378.144,2053649.96,210974.04,((((x)*(x))*((x)*((x)*(3))))*((x)-((2)*((x)-(x))))),(((6)*((1)+(x)))*((7)*((8)-(6)))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,74,72,75,75,4
75,x*x*x*x*3*x+1,25,-10,-0.023167456846111312,-0.049947498546000425,0.012107958340726574,0.00020813803114296147,321084.96349999995,3977.2555873015867,1203936.8032,8407.152971428572,0.9468727307147877,0.019332235886144477,0.9641387786709318,1.0096661179430724,24929338.5,76373.68,99420788.44,207193.72,((((x)*(x))*((x)*((x)*(9))))*((x)+((1)*((x)*(x))))),((((6)-(x))*((9)/(9)))-((8)*((x)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MultXD,AddRandomSubTreeR,74,75,76,76,4
76,x*x*x*x*3*x+1,25,-10,-0.038377068604333056,-0.019995054480351028,-0.037554744332354215,0.000017773722040422383,8572.250600000001,6664.971122222222,12915.7304,8447.3728,-0.8800013479857363,0.0005070092418433347,0.050304432664877066,1.0001318014299974,321506.26,166608.63666666666,633827.48,211171.08,((((x)*(x))*((x)*((4)*(3))))*((x)*((1)*((x)-(x))))),(((x)*((1)*(4)))+((7)/((7)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MutateNonTerminalR,AddRandomSubTreeR,76,74,77,77,4
77,x*x*x*x*3*x+1,25,-10,-0.02521643328911405,-0.03205804616394428,0.010384434253148767,0.0005010811337847462,136537.9451,9530.32022,499935.5584,8345.260479999999,0.7524373444748889,0.04988206071426204,0.8457841434365835,1.1705009487117082,5600162.49,119158.582,21335831.08,200739.208,((((x)*(x))*((x)*((x)*(3))))*((x)+((1)*((x)*(8))))),(((((x)*(7))*((9)+((9)-(x))))*(((3)*(x))+((8)+((x)*(5)))))-((((1)/(5))-((2)-(0)))/(((8)-(2))-((1)*((1)+((x)*(x))))))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MutateTerminalR,AddRandomSubTreeR,74,77,78,78,4
78,x*x*x*x*3*x+1,25,-10,-0.03531982247103582,-0.040381511219554744,-0.028466476976801207,-0.0014575891223061871,24720.4871,4978.570377222222,60919.549600000006,8827.3303,-0.7009297580157346,-0.16429906450378287,0.10649783733551567,0.9178504677481085,924553.46,87779.14,1579675.56,252815.56,((((9)*(x))*((x)*((x)*(3))))*((x)-((1)*((x)-(x))))),((((x)-((0)*(4)))-((x)*((6)*(3))))/(((1)/(5))+((x)+((x)*(x))))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MutateNonTerminalR,AddRandomSubTreeR,78,78,79,79,4
79,x*x*x*x*3*x+1,25,-10,-0.03351655811678287,-0.03998865083970457,-0.018139524117666193,0.000042994662585327176,67417.1018,4878.50616984127,248153.46400000004,8442.044165079365,0.7662652689974159,0.0017982398983372827,0.8687386317403556,1.0007309522975598,5763602.869999999,77317.58285714286,22598075.08,210898.27111111113,((((x)*(x))*((x)*((x)*(3))))*((8)+((1)*((x)*(x))))),((((x)*(7))+((7)+(x)))+((4)/((9)*(x)))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MultXD,AddRandomSubTreeR,79,74,80,80,4
80,x*x*x*x*3*x+1,25,-10,-0.03359085084392,-0.025092927019057493,-0.020141108108113374,0.000060787557420909614,45885.75489999999,6240.3537,153025.4432,8438.284914285714,0.6021287747209133,0.00023546476365562906,0.7839523977780516,1.1547758535138113,3454620.96,122008.82,13275539.08,211228.45142857142,((((x)*(5))*((x)*((x)*(3))))*((x)+((1)*((x)*(x))))),((((4)-(4))-((8)/(7)))+((5)-((0)+((x)*(x))))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MultXD,AddRandomSubTreeR,80,74,81,81,4
81,x*x*x*x*3*x+1,25,-10,-0.02930406224975103,-0.03990865672434853,-0.005610257581053763,0.0005428548709710743,87338.33320000001,4861.605158333334,305016.5572,8336.4346,0.7524373444748889,0.025768110481819796,0.8225334212416815,1.0002320163651528,5776770.38,77370.29000000001,21335831.08,205833.96,((((x)*(x))*((x)*((x)*(3))))*((x)+((1)*((x)*(8))))),((((9)+((6)-(6)))*(((x)-(1))*((9)+(3))))/(((9)-((9)*(x)))+((2)+((x)+((x)*(x)))))),MultXD|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MultXD,AddRandomSubTreeR,80,80,82,82,4
82,x*x*x*x*3*x+1,25,-10,-0.03792494061384469,-0.0336689286747757,-0.035061975045224736,0.005333524234871371,10960.370300000002,5045.95565,26082.425600000002,7324.270600000001,-0.7762789497449335,0.001283047659436782,0.09464198638156572,1.0000049224198237,433247.04000000004,77394.28,1181684.52,211007.12,((((x)*(x))*((x)*((7)*(3))))*((x)-((1)*((x)-(x))))),((((x)+(5))/((4)+((1)*(5))))*((6)+((x)+((x)*(x))))),AddToLeafR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,81,81,83,83,4
83,x*x*x*x*3*x+1,25,-10,-0.038341098835563726,-0.03999590685546958,-0.037609075124646084,0.00001248574492912981,8762.2413,4880.039208571428,12628.757599999997,8448.490034285715,-0.9213642145758532,0.00022378077813990668,0.02082099808208194,1.00011189038907,251798.02,77382.98000000001,415350.68,211230.92,((((x)+(x))*((x)*((x)*(3))))*((x)+((7)*((x)-(x))))),((((5)+(3))-((4)/(8)))/((7)+((5)-((1)*(x))))),DeleteNonTerminalR|SkipD|SubXD|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,83,82,84,84,4
84,x*x*x*x*3*x+1,25,-10,-0.03750371303807019,-0.050002401922749885,-0.034899770255520914,-0.0200107606731813,13185.2754,3988.857633333333,26939.184000000005,6668.298133333334,-0.6400003635017716,-2,0.15894909514387143,0,642258.2999999999,32767,1901501.88,32767,((((x)*(x))*((x)*((x)*(3))))*((0)+((9)+((1)*(x))))),(((((9)/(0))+((0)-(0)))*(((8)-(6))-((7)+(3))))*(((4)+((8)*(3)))*(((3)*(9))/((1)+((x)*(x)))))),DeleteNonTerminalR|SkipD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,MutateNonTerminalR,AddRandomSubTreeR,84,82,85,85,4
85,x*x*x*x*3*x+1,25,-10,-0.03750219507739085,-0.029882662449968095,-0.034279607607410514,0.001222732870688979,13193.2932,5748.780009841269,30214.8552,8192.791200000001,-0.7080455475292765,0.00011927401880559206,0.12983749836596625,1.0000596370094028,515939.52,77388.5,1542090.28,211253,((((x)*(x))*((x)*((8)+(3))))*((6)*((4)*((x)+(1))))),((((0)*(6))/((5)+((3)+(x))))/(((5)+(x))*((9)-((8)*(x))))),AddToLeafR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,81,85,86,86,4
86,x*x*x*x*3*x+1,25,-10,-0.03825955084812347,-0.043910213284015814,-0.037398179045448135,-0.008048381557096244,9192.9741,477491.6903865942,13742.701200000001,1894552.5635130436,-0.8649056949557503,0.09569676379295172,0.04755570347941088,1.1550058002824664,336781.45999999996,121966.75333333333,713562.04,191059.56,((((6)+(9))*((x)*((7)*(x))))*((6)+((9)*((x)+(1))))),((((1)*((7)*(8)))+(((0)*(x))+((2)-(9))))*(((2)+((0)/(3)))-((1)+((x)*((x)*(x)))))),AddToLeafR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,81,84,87,87,4
87,x*x*x*x*3*x+1,25,-10,-0.037476071246347234,-0.019909041388119844,-0.03437444840026089,0.0003374280924392589,13331.278100000001,6646.7984333333325,29713.9104,8379.8368,-0.6649401443215628,0.01214247376208242,0.15214598501399734,1.0037328001208554,567754.86,165470.38666666666,1769771.08,208712.76,((((x)*(x))*((x)*((x)*(7))))*((5)*((8)*((1)+(1))))),(((6)+((x)+(x)))*((6)*((5)*(x)))),AddToLeafR|SkipD|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,87,86,88,88,4
88,x*x*x*x*3*x+1,25,-10,-0.03742396237756664,-0.020595847344051878,-0.03522075549678102,0.00011743568432521962,13606.514799999999,6834.727102441824,25243.754399999998,8426.3164,-0.6458563013126768,0.0014759686517587976,0.15386831306895046,1.1545603844720462,821814.28,122048.25780370625,1870571.08,210966.36,((((x)*(x))*((x)*((5)*(3))))*((7)*((3)*((x)+(1))))),(((1)+((9)/(1)))*((x)*((1)+(4)))),AddToLeafR|SkipD|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,87,86,89,89,4
89,x*x*x*x*3*x+1,25,-10,-0.03861189896543988,-0.0399749167813747,-0.03840080848852367,0.0001318421652439837,7331.8872,4875.606297723251,8446.8576,8423.272624643148,-0.9596504324629802,0.0024125005222619257,0.0016761263230804728,0.9995762739918299,207488.5,77439.6,213124.6,210768.49123215745,((((x)*(4))-((x)*((x)*(x))))-((6)-((6)*((x)+(1))))),((((9)-((4)-(9)))/((1)-((x)-(9))))-(((5)/(3))+((x)*((x)*(x))))),AddToLeafR|AddXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,89,86,90,90,4
90,x*x*x*x*3*x+1,25,-10,-0.03846480060886547,-0.04512565584422301,-0.037695489037676395,0.00026757874478084245,8108.854100000001,4462.718411111111,12172.3232,8394.594444444445,-0.9013384476013143,0.001781158680829385,0.031201181177517846,1.0008905793404148,277975.68,77300.72,521125.88,210901.88,((((x)*(x))*((x)*((x)*(3))))*((9)+((7)*((4)-(x))))),(((6)*(6))+((x)*(x))),SubXD|SkipD|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,87,90,91,91,4
91,x*x*x*x*3*x+1,25,-10,-0.03873174127761407,-0.044823149782262775,-0.03846734158091086,0.0007917144314936438,6698.8855,4397.286746666667,8095.4328000000005,8283.856,-0.9599987883274281,0.07798362538113264,0.005307862204295264,1.0389918126905664,195812.53999999998,73275.73999999999,211284.6,194801.96,((((x)*(x))*((7)*((0)*(x))))*((3)+((2)+((1)-(x))))),((((3)-((0)/(7)))-((5)-((5)-(0))))*(((0)*(x))+((x)*((6)*((9)*(x)))))),SubXD|SkipD|AddToLeafR|AddTreeWithAdd|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddToLeafR,AddRandomSubTreeR,90,91,92,92,4
92,x*x*x*x*3*x+1,25,-10,-0.03440412413691056,-0.03165661734029649,-0.02250992059233782,0.0036753793948317583,42857.53879999999,182003.44949471208,145583.30959999998,7674.600457142857,0.6192645635507741,0.000812361548490581,0.7872552154914069,1.0004061807742453,3645676.3499999996,77351.89142857143,13873032.28,211106.5657142857,((((x)*(x))*((9)*((7)*(x))))*((3)*((x)+((1)*(x))))),(((1)/((7)+(1)))*((x)*((6)*(4)))),SubXD|SkipD|AddToLeafR|MutateNonTerminalR|MutateTerminalR,DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SubXD,AddRandomSubTreeR,92,86,93,93,4
