gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.03842458500687719,0.000002519900302068844,-0.038399956001139726,0.000006247686699340404,8321.2711,8450.5956,8451.3604,8449.808,-0.96,0.00026808255655346347,0.00000011434909133953595,0.00009748008533734972,211277.68,211255.78,211278.2,211221.56,((((x)*(6))+((7)*(x)))*((0)*((5)*((5)+(5))))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,9,10,12,12,1
12,x*x*x*x*3*x+1,25,-10,-0.03840037588355069,0.0000012973416093123522,-0.038397602781545845,0.0000036255515240126064,8449.1426,8450.853899999998,8463.79,8450.362,-0.9597669044889628,0.0000904967952208247,0.00011847234376026387,0.0000318065458804761,211571.64,211269.09,212509.4,211259.08,(((x)*((6)*(x)))-((9)*(4))),((x)*(3)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,9,12,13,13,1
13,x*x*x*x*3*x+1,25,-10,-0.0383783154532744,0.0000024328113359566856,-0.03809472515384928,0.00000865588593617485,8565.6648,8450.614,10063.576,8449.299200000001,-0.9296028459159535,0.00023854803761118413,0.02089874863967098,0.00010748009573017069,224079.78,211261.86,371834.6,211227.8,((((x)*(x))*((x)*(x)))*((x)-((2)*((6)*(x))))),((x)*(8)),ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchR,ReplaceBranchR,13,13,14,14,1
14,x*x*x*x*3*x+1,25,-10,-0.0384065560763013,0.000002543092472392391,-0.038075388222731925,0.000004823971427249523,8416.499099999999,8450.5907,10165.712800000001,8450.1088,-0.9275370047643343,0.00023854803761118413,0.018536002192768245,0.00009932333225172187,238796.74000000002,211256.23,382746.28,211227.8,((((4)*(7))*((x)*(x)))*((3)*((x)+((1)*(x))))),((x)*(8)),ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,13,13,15,15,1
15,x*x*x*x*3*x+1,25,-10,-0.03842050708497138,0.0000018752526290003548,-0.0383993971171659,0.000004816398473674403,8342.8105,8450.731800000001,8454.3124,8450.1104,-0.959938265282457,0.00017947899972648766,0.000029985714455120884,0.00007604322280897689,211371.32,211264.28999999998,211604.28,211240.28,((((x)*(2))-((6)+(1)))*((x)-((3)*((6)+(9))))),((x)*(6)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|AddRandomSubTreeR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,14,14,16,16,1
16,x*x*x*x*3*x+1,25,-10,-0.03843408896895184,0.000002155925220873161,-0.03839972805523712,0.000005401409137340372,8271.071600000001,8450.6725,8452.5644,8449.986799999999,-0.9599942445552831,0.00023854803761118413,0.0000028952288943209275,0.00010004823023763503,211285.66999999998,211259.18,211308.6,211227.8,(((1)-((x)+(3)))*((6)-(1))),((x)*(8)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|AddTreeWithMult|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchR,14,16,17,17,1
17,x*x*x*x*3*x+1,25,-10,-0.03843930715047743,0.0000028857686216579624,-0.03839693749757429,0.000007179159989058129,8243.509399999999,8450.518300000002,8467.303999999998,8449.6112,-0.9596946585118579,0.000209013518668767,0.00015455647333345452,0.00009081709862283384,211667.1,211256.29,212891,211234.04,((((0)-(3))*((x)*(0)))+((7)*((2)+((8)+(2))))),((x)*(7)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,14,15,18,18,1
18,x*x*x*x*3*x+1,25,-10,-0.03677153324857936,0.000002267626286103771,-0.03179914171930658,0.000007449893079364192,17052.6161,8450.6489,43316.564399999996,8449.553999999998,-0.2999139371690974,0.00026808255655346347,0.33150471268250364,0.00011433983093841426,1071527.42,211256.47,3697823.08,211221.56,((((x)*(7))*((5)*((x)*(x))))*((2)*((1)*((x)*(9))))),((x)*(9)),AddXD|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddXD,MultXD,18,15,19,19,1
19,x*x*x*x*3*x+1,25,-10,-0.03838778457976261,0.0000024020462120587074,-0.03833666602612101,0.000008655885936176228,8515.649300000001,8450.6205,8785.655200000001,8449.2992,-0.953825513469918,0.00026808255655346347,0.0029685376101900017,0.00012508351596910661,223717.56,211260.96,243891.56,211221.56,((((7)*(8))*((0)-(5)))*((2)+((x)*((x)*(3))))),((x)*(9)),AddXD|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddXD,ReplaceBranchR,18,15,20,20,1
20,x*x*x*x*3*x+1,25,-10,-0.03847330196868395,0.0000027811672004046316,-0.03838008691857466,0.000008371900177115426,8063.9503,8450.5404,8556.307999999999,8449.359199999999,-0.9590424000204469,0.00026808255655346347,0.0005981566838905797,0.00011700703421846126,211917.78,211251.28,216336.2,211221.56,(((x)*((x)*(1)))*((x)*((0)-(9)))),((x)*(9)),AddXD|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchR,18,20,21,21,1
21,x*x*x*x*3*x+1,25,-10,-0.038423265968755886,0.0000030869252009937314,-0.038394640999402686,0.000005109850424703072,8328.2382,8450.4758,8479.434000000001,8450.048400000001,-0.9599997122277641,0.00017947899972648766,0.000004107838707738823,0.0000615162653703971,211266.13,211254.46,211279.72,211240.28,((0)-(6)),((x)*(6)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,21,15,22,22,1
22,x*x*x*x*3*x+1,25,-10,-0.0384602412743009,0.0000027078042126474637,-0.03839954524413782,0.0000054165550444892334,8132.936300000001,8450.5559,8453.53,8449.9836,-0.96,0.000209013518668767,0.0000006814080336292445,0.00009622786506885761,211275.07,211254.62,211278.2,211234.04,((((x)*(x))*((x)+((0)-(x))))*((3)*((x)+((4)*(6))))),((x)*(7)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchR,21,22,23,23,1
23,x*x*x*x*3*x+1,25,-10,-0.03841210034920782,0.000002395895481194039,-0.03839980961594713,0.000006893280991605956,8387.2145,8450.621799999999,8452.1336,8449.6716,-0.9599887541639412,0.00017947899972648766,0.0000058850717833565225,0.00006601613056249562,211291.18,211257.62,211337.6,211240.28,(((5)-((8)*(3)))*((x)+(1))),((x)*(6)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchR,23,23,24,24,1
24,x*x*x*x*3*x+1,25,-10,-0.0435919881996254,0.0000024323403202733576,-0.038367080787322115,0.000007781209798268461,7437.05496904762,8450.614099999999,8625.005799999999,8449.484,-0.9588049273422437,0.00026808255655346347,0.0005978256702927799,0.00012095487058963786,212853.99000000002,211259.08,217590.52,211221.56,((((x)-(x))+((5)*(x)))*((x)*((8)*(6)))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,24,24,25,25,1
25,x*x*x*x*3*x+1,25,-10,-0.03841820507747604,0.0000026216619973664022,-0.03831422085193834,0.00000627987175203501,8354.9696,8450.5741,8904.2096,8449.801199999998,-0.9514223426742561,0.0001499444807842083,0.006204821382666901,0.00005041287167336779,213950.32,211255.87,256585,211246.52,((((x)*(4))*((8)*((x)*(3))))+((5)*((3)*((x)-(8))))),((x)*(5)),ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MutateNonTerminalR,ReplaceBranchR,25,25,26,26,1
26,x*x*x*x*3*x+1,25,-10,-0.03838837820466097,0.000004471829086013329,-0.03834291128947521,0.000009541921504447365,8512.5138,8450.1832,8752.668,8449.112,-0.9544020727173934,0.00023854803761118413,0.0028852721269092708,0.00010261579140437623,218053.07,211240.62,240846.2,211227.8,((((8)*(8))*((4)-(x)))*((x)*((3)+((x)-(5))))),((x)*(8)),ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchR,ReplaceBranchR,26,26,27,27,1
27,x*x*x*x*3*x+1,25,-10,-0.03840574245710158,0.000002791106788084915,-0.038399990988185244,0.00000629312442078837,8420.7966,8450.5383,8451.1756,8449.798400000001,-0.96,0.000209013518668767,0.00001365072916601044,0.0001017645135502628,211241.43,211252.66,211278.2,211234.04,((((0)*(8))*((9)-(8)))*((3)*((x)*(8)))),((x)*(7)),ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchR,27,27,28,28,1
28,x*x*x*x*3*x+1,25,-10,-0.03841230512187249,0.000003177327334293885,-0.038395723553116226,0.000007179159989058127,8386.1329,8450.456699999999,8473.716,8449.6112,-0.9596455857726921,0.00026808255655346347,0.00017685586983557421,0.00010290099006003817,212056.04,211242.11,213150.2,211221.56,((((x)*(4))+((9)-(1)))*((x)-((8)*((0)+(6))))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|MutateTerminalR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddTreeWithAdd,MultXD,27,28,29,29,1
29,x*x*x*x*3*x+1,25,-10,-0.038404869958187836,0.000000496045649577183,-0.038323268562492484,0.000001673625453018141,8425.4051,8451.023200000001,8856.420000000002,8450.7744,-0.9523392001635758,0.00011927401880559206,0.0038508219359177733,0.00004724641434690838,221236,211266.65,251742.2,211253,((((x)*(x))*((x)*((3)-(7))))*((2)*((3)*((3)-(0))))),((x)*(x)),ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,29,26,30,30,1
30,x*x*x*x*3*x+1,25,-10,-0.038458107064524405,0.0000011761796548940206,-0.03839963051559508,0.0000037561849731810166,8144.209099999999,8450.8795,8453.0796,8450.3344,-0.9599700186767969,0.00023854803761118413,0.000015234339002648548,0.00010755088342126158,211315.94,211261.86,211436.56,211227.8,((((x)-(5))-((3)*(9)))+((5)+((x)*(8)))),((x)*(8)),DeleteMaliciousR|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchXR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchR,ReplaceBranchXR,30,26,31,31,1
31,x*x*x*x*3*x+1,25,-10,-0.03840609885922921,0.000002491501752059346,-0.03838938915609846,0.000008648312982601109,8418.9141,8450.6016,8507.173999999999,8449.300799999999,-0.959227748059194,0.00026808255655346347,0.00038818516702906857,0.00012545810551864073,212281.81,211261.14,215357.2,211221.56,(((2)-((7)-(x)))*((x)*((x)*(7)))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchR,31,30,32,32,1
32,x*x*x*x*3*x+1,25,-10,-0.03826375773742866,0.0000020035196685314778,-0.03781568453347293,0.000005380583515007759,9170.753499999999,8450.7047,11537.455999999998,8449.9912,-0.9020923048378867,0.00017947899972648766,0.028954056628964303,0.00006594197611943466,287743.01,211259.4,517144.04,211240.28,((((x)*(x))*((x)+((6)+(7))))*((3)*((x)*((2)-(x))))),((x)*((7)-(x))),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchR,32,32,33,33,1
33,x*x*x*x*3*x+1,25,-10,-0.03827354248568948,0.000002872042643304349,-0.03787052112333407,0.000006898960706785575,9119.0709,8450.521200000001,11247.8116,8449.6704,-0.9070541646038257,0.00026808255655346347,0.025554270745893427,0.00011742128465357885,290022.13,211251.36,490935.72,211221.56,((((x)*(x))+((5)*((x)*(x))))*((3)*((6)*((4)+(4))))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR,ReplaceBranchXR,ReplaceBranchR,32,33,34,34,1
34,x*x*x*x*3*x+1,25,-10,-0.03839708757458176,0.000002259582446238452,-0.038279075986069555,0.000008121992709141975,8466.511300000002,8450.6506,9089.843200000001,8449.412,-0.9500338416362881,0.00027281565253781017,0.005331128802815153,0.00014785876716028441,222170.57,211250.7,263919,211220.56,((((x)*(x))*((9)+((1)+(x))))*((2)-((7)*((x)+(1))))),(((x)*(9))+((9)-(0))),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR,SkipD,ReplaceBranchR,32,33,35,35,1
35,x*x*x*x*3*x+1,25,-10,-0.03856685043700675,0.000003776063985275019,-0.038395039715408405,0.000008951231125599023,7569.8315,8450.330199999999,8477.328000000001,8449.2368,-0.959988080171073,0.00026808255655346347,0.0030619422944927572,0.0001045856573574205,203167.85,211240.83,211341.16,211221.56,(((6)-((8)*(3)))*((x)+((3)*(5)))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR,ReplaceBranchXR,ReplaceBranchR,35,33,36,36,1
36,x*x*x*x*3*x+1,25,-10,-0.038233127128118286,0.000002914640509403412,-0.03724445301029638,0.000007769850367905093,9332.543,8450.512200000001,14554.6752,8449.4864,-0.8471324575843603,0.000209013518668767,0.057733014954312586,0.0000878573454633717,351229.55,211258.02,807439.48,211234.04,((((x)*(x))*((4)*((x)*(x))))*((2)-((4)*((x)+(1))))),((x)*(7)),ReplaceBranchR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,35,33,37,37,1
37,x*x*x*x*3*x+1,25,-10,-0.03844218439952631,0.000000759662019740467,-0.03815717460675072,0.0000021961565367379734,8228.311899999999,8450.9675,9733.720800000001,8450.663999999999,-0.9373415562987568,0.00012040996184179118,0.014503344542041299,0.00005494009711070018,224811.5,211269.49,330959.08,211252.76,((((5)*(9))*((x)*((x)+(8))))*((7)*((3)*((x)+(1))))),((x)*((5)-(x))),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD|ReplaceBranchR,ReplaceBranchR|DeleteTerminalR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchR,35,37,38,38,1
38,x*x*x*x*3*x+1,25,-10,-0.03846314056064468,0.000001880459346508223,-0.038398517897255846,0.000005986419801003586,8117.622400000001,8450.7307,8458.956400000001,8449.8632,-0.96,0.00023854803761118413,0.000050446190650652435,0.00010427652470452377,211127.52000000002,211260.83000000002,211278.2,211227.8,((((0)*(5))*((7)*(6)))*((5)+((8)*((x)+(1))))),((x)*(8)),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddXD|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,35,38,39,39,1
39,x*x*x*x*3*x+1,25,-10,-0.03818939527125846,0.000001958081817687284,-0.037406426824916156,0.000005975060370641595,9563.5327,8450.7143,13699.1368,8449.865600000001,-0.8925626818100495,0.00017947899972648766,0.03372981866868268,0.00007685467506524747,300240.12,211264.58000000002,567479.08,211240.28,((((x)*(1))+((9)*((x)*(9))))*((6)*((3)*((3)+(5))))),((x)*((7)-(x))),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchR,ReplaceBranchR,39,39,40,40,1
40,x*x*x*x*3*x+1,25,-10,-0.038489259639659934,-0.004999000325565443,-0.03838406650567829,0.000002669466135175398,7979.6626,8004.638791071428,8535.288,8450.563999999998,-0.9599999621352321,0.00006058362859972047,0.0014273470114500816,1.0000116781338972,205748.41,166646.69910714286,211278.4,211265.4,((1)-(2)),((x)+(x)),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|DivXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,39,40,41,41,1
41,x*x*x*x*3*x+1,25,-10,-0.04602684973650855,0.000003429128040661805,-0.03770732988069758,0.000006862989177305477,7781.113400000001,8450.4035,12109.7804,8449.678,-0.8909087487492794,0.00023854803761118413,0.034546385458506794,0.00012426467459151968,302506.4,211253.5,576215.08,211227.8,((((5)*(x))*((x)*(x)))*((x)*((3)*((8)+(0))))),((x)*(8)),ReplaceBranchXR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|MutateNonTerminalR|MutateTerminalR|AddToLeafR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,SkipD,ReplaceBranchR,39,41,42,42,1
