gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x*3*x+1,25,-10,-0.03809010404291593,0.0000036847152238155626,-0.037193511266188375,0.000012484013968314686,10087.984499999999,8450.349500000002,14823.7472,8448.4904,-0.9256735280781453,0.0002232128066218071,0.017326768445652063,0.00012023503519343312,288082.72,211254.51,392589.08,211231.04,((((x)*(x))*((7)+((8)*(x))))*(((6)*(x))*((0)+((1)-(x))))),(((2)+(5))*((x)+(9))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,FellTreeD|AddTreeWithAdd|MultXD|DeleteMaliciousR|AddTreeWithAdd,DeleteMaliciousR,AddTreeWithAdd,31,28,32,32,2
32,x*x*x*x*3*x+1,25,-10,-0.037716253375880714,0.0000065122667648641875,-0.03533306868384907,0.000014869494344425149,12062.6469,8449.7521,24650.521200000003,8447.9864,-0.6617975503388424,0.0005929622649189497,0.1502102799174101,0.0002780843479467425,596509.76,211229.96000000002,1786370.12,211152.92,((((x)*(9))*((9)*((2)*(7))))*(((x)*(3))*((x)+((1)-(x))))),(((9)+(5))+((6)*(x))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,FellTreeD|AddTreeWithAdd|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,31,28,33,33,2
33,x*x*x*x*3*x+1,25,-10,-0.037903714647322825,0.000005365437607856484,-0.035983334049608524,0.00001899296756598916,11072.4849,8449.9944,21215.8488,8447.1152,-0.7208470197114515,0.000533893227034391,0.12795015519537542,0.0002963363991946919,468380.81,211222.57,1474473.48,211165.4,((((x)*(8))*((9)*((5)*(x))))*(((x)-(5))*((x)+((0)-(x))))),(((7)+(2))+((9)*(x))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,FellTreeD|AddTreeWithAdd|AddXD|DeleteMaliciousR|AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd,33,33,34,34,2
34,x*x*x*x*3*x+1,25,-10,-0.03677991168042893,0.000010107053164976751,-0.0317586648125552,0.00001928831275541057,17008.3616,8448.9926,43530.361600000004,8447.0528,-0.29675527337889096,0.0005043587080919738,0.33162175242563313,0.00012795895595990605,1087090.24,211208.38999999998,3714507,211171.64,((((7)*(8))*((x)*((x)*(2))))-(((8)*(3))*((7)*((9)-(x))))),(((6)+(8))+((3)*(x))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,FellTreeD|AddTreeWithAdd|AddXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,34,33,35,35,2
35,x*x*x*x*3*x+1,25,-10,-0.03449549163236126,0.000010417544261549437,-0.023889099399755354,0.000020367458639842444,34895.69070000001,8448.927000000001,108381.55279999999,8446.8248,0.4791658387844125,0.0005429807713242594,0.7030341640147373,0.00024959747306241276,2838965.92,211200.91999999998,10141337.48,211163.48,((((x)*(x))*((x)*((x)*(x))))*((3)*((7)*((7)-(x))))),(((x)+(6))*((9)+(9))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,FellTreeD|AddTreeWithAdd|AddXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,AddTreeWithAdd,33,33,36,36,2
36,x*x*x*x*3*x+1,25,-10,-0.03835321590206656,0.0000046895515012925195,-0.03817968763459742,0.000017516241618872435,8698.239500000001,8450.1372,9614.807999999999,8447.4272,-0.9379723984774577,0.00038622063232271865,0.011006258438390195,0.00019557445846305933,240425.31,211241.1,327627,211196.6,((((2)*(9))*((0)-((7)*(x))))*(((x)*(3))*((1)*((8)-(x))))),(((0)+(6))+((7)*(x))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,FellTreeD|AddTreeWithAdd|MultXD|DeleteMaliciousR|AddTreeWithAdd,SubXD,AddTreeWithAdd,36,36,37,37,2
37,x*x*x*x*3*x+1,25,-10,-0.038116488497156834,0.000006114213392580463,-0.03698592009966007,0.000014000497921699756,9948.623,8449.836200000002,15920.234400000001,8448.17,-0.818595644983723,0.0005929622649189497,0.07069473495270502,0.0002576521478246255,398060.05,211224.8,958169.64,211152.92,((((x)+(9))*((x)*((x)*(7))))*(((1)-(x))*((x)+((1)-(x))))),(((9)+(5))+((6)*(x))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,AddTreeWithMult|DeleteTerminalR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,AddTreeWithMult,36,37,38,38,2
38,x*x*x*x*3*x+1,25,-10,-0.038355896405781575,0.000004548505240959525,-0.038223669152804216,0.000013392768397309804,8684.0812,8450.167,9382.4996,8448.298400000001,-0.9441212581326421,0.0002976170754957428,0.007938765097392997,0.0001264230049815884,232250.7,211234.66999999998,295149,211215.32,((((x)*(x))*((x)*((1)-(7))))-(((0)*(3))*((x)+((1)-(x))))),(((x)+(0))*((2)+(8))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,AddTreeWithMult|DeleteTerminalR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,AddTreeWithAdd,36,37,39,39,2
39,x*x*x*x*3*x+1,25,-10,-0.038354333878270454,-0.00018196901102842056,-0.03809018865173975,0.000011916042450193082,8692.3344,8492.174,10087.5376,8448.6104,-0.9382906594243987,0.0002692184995896626,0.010826268712618265,0.00014046706161621297,240172.94,211252.88,325945.96,211221.32,((((x)*(x))*((x)*((0)-(9))))*((3)*((x)+((0)-(x))))),(((0)+(5))+((x)*(x))),AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|ReplaceBranchR,DeleteMaliciousR|AddTreeWithAdd|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,DeleteMaliciousR,39,39,40,40,2
40,x*x*x*x*3*x+1,25,-10,-0.03508865678437463,-0.0017891071520487302,-0.028060023946066562,0.00003730436931022853,25978.932200000003,9806.134,63216.1696,8443.2464,0.05184776125419442,0.00044528967020741514,0.47902928983685644,0.00023287417138559055,1962242.96,211232.68,5570787.88,211184.12,((((x)*(3))*((8)*((x)*(x))))*(((3)*(x))*((5)+((x)*(8))))),(((0)+(9))+((6)*(x))),AddTreeWithSub|DeleteMaliciousR|DivXD|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithAdd|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,DeleteMaliciousR,38,39,41,41,2
