gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
51,x*x*x*x*3*x+1,25,-10,-0.03840301352434847,-0.0041036201506199806,-0.038195856496316224,0.0015969409054033988,8435.210700000001,12535.788700000001,9529.4048,8113.729199999999,-0.9548503915690307,0.15927246635005418,0.0024388563453076233,0.07995877076424938,219626.79,202966.8,238478.2,177627.4,((((0)-(8))*((x)*((5)-(1))))*(((x)*(3))*((x)-((2)*(6))))),((((0)*((0)+(3)))-(((3)*(1))+((3)*(4))))*(((x)*((3)*(8)))*((1)-((4)-((x)*(x)))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,AddToLeafR,47,51,52,52,2
52,x*x*x*x*3*x+1,25,-10,-0.03807642380520091,-0.0010503618237349029,-0.03660752407015963,0.00547521514287797,10160.2429,11127.542999999998,17918.9052,7294.3344,-0.8068167032850525,0.14041088952859315,0.07828752282307558,0.07024522052625527,401017.33999999997,203874.36,1020385.48,181612.44,((((x)*(8))*((7)+((5)-(0))))*(((x)*(x))*((3)*((x)+(1))))),((((1)*((6)*(x)))*((x)*((8)-(0))))*(((x)+(3))-((4)+((3)*(x))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddRandomSubTreeR,DeleteMaliciousR,52,51,53,53,2
53,x*x*x*x*3*x+1,25,-10,-0.03841787639235851,-0.0025112194641601043,-0.03789589771211606,-0.000001192597942105169,8356.7057,62616.03630000001,11113.773599999999,8451.38,-0.9493649983765481,0,0.005266208963716811,0,234260.28,211303.4,267451.8,211278.2,((((0)+(x))*((3)-((6)*(x))))*(((3)*(7))*((3)*((9)+(1))))),((((0)-((1)+(9)))*(((1)+(9))*((0)*(x))))*(((3)*((x)+(7)))+((7)+((6)-((x)*(0)))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddRandomSubTreeR,DeleteMaliciousR,52,52,54,54,2
54,x*x*x*x*3*x+1,25,-10,-0.03837632721217807,0.0016682920316523858,-0.03826758584652842,0.012082651215317057,8576.1666,8099.2516000000005,9150.5336,5898.3272,-0.9523335204483946,0.5318420925585319,0.003834075076208649,0.2659806761763712,221395.18000000002,183205.44,251772.2,98911.56,((((x)*(x))*((9)-((1)*(8))))-(((1)+(x))*((3)*((x)+(0))))),((((x)*((7)*(0)))-(((x)+(8))+((0)+(6))))*(((x)*((7)-(8)))*((x)+((1)-((x)*(x)))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,DeleteMaliciousR,AddToLeafR,54,52,55,55,2
55,x*x*x*x*3*x+1,25,-10,-0.03798695556853476,0.0016196671650722232,-0.03657687170754011,0.006637205352942238,10632.8101,8109.0448,18080.8096,7048.8312,-0.828658403943237,0.3963884584401041,0.0657501728549801,0.19821411382522353,384085.54000000004,190347.44,905018.6,127529.96,((((x)*(5))+((7)*((8)*(x))))*(((x)*(0))-((2)*((x)+(0))))),((((0)*((5)-(6)))+(((x)*(x))*((4)*(5))))+(((1)+((2)*(9)))-((3)+((1)-((x)*(x)))))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,AddToLeafR,55,54,56,56,2
56,x*x*x*x*3*x+1,25,-10,-0.03938007665722256,-0.0286919209838024,-0.031630991479480605,-0.014816531379006445,NaN,NaN,44204.72640000001,5570.86208,-0.3129864605056272,0.000004354448305659579,0.3242389618796585,0.0000004089862370225752,1059860.64,211277.36000000002,3628774.6,211277.28,((((x)*(x))*((5)-((8)*(x))))*(((7)*(3))*((x)*((9)+(0))))),((5)+(8)),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|FellTreeD|FellTreeD,AddTreeWithSub,FellTreeD,56,54,57,57,2
57,x*x*x*x*3*x+1,25,-10,-0.0383450367714227,0.00000028587899745561545,-0.03815899044955892,0.0000006437010538714274,8741.4413,8451.0676,9724.1296,8450.992,-0.9379241739090924,0.000033131671890426934,0.011034445232204584,0.00001672670138637031,240470.52999999997,211274.34,327881.72,211271.2,((((x)*(x))*((6)-((1)*(x))))*(((7)+(9))*((3)*((x)*(1))))),((7)+(x)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithSub,MultXD,55,57,58,58,2
58,x*x*x*x*3*x+1,25,-10,-0.03841553917062906,0.0000010919252435911816,-0.03837665500747356,0.0000036406974311614684,8369.0508,8450.8973,8574.4352,8450.358799999998,-0.9599999621352321,0.0002976170754957428,0.0000006501135485259534,0.00014268465606350183,211276.38,211260.33,211278.4,211215.32,((7)-(8)),((7)+((3)*(x))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithSub,DeleteNonTerminalR,55,57,59,59,2
59,x*x*x*x*3*x+1,25,-10,-0.03840000083302489,-0.0000010460754488945175,-0.038399972813096664,0.000007167800558698892,8451.1236,8451.349199999999,8451.2716,8449.613599999999,-0.9599988716299173,0.0001499444807842083,0.0000006021450589896315,0.00007790394184770665,211279.39,211260.68,211284.16,211246.52,((3)-(x)),((0)+((5)*(x))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithSub,AddToLeafR,59,59,60,60,2
60,x*x*x*x*3*x+1,25,-10,-0.03840000359715295,-0.000003549658392169461,-0.03839999401736668,0.000009507843213357257,8451.108999999999,8451.878499999999,8451.159599999999,8449.119200000001,-0.9599997122277641,0.0001488085377478714,0.00000020192965104796606,0.00013483981769056368,211278.5,211284.22999999998,211279.72,211246.76,((1)-(7)),(((0)+(9))-((x)*(x))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR,AddToLeafR,59,60,61,61,2
61,x*x*x*x*3*x+1,25,-10,-0.03840000643701054,-0.000002004736375017083,-0.03839998803473335,0.000007171587035485764,8451.094000000001,8451.551800000001,8451.1912,8449.6128,-0.9599989473594531,0.00026808255655346347,0.0000005816567367544108,0.0002628854878031675,211279.16,211279.90000000002,211283.76,211221.56,((9)-(x)),((2)+((7)*(x))),AddTreeWithSub|MutateTerminalR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD,AddToLeafR,61,61,62,62,2
62,x*x*x*x*3*x+1,25,-10,-0.03840000660740199,-0.000003618755077171965,-0.03839999485039157,0.000013676754156370608,8451.0931,8451.8931,8451.155200000001,8448.2384,-0.9599997122277641,0.00026808255655346347,0.00000021422893848128387,0.00013366406079874248,211278.37,211263.92,211279.72,211221.56,((3)-(9)),((3)+((6)*(x))),AddTreeWithSub|MutateTerminalR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd,61,60,63,63,2
63,x*x*x*x*3*x+1,25,-10,-0.03840000172284694,0.0000012446542939972987,-0.03839998462690425,0.000012518092259402039,8451.118900000001,8450.8651,8451.209200000001,8448.4832,-0.9599989170676388,0.00038735657535905553,0.0000006219473025621871,0.00016658690584777497,211279.01,211246.59999999998,211283.92,211196.36,((5)-(x)),((9)+((x)*(x))),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|SubXD,DeleteTerminalR|SubXD|MultXD|DeleteNonTerminalR|SkipD,AddTreeWithSub,DeleteNonTerminalR,63,63,64,64,2
64,x*x*x*x*3*x+1,25,-10,-0.03840002391160091,0.000002633305053457557,-0.03839998409679749,0.000012783145634525733,8451.0017,8450.5718,8451.212,8448.4272,-0.959999182121014,0.0004748241891496945,0.0000004810017963608238,0.00021596465038000237,211279.83,211210.76,211282.52,211177.88,((5)-((7)*(8))),((8)+((8)*(x))),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|SubXD,DeleteTerminalR|SubXD|MultXD|DeleteNonTerminalR|SkipD,AddTreeWithSub,DeleteTerminalR,63,63,65,65,2
65,x*x*x*x*3*x+1,25,-10,-0.037410718512369,-0.00004500954486930084,-0.0353859597819368,0.000008371900177116805,13676.468299999999,8460.8004,24371.152799999996,8449.359199999999,-0.6585962508200088,0.00026694661351726434,0.1418416085590821,0.000248083117222601,733819.34,211278.26,1803279.24,211221.8,((((7)*(2))+((4)*((x)*(x))))*(((x)*(8))-((x)*((x)+(1))))),(((4)+((9)+(4)))*((0)-((x)*(x)))),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|SubXD,AddToLeafR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,SubXD,AddTreeWithAdd,63,65,66,66,2
66,x*x*x*x*3*x+1,25,-10,-0.038400001893238396,-0.0000019583346541402577,-0.038399994850391576,0.000008994775608654243,8451.118,8451.542099999999,8451.155200000001,8449.2276,-0.9599997122277641,0.00044528967020741514,0.00000019468775916273094,0.00021719316751563121,211278.21,211252.78999999998,211279.72,211184.12,((1)-(7)),((8)+((7)*(x))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithSub,MultXD,65,65,67,67,2
67,x*x*x*x*3*x+1,25,-10,-0.03840000649380768,0.00000044687664863061646,-0.038400000075729544,0.000008936085218448782,8451.0937,8451.0338,8451.127600000002,8449.24,-0.96,0.0005043587080919738,0,0.00040796898642816374,211278.2,211256.41999999998,211278.2,211171.64,(0),((9)+((8)*(x))),FellTreeD|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,MutateNonTerminalR,AddTreeWithAdd,67,67,68,68,2
68,x*x*x*x*3*x+1,25,-10,-0.03839921163660046,0.0000011151529754013832,-0.03839773780730809,0.0000054392739052145935,8455.292099999999,8450.8924,8463.076799999999,8449.9788,-0.959773780730809,0.00023854803761118413,0.00010937401535051012,0.00011799471908705442,211694.61,211265.19,212473.08,211227.8,((((0)-(x))*((x)-(6)))*((3)*((x)+(1)))),((1)+((7)*(x))),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,MutateNonTerminalR,MultXD,68,68,69,69,2
69,x*x*x*x*3*x+1,25,-10,-0.03840516384558369,0.000010083600957863413,-0.038392235829347275,0.00005256766641621247,8423.8528,8448.9977,8492.138,8440.0216,-0.96,0.004928099538901844,0,0.0024840438920143873,211278.2,211024.03,211278.2,210237,(0),((((1)*(x))*((x)*(2)))-((0)-((x)+((9)*(x))))),FellTreeD|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,MutateNonTerminalR,AddTreeWithAdd,67,69,70,70,2
70,x*x*x*x*3*x+1,25,-10,-0.0384,-0.0000009063559075892333,-0.0384,-0.00000030290896733572534,8451.128,8451.319500000001,8451.128,8451.192,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),FellTreeD|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|DeleteTerminalR,MutateNonTerminalR,MutateTerminalR,67,70,71,71,2
71,x*x*x*x*3*x+1,25,-10,-0.0384,-0.0000007534769900990566,-0.0384,-0.000000590672922135732,8451.128,8451.287199999999,8451.128,8451.2528,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|DeleteTerminalR,MutateNonTerminalR,DeleteNonTerminalR,70,70,72,72,2
72,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),((0)*(0)),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,71,71,73,73,2
73,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|DeleteTerminalR,MutateNonTerminalR,DeleteNonTerminalR,71,70,74,74,2
74,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR|DeleteTerminalR,MutateNonTerminalR,MultXD,71,70,75,75,2
75,x*x*x*x*3*x+1,25,-10,-0.0384,-0.015,-0.0384,0,8451.128,7112.294,8451.128,8451.128,-0.96,0,0,1,211278.2,77394.8,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|SubXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,74,73,76,76,2
76,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MultXD|SubXD|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MultXD,73,75,77,77,2
77,x*x*x*x*3*x+1,25,-10,-0.038439218603717754,0.0000004486974993162192,-0.0384,0.0000017947899972648767,8243.9771,8451.0332,8451.128,8450.7488,-0.96,0.00017947899972648766,0,0.00008973949986324383,211278.2,211268.72,211278.2,211240.28,(0),(((x)*((0)+(6)))-((0)+((0)*(x)))),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,73,77,78,78,2
78,x*x*x*x*3*x+1,25,-10,-0.0384,-0.000001281946021894141,-0.0384,0,8451.128,8451.398900000002,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MultXD,77,78,79,79,2
79,x*x*x*x*3*x+1,25,-10,-0.0384,0.00000003644713299555394,-0.0384,0.0000003691814867798695,8451.128,8451.1203,8451.128,8451.05,-0.96,0.00003275302421173981,0,0.00001530003323692079,211278.2,211276.05,211278.2,211271.28,(0),((0)+((x)+(5))),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,77,77,80,80,2
80,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,79,78,81,81,2
81,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),((0)*(0)),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,DeleteMaliciousR,79,80,82,82,2
82,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MultXD,79,80,83,83,2
83,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,82,82,84,84,2
84,x*x*x*x*3*x+1,25,-10,-0.0384,-0.015,-0.0384,0,8451.128,7112.294,8451.128,8451.128,-0.96,0,0,1,211278.2,77394.8,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|AddTreeWithAdd|DivXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,79,83,85,85,2
85,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,79,84,86,86,2
86,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,79,84,87,87,2
87,x*x*x*x*3*x+1,25,-10,-0.03849035412077535,-0.000002762556906859737,-0.038395478037961325,0.000007156441128332769,7973.8816000000015,8451.712800000001,8475.0128,8449.616,-0.96,0.00035782205641663844,0,0,211278.2,211278.2,211278.2,211202.6,(0),((((x)*(3))-((0)*(0)))*((4)+((3)*((0)*(x))))),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,86,86,88,88,2
88,x*x*x*x*3*x+1,25,-10,-0.03840000032185053,0,-0.038399999242704645,0,8451.126300000002,8451.128,8451.132000000001,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,AddTreeWithDiv,86,87,89,89,2
89,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,88,88,90,90,2
90,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),((0)*(0)),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,AddTreeWithDiv,89,87,91,91,2
91,x*x*x*x*3*x+1,25,-10,-0.038408293236121854,-0.00010576277134986402,-0.03838449816403207,0,8407.3235,8474.0956,8533.008,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,AddTreeWithDiv,89,87,92,92,2
92,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|MutateNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,91,89,93,93,2
93,x*x*x*x*3*x+1,25,-10,-0.03840002374120946,-0.0000006813800596015527,-0.03840001014775779,0,8451.0026,8451.272,8451.074400000001,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,92,89,94,94,2
94,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,93,89,95,95,2
95,x*x*x*x*3*x+1,25,-10,-0.03840000319957289,0,-0.03839999765238439,0,8451.111100000002,8451.128,8451.1404,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,MutateTerminalR|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,94,94,96,96,2
96,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|MultXD|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,AddTreeWithDiv,95,95,97,97,2
97,x*x*x*x*3*x+1,25,-10,-0.0384,-0.02,-0.0384,0,8451.128,6666.0160000000005,8451.128,8451.128,-0.96,0,0,1,211278.2,77394.8,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|DeleteMaliciousR,MutateNonTerminalR,DeleteNonTerminalR,95,92,98,98,2
98,x*x*x*x*3*x+1,25,-10,-0.0384,-0.01,-0.0384,0,8451.128,7558.571999999999,8451.128,8451.128,-0.96,0,0,1.1547005383792515,211278.2,122022.6,211278.2,211278.2,(0),(((5)/(1))*((2)*(0))),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|MultXD|AddTreeWithMult|DeleteMaliciousR,MutateNonTerminalR,DeleteMaliciousR,95,98,99,99,2
99,x*x*x*x*3*x+1,25,-10,-0.0384,0,-0.0384,0,8451.128,8451.128,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),(0),AddTreeWithSub|AddTreeWithMult|FellTreeD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|MutateTerminalR|MultXD|AddTreeWithSub|DeleteMaliciousR,MutateNonTerminalR,AddTreeWithDiv,98,97,99,99,2
