gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
89,x*x*x*x*3*x+1,25,-10,-0.014196035346589718,-0.004685142192441396,0.014385624038108573,0.001946169552750831,313466.7894,38104.674000000006,957711.916,8039.9448,0.9264097452851839,0.11017094996076264,0.7933960087996446,0.054904761417368664,20429305.54,205401.49,71775196.6,188001.48,((((x)*((x)*(x)))*((x)*((6)+(9))))*(((7)*(x))+((1)*((7)+(7))))),((((x)*((7)*(x)))*((9)*((1)+(9))))*(((x)*(8))-((1)*((x)*(x))))),AddTreeWithSub|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,86,87,90,90,4
90,x*x*x*x*3*x+1,25,-10,-0.014539795037097611,0.0009273598398005051,0.010053547553824451,0.019293746349599725,384293.7332,10581.7554,987406.5095999998,4374.78,0.9294846546255224,0.6194422330368207,0.8597496363730023,0.30819654172731065,28573341.799999997,178067.95,74905043.32,80403.56,((((x)*((6)+(8)))*((3)*((6)*(x))))*(((x)*(4))*((x)+((1)*(x))))),((((x)*((x)*(5)))+((2)*((x)+(5))))*(((3)*(x))+((5)*((6)+((9)*(x)))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR,AddTreeWithMult,MutateTerminalR,89,90,91,91,4
91,x*x*x*x*3*x+1,25,-10,-0.004341814623841112,-0.014656767181180945,0.027524380297782747,0.0011554191177869592,367391.466,93663.0217,825347.1943999999,8251.816799999999,0.8584904316271181,0.0001499444807842083,0.9259935171800755,0.00006600210284112553,17336225.32,211265.88,37325779.88,211246.52,((((x)*((x)*(x)))*((x)*((9)+(4))))*(((3)+(6))+((8)*((4)*(x))))),((x)*(5)),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|SkipD,MutateTerminalR|MultXD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR,MultXD,MutateTerminalR,91,90,92,92,4
92,x*x*x*x*3*x+1,25,-10,-0.0008126638535467756,-0.006283501428597595,0.024472727093225635,0.01860806462758581,496244.0872,160787.0007,1142769.4868,4519.6496,0.8763365407456472,0.3501222558692757,1.055682777175083,0.16510619723079112,20255570.480000004,186243.78999999998,42712334.2,137305,((((x)*((x)*(x)))*((x)*((8)+(1))))*(((x)+(1))*((4)*((9)+(7))))),((((8)+((x)*(5)))*((x)*((x)*(3))))-(((9)-(4))*((x)+((1)*((8)*(x)))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|DivXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,MultXD,MutateTerminalR,92,92,93,93,4
93,x*x*x*x*3*x+1,25,-10,-0.020707352463710298,-0.03150704575902672,-0.0009533941140698443,0.0004477433071656245,1381818.6651,154400.5872,5314448.6872000005,8356.5296,0.9898071229015707,0,0.6533920039476491,0,132339865.36,32767,518200597.24,211278.2,((((x)*((x)*(8)))+((x)*((x)*(5))))*(((9)*(9))*((x)+((1)*((x)+(x)))))),(((((x)*(x))*((x)-(x)))-(((0)*(4))+((1)*(9))))*(((3)*((8)+(1)))*((5)+((7)+((x)*(x)))))),MultXD|AddToLeafR|AddTreeWithMult|AddXD|AddTreeWithAdd,MutateTerminalR|DivXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,AddTreeWithMult,AddRandomSubTreeR,93,92,94,94,4
94,x*x*x*x*3*x+1,25,-10,-0.010636526828068897,-0.007134805279923155,0.008392388034672101,0.00042788512965370105,540959.2310999999,7134882.7227,1735363.1951999997,8360.7252,0.9627421405563878,0.023874682764241702,0.9698767741657965,0.011912129405166137,37825262.779999994,210009.15,141767537.88,206234,((((x)*((x)*(x)))*((6)*((8)*(x))))*(((3)*(4))+((9)+((1)*(x))))),((((x)-(7))*((x)+((7)+(6))))*((5)*((x)*((x)*(x))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,MutateTerminalR,MutateTerminalR,94,94,95,95,4
95,x*x*x*x*3*x+1,25,-10,-0.008372984065010344,-0.014196243321784206,0.01041795956588565,0.010248296322100434,196577.1694,95047.03400000003,341980.3752,6285.8864,0.6021287747209133,0.508433714410668,0.556944815263198,0.41979744567316196,8358690.140000001,241498.8,13275539.08,103857.24,((((x)*((x)*(x)))*((x)*((4)-(x))))*(((3)+(2))*((x)+((1)*(x))))),((((1)*((x)*(2)))+(((9)*(x))*((x)*(3))))*(((5)+(1))+((x)*((3)*((x)-(x)))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,AddTreeWithMult,MutateTerminalR,93,94,96,96,4
96,x*x*x*x*3*x+1,25,-10,-0.015976709119356856,-0.0060468276384756615,0.01372409039007881,0.0008658763658531772,466464.50920000003,2593468.5670999996,1566963.9256,8268.1872,0.9566529663476568,0.00023854803761118413,1.0080564709346787,0.00011927401880559206,33660831.38,211265.6,121852744.12,211227.8,((((x)*((x)*(x)))*((7)*((7)+(6))))*(((3)*(x))+((1)*((x)*(6))))),((x)+((x)*(x))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,MultXD,AddRandomSubTreeR,95,94,97,97,4
97,x*x*x*x*3*x+1,25,-10,-0.007313302035565184,-0.003775983337481294,0.01708004902610154,0.011591482699114248,389073.90060000005,101667.7926,1040005.0223999999,6002.1004,0.935063434297951,0.612197945647019,0.9984862967488738,0.29339754361237946,26163111.3,173954.22,81340227.08,81934.12,((((x)*((x)*(x)))*((x)*((x)*(7))))*(((1)*(x))+((1)*((7)+(6))))),((((x)*((5)+(8)))*((x)*((5)*(1))))*(((5)*(x))+((1)*((x)*(x))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,MultXD,MutateTerminalR,96,97,98,98,4
98,x*x*x*x*3*x+1,25,-10,-0.02354059174935609,-0.01369942893928796,0.0034156737090943346,0.0045727841301184905,717128.2071999998,1059525.1861,2750081.0487999995,7484.9983999999995,0.9797900731357815,0.4567115774367635,0.8962975744058981,0.4988320291090628,66173705.16,326529.51,261354483.64,114785,((((x)*((5)+(8)))*((6)*((5)*(x))))*(((x)*(9))*((x)+((1)*(x))))),((((x)*((7)*(6)))*(((4)*(x))+((5)+(2))))-(((0)*(3))*((x)-((1)*((x)*(x)))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,MultXD,AddRandomSubTreeR,96,98,99,99,4
99,x*x*x*x*3*x+1,25,-10,-0.013878045012216296,-0.013058373272298302,0.03919160292543126,0.009136617029111383,2646948.2064,255500.3082,10454179.3456,6520.76,0.9797900731357815,0.4567115774367635,0.8962975744058981,0.4988320291090628,66173705.16,326529.51,261354483.64,114785,((((x)*((5)+(8)))*((6)*((5)*(x))))*(((x)*(9))*((x)+((1)*(x))))),((((x)*((7)*(6)))*(((4)*(x))+((5)+(2))))-(((0)*(3))*((x)-((1)*((x)*(x)))))),MultXD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd,MutateTerminalR|MultXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,AddTreeWithMult,MultXD,96,98,99,99,4
