gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.06180477681085886,-0.03499772626302828,-0.05919995229039248,-0.019790239441015052,NaN,NaN,NaN,NaN,-0.96,0.019874191153338758,0.0000017432219760970174,1.0000863363173569,211272.86,166687.26416666666,211278.2,207079.21666666667,((9)*(0)),((((5)/((6)*(x)))*(((x)*(x))-((3)*(x))))+(((8)/(9))+((7)-((0)-((x)*(x)))))),AddToLeafR|FellTreeD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithMult,MutateNonTerminalR|MutateTerminalR|MultXD|AddTreeWithDiv|AddTreeWithAdd,AddTreeWithMult,MutateNonTerminalR,0,0,1,1,1
11,x*x*x*x*3*x+1,25,-10,-0.03838555536728352,0.0000003104915203307939,-0.03827226714351031,0.0000008500640387910375,8527.4239,8451.0624,9125.8072,8450.9484,-0.9472307886000544,0.00003275302421173981,0.00638460592992446,0.000016909897607251392,228139.8,211274.47,278724.6,211271.28,((((x)*(x))*((x)*((9)+(1))))*((3)*((0)-((4)-(x))))),((5)+(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithAdd|FellTreeD|AddToLeafR,DeleteMaliciousR,FellTreeD,10,10,12,12,1
12,x*x*x*x*3*x+1,25,-10,-0.03845077926638906,0.00000023712815263616947,-0.03838304945801318,0.0000008065195557358191,8182.9142,8451.0779,8540.66,8450.9576,-0.9599987883274281,0.00003294234805115225,0.0000006891387752117062,0.000016013539548650987,211282.78000000003,211276.25,211284.6,211271.24,((((x)*(x))*((x)*(x)))*((0)+((0)+((0)-(x))))),((6)+(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithAdd|FellTreeD|AddToLeafR,SubXD,AddToLeafR,10,12,13,13,1
13,x*x*x*x*3*x+1,25,-10,-0.03836727130390168,0.0000005958971824697528,-0.038094554838123386,0.0000017588184677861558,8623.9995,8451.0021,10064.4756,8450.756399999998,-0.9333346308327124,0.0000904967952208247,0.013765036183729559,0.000041640450370456655,243411.73,211271.47,352123.48,211259.08,((((x)*(6))+((2)*(x)))*((x)*((x)*((x)-(x))))),((x)*(3)),ReplaceBranchR|DeleteMaliciousR|MultXD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddToLeafR,ReplaceBranchR,AddToLeafR,13,11,14,14,1
14,x*x*x*x*3*x+1,25,-10,-0.0384102175804224,0.00000008283104712581043,-0.03839969480997093,0.0000002820925206680554,8397.1592,8451.1105,8452.74,8451.0684,-0.9599731160148088,0.000014009964113765427,0.000016022610638499682,0.000007033066971936114,211300.22,211276.72,211420.2,211275.24,((((x)-(2))+((9)*(3)))*((x)+((0)-(x)))),((8)*(8)),SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithAdd|FellTreeD|AddToLeafR,SubXD,AddToLeafR,14,14,15,15,1
15,x*x*x*x*3*x+1,25,-10,-0.038453703959992085,0.00000037959442734068284,-0.03839997576654856,0.0000012836156309587386,8167.4661000000015,8451.0478,8451.256,8450.8568,-0.96,0.0000904967952208247,0.000004556759605838372,0.000042920560642227375,211263.59,211272.67,211278.2,211259.08,((((4)+(6))*((0)*(0)))*((x)*((x)+(0)))),((3)*(x)),ReplaceBranchR|DeleteMaliciousR|MultXD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddToLeafR,MultXD,AddToLeafR,13,11,16,16,1
16,x*x*x*x*3*x+1,25,-10,-0.038314986288220935,0.0000006082028339905489,-0.038058884787924165,0.000002468782865438162,8900.166599999999,8450.9995,10252.8832,8450.6064,-0.9269761063848518,0.0000904967952208247,0.01652663409045997,0.00004182482424737887,254769.8,211271.47,385708.92,211259.08,((((x)*(x))*((2)+((1)-(x))))*((3)*((x)+((0)*(x))))),((x)*(3)),ReplaceBranchR|DeleteMaliciousR|MultXD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddToLeafR,ReplaceBranchR,AddToLeafR,13,15,17,17,1
17,x*x*x*x*3*x+1,25,-10,-0.03732362825885491,0.0000006034697469664444,-0.034093573231881,0.0000021526120536813774,14136.4751,8451.0005,31197.480400000004,8450.673200000001,-0.5293589816649328,0.00017947899972648766,0.21532047887573633,0.00008899017591833417,779935.06,211268.47,2485904.68,211240.28,((((x)*(x))*((x)*(8)))+((8)*((3)*((x)*(9))))),((x)*(6)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddToLeafR,DeleteMaliciousR,AddToLeafR,17,17,18,18,1
18,x*x*x*x*3*x+1,25,-10,-0.038407839578337946,0.00000023476161243936149,-0.038399995531957394,0.0000004486974993179411,8409.7197,8451.0784,8451.1516,8451.0332,-0.9599995531957392,0.000031806405014815366,0.0000003172817515531979,0.000012559630871936291,211278.36000000002,211274.87,211280.56,211271.48,((x)-((x)+(9))),((2)+(x)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddToLeafR,DeleteTerminalR,AddToLeafR,16,18,19,19,1
19,x*x*x*x*3*x+1,25,-10,-0.038436954385260756,0.0000007610818432459611,-0.0384,0.0000028000995843424316,8255.9366,8450.9672,8451.128,8450.5364,-0.96,0.00023854803761118413,0.0000006732798676153081,0.00011751032196512286,211276.19,211265.03,211278.2,211227.8,((((x)+(x))*((x)*(0)))*((4)+((2)+(x)))),((x)*(8)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithMult,DeleteMaliciousR,AddToLeafR,19,19,20,20,1
20,x*x*x*x*3*x+1,25,-10,-0.03840123872694864,0.0000014890319966778424,-0.0384,0.000005407088852519989,8444.5851,8450.813400000001,8451.128,8449.9856,-0.96,0.0001499444807842083,0.000003571049123176471,0.00007088654688874683,211268.57,211268.96,211278.2,211246.52,((((x)*(0))*((9)+(4)))*((x)*((x)-(2)))),((5)*(x)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithMult,DeleteMaliciousR,AddTreeWithAdd,19,20,21,21,1
