gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,5*x*x*x+2*x+7,10,1,-0.11414988574226582,-0.02175199032252999,0.1895727927517217,0.04064430858262939,2827807.169680133,9759.718435679013,22297485.357600003,243.89388571428574,0.9411661819908165,0.6273804078965791,0.8080752636603157,0.20445127571760444,172932.075,1422.1195396825399,780418.5,570.2942857142857,(((((3)+(2))*((x)*(x)))*(((x)+(3))-((2)*((7)+(4)))))/(((7)+((2)-(3)))*(((5)+(3))-((x)*((8)*(x)))))),(((((x)+(3))*((x)*(x)))+(((3)+(0))*((0)*((0)*(1)))))-((((5)+(8))*((4)-(x)))-(((x)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,11,6,12,12,1
12,5*x*x*x+2*x+7,10,1,-0.11092457957502395,-0.02609510792064607,0.1849726784506243,0.0651327219551656,99872.0512090413,3976.064042850694,854088.5168607763,206.41436904761903,0.9956974783906168,0.8377572688663836,0.8778077189992533,0.2624434100441454,1167437.582857143,1361.6140912698413,10671648.9,248.3125,(((((5)*(x))*((x)*(8)))-(((x)*(7))+((5)*(8))))+(((5)*((2)/(0)))-(((9)*(x))+((7)*((x)*(x)))))),(((((5)*(1))*((0)*((5)*(x))))+(((2)-((3)+(5)))/((1)*((8)*(1)))))*((((6)-(2))+((7)*((x)*(x))))*(((x)-(x))-((x)/((x)-((x)*(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,11,11,13,13,1
13,5*x*x*x+2*x+7,10,1,-0.1367904005093007,-0.016051676480390863,0.16110499249442117,0.028422084286180982,33570.074031895565,293698.4140160375,242608.60100000002,262.6,0.9878024149013552,0.2192094086899706,0.8976662983150464,0.08094303624389408,660311.0988392858,1477.264940548544,3764269.7,1195,(((((x)*(4))*((x)+(3)))*(((1)*(8))-((9)*(x))))+(((2)*((x)+(7)))*(((8)*(x))*((5)-((1)*(x)))))),(((9)*((x)*(x)))-((x)-(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,13,12,14,14,1
14,5*x*x*x+2*x+7,10,1,-0.09347962931778955,-0.03639863111455796,0.1906552584972351,0.04348083726139917,938972.7973350665,179220.1630468752,8725826.618166666,239.5525785714286,0.9998382240945992,0.02188827180659915,0.9354568116757276,0.008188566112124786,29622689.421111114,1523.4007103174604,283818532.1,1497,(((((7)-(4))*((x)*(9)))*(((x)*(2))*((5)*(1))))-(((7)+((x)*(x)))*(((8)+(7))+((7)*((x)*(x)))))),((9)*((5)-(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,13,11,15,15,1
15,5*x*x*x+2*x+7,10,1,-0.1441758563381093,-0.01637245308475556,0.16907783595930673,0.03540261663633111,34513.59172537408,598.0601577093751,241075.7033333333,251.91629523809522,0.9560741751227879,0.2301208755308723,0.7878444477900195,0.08163465621838943,208705.69222222222,1509.604096447591,1045284.8666666666,1178.3,(((((8)*(1))/((3)+(7)))*(((x)*(5))+((0)+((2)*(x)))))+((((6)+(5))*((4)+(5)))*(((5)*(6))-((x)*((x)*(x)))))),((9)*((8)*(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,13,15,16,16,1
16,5*x*x*x+2*x+7,10,1,-0.13618657225504652,-0.053209325264880133,0.19442126922687705,0.020057497549820322,NaN,NaN,5873299.538166667,275.402,0.7985393389071588,0.13668735707285204,0.7348451760824413,0.043072880327463314,73347.83842557443,1507.237757936508,227910.5,1321.3,(((((5)*(5))/((5)*(x)))*(((4)*(6))+((6)*(0))))+(((6)-((0)*(5)))+((8)*((0)-((7)*(x)))))),(((((7)-(2))*((9)*(x)))+(((8)-(1))*((5)*((x)+(7)))))+(((5)*((4)*(x)))-(((x)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,16,15,17,17,1
17,5*x*x*x+2*x+7,10,1,-0.1292284928523162,-0.038220195676101305,0.16564741515059223,0.04357268866383535,2624895.0987012754,1545394.6914605773,25722998.01947619,239.412,0.9999586124827216,0.8288794511597517,0.8023285582402394,0.040119931578138986,110985780.84750001,1515.5679140744414,1109392469.5,261.9,(((((5)*(6))*((6)*(7)))-(((2)*(5))*((6)+((2)/(4)))))+((((4)-(7))*((x)*(5)))*(((x)+(4))*((3)*((x)*(x)))))),(((((4)*((x)*(x)))*((x)+((0)/(6))))*(((1)+((8)*(8)))+(((8)+(8))-((4)+(1)))))*((((7)-(2))+((2)*((x)*(x))))-(((9)*((x)-(x)))-((x)/((x)+((x)-(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,16,15,18,18,1
18,5*x*x*x+2*x+7,10,1,-0.1366242306061889,-0.01671399567046807,0.17839834156217005,0.036066644887291735,293496.80598229123,28863.909600734514,1547299.9615555555,250.9,0.9328274852111476,0.5123162365240118,0.9049567464901337,0.16180282055215245,167850.92444444442,1449.1707103174604,683538.5,746.4,(((((7)+(5))+((0)-(x)))*(((8)*(x))*((5)+((6)*(0)))))+((((7)+(2))*((x)*(4)))*(((1)-(9))*((4)+((3)*(x)))))),(((((1)*(0))*((4)-((5)+(7))))-(((2)*(2))*((0)+((1)+(7)))))*((((x)-(0))*((x)*(x)))-(((x)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,18,17,19,19,1
19,5*x*x*x+2*x+7,10,1,-0.11630012315447207,-0.00845043376912567,0.1729826924856087,0.06363672002613524,128207.66273327079,436.7282245389526,999528.7445208125,208.704,0.9982789815026402,0.8297941849068932,0.9331686283829443,0.2631414307738256,3540478.16,1406.1399999999999,26678969.5,260.5,(((((5)*(x))*((7)*(9)))-(((3)*(5))/((8)*((6)*(3)))))+(((8)*((2)*(1)))+(((9)*(7))+((2)-((5)*(x)))))),(((((8)+(x))-((3)+(4)))*(((7)-(0))*((1)*(7))))*(((x)-((x)-(5)))*((7)*((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,19,19,20,20,1
20,5*x*x*x+2*x+7,10,1,-0.1270527371288035,-0.027153144422334144,0.16817514436843417,0.046012642927148,40932.40168811502,656.0734092781873,286508.2491666667,235.67765,0.9217209669149826,0.6824349341173909,0.8102411711139202,0.21564885710864973,159249.11261904764,1423.2733333333333,586555.5333333334,486.0333333333334,(((((9)*(x))*((7)+(1)))*(((0)+(3))*((9)+(0))))*(((x)+((7)*(8)))/((7)+((8)*((x)+(x)))))),(((((8)+(2))*((4)/((8)*(x))))+(((5)+(1))*((6)*((8)-(6)))))*((((x)+(3))*((x)-(x)))-(((x)/(9))+((3)-((x)-((1)-(3))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,19,20,21,21,1
