gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,5*x*x*x+2*x+7,10,1,-0.18825815342936258,-0.03419992352408119,0.14089581502285523,0.050120120512541305,NaN,NaN,1057290.269,229.39115555555557,0.9977160230447132,0.36896439072198634,0.9655975351803525,0.11562675614401702,3292185.0612500003,1459.8371031746033,20103092.5,965.8,(((((5)+(9))*((9)*(5)))-(((0)*(3))*((x)*((4)+(5)))))*((((x)+(0))*((x)+(8)))-(((1)+(2))-((7)*((x)*(x)))))),(((((5)-(0))+((9)+(4)))*(((x)*(5))*((x)-(2))))*(((x)-((x)+(x)))/((x)-((x)-((2)+(6)))))),MultXD|MutateTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,17,21,22,22,1
22,5*x*x*x+2*x+7,10,1,-0.0871997641186535,-0.010376241204072278,0.18015578503059568,0.0734802896656866,327635.68583342066,7202.777787417642,2987308.6243486293,193.63841666666667,0.9995162302333388,0.5068931721659589,0.8484319057486137,0.2076425993228689,9633311.41,1382.3744047619048,94910850.5,754.7,(((((7)*(2))+((4)*(x)))*(((x)*(x))*((2)*(2))))*(((1)-((x)*(5)))/((2)*((x)*((3)*(x)))))),((((7)*(x))*((7)*(1)))+((5)-((x)-(x)))),MultXD|MutateTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,17,22,23,23,1
23,5*x*x*x+2*x+7,10,1,-0.14358313300335732,-0.026251586266388367,0.17961483783842438,0.055314228154509114,NaN,NaN,4542251.463142858,221.4415738095238,0.9994311925072313,0.503234237177393,0.8290946053823418,0.16240691742948812,8143796.279999999,1457.0523529411767,80721510.5,760.3,(((((5)*(0))-((x)*(6)))*(((6)*(6))*((9)*(x))))-(((6)+((2)*(x)))+((7)*((5)*((6)*(x)))))),(((((6)*(1))-((5)*(5)))*(((7)*(2))+((9)+((5)+(2)))))*((((5)*(0))-((x)*(x)))-(((x)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,20,20,24,24,1
24,5*x*x*x+2*x+7,10,1,-0.18793922123927498,-0.033458572030952614,0.16068646545231974,0.05974126102580857,NaN,NaN,19459711.550499998,214.66600000000003,0.999067643270152,0.06664488729173473,0.8611292476420057,0.03006623045192343,5804141.445,1509.7847936507937,49246172.125,1428.5,(((((8)*(x))*((9)*(x)))*(((x)*(5))+((4)*((1)*(5)))))+((((2)-(4))+((6)+(6)))+(((5)/(8))*((2)+((4)*(x)))))),(((((6)-(4))*((x)*(9)))/(((1)+(0))-((2)*(1))))-(((6)*((x)-(x)))-((x)/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,22,24,25,25,1
25,5*x*x*x+2*x+7,10,1,-0.12178341469543348,-0.04605287374828924,0.15092407976906244,0.02540700466182335,209345.74920606345,72039.98528287323,2028857.196,267.2145793650793,0.9127674187306392,0.10133943155831422,0.8827228226656496,0.011419885190955895,124262.75666666667,1526.1863928571427,526351.5,1375.4,(((((5)*(x))*((2)*(x)))*(((x)+(0))*((3)*((x)+(x)))))-((((5)-(6))/((7)*(6)))-(((8)-(x))-((8)+((2)*(x)))))),(((x)*(4))*((7)+(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,25,24,26,26,1
26,5*x*x*x+2*x+7,10,1,-0.15194297228624784,-0.04232942662230152,0.17158077983812473,0.058736487230508796,1640003.5295808092,650389.1505124653,13462828.522936046,216.20380629370626,0.9989105582952746,0.6107154524665143,0.8329963325565191,0.2155513337329954,4301328.57,1373.4607103174603,42145440,595.8,(((((1)+(7))*((x)*(x)))*(((2)*(2))-((5)-(2))))+(((7)*((3)*(5)))*(((x)+(5))*((8)*((x)-(x)))))),(((((x)*(6))/((6)-((4)+(x))))+(((x)+(x))*((4)*((2)*(3)))))+((((7)+(3))*((x)*(x)))-(((x)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,24,25,27,27,1
27,5*x*x*x+2*x+7,10,1,-0.17723197742749414,-0.037632832307685965,0.15600681760682159,0.042417510617445274,NaN,NaN,2250160.1520000002,241.18,0.9708001112921817,0.5393662201894805,0.9327687007602178,0.20458402570548098,408202.25,1517.9318702913013,1572437.5,705,((((7)+((2)*(x)))*(((2)*(6))*((x)+(2))))*(((8)+((3)*(9)))+((7)*((0)+((3)*(x)))))),((((9)+((x)*(2)))*((6)*((x)-(3))))+(((x)-(x))-((x)-((x)-(x))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,27,27,28,28,1
28,5*x*x*x+2*x+7,10,1,-0.19018236700079855,-0.0181066733530743,0.17914120073305542,0.06118432507272756,82142.98697517673,3445.0495119567813,669820.228,212.45739047619048,0.9974184317339652,0.38188430484902225,0.7537914482102398,0.14085435190417508,1810046.5840218253,1428.1626071428573,17785700.5,946.0260714285714,(((((7)+(3))*((7)*(x)))*(((8)*(x))*((2)+((3)-(2)))))*(((8)/((1)+(1)))-(((3)+(7))*((7)*((3)*(x)))))),((((x)*((7)*(9)))*(((4)+(9))-((5)*(5))))*(((x)-((3)+(6)))-((x)/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,28,27,29,29,1
29,5*x*x*x+2*x+7,10,1,-0.1509467985338071,-0.0163263119582583,0.1388114763289339,0.027407686563681328,NaN,NaN,2003727.4915448604,264.1525357142857,0.9955575312761554,0.22450179679843182,0.795917242458275,0.07183965355964665,1102866.495,1497.9902898550724,10335469.5,1186.9,(((((8)*(1))*((8)*(x)))*(((x)*(2))+((8)*((9)*(1)))))+((((1)/(0))-((x)+(7)))*(((5)*(9))*((5)+((5)*(x)))))),(((x)*((8)*(9)))-((x)-(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,29,25,30,30,1
30,5*x*x*x+2*x+7,10,1,-0.12228403707070734,-0.02789330406713015,0.1769513856545527,0.04405447747649642,1432002.4380642497,1450.1751834978909,12885998.487249998,238.67462222222224,0.8081154441679256,0.6682293368180333,0.7849796707946718,0.2791444511295994,96934.34085714286,1290.7803673548674,239284.5,507.775,(((((9)+(5))*((x)*(7)))*(((6)-(8))*((x)+(2))))-(((2)*((4)+(1)))+(((6)+(7))*((0)+((4)*(x)))))),(((((5)*(4))-((4)+(x)))*(((x)*(6))+((2)*((8)+(x)))))-(((3)*((x)-(x)))-(((x)/(2))*((4)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,27,27,31,31,1
31,5*x*x*x+2*x+7,10,1,-0.07351346118132945,-0.01996071159150683,0.18371602429336753,0.050954590003266895,NaN,NaN,6925528.364666667,228.114,0.9914292967003884,0.5131656321463574,0.8375202712976821,0.13157801868554628,1128564.6766666663,1409.3899983869665,5357203.3,745.1,(((((6)*(6))*((x)*(2)))+(((9)-(0))+((x)*(8))))*(((x)+((2)/(1)))*((5)+((7)*((x)*(x)))))),(((((3)-(1))*((6)*(x)))+(((9)-(1))+((3)+((0)*(x)))))+(((2)*((x)-(x)))-(((x)+(x))-((x)-((6)-(5)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,29,27,32,32,1
32,5*x*x*x+2*x+7,10,1,-0.13521665333356234,-0.013825281226000841,0.1349627376718666,0.062472861343165154,35477.05654031874,8157.869207559407,250496.92514285716,210.4852857142857,0.8654424661408231,0.4903626265926168,0.7244996276515149,0.15484517295663755,92464.87303571429,1448.5923297258298,341229.5,780,(((((5)*(0))+((6)*(7)))*(((2)*(7))*((6)-((5)-(3)))))-(((5)+((3)*(9)))-(((6)+(5))*((1)*((4)*(x)))))),((((6)+((4)+(2)))+(((0)+(x))*((x)*(9))))*(((x)-(x))+((x)/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,32,32,33,33,1
33,5*x*x*x+2*x+7,10,1,-0.1437367302506265,-0.06927431380464603,0.1527352766445085,0.03499912726933308,3451951.6454658844,9609.069598539441,30940069.369714282,252.53383571428571,0.9995081891350536,0.20248821580249227,0.8158849736523704,0.07074975194480912,9428251.685,1484.5365595238095,93359059.9,1220.5917857142856,(((((6)+(x))*((9)*(6)))*(((x)*(3))*((x)-((x)+(9)))))+((((1)*(x))+((9)/(2)))*(((7)+(5))*((4)*((7)*(x)))))),(((((5)*(4))+((1)+((6)*(3))))-(((1)-((1)/(0)))-((x)+((8)-(5)))))*((((2)*(3))*((4)*((x)*(x))))*(((x)-(x))-((x)/((x)-((x)-(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,33,33,34,34,1
34,5*x*x*x+2*x+7,10,1,-0.09130482576658192,-0.026296876870302476,0.18633724873776408,0.023409343351845798,9068445.906690856,25141.382698813537,81065684.294,270.272,0.9892292403078117,0.14263312642927145,0.966551992838152,0.054868981366389645,1187337.3662637363,1478.2250119047617,4262930.5,1312.2,(((((5)*(x))*((4)*(x)))+(((x)*(1))*((2)+((6)+(0)))))+((((0)+(3))/((5)*(x)))*(((8)*(0))-((5)+((5)*(x)))))),(((((5)*(x))*((x)+(x)))*(((0)-(0))-((6)+((x)+(8)))))*(((7)*((x)-(x)))-(((x)/(x))-((x)-((2)*(7)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,33,34,35,35,1
35,5*x*x*x+2*x+7,10,1,-0.12638506454263937,-0.04427535358554792,0.18147357513118245,0.026152740431734225,95904.60444794677,392.67092703993126,767034.0455,266.0732307692308,0.9550906769262519,0.6987912446912774,0.8114098607316158,0.21979194748943928,195040.44928571428,1413.6658333333332,1022393.5,461,(((((5)*(2))+((7)*(8)))*(((5)*(x))+((2)*(4))))+(((2)*((x)+(7)))+((3)*((6)*((2)*(x)))))),(((((5)*(0))*((8)+((5)*(x))))*(((5)*((x)+(3)))+((7)+((4)*(1)))))+((((1)*(8))+((7)*((1)-(8))))*(((x)-(x))-((x)/((x)-((x)-(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,34,35,36,36,1
36,5*x*x*x+2*x+7,10,1,-0.13259352262381438,-0.023204270491866578,0.10739753081547412,0.06338974191440706,NaN,NaN,283333.3587377622,209.082,0.9925700039253649,0.2754001960143744,0.9637054375853786,0.0869864954174294,818524.1657142858,1473.7147499999999,6179680.25,1109,(((((x)*(5))*((8)*(7)))*(((x)*(x))-((0)+((9)*(0)))))+((((6)-(9))*((x)+(8)))+(((6)+(3))/((2)*((x)*(x)))))),(((((4)*(x))-((6)*((9)+(2))))*(((x)+(0))/((6)*((3)*(4)))))-((((6)*(8))*((x)-(x)))-(((x)/(1))*((4)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|AddTreeWithSub|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,34,34,37,37,1
37,5*x*x*x+2*x+7,10,1,-0.1055198290614531,-0.013936802607111142,0.14579823470790723,0.08497170859196342,142794.2516194157,3799.8851908249553,1245655.832,176.05079999999998,0.9944234603075531,0.7004246978111728,0.8204829509570646,0.2235094389872302,998858.7349275362,1429.0714764957265,8233600.5,458.5,(((((8)*(3))*((7)+(7)))+(((7)*(9))-((7)*((3)*(3)))))*((((x)+(2))*((3)-(0)))*(((4)+(7))-((9)*((x)*(x)))))),(((((3)*(x))+((x)*(7)))+(((3)*(x))*((4)-((0)*(5)))))-(((7)-((x)*(x)))-(((x)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|AddTreeWithSub|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,37,34,38,38,1
38,5*x*x*x+2*x+7,10,1,-0.11611479534574887,-0.015424088515722318,0.18130409220509733,0.0495422281626941,145235.47352233468,454.13360942790393,1131152.5775174827,230.27561979699666,0.9977979400008071,0.5554393988892519,0.8238125756561984,0.19410925754397698,2244213.058333333,1473.3652460317458,20850930.5,680.4,(((((4)*(5))+((x)*(x)))*(((x)*(1))-((3)*(5))))*(((2)+((1)+(3)))+(((5)+(4))/((1)*((x)*(x)))))),(((((x)*(3))*((1)+(0)))*(((4)+(4))+((6)*(6))))*(((0)*((3)*(x)))-(((x)-(x))/((x)-((x)*(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,37,37,39,39,1
39,5*x*x*x+2*x+7,10,1,-0.14312400425097477,-0.07479049147136976,0.15964197466689062,0.025632114301176692,NaN,NaN,298360.201,266.870049062049,0.8619703414351417,0.32411335080397474,0.8453959004184876,0.10641809409028415,91249.145,1464.708896103896,332645.9,1034.4445165945167,(((((1)*(1))/((2)*(3)))*(((1)+(8))*((3)*(x))))*(((3)-((9)-(8)))*((x)+((9)*((x)*(x)))))),(((((7)*((2)*(6)))+((3)*((1)+(9))))*(((x)+((x)/(6)))+(((9)*(x))+((0)*(4)))))-((((x)+((9)*(1)))*((8)*((9)+(x))))*(((x)-((x)-(x)))/((x)+((2)-((x)+(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,37,39,40,40,1
40,5*x*x*x+2*x+7,10,1,-0.13053646519197998,-0.030710341884494632,0.15273499920204814,0.05883291157927176,276413.1758818264,8009.8008718877945,2380066.41081203,216.05622882792457,0.993493079219934,0.024175106174452794,0.8665866440929303,0.013564593106631368,778317.0347744363,1522.3036071428571,7056333.026315791,1493.5,(((((7)*(2))*((x)*(2)))-(((4)*(5))*((9)+((8)+(5)))))*((((5)/(7))*((3)-(2)))-(((7)*(4))*((4)*((9)*(x)))))),(((6)*(x))+((3)+(1))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,40,40,41,41,1
41,5*x*x*x+2*x+7,10,1,-0.1353050287385251,-0.030499935347437973,0.14576502198129115,0.05784253511924208,NaN,NaN,8329555.468351982,217.57199999999997,0.9992499037335616,0.14295981705325053,0.9467857478608624,0.04718151981196333,6253322.048928572,1507.2952380952381,61212143.1,1311.7,(((((4)*(7))+((3)*(5)))*(((4)*(x))-((5)+((3)*(8)))))*((((2)*(x))+((6)*(8)))+(((6)*(1))+((9)*((x)*(x)))))),(((3)*(7))*((2)*(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,40,38,42,42,1
42,5*x*x*x+2*x+7,10,1,-0.15815403323246074,-0.050332713631300194,0.16131780804296653,0.02068681258847871,NaN,NaN,5255861.7017,274.4388333333333,0.999700000835999,0.08964390721986282,0.8138408604349623,0.018771113414740345,15349641.275312502,1513.99611148904,153050426.5,1393.3,(((((5)+(9))-((7)+(7)))*(((9)*(9))+((x)*(x))))*(((4)*((2)-(6)))*(((2)*(9))+((4)*((x)*(x)))))),((((5)*(7))*((x)-(x)))-((x)/((x)-((x)*(x))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,42,41,43,43,1
43,5*x*x*x+2*x+7,10,1,-0.10116274372567415,-0.011525289609098219,0.19256820932034366,0.03079762708524552,359528.7275478749,1387.4496410433544,3322021.3859999995,258.9642317460317,0.9996427009912231,0.4293983706953325,0.8261143275997689,0.13878388205393452,12981346.953333333,1472.7205793650794,128505814.1,873.3057936507936,(((((9)+(6))+((6)*(x)))*(((x)*(x))+((2)*((6)-(6)))))+((((7)*(3))+((7)*(x)))-(((1)*(1))-((5)*((7)*(x)))))),(((((8)*(8))+((6)*(x)))*(((1)+(3))-((1)+((8)-(8)))))*((((3)*(5))*((x)-(2)))+(((0)-(x))/((x)-((x)-(x)))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddToLeafR|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,42,43,44,44,1
