gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,5*x*x*x+2*x+7,10,1,-0.007008204985995185,-0.08484725551592633,0.1921431446685052,0.031803184242225696,783558.2384000004,61730.294859102185,7333068.646000001,257.4252265172736,0.999442285044233,0.043123162365240116,0.8488457692232921,0.1462996390995676,8375194.279999999,1671.876238095238,82327001.5,1464.5,((((5)*((x)*(9)))+(((5)*(6))*((x)*(9))))*(((9)+((x)-(5)))*((x)+((x)*((9)-(1)))))),(((((8)*(6))+((0)+((0)*(x))))-(((x)*(9))/((5)*((6)-(8)))))*((((5)+(x))+((x)*(2)))*(((1)*(x))+((5)+((0)*((x)/(x))))))),SkipD|AddTreeWithMult|ReplaceBranchXR|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,11,11,12,12,2
12,5*x*x*x+2*x+7,10,1,-0.02452194912733556,-0.09517407426229488,0.19341985685938165,0.04597556544270036,196215.98440000002,81406.65556139927,1359942.888,235.7343970899471,0.9941989199997397,0.23358701119563582,0.8966124220780216,0.0736541225619089,2028811.4799999997,1484.2376825396825,7914905.5,1172.9950793650794,(((((5)*(x))*((x)*(8)))*(((x)*(x))+((x)-(3))))*(((6)+((8)*(1)))*((x)+((9)*((4)*(x)))))),((((x)*((0)/(1)))+(((x)*(3))+((1)*(9))))+(((x)-(0))-((1)+((x)+((4)/(x)))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,12,11,13,13,2
13,5*x*x*x+2*x+7,10,1,0.008836573527201628,-0.07088459631466634,0.19725125396665408,0.021933991381590204,363071.29299999995,8232445.36313119,3056432.99,272.5300261904762,0.9885611772109452,0.39977722810783894,0.1701025012853311,0.2833721828503224,1034913.01,1624.9727572751322,4013962,918.6409523809525,(((((8)+(6))*((4)-(1)))*(((8)-(9))*((6)*(x))))+(((2)*((x)+(2)))*(((0)*(9))*((6)+((x)*(x)))))),(((((3)*(8))+((6)-(0)))*(((0)*(1))*((3)-(2))))+(((3)+((2)*(x)))*(((x)+(0))*((x)*((x)/(x)))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,12,13,14,14,2
14,5*x*x*x+2*x+7,10,1,0.03558452678790111,-0.11045436434595089,0.19715100821038203,0.0481209807978511,309550.80179999996,88837.50126208026,2249950.18,232.4508388888889,0.9987814925557793,0.03535601499665537,0.7288853823665533,0.3178380438312711,4384241.6899999995,815829.5271070438,37681345.5,1476.387619047619,(((((5)*(x))*((8)+(9)))*(((5)*(x))*((5)*(7))))+(((3)-((2)-(1)))*(((x)+(7))*((x)+((x)*(x)))))),(((((x)+((x)*(2)))*((x)*((5)+(6))))*(((7)-((5)*(2)))+(((5)-(x))*((9)-(6)))))+((((1)*((4)+(7)))+((8)*((3)+(6))))+(((7)*((2)/(8)))-((6)+((x)-((4)/(x))))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,14,13,15,15,2
15,5*x*x*x+2*x+7,10,1,0.07354722882092561,-0.11654462103982359,0.19766168480621527,0.03585447540227024,190269.76119999998,3877.686993412188,1216042.322,251.2247253968254,0.9861702577862141,0.06416203854949366,0.141735896993079,0.39027041045330096,916730.4199999999,7776.366488095239,3320018.5,1432.3,(((((5)*(8))*((9)-(1)))*(((9)*(1))+((2)*(1))))*(((9)+((8)*(1)))-(((7)+(7))*((x)+((x)*(x)))))),((x)*((9)+(9))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,15,13,16,16,2
16,5*x*x*x+2*x+7,10,1,0.05451997711455242,-0.07922784053944401,0.194554577581849,0.042896264837199174,230839.1712,188095.47353876234,1394277.53,240.44726666666665,0.9783620319755585,0.23140634263796642,0.24478556383117725,0.39972620724343155,424220.57999999996,415972.8835568783,2121964.5,1176.3325925925924,(((((5)*(7))*((8)+(7)))*(((7)*(6))-((5)*(5))))*(((5)-((2)+(2)))*(((x)+(7))*((x)+((x)*(x)))))),(((((2)*((x)-(2)))*((7)*((1)-(x))))*(((0)+((4)*(4)))+((8)+((4)/(6)))))*((((4)+(6))*((0)-((1)*(0))))*(((0)-(2))+((7)*((x)+((6)/(x))))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|MutateNonTerminalR,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,16,15,17,17,2
17,5*x*x*x+2*x+7,10,1,0.04954095470251246,-0.09810556173176263,0.1966499258115855,0.024588420632327853,249166.94780000008,1415330.0449538955,1751870.528,268.46742222222224,0.9953385121416047,0.057497549820320154,0.6016011568638128,0.39858147495795193,1601904.56,1011687.2700000001,9849859.4,1442.5,(((((8)*(9))*((6)*(x)))*(((x)*(x))+((2)*(x))))-(((1)-((x)+(3)))*(((2)*(4))+((5)+((x)*(x)))))),((((x)+((1)+(8)))*((x)*((x)+(7))))-(((7)*(0))/((1)+((4)*((9)/(x)))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,17,16,18,18,2
18,5*x*x*x+2*x+7,10,1,0.04923672510305864,-0.07346821452879493,0.19794960823021493,0.04480685399757599,187289.8784,30896.54481669655,1195856.0420000001,237.52310995670993,0.9869586408696852,0.03397582489382555,0.6747128784065839,0.28739901030680326,916159.65,2893.409248015873,3520722,1478.5,(((((5)*(x))*((4)-(7)))*(((9)-(2))*((6)*(5))))+(((x)+((2)*(0)))*(((3)+(8))*((x)+((x)*(x)))))),((9)+((4)*(5))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,17,18,19,19,2
19,5*x*x*x+2*x+7,10,1,0.032477922536189065,-0.10585319941164054,0.1981597525469443,0.06300240302807392,230515.39800000002,455287.509647,1602127.2340000002,209.67482216553287,0.9974092253268309,0.22931490901925403,0.8062933457304104,0.3386989741222286,2501797.57,13449414.804556036,17722498.4,1179.5335317460317,(((((5)*(5))*((x)-(7)))*(((9)+(5))*((4)*(6))))*(((x)+((2)*(9)))-(((3)+(7))*((x)+((x)*(x)))))),(((((x)+((5)*(x)))*((8)*((0)+(7))))+(((1)+((1)*(x)))*((9)+((1)-(2)))))*((((2)-(5))+((7)*((7)+(9))))+(((0)*(7))-((9)*((0)*((2)/(x))))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,ReplaceBranchXR,19,18,20,20,2
20,5*x*x*x+2*x+7,10,1,0.056426281892303115,-0.09920481722565355,0.1971982424690843,0.052172414865979067,226285.89800000004,266221.2784070168,1310507.806,226.25011904761908,0.9968817713576081,0.5582657394875624,0.41738273458206976,0.2578716055285772,3424002.9,1560.0054367913833,14724706,676.0742857142857,(((((5)*(x))*((4)*(5)))+(((6)*(1))-((x)*(5))))*(((6)+((2)*(x)))+(((0)-(7))*((x)+((x)*(x)))))),(((((5)*(x))*((x)*((9)*(5))))+(((9)*((0)+(1)))+((1)-((1)-(9)))))+((((5)+(3))*((x)+(3)))*(((x)+(2))*((8)-((1)+((5)/(x))))))),SkipD|AddTreeWithMult|AddTreeWithSub|SkipD|AddTreeWithMult|MultXD|SkipD|SkipD|AddXD|SkipD|AddTreeWithMult|MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithAdd,SkipD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,SkipD,AddTreeWithAdd,19,18,21,21,2
