generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.7448322181137951,0.05461902621705602,0.1187143683710426,0.1676678610177271,0.1187143683710426,0.1676678610177271,StrategyAddSubX,StrategyReplaceBranch,1,1,((((x)*((x)*((8)-(6))))*(x))*(((x)*((x)-(3)))*(x))),((((3)*(x))-((1)-(1)))*((9)-((8)+(4)))),5*x*x*x,4
2,-0.5316069354538675,0.046477806445511076,0.342376755541439,0.15998192967225308,0.342376755541439,0.15998192967225308,StrategyAddToLeaf,StrategyMutateNonTerminal,2,2,((((x)*(x))*((x)-(4)))*(((x)*((x)*((x)+(9))))*(x))),((6)-(9)),5*x*x*x,4
3,-0.24974144956578787,0.05202824941227613,0.5694980930877588,0.17137886950738668,0.5694980930877588,0.17137886950738668,StrategyAddSubX,StrategyMutateNonTerminal,3,3,((((x)*(x))*((x)+((x)-(9))))*(((x)*(8))*(x))),((9)-(1)),5*x*x*x,4
4,0.06927521131190074,0.06494456059031282,0.7010590624577441,0.18586548756391708,0.7010590624577441,0.18586548756391708,StrategyAddAddX,StrategySkip,4,4,(((5)*(x))*(((x)*(x))*(((x)*(x))*((x)*((x)+(0)))))),((4)*(1)),5*x*x*x,4
5,0.3298528100680187,0.08907494748015633,0.6781048782334121,0.17315611657916552,0.6781048782334121,0.17315611657916552,StrategySkip,StrategyAddRandomSubTree,5,5,((((x)*(x))*(((x)*(x))+(0)))*(((x)*(8))*(x))),(((3)-(x))-(2)),5*x*x*x,4
6,0.4532367347949046,0.11710651632986106,0.7363405555429827,0.18184549009274564,0.7363405555429827,0.18184549009274564,StrategyAddAddX,StrategyAddRandomSubTree,6,6,((((x)+((x)*((x)*(x))))*(((x)*(x))+(9)))*((x)*(x))),((6)*(6)),5*x*x*x,4
7,0.512403747029468,0.13294778427725315,0.7715711272035451,0.1701680596059238,0.7715711272035451,0.1701680596059238,StrategyAddAddX,StrategyAddRandomSubTree,7,7,((((x)*((x)+(8)))*((x)*(x)))*(((x)+(9))*((x)*(x)))),(((x)-(4))*((1)*((8)*(4)))),5*x*x*x,4
8,0.5528791380068411,0.13598932015551377,0.7614376163084355,0.17477612112542806,0.7614376163084355,0.17477612112542806,StrategyAddAddX,StrategyAddRandomSubTree,8,8,(((((x)*(x))*((x)+(0)))*(x))*(((x)*((x)*(8)))*(x))),((9)+((9)*(0))),5*x*x*x,4
9,0.5702359050949862,0.1406336686694697,0.7596824395979687,0.17815107810055242,0.7596824395979687,0.17815107810055242,StrategyAddAddX,StrategyReplaceBranch,9,9,((((x)*(((x)*(x))+(7)))*(x))*(((x)*((x)*(7)))*(x))),((2)+(5)),5*x*x*x,4
10,0.5695864258045965,0.14684755490982063,0.7563027715846253,0.17723824600402766,0.7563027715846253,0.17723824600402766,StrategyAddAddX,StrategyAddRandomSubTree,10,10,((((x)*((x)+(x)))*((x)*((x)*(8))))*((x)*((x)+(9)))),((3)+((4)*(7))),5*x*x*x,4
11,0.5617481507325115,0.1438504677127562,0.7653363268300515,0.1751918677852621,0.7653363268300515,0.1751918677852621,StrategyAddAddX,StrategyAddTreeWithAdd,11,11,((((x)*((x)*(x)))*((x)+((x)*(4))))*((x)*((x)+(1)))),((5)*(8)),5*x*x*x,4
12,0.5780262329449505,0.14682833409327245,0.7146412308173877,0.17385320822030464,0.7146412308173877,0.17385320822030464,StrategyAddAddX,StrategyReplaceBranch,12,12,(((((x)*(x))*(((x)+(7))*((x)*(4))))*(x))*((x)*(x))),((8)-(5)),5*x*x*x,4
