generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
12,-0.8222932233229961,0.2236949332020533,-0.16881148267709167,0.4640427890580427,StrategyMultXD|StrategyAddXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithDiv|StrategyAddXD,StrategyMultXD,StrategyDivXD,11,11,8355011.5,8355011.5,(((((((x)-((7)*(9)))*((x)*(7)))*((x)*(1)))*(x))*(x))*(x)),((((((((7)-(9))+(((2)/(0))*((x)*(x))))-(((((0)+(4))/(3))-((8)-(7)))/((9)*((8)*(2)))))/((8)*(3)))/(x))*(x))+(x)),5*x*x*x,4
13,-0.8409782318374741,0.25950914363053745,0.049571953442208536,0.4523023485810194,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategySkipD|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,12,12,8807326,8807326,((((((8)+(5))*(x))*((x)*((8)*((((5)*(9))*(6))+((2)+(8))))))+(x))*(x)),(((((((((5)*((x)-(0)))*((x)+((x)-(7))))-((((7)/(7))+(x))*((x)/((0)*((x)/(5))))))/((3)*(x)))/(x))/(x))-(x))/(x)),5*x*x*x,4
14,-0.9033017823522179,0.20818356213768935,-0.5960078325799156,0.3155870019527494,StrategySubXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyDivXD|StrategySubXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,13,13,665450.5,665450.5,(((((5)*(x))*((x)*((5)*(((9)*(8))+((5)*(1))))))-(x))*((3)+((3)*(2)))),(((((((((x)*(((x)+(0))+(x)))+((x)*((x)*((0)/(2)))))-(((x)+(x))/(((4)/(1))-((6)*(5)))))/(x))/(x))/(x))-(x))/((7)/(0))),5*x*x*x,4
15,-0.8490630841936208,0.27614458623008586,-0.34401280856794775,0.4519832390955815,StrategySubXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySubXD|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,14,14,2768254.5,2768254.5,((((((((9)*(0))-(x))*(x))*((x)*((2)*((2)-(9)))))*(x))*(x))*(x)),((((8)*((0)*((3)/(x))))+(x))-((8)/(0))),5*x*x*x,4
16,-0.8149074463634122,0.2550707273430131,0.3632160925287634,0.45414888734892445,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySubXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,15,15,90095087.5,90095087.5,((((((9)+(6))*(x))*(((1)+((8)*(9)))*((8)*(((4)*(7))+(6)))))*(x))*(x)),((((((7)*(1))/((8)+(7)))/((9)/(0)))-(x))/((x)/(6))),5*x*x*x,4
17,-0.866909671302188,0.3021729428168045,-0.2094443035277093,0.44117835798325417,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyDivXD|StrategySubXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,16,16,14782487.5,14782487.5,(((((((8)*(8))*((7)*(5)))*((x)*(5)))*(((6)*(4))*((4)+(6))))/(x))*(x)),(((((((1)+(6))*((1)+((4)-(2))))/(x))/(((x)/(6))/(0)))+(x))-(x)),5*x*x*x,4
18,-0.8537374714537951,0.31674758391925184,-0.2089022074093128,0.5120648441627387,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySubXD|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,17,17,1061775.5,1061775.5,(((((5)*(8))*(((3)-(x))*((9)*(((1)*(x))+((9)-(2))))))*(x))*(x)),((((((7)-((8)+(2)))/(x))/(x))/((4)/((0)/(x))))-(x)),5*x*x*x,4
19,-0.8994645120794328,0.3106409059949778,-0.5392908348787739,0.42552154705740464,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyDivXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,18,17,1566647.5,1566647.5,(((((((4)+(8))*(x))*(((x)*(x))*(x)))*((9)-(3)))/(x))*((8)*(9))),(((((((5)*(((3)/(7))+(0)))*(((2)+(7))*((9)+(6))))*((((x)/(9))-(9))+((3)-((9)/((4)*(0))))))/(x))/(x))+(x)),5*x*x*x,4
20,-0.8246041887254993,0.30457280595824765,-0.4186719027952514,0.5019051777232639,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyAddTreeWithDiv,18,19,718767.5,718767.5,(((((5)*(((3)-((6)*(7)))-(x)))*((9)*((7)+(2))))*(7))*(x)),(((((((5)-((7)*(3)))*(((4)*(5))-((4)*(5))))*(((2)-(0))+(((x)/(0))*((x)/(x)))))/(((1)/(9))+(6)))/((6)/(x)))+(x)),5*x*x*x,4
21,-0.9121242242356118,0.30965322526611205,-0.6839577732983322,0.5179627769610904,StrategySubXD|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyAddTreeWithDiv,20,20,231423.5,231423.5,((((((8)*((2)-((4)*(2))))*((x)*(x)))-(x))*(((0)-(8))-(8)))*(x)),(((((((5)*(2))*((1)-(((0)/(8))*((2)+(4)))))-(((1)/(9))-(((6)*(1))-(3))))/((0)/(x)))/(x))+(x)),5*x*x*x,4
22,-0.8432364627559826,0.33474985628538556,-0.11670193306379502,0.49844755000623253,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,21,20,15206797.3,15206797.3,((((((x)-(2))*((7)*(9)))*((((8)*(2))*((x)-(1)))*(x)))*(x))*(x)),((((((((5)-(6))*((3)*(3)))*((3)*((((0)/(0))/(4))-(((6)/(0))*(x)))))/((2)-(5)))/(x))/(x))-(x)),5*x*x*x,4
23,-0.8373049849231764,0.33597726899316604,-0.3103023668875415,0.5729624751515447,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyMutateNonTerminalR|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,22,22,11745220.3,11745220.3,(((((8)*(x))*((((1)-(4))+((9)*(((8)*(x))-(5))))*(x)))*(x))*(x)),((((((9)+(9))+(((3)/(0))+((7)-((5)+(2)))))/(x))/((1)/(9)))+(x)),5*x*x*x,4
24,-0.9165539259053748,0.30429242844186905,-0.6336488560982217,0.501737253229881,StrategyMutateTerminalR|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,23,23,3206049,3206049,(((((5)*(6))*((((5)*(8))*(6))*((9)*(9))))+((0)-(7)))*(x)),((((9)-(2))+(x))+((((4)/(0))/(1))+(5))),5*x*x*x,4
25,-0.8690598158798698,0.3156715584131562,-0.29646142185044627,0.4562257412349252,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyDivXD,24,24,1399062.5,1399062.5,((((((8)+(6))*((5)*(x)))*(((2)-((7)*(5)))*(x)))*((6)-(4)))*(x)),(((((((x)+(1))*((7)*((7)+(5))))/((8)/(0)))/(x))/(x))-(x)),5*x*x*x,4
26,-0.879911523162545,0.3168776092264125,-0.6688023025838797,0.5416799281582103,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyAddTreeWithDiv,25,25,591279.7,591279.7,((((((x)-(0))*(((5)*(7))-(9)))*((x)*(((6)-(3))+(6))))*(x))*(x)),(((((((((3)/(0))*(7))-((x)*((6)*(7))))*(((3)+(6))*((8)*(((4)*(3))-((2)/(1))))))/(x))/(x))/(x))-(x)),5*x*x*x,4
27,-0.92059170277879,0.2852834149909592,-0.7455605894802567,0.41122458171784915,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,26,26,668525,668525,(((((5)*((3)*(1)))*((3)*((7)*(x))))*((x)*((0)-(7))))*(x)),((((((5)-(2))/((1)+(8)))/(x))/(5))-((1)/(0))),5*x*x*x,4
28,-0.9169918926673997,0.2874038520338526,-0.46042159346814104,0.501748558432838,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,27,27,667925.5,667925.5,(((((9)+(((x)*(x))+(8)))*((5)*(7)))*(((2)*(3))*(x)))*(x)),((((((((((9)/(0))/(((4)/(7))*(3)))*(x))*((3)-(9)))+((1)-((9)+(0))))/(x))/(x))/(x))-(x)),5*x*x*x,4
29,-0.9098792885075376,0.3289499331999649,-0.24276651996999413,0.6262752378374332,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyAddTreeWithDiv,28,28,584930.5,584930.5,((((((8)+((5)-(3)))*(x))*(((6)+((x)*(7)))*(x)))*(3))*(x)),((((0)+(((4)/(0))/(9)))/((6)+(8)))/(x)),5*x*x*x,4
30,-0.9055802396337652,0.2876862347462233,-0.4008697436538702,0.45668845779270983,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyDivXD,28,29,1861832.5,1861832.5,((((((9)+(1))*((8)+(6)))*(((4)-((6)*(x)))*(x)))*(8))*(x)),(((((5)*(4))/((5)+((1)/(0))))/(2))-(x)),5*x*x*x,4
31,-0.8452969011283722,0.295611753367389,-0.09557611777009914,0.44818825919706684,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,30,30,760787.5,760787.5,((((((5)*((((x)*(7))*(3))*(x)))*((1)*(x)))*(x))/(x))*((6)*(4))),((((((((4)+(6))*((1)*((6)*(9))))-((4)*((8)+(((7)+(9))+(8)))))/(x))/(x))/((0)/(x)))-(x)),5*x*x*x,4
32,-0.8814258080460202,0.2906163808879355,-0.5759823369537558,0.4000415250862302,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyDivXD,31,31,1453787.5,1453787.5,(((((5)*((7)+((2)-(2))))*(((3)*(9))*(x)))*((8)*(5)))*(x)),((((((((3)/(1))+(7))*(((x)*(x))+((1)*((4)*((5)-(3))))))/(0))/(x))/(x))-(x)),5*x*x*x,4
33,-0.8727940571534486,0.2934910779914676,-0.27249376027203515,0.42792090941575844,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyDivXD,32,31,837980,837980,(((((5)*((((7)*(7))-(x))+(x)))*(((9)*(9))+(8)))*(x))*(x)),(((((((6)-(0))-((x)*(x)))/(x))/(0))/(x))-((2)/(6))),5*x*x*x,4
34,-0.8697302562466442,0.26204518208892746,-0.4260179877158672,0.407184489690115,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyDivXD,32,33,241835,241835,((((((9)+(6))*(x))*((x)*((2)+((8)-((7)*(9))))))+((5)*(6)))*(x)),(((((((((5)*(8))*((8)+(((4)/(9))*(9))))+((((5)*(1))-(6))*((x)+((3)*((6)/(0))))))/(x))/(x))-(x))/(x))-(x)),5*x*x*x,4
35,-0.8318823510932256,0.2975139756938766,-0.5717565992162013,0.4688368497898985,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,34,33,1714421.5,1714421.5,(((((5)*(x))*((x)*((((x)*(7))-(4))+((9)*(x)))))*(x))*(x)),((((((((5)+(5))-(((4)-(8))*((4)*(x))))*((7)+(3)))/(x))/(0))/((x)/(1)))-(x)),5*x*x*x,4
36,-0.7276593993515558,0.2759417825123581,-0.22786009331869955,0.37118767410420184,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,34,35,871678.5,871678.5,((((((3)*(9))*((6)+(1)))*(((5)*(x))*((4)*(6))))-((5)-(x)))*(x)),((((((((0)*(1))*((2)-((5)+((7)/(0)))))*((0)+(0)))/(x))/(x))/(x))-(x)),5*x*x*x,4
37,-0.7752209406294781,0.2841142781992284,-0.3764883732677579,0.48728976555008047,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyDivXD,36,36,1370655,1370655,((((((9)*(x))*((8)*((9)*(7))))*(((7)-(6))*(x)))+((6)-(1)))*(x)),((((((((5)*((x)-(1)))*((4)*((2)+((0)-(7)))))*(((9)+(4))-((0)-((0)*(x)))))/(x))/((7)-(6)))/((0)/(x)))-(x)),5*x*x*x,4
38,-0.8569954360610075,0.28961123789627047,-0.17494234828997957,0.44867468772022956,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyDivXD,37,36,773454,773454,((((((x)*(4))*(x))*(((3)-((4)*(8)))*((4)+((9)*(2)))))+(x))*(x)),(((((3)+(7))+((9)/(0)))/(x))-(x)),5*x*x*x,4
39,-0.8394289141725644,0.25883890552405703,-0.3330183074913771,0.45765421894217573,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,38,38,2880457.5,2880457.5,(((((5)*(x))*((((3)*(2))+((1)-((3)*((x)*(x)))))*(x)))*(x))*(x)),((((((1)/(0))-(9))+(8))/(x))-(x)),5*x*x*x,4
40,-0.804901780023577,0.24444023183903302,-0.26589394404142297,0.3543382663487169,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyAddTreeWithDiv,39,39,1010314.8,1010314.8,((((((6)*(4))*(((8)*(8))+((9)*(x))))*((x)*(x)))+((0)-(1)))*(x)),((((((((8)*(6))*((x)*((x)+(((4)+(4))/(0)))))-((1)*((8)+((9)+(6)))))/(x))/(x))+((7)/(1)))-(x)),5*x*x*x,4
41,-0.8180154943118667,0.26121357954336644,-0.15654503462084263,0.41313374069086584,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyDivXD,40,40,13722890.5,13722890.5,(((((((7)*((6)*(5)))*(x))*((1)-(7)))*((x)*((6)*(6))))+(4))*(x)),(((((((((3)/(0))*(4))*((3)+((4)*(2))))-(((7)-(6))-((6)*(8))))/((6)+((x)/(1))))/(x))/(x))-(x)),5*x*x*x,4
