gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-0.19517951254258997,-0.08106639025974874,-0.14074289792429906,0.047021257745458254,NaN,NaN,20912.444903968255,280.96075802469136,0.9377125817593585,0.5808559294348252,0.6014603067830312,0.20277831858460482,100398.7577267574,1492.7454166666666,982863.0200000001,769.8,(((((9)*(3))*((2)*(x)))*(((7)+(5))+((9)/(9))))*(((x)+((7)*(7)))*(((4)*(9))*((6)/((x)+(x)))))),(((((6)*(3))*((8)+(5)))+(((4)-(8))-((4)*(0))))*(((x)*((4)/(5)))*((x)-((x)-((x)+(x)))))),DivXD|AddTreeWithAdd|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithSub|MultXD|AddRandomSubTreeR|DivXD|SkipD|AddTreeWithMult|SkipD|AddRandomSubTreeR|AddXD|SkipD|MutateNonTerminalR,AddToLeafR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|MultXD|MutateNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddTreeWithSub|AddXD|AddRandomSubTreeR|AddTreeWithMult,AddRandomSubTreeR,MutateNonTerminalR,0,0,1,1,1
11,5*x*x*x+2*x+7,10,1,-0.14686445711656593,0.0006483318047830622,0.040016814846673146,0.05011244888153937,-567137244397548100000000000000000000,NaN,55310.93,275.28347638416477,0.9665104605577524,0.22536208210824343,0.7999002191515677,0.023131239658526637,-2835686221987740500000000000000000000,2835686221987740500000000000000000000,1828033.5,1422.7,(((((9)+(7))*((x)*(x)))*(((6)*(7))*((9)+(0))))+(((x)*((x)+(x)))+((x)-((x)*((x)/(x)))))),(((x)+(5))*((9)+(3))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,SubXD,11,11,12,12,1
12,5*x*x*x+2*x+7,10,1,-0.16522770968096673,0.01809787105780154,0.002147202536893905,0.053542584605209866,NaN,NaN,20684.81,268.9836891140716,0.1385351438823612,0.5869124878657083,0.3672255074367213,0.1654595584011069,-2617556512604068200000000000000000000,2617556512604068200000000000000000000,71065,758.6765247858402,(((((9)+(6))*((7)+(9)))*(((x)*(x))+((3)-(0))))*(((x)+((x)+(x)))-((8)*((4)*((x)/(x)))))),(((((8)*((x)*(x)))*((6)+((7)*(x))))-(((0)+((2)*(x)))+((2)+((5)*(x)))))+((((8)-(0))+((x)-((x)*(x))))-(((x)-(x))-((x)/((x)-((x)/(x))))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,12,10,13,13,1
13,5*x*x*x+2*x+7,10,1,-0.17248375357468998,0.02129874520548676,-0.06459311726258492,0.07432334752645234,-486117638055041240000000000000000000,486117638055041240000000000000000000,11314.387999999999,230.81773993291765,0.4321333494114482,0.42644016116737443,0.5227609725266243,0.08113158677591636,-2430588190275206000000000000000000000,2430588190275206000000000000000000000,107807,1053.4,(((((5)*(x))*((x)*(x)))+(((8)+(3))+((0)-(5))))*(((8)*((9)+(x)))+((x)-((x)*((x)/(x)))))),(((x)*(7))*((7)+(8))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,MutateNonTerminalR,11,13,14,14,1
14,5*x*x*x+2*x+7,10,1,-0.15735514395619554,0.030659905001472518,0.016740391212796277,0.10835741380293815,-453709795518038460000000000000000000,453709795518038460000000000000000000,26505.130714285715,168.31077380952382,0.7953706024901813,0.6498425532687212,0.6412221424146645,0.07838428954687894,-2268548977590192500000000000000000000,2268548977590192500000000000000000000,299175,643.0991666666666,(((((8)*(4))*((x)*(x)))*(((x)+(2))*((5)+(5))))*(((7)+((8)*(3)))+(((x)+(x))-((x)*((x)/(x)))))),(((((8)*(x))*((x)*((x)+(2))))+(((5)+((x)+(0)))*((x)+((0)+(8)))))+((((3)-(7))*((0)+((x)/(0))))+(((2)+(x))-((x)/((x)-((x)/(x))))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,SubXD,14,13,15,15,1
15,5*x*x*x+2*x+7,10,1,-0.15200816064644918,0.01745157502141625,0.08587531853635261,0.058683462867523864,-425352933298161060000000000000000000,425352933298161060000000000000000000,33601.06407142857,259.54195209750566,0.6010855789374229,0.38898212103455493,0.5869144793779523,0.0810715413432946,-2126764666490805400000000000000000000,2126764666490805400000000000000000000,153466.5,1122.1954365079364,(((((8)*(8))*((x)*(x)))*(((x)+(7))+((7)*(1))))+(((7)+((x)+(5)))+((0)-((x)*((x)/(x)))))),(((((x)*(7))*((6)-((3)+(5))))+(((7)*((x)+(1)))*((2)-((7)+(x)))))-((((x)*(8))+((3)/(1)))*(((7)+(x))-((x)+((x)-((x)/(x))))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,ReplaceBranchXR,15,15,16,16,1
16,5*x*x*x+2*x+7,10,1,-0.16851907014105053,0.021902777704195294,0.013150052967417796,0.0514700583649797,-480398607019099560000000000000000000,400332172515916300000000000000000000,15424.9181,272.7900908068783,0.3637365149971939,0.25776253221532536,0.41320902308630636,0.03253011293628236,-2001660862579581500000000000000000000,2001660862579581500000000000000000000,96218,1363.1933333333334,(((((5)*(x))*((x)*(x)))+(((8)*(8))*((6)+(2))))*(((7)*((4)+(x)))+((x)-((x)*((x)/(x)))))),(((((x)*(x))+((3)+(x)))*(((x)+(8))*((7)*((8)-(1)))))+(((x)-((x)*(0)))+(((x)-(x))/((x)-((x)/(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,14,14,17,17,1
17,5*x*x*x+2*x+7,10,1,-0.16950853820531106,0.012352059884670679,-0.06595852778132817,0.059501598018422565,-680564693277057700000000000000000000,378091496265032040000000000000000000,8512.148883333333,258.03936507936504,0.18147359109732422,0.48001742349994553,0.39645202610024327,0.10853506540064876,-3780914962650320700000000000000000000,1890457481325160300000000000000000000,74792.94416666667,955,(((((5)*(x))*((x)*(x)))+(((6)+(5))*((4)*(x))))+(((x)+((x)-(4)))-((1)*((7)*((7)/(x)))))),((((x)*(9))*((x)*((5)+(x))))-(((x)/(x))*((x)/((0)+(3))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,ReplaceBranchXR,17,17,18,18,1
18,5*x*x*x+2*x+7,10,1,-0.15064664328725888,0.013221679583678248,0.032256194464975095,0.08757331266021236,-501468721362042640000000000000000000,358191943830030460000000000000000000,21335.004,206.48285396825392,0.7246429286262057,0.474438965030275,0.7376510845767492,0.09763359774746903,-1790959719150152000000000000000000000,1790959719150152000000000000000000000,222329.5,965.2453968253969,(((((x)*(x))+((1)*(x)))*(((x)*(x))+((5)*(0))))*(((x)+((x)+(x)))-((x)*((1)+((9)/(x)))))),(((((4)+(3))+((x)*((x)*(x))))*(((x)+(3))-((7)*((8)*(5)))))+((((4)+(8))*((x)+(8)))+(((x)-(x))/((x)-((x)+(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|MutateNonTerminalR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,DivXD,18,16,19,19,1
19,5*x*x*x+2*x+7,10,1,-0.1554583923428148,0.0167965975267695,0.009889941846606284,0.050834966786453224,-408338815966234600000000000000000000,340282346638528800000000000000000000,40157.412000000004,273.9565,0.8918378762485375,0.3343678536426004,0.6930100041529901,0.052733579645648475,-1701411733192644200000000000000000000,1701411733192644200000000000000000000,566002.2,1222.5,(((((8)*(7))*((4)*(x)))*(((x)*(x))+((9)+(2))))*(((x)+((x)+(8)))+((5)-((x)*((x)/(x)))))),((x)*((8)*(x))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,17,18,20,20,1
20,5*x*x*x+2*x+7,10,1,-0.16087343724667233,0.02765024845150829,-0.0034957278581133067,0.06870157003128789,-324078425370027470000000000000000000,324078425370027470000000000000000000,34439.151999999995,241.1426964805367,0.8841552720515605,0.3885237345817567,0.9935979812526203,0.07748780080210169,-1620392126850137400000000000000000000,1620392126850137400000000000000000000,528466,1123.0373090671455,(((((x)*(4))*((x)*(6)))*(((x)*(x))+((5)+(4))))-(((x)*((x)+(x)))+((x)-((x)*((x)/(x)))))),(((((5)*((x)*(x)))+((4)*((x)+(6))))+(((0)+((9)*(4)))+((3)+((7)*(x)))))*((((2)+(x))-((1)*((5)*(5))))/(((x)+(x))-((x)-((x)-((x)/(x))))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,20,20,21,21,1
