gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
24,5*x*x*x+2*x+7,10,1,-0.16719299347335304,0.009027508636013776,-0.018442348977241882,0.07727946006163909,-272225877310823070000000000000000000,272225877310823070000000000000000000,24985.24,225.38854365079362,0.7177377524603429,0.7186649243166721,0.5323161679241846,0.17175931240334846,-1361129386554115500000000000000000000,1361129386554115500000000000000000000,216890.5,516.7,((((5)*((9)*(2)))*(((7)*(x))*((x)+(8))))+(((2)*((5)-(4)))*((9)+((0)-((x)+(x)))))),(((((5)*(x))*((8)-(5)))+(((2)+(0))+((x)+((1)*(x)))))*(((3)*((x)-(5)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,24,22,25,25,0
25,5*x*x*x+2*x+7,10,1,-0.1477130477803706,0.01742597608061364,0.03398545774383335,0.0561108211515758,-261755651260406800000000000000000000,261755651260406800000000000000000000,249418.142,264.2668658730159,0.9630342024200461,0.4545355548295764,0.8167824028684129,0.0973704284432196,-1308778256302034100000000000000000000,1308778256302034100000000000000000000,1656125.5,1001.8,((((5)+((8)*(8)))*(((8)+(3))+((5)*(x))))*(((6)+(7))*((7)*((3)-((x)+(x)))))),(((((x)*(1))-((3)+((1)*(6))))-(((4)*(x))*((x)+((2)*(3)))))+((((5)+(2))*((x)*(7)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,22,25,26,26,0
26,5*x*x*x+2*x+7,10,1,-0.14180254346631904,0.0069357083993773746,0.13208945900409494,0.05608402042075679,-252060997510021400000000000000000000,252060997510021400000000000000000000,410184.326,264.3160880952381,0.9765638159405865,0.5713274529021017,0.7593095661662078,0.13049223527682347,-1260304987550107000000000000000000000,1260304987550107000000000000000000000,2612200,787.3,(((((2)*(x))*((6)*(8)))*(((5)*(2))*((x)*(x))))+(((2)+((x)+(7)))*((5)+((4)-((x)+(x)))))),(((((9)*(x))*((0)+(6)))+(((3)*(3))+((1)+((6)+(2)))))*(((x)*((x)+(x)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,26,23,27,27,0
27,5*x*x*x+2*x+7,10,1,-0.14071537026715655,0.011038888843958056,0.07593120419147457,0.07833383892596567,-243058819027520620000000000000000000,243058819027520620000000000000000000,220869.354,223.45207142857143,0.9925625442707506,0.5803658934988566,0.8375677485547982,0.1830606638158144,-1215294095137603000000000000000000000,1215294095137603000000000000000000000,8231309.5,770.7,(((((5)*(7))+((5)+(6)))*(((2)*(9))*((5)*(x))))*(((2)*((x)+(7)))*((2)+((7)-((x)+(x)))))),(((((2)*(6))+((9)+(1)))+(((2)+(0))-((5)*((1)*(x)))))*((((8)*(x))-((x)-(x)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,26,27,28,28,0
28,5*x*x*x+2*x+7,10,1,-0.14122022905718773,0.00569785105944732,0.03447349026821407,0.07922761175325697,-234677480440364740000000000000000000,234677480440364740000000000000000000,191462.854,221.81056825396826,0.965604946460408,0.2205167761685239,0.8872543996542053,0.03995783824520989,-1173387402201823600000000000000000000,1173387402201823600000000000000000000,1779907.1,1431.598888888889,(((((x)*(2))-((1)*(x)))*(((x)*(2))*((8)-(6))))*(((7)+((7)*(9)))+((4)*((x)-((x)+(x)))))),(((((x)+(2))+((7)+(2)))+(((8)+(9))*((x)*(x))))+(((8)-((x)-(9)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,26,23,29,29,0
29,5*x*x*x+2*x+7,10,1,-0.1411707171787569,-0.004700254302228318,0.0753814621460938,0.0904387602004394,-226854897759019230000000000000000000,226854897759019230000000000000000000,109459.978,201.220173015873,0.9411409540511022,0.7490221319933832,0.7246298559553594,0.4038473512515907,-1134274488795096300000000000000000000,1134274488795096300000000000000000000,1040112,460.94595238095246,(((((5)*(5))-((2)*(9)))*(((7)*(4))+((x)*(5))))*(((x)+((2)-(6)))+((4)*((x)-((x)+(x)))))),(((((0)+((6)*(4)))+((2)-((6)-(x))))*(((x)*((5)-(x)))+((x)-((3)*(1)))))*((((5)-(4))+((2)*((9)-(x))))+(((x)+((6)+(0)))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,29,29,30,30,0
30,5*x*x*x+2*x+7,10,1,-0.15222188105453585,-0.0032116516361151985,0.040753042694564846,0.06425697285702187,-219536997831308950000000000000000000,219536997831308950000000000000000000,257783.47,249.30564365079366,0.9910476802422069,0.19185460020154563,0.9017142740759267,0.12095451371205157,-1097684989156544700000000000000000000,1097684989156544700000000000000000000,6838451,1484.2398412698412,((((5)*((5)*(4)))*(((x)*(9))*((3)*(x))))*(((x)+((6)+(3)))+((4)*((x)-((x)+(x)))))),(((((2)+(8))+((5)*((0)+(x))))+(((9)*(7))+((x)-((6)+(9)))))+((((6)+(7))+((x)-(9)))-(((8)-(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,30,30,31,31,0
31,5*x*x*x+2*x+7,10,1,-0.16408374396329733,-0.00020473189843404015,0.0438556671948608,0.06205231630566489,-212676466649080530000000000000000000,212676466649080530000000000000000000,32482.224,253.35471587301583,0.7011216481759487,0.28645322879233365,0.539224250975174,0.1267554913087726,-1063382333245402700000000000000000000,1063382333245402700000000000000000000,204832.5,1310.5,((((3)-((5)*(7)))*(((x)*(7))+((1)*(6))))*(((x)+((2)*(3)))-((5)*((x)-((x)+(x)))))),(((((6)+(9))+((1)-(x)))*(((9)+(x))*((x)*((1)*(0)))))+(((x)-((x)+(x)))+(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,SubXD,31,30,32,32,0
32,5*x*x*x+2*x+7,10,1,-0.1373892777097407,0.014825005300147772,0.09610958198589209,0.07760854598473023,-206231725235472060000000000000000000,206231725235472060000000000000000000,1537224.2859999998,224.78414444444445,0.999146476949768,0.4593226960100531,0.9013096613809244,0.17495039980260743,-1031158626177360200000000000000000000,1031158626177360200000000000000000000,71726241,993.0079365079364,(((((x)+(0))*((x)*(x)))*(((x)*(x))*((4)*(7))))*(((5)+((8)-(x)))+((4)*((x)-((x)+(x)))))),(((((5)*((1)-(5)))*((4)+((9)+(8))))+(((4)+((x)+(x)))+((8)*((x)*(3)))))+((((5)*(3))-((5)+((7)*(x))))-(((x)*((x)-(x)))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,32,31,33,33,0
33,5*x*x*x+2*x+7,10,1,-0.16459028018270203,0.012697304042372619,-0.02300060903084511,0.08774762890019341,-200166086257958170000000000000000000,200166086257958170000000000000000000,23476.278,206.16270476190476,0.44549863910765314,0.3960034846999891,0.5623320709150944,0.07153892571070981,-1000830431289790800000000000000000000,1000830431289790800000000000000000000,110405.5,1109.3,((((7)*((x)*(x)))+(((6)*(6))*((5)-(2))))*(((7)-((2)+(8)))-((4)*((x)-((x)+(x)))))),(((((5)+(1))+((x)+(2)))+(((3)*(x))*((5)-(3))))+(((1)*((x)-(0)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,32,33,34,34,0
