gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
34,5*x*x*x+2*x+7,10,1,-0.15832371144133967,0.003967917747981797,0.016089708332247724,0.0761114654580842,-194447055222016560000000000000000000,194447055222016560000000000000000000,160890.44,227.53368253968253,0.7258280132831446,0.5533594685832517,0.6177293346783939,0.1556933169593514,-972235276110082500000000000000000000,972235276110082500000000000000000000,223290.5,820.3,((((0)-((6)*(4)))*(((x)*(1))*((3)*(6))))+(((5)*((1)+(5)))*((5)*((x)-((x)+(x)))))),(((((4)+(9))-((0)+((1)-(x))))+(((x)*((x)*(3)))*((3)*((3)+(5)))))-((((2)*(4))+((1)-(x)))+(((x)-(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,32,31,35,35,0
35,5*x*x*x+2*x+7,10,1,-0.1471171728980155,0.011830059563817214,0.023689170513153394,0.08263748230425787,-189045748132516020000000000000000000,189045748132516020000000000000000000,89174.802,215.54800000000003,0.9605233334375813,0.5870086028530981,0.7601731066245982,0.07238632254586688,-945228740662580200000000000000000000,945228740662580200000000000000000000,1550789.5,758.5,((((5)*((x)*(5)))+(((2)*(1))*((8)*(8))))*(((2)*(9))-((0)*((x)-((x)+(x)))))),(((((4)-(1))*((x)*(9)))+(((8)+(1))*((6)*((7)+(x)))))*(((0)+((x)-(7)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,35,35,36,36,0
36,5*x*x*x+2*x+7,10,1,-0.12339918026648869,0.013965885156228755,0.07610772595834346,0.058726199118799574,-183936403588393970000000000000000000,183936403588393970000000000000000000,168510.97600000002,259.46346269841274,0.9143758619932466,0.17706752816194174,0.8598433218335921,0.006690070766783948,-919682017941970000000000000000000000,919682017941970000000000000000000000,714985.3,1511.3977777777777,(((((7)+(9))*((7)+(x)))*(((8)*(x))*((x)+(x))))+(((6)*((7)*(0)))+((7)*((x)-((x)+(x)))))),(((((4)+(9))-((4)+(0)))*(((5)*(8))-((7)+(x))))*(((x)*((x)-(8)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,32,36,37,37,0
37,5*x*x*x+2*x+7,10,1,-0.15109329629883209,-0.0020137232342799225,0.0734186454188517,0.06837308285323639,-179095971915015230000000000000000000,179095971915015230000000000000000000,4704800.436,241.74599603174607,0.9016023768442523,0.21767119712235686,0.739336588886926,0.09411173239554117,-895479859575076000000000000000000000,895479859575076000000000000000000000,622169.5,1436.8250793650793,((((5)*((9)+(6)))*(((5)-(8))*((2)*(1))))*(((x)*((6)*(3)))-((9)*((x)-((x)+(x)))))),(((((6)-(4))+((x)*(3)))+(((1)+(7))-((x)-((6)*(x)))))+((((8)-(2))-((x)+(x)))-(((x)-(2))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,36,37,38,38,0
38,5*x*x*x+2*x+7,10,1,-0.1473810650057135,-0.004145435054518384,0.03999946071423516,0.07279905415286009,-174503767506937900000000000000000000,174503767506937900000000000000000000,102620.314,233.61725714285717,0.9679420128509484,0.1820259658547799,0.7175285566437667,0.13467467953811596,-872518837534689400000000000000000000,872518837534689400000000000000000000,1909664.5,1502.2911111111111,((((x)+((1)+(4)))*(((5)*(x))*((x)*(x))))*(((1)*(4))+((7)*((x)-((x)+(x)))))),(((((0)+(7))*((4)+(9)))+(((8)+(x))*((4)+((3)-(x)))))-(((x)+((1)+(7)))-(((x)+(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,37,38,39,39,0
39,5*x*x*x+2*x+7,10,1,-0.15399838046169081,0.00021156074705520555,0.03538508651416159,0.1005375568899744,-170141173319264400000000000000000000,170141173319264400000000000000000000,206144.246,182.672723015873,0.9920381942983614,0.6274550195409392,0.7902536115190193,0.1855933875651237,-850705866596322100000000000000000000,850705866596322100000000000000000000,7689210.5,684.2161111111111,(((((5)+(8))*((2)*(8)))*(((x)*(2))*((7)*(5))))*(((4)-((9)+(3)))*((5)+((x)-((x)+(x)))))),(((((0)+(6))*((4)+(2)))*(((x)-(5))*((7)*((1)*(1)))))+(((x)*((x)+(x)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,38,38,40,40,0
40,5*x*x*x+2*x+7,10,1,-0.14577769150563655,0.016449998652585767,0.05376360225680912,0.06538221506614188,-165991388604160400000000000000000000,165991388604160400000000000000000000,63460.054000000004,247.23902380952381,0.9595218660935461,0.3694855832637603,0.809249722229274,0.06406247633166508,-829956943020802000000000000000000000,829956943020802000000000000000000000,1512421.5,1158.0027777777777,(((((5)*(x))+((3)+(0)))*(((x)*(x))*((3)-(5))))*(((x)+((x)*(8)))-((6)*((5)-((x)+(x)))))),(((((5)+(x))*((x)-((1)+(4))))-(((7)+((x)+(2)))*((x)+((5)*(0)))))+((((2)*(x))*((7)-(7)))+(((x)+(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,40,40,41,41,0
41,5*x*x*x+2*x+7,10,1,-0.15884490262475986,0.014143206273389297,0.009664805238949047,0.05285712902896829,-162039212685013740000000000000000000,162039212685013740000000000000000000,33346.056000000004,270.24259682539684,0.8785600579230041,0.34257204478945735,0.7445805991128968,0.05151193962934543,-810196063425068700000000000000000000,810196063425068700000000000000000000,504117.5,1207.4321825396826,(((((5)+(4))*((2)*(0)))+(((4)*(8))+((9)*(3))))+(((7)+((3)*(4)))+((4)*((x)-((x)+(x)))))),(((((3)+(1))*((0)+((x)-(2))))-(((0)*(x))*((x)+((7)+(2)))))-((((4)+(8))-((x)*(x)))-(((7)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,41,40,42,42,0
42,5*x*x*x+2*x+7,10,1,-0.13663117745120157,0.011781540836439057,0.060807273755704244,0.09098331673952385,-158270858901641340000000000000000000,158270858901641340000000000000000000,153274.48,200.2200404761905,0.9779861339972733,0.6534530032202361,0.9109963495133907,0.15430123031101298,-791354294508206700000000000000000000,791354294508206700000000000000000000,2780974.5,636.4682142857143,(((((9)+(4))+((5)*(x)))*(((x)*(x))*((7)*(x))))+(((6)+((0)+(7)))+((7)*((x)-((x)+(x)))))),(((((5)-(x))*((8)+((7)*(x))))+(((x)*((4)+(8)))+((1)+((x)*(1)))))+((((x)+(2))-((6)-(x)))*(((8)-(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,38,37,43,43,0
43,5*x*x*x+2*x+7,10,1,-0.15220499977249957,-0.002817072212965464,0.05008027192504834,0.08213949948922178,-154673793926604000000000000000000000,154673793926604000000000000000000000,54726.59,216.46259523809525,0.9209686695381469,0.639298440527614,0.7777562641866151,0.05693883218814252,-773368969633020100000000000000000000,773368969633020100000000000000000000,774629.5,662.4644841269842,(((((5)*(x))*((6)-(6)))*(((7)-(4))+((2)*(9))))+(((3)*((2)*(1)))-((5)*((x)-((x)+(x)))))),(((((x)*(0))+((4)*((x)*(x))))+(((x)+((x)*(1)))+((x)*((x)-(6)))))-((((5)+(3))*((x)+(0)))*(((3)-(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,38,43,44,44,0
44,5*x*x*x+2*x+7,10,1,-0.13459199906673744,0.0005137190151910104,0.058982939558572964,0.06288590546022758,-151236598506012840000000000000000000,151236598506012840000000000000000000,705358.6359999999,251.82374603174603,0.9340422907213707,0.2999171605917767,0.8572697008145214,0.06854011861710883,-756182992530064100000000000000000000,756182992530064100000000000000000000,928170.5,1285.7721428571429,(((((9)+(5))-((9)*(4)))-(((8)*(2))*((0)+(3))))*(((x)*((9)*(x)))+((7)*((x)-((x)+(x)))))),(((((x)+(x))*((9)+(3)))+(((x)*(x))*((0)+((x)*(6)))))-(((3)*((x)+(6)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,44,44,45,45,0
45,5*x*x*x+2*x+7,10,1,-0.16082821903480515,-0.0009917982310764307,0.01781449649443748,0.06246700727189129,-147948846364577770000000000000000000,147948846364577770000000000000000000,77323.738,252.59309444444446,0.9733710772143067,0.3694870957203528,0.7954444618661313,0.026519462139986596,-739744231822888800000000000000000000,739744231822888800000000000000000000,2299004,1158,((((5)*((x)*(x)))*(((4)+(9))*((9)*(9))))+(((4)+(6))-((2)*((x)-((x)+(x)))))),(((((6)+(0))*((x)*((x)+(5))))*(((5)+(5))-((3)*((0)-(8)))))+((((4)+(3))+((1)*(x)))+(((2)*(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,45,45,46,46,0
46,5*x*x*x+2*x+7,10,1,-0.13025910679185762,-0.002637064525427552,0.08851156817226485,0.07505434429389019,-144800998569586760000000000000000000,144800998569586760000000000000000000,171960.35600000003,229.47519126984125,0.9653086945353487,0.43814657519329187,0.9549161505607469,0.08808289764469703,-724004992847933800000000000000000000,724004992847933800000000000000000000,1764707.3,1031.9,((((8)+((4)*(x)))*(((x)*(x))*((0)-(2))))-(((4)*(7))*((2)*((x)-((x)+(x)))))),(((((x)*(1))*((0)*((1)+(2))))+(((8)*(x))+((2)-((x)*(5)))))+((((2)+(4))-((3)*(7)))-(((x)+(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,46,45,47,47,0
47,5*x*x*x+2*x+7,10,1,-0.14764410735948535,0.01288815168739042,0.07415298206460609,0.06673258859970717,-141784311099387030000000000000000000,141784311099387030000000000000000000,153157.89800000002,244.75892777777773,0.982252849697494,0.46389128721291417,0.7124123133569153,0.15144493122579786,-708921555496935100000000000000000000,708921555496935100000000000000000000,3449567.9,984.6172619047618,((((2)*((x)*(8)))*(((3)*(x))*((x)*(6))))*(((0)+(4))-((x)*((x)-((x)+(x)))))),(((((8)+(x))+((5)*((x)*(x))))+(((9)*((1)*(x)))-((3)+((2)+(6)))))*((((5)+(5))*((4)-(x)))-(((4)-(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,47,46,48,48,0
48,5*x*x*x+2*x+7,10,1,-0.14571761213050563,0.009272775523114814,0.09856913125569221,0.06577267734201742,-138890753730011750000000000000000000,138890753730011750000000000000000000,166214.146,246.5219007936508,0.7834441993855645,0.30427925825671653,0.6314083363113064,0.04605104771957555,-694453768650058800000000000000000000,694453768650058800000000000000000000,282698.5,1277.7607142857144,((((5)+((x)*(9)))+(((0)*(5))+((6)*(x))))+(((2)*((2)+(6)))*((4)+((1)-((x)+(x)))))),(((((7)+(8))*((6)+((2)-(6))))+(((7)+(2))*((8)+((6)+(8)))))*((((5)*(9))*((x)+(x)))*(((2)+(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,47,46,49,49,0
49,5*x*x*x+2*x+7,10,1,-0.12824843178629694,0.021995340382652405,0.16367335709348207,0.059020973019502904,-138890753730011750000000000000000000,138890753730011750000000000000000000,181153.33599999998,258.92208095238095,0.9817092417775617,0.30427925825671653,0.7031964223569461,0.04605104771957555,-694453768650058800000000000000000000,694453768650058800000000000000000000,3347045.5,1277.7607142857144,((((5)*((x)*(x)))+(((x)*(8))+((x)-(1))))*(((9)*(6))+((2)*((x)-((x)+(x)))))),(((((7)+(8))*((6)+((2)-(6))))+(((7)+(2))*((8)+((6)+(8)))))*((((5)*(9))*((x)+(x)))*(((2)+(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,49,49,49,49,0
