gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03939447212782642,-0.03497149418319927,-0.03907666889949027,-0.019782773493660956,296.50519999999995,710.9685000000001,452.12200000000007,509.9644,-0.9451852698993596,0.020173833485818925,0.021177071201148936,0.013574562076865226,11286.369999999999,6108.65,26840.8,5997.32,((((x)*(x))*((2)+(8)))*((9)*((4)-(9)))),(((9)-((0)-(8)))*((5)*(5))),AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub,AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,0,0,1,1,2
1,x*x*x*x,25,-10,-0.03952444227061822,-0.004064658832270825,-0.03949493121814142,0.0006867076199189659,232.8635,412.2847,247.31400000000002,240.62880000000004,-0.9874323617827735,0.005855443732845403,0.0003262225277315856,0.002598066792028809,6062.32,6108.610000000001,6153.92,6084.96,(((6)-((0)*(x)))+((x)*((6)-(x)))),((((6)-(0))*((x)+(x)))*((6)+((6)+(5)))),AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub,AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddTreeWithDiv,AddRandomSubTreeR,AddTreeWithSub,1,1,2,2,2
2,x*x*x*x,25,-10,-0.03952740716082865,-0.0028396196848421303,-0.03949801741602405,0.0017348059077244822,231.4117,323.941,245.8028,234.21359999999996,-0.9873640700562019,0.1500326754672593,0.00012352661916595876,0.12903259181563037,6136.38,6085.469999999999,6187.36,5202.48,(((2)+((4)*(x)))*((6)-((6)-(5)))),((((3)-((x)*(x)))*((5)-((1)*(4))))-(((2)-(3))-((8)-((4)*(1))))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub,AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR,ReplaceBranchR,AddTreeWithSub,2,1,3,3,2
3,x*x*x*x,25,-10,-0.03939167388249902,-0.00009050156240739284,-0.03905962047444778,0.00038452489870605247,297.8754,245.4276,460.47,242.4784,-0.944088517840805,0.01756633119853621,0.0217047523242825,0.008254106584755647,11435.8,6083.34,27377.84,6013.28,((((x)*(4))*((6)-(1)))+((9)*((x)*(x)))),((((9)-(6))-((3)-((7)*(5))))*((x)*((9)*((1)-(7))))),AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,3,1,4,4,2
4,x*x*x*x,25,-10,-0.03938783124754934,0.00017957103316771869,-0.03903567997647366,0.0012358515226767737,299.75699999999995,243.746,472.1928,237.26760000000002,-0.9434343549862764,0.048019866684093596,0.022018194647424126,0.023891541311964862,11525.939999999999,6046.030000000001,27698.16,5826.88,(((0)-((7)*(6)))*((x)*((x)*(x)))),((((8)+(2))-((4)-((8)-(5))))-((7)*((2)+((7)*(6))))),AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,3,1,5,5,2
5,x*x*x*x,25,-10,-0.03948066817246112,-0.00015108111872342975,-0.039420918834139326,0.003939544945162198,254.29809999999998,246.1351,283.5552,220.71920000000003,-0.9807415697294471,0.1968500849562149,0.003415295964153136,0.09953805064507253,6921.91,5829.58,9430.16,4915.92,((((x)*(0))+((9)*(4)))-((7)*((5)*(6)))),((((6)-(9))+((5)*(x)))*((6)-((0)-((x)*(2))))),AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|MultXD,SkipD|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,3,5,6,6,2
6,x*x*x*x,25,-10,-0.03939992137465691,0.00021980642953445771,-0.03906897382695072,0.0007591818062998321,293.8369,243.4875,455.89,240.18519999999998,-0.9503207097111489,0.04300745000653506,0.018590993398334924,0.023331175614498156,10671.15,6030.99,24326.16,5857.56,(((x)*((2)-(6)))*((x)*((9)*(x)))),((((7)+(2))+((x)-((4)-(0))))+(((7)*(7))-((8)*((6)*(x))))),AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,3,6,7,7,2
7,x*x*x*x,25,-10,-0.03899764287348059,0.0005769688788887223,-0.037484631093974645,0.0064043915827996355,490.81820000000005,241.86439999999996,1231.6856,205.632,-0.7875000000000001,0.2997516664488303,0.10003600770752923,0.19631807925190944,30577.600000000002,5967.099999999999,104053.6,4286.08,(((x)*((3)*(6)))*((x)*((x)*(x)))),((((4)-(x))*((3)*((6)*(x))))*((9)-((6)+((5)-(x))))),AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithDiv,3,6,8,8,2
8,x*x*x*x,25,-10,-0.03933730006698471,-0.0003109072609028074,-0.0389680090837799,0.008033263625669848,324.5003,249.2207,505.32880000000006,195.662,-0.9624999999999999,0.39797412102993074,0.01228292820830304,0.20244006009916818,11048.8,5543.38,18362.4,3684.88,((((x)*(x))*((3)-(5)))+((0)*((x)*(x)))),((((x)-((8)-(1)))*((7)*((9)*(x))))*(((6)-(3))*((9)+((x)-(9))))),AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,8,6,9,9,2
9,x*x*x*x,25,-10,-0.038125517089269374,-0.00040850372848406745,-0.03400615605803163,0.0023770095412364396,917.8667999999999,248.1263,2934.9696000000004,230.28279999999998,-0.575,0.23165599268069534,0.2062546292837151,0.1533843575295931,56614,6010.85,208107.2,4702.88,((((x)*(7))*((7)-(2)))*((x)*((x)*(x)))),((((8)-(5))*((x)*((0)+(0))))-((3)*((x)*((2)+(0))))),MutateTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR,MutateTerminalR,AddTreeWithSub,9,6,10,10,2
10,x*x*x*x,25,-10,-0.03918653770748922,-0.0027815958383816653,-0.03779642203633512,0.002785779636648804,398.3232,355.2856,1079.0128,227.78080000000003,-0.8625,0.04432100379035416,0.06587535085092733,0.032063593105533764,18978.78,6174.17,67328.8,5849.52,((((x)*(x))*((3)*(3)))+((1)*((x)*(x)))),((((5)-(5))+((x)+(7)))*((x)*((8)*(5)))),MutateTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,9,8,11,11,2
