gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038399836622663705,0.000047021064374836715,-0.03839947719252386,0.00009724219056332577,244.857,244.54420000000002,244.912,244.23680000000002,-0.9599869298130964,0.0018951771010326042,0.000007546075927188628,0.0005937951479075142,6121.8,6111.6,6122.8,6109.2,((x)*((0)-(x))),((x)*(6)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddToLeafR,ReplaceBranchXR,AddTreeWithAdd,10,11,12,12,2
12,x*x*x*x,25,-10,-0.03839986929813097,0.00006319975371067807,-0.03839960789439289,0.00022715984838583332,244.852,244.44519999999997,244.892,243.4416,-0.9599869298130964,0.009149130832570905,0.000007546075927188628,0.004144950960998334,6121.8,6102.77,6122.8,6064.8,((x)*((0)-(x))),((x)*(x)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchXR,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,FellTreeD,12,12,13,13,2
13,x*x*x*x,25,-10,-0.03840008626323357,0.000050434850548898834,-0.038399281139720305,0.00010639132139589578,244.8188,244.5233,244.942,244.1808,-0.9599869298130964,0.0022088615867207613,0.000006535093451831564,0.0004390039520290255,6121.3,6110.4,6122.8,6107.28,((x)*((0)-(x))),((x)*(7)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,AddRandomSubTreeR,13,13,14,14,2
14,x*x*x*x,25,-10,-0.038399944451705664,0.000030487643238851833,-0.03839915043785126,0.00021147562410142546,244.84050000000002,244.64620000000002,244.96200000000002,243.53760000000003,-0.9599869298130964,0.009149130832570905,0.000006535093451831564,0.00399850001260757,6121.3,6100.98,6122.8,6064.8,((x)*((0)-(x))),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,AddRandomSubTreeR,13,13,15,15,2
15,x*x*x*x,25,-10,-0.038399619657561106,0.00001905899629508555,-0.03839901973598223,0.00006241014246503992,244.8902,244.71540000000002,244.982,244.45,-0.9599411841589336,0.0022088615867207613,0.00003437997492565651,0.00040582088447179673,6124.620000000001,6110.8099999999995,6129.8,6107.28,((x)-((9)-(x))),((x)*(7)),FellTreeD|SkipD|ReplaceBranchXR|MutateTerminalR|DeleteNonTerminalR,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,FellTreeD,14,13,16,16,2
16,x*x*x*x,25,-10,-0.038399916350803816,0.00003232543718352795,-0.03839947719252386,0.00014207293164292403,244.8448,244.63420000000002,244.912,243.9624,-0.9599869298130964,0.009149130832570905,0.000006535093451831564,0.004310764811298242,6121.3,6103.88,6122.8,6064.8,((x)*((0)-(x))),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,AddXD,15,16,17,17,2
17,x*x*x*x,25,-10,-0.03839993464906548,0.000035588383727820236,-0.03839973859626193,0.00020369886289373985,244.842,244.6142,244.872,243.58520000000001,-0.9599869298130964,0.009149130832570905,0.000006535093451831564,0.004847178777943733,6121.3,6108.6900000000005,6122.8,6064.8,((x)*((0)-(x))),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,DeleteMaliciousR,15,13,18,18,2
18,x*x*x*x,25,-10,-0.03839977127172919,0.00002783382640743216,-0.03839947719252386,0.00020742386616128615,244.86700000000002,244.66170000000002,244.912,243.56240000000003,-0.9599869298130964,0.009149130832570905,0.000007546075927188628,0.004205627136760719,6121.8,6103.25,6122.8,6064.8,((x)*((0)-(x))),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,AddTreeWithAdd,15,13,19,19,2
19,x*x*x*x,25,-10,-0.03839977127172919,0.000019823937667550518,-0.03839960789439289,0.00008103515880277296,244.86700000000002,244.7107,244.892,244.33599999999998,-0.9599869298130964,0.0025225460724089188,0.000006535093451831564,0.000497383153434182,6122.3,6114.88,6122.8,6105.36,((x)*((0)-(x))),((x)*(8)),FellTreeD|SkipD|ReplaceBranchXR|ReplaceBranchR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchR,ReplaceBranchXR,18,13,20,20,2
20,x*x*x*x,25,-10,-0.03839999673245328,0.000013984161082461918,-0.0383992811397203,0.00007116716769050012,244.8325,244.74650000000003,244.942,244.3964,-0.9599869298130964,0.0025225460724089188,0.000006535093451831564,0.0015222754865845416,6122.3,6115.52,6122.8,6105.36,((x)*((0)-(x))),((x)*(8)),FellTreeD|SkipD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteTerminalR,FellTreeD,20,13,21,21,2
