gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
87,x*x*x*x,25,-10,0.009334462529578178,0.0013437132400993346,0.037205963309891336,0.0053095673768134895,77460.455,236.60739999999998,263564.32320000004,212.3332,0.9903586579251832,0.2594954907855183,0.9368871077522894,0.12974774539275916,4581418.800000001,5723.719999999999,15871234.4,4532.48,((((x)*(x))*((3)-((7)*(8))))*((9)*((9)*((x)*(x))))),((((0)+(x))*((x)*(7)))*((2)-((9)*(x)))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,87,85,88,88,1
88,x*x*x*x,25,-10,0.00371538594097753,-0.005590180929026772,0.03539019141262138,0.0022380081035158817,67767.238,572.9338,235748.53439999997,231.1336,0.991179714103304,0.04570644360214354,0.8035859546636881,0.002411449483727653,4817570.54,6113.42,17348644,5841.04,((((x)*(8))*((6)-((x)*(8))))*((9)*((x)*((x)*(x))))),(((7)*((7)+(6)))-((0)*((x)+(8)))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|ReplaceBranchR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,88,85,89,89,1
89,x*x*x*x,25,-10,-0.010761539136418445,-0.00023402481411418562,0.029175965180925214,0.00013893608678604096,35234.2181,246.42510000000001,112063.79359999999,243.9816,0.9697040924144369,0.013240099333420461,1.1020478223119023,0.006375227062774818,1792943.66,6098.1900000000005,5050847.2,6039.76,((((x)*(x))*((x)*((x)*(4))))-((0)-((2)*((x)*(x))))),(((x)+((9)*(8)))*((2)+(0))),MutateNonTerminalR|AddTreeWithMult|MultXD|FellTreeD|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR,ReplaceBranchXR,89,85,90,90,1
90,x*x*x*x,25,-10,-0.01858296657538171,-0.0065233970311904576,-0.0004793081910238428,0.000015161416808259942,24122.0471,2844.4329000000002,82144.4412,244.73919999999998,0.9773261540427488,0.0015161416808259943,1.0815914839718634,0.0011358619086276232,1936608.7999999998,6119.05,6748744.8,6111.52,((((x)*(x))*((x)*((x)*(x))))*((2)-((4)-((6)*(x))))),((5)+(7)),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,AddRandomSubTreeR,90,85,91,91,1
91,x*x*x*x,25,-10,-0.022655718517709998,-0.002533245869383664,0.00007520928702947627,0.00003058423735459458,29815.421799999996,478.52410000000003,112113.07359999999,244.64480000000003,0.9817341337877892,0.0022088615867207613,0.9177481457004956,0.0011698369737831581,2128775.54,6116.799999999999,8377374.4,6107.28,((((x)*(x))*((9)*((8)*(4))))-((x)*((3)*((8)*(x))))),((2)*((9)+(0))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,90,91,92,92,1
92,x*x*x*x,25,-10,-0.015126535881094898,-0.00023899945241399577,0.008890220735518851,0.0003278002875441124,41158.9826,246.5428,147806.5016,242.8256,0.9886868780211588,0.015684224284407265,0.98797853183499,0.006069498865788577,3682689.74,6102.6900000000005,13525886.16,6024.8,((((1)-(5))*((8)*((6)*(x))))*((x)*((x)*((x)*(x))))),((((x)*(x))*((x)-((0)+(x))))+((x)*((x)*((7)-(9))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,92,91,93,93,1
93,x*x*x*x,25,-10,-0.01601867818892353,0.0009937963784817495,-0.0021013496223790586,0.009924846425303882,55634.6608,253.7945,132111.40560000003,184.084,0.9879021618050993,0.4734152398379297,0.33023686862402796,0.23605194562753742,5389151.74,5368.1,12648540.8,3223.12,((((x)*(x))*((x)*((5)*(4))))-((7)*((x)*((x)*(x))))),((((x)*(9))*((4)+(8)))*((4)+((x)-(6)))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|ReplaceBranchR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,92,92,94,94,1
94,x*x*x*x,25,-10,-0.001933165657095368,-0.00015359886587814223,0.027234747414443986,0.0009790877009541261,54213.13619999999,246.46800000000002,148180.9776,238.8392,0.9742301271538272,0.025800548947849965,0.08550549397463242,0.012431811837778457,3009061.7199999997,6058.23,5937941.6,5962.88,((((x)*(8))*((3)*((x)*(x))))-((7)*((7)*((x)*(x))))),((((x)*(2))-((5)*((3)*(4))))-((1)*((8)*((3)+(0))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,93,94,95,95,1
95,x*x*x*x,25,-10,0.004644676898424859,-0.00000990084840126984,0.03689277950391956,0.004591687361129266,104414.1208,248.68760000000003,345950.7432,216.7272,0.9932926943725535,0.45160109789569997,0.9416914989146242,0.22544129573650268,6879867.82,5426.45,22813929.84,3356.64,((((x)*(x))*((x)*(6)))*((6)*((x)*((9)*(x))))),(((x)*((x)*(9)))*((6)+((6)+(0)))),MultXD|AddTreeWithMult|MultXD|MutateTerminalR|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,MutateNonTerminalR,95,95,96,96,1
96,x*x*x*x,25,-10,0.013296904370342326,-0.004418365975530295,0.03844963973383238,0.0015129394850346373,124084.09819999998,412.8754,420264.716,235.5716,0.9949557760471633,0.14862109528166256,0.9331962846706021,0.07419854880681236,8221010.06,5892.35,30335687.2,5211.12,((((x)*(x))*((4)*((9)*(x))))-((0)*((x)*((x)*(x))))),((((x)-(5))*((x)*(8)))*((3)+((1)*(0)))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR,MultXD,MutateNonTerminalR,95,96,97,97,1
97,x*x*x*x,25,-10,-0.019317128548724104,-0.0006437969245977589,0.01891483695692455,0.0007264409881061305,36245.7816,251.0769,132503.3536,240.3856,0.9805388013568213,0.06927199058946543,0.8359837954987877,0.0350328602485308,2088767.92,6018.3,7862825.04,5696.8,((((x)*(x))*((1)-((x)*(x))))*((x)-((3)*((x)*(x))))),((((x)*(0))+((9)*(2)))*((2)*((6)*((x)+(2))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,MutateNonTerminalR,95,97,98,98,1
98,x*x*x*x,25,-10,-0.006387724603771199,-0.0010299629759583885,0.026352194475978138,0.00008953078029015992,41907.8484,254.4883,116106.2408,244.284,0.969097651421508,0.0036727225199321123,0.9068319278660785,0.00173436258435145,2200128.02,6113.62,4951727.2,6098.32,((((x)*(x))*((x)*((6)*(5))))*((9)*((5)-((2)*(x))))),(((x)*((4)+(8)))*((0)*((1)+(2)))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddToLeafR|MutateNonTerminalR,MultXD,ReplaceBranchXR,97,97,99,99,1
99,x*x*x*x,25,-10,0.013223930320737312,-0.00007922541782828002,0.03876390605686032,0.000045745654162854524,88005.1208,245.322,198069.08800000002,244.55200000000002,0.969097651421508,0.001143641354071363,0.9068319278660785,0.004754363790013575,2200128.02,6133.05,4951727.2,6113.8,((((x)*(x))*((x)*((6)*(5))))*((9)*((5)-((2)*(x))))),((6)+(3)),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,97,98,99,99,1
