specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x*x*x,25,-10,ANTAGONIST-FBz,PROTAGONIST-0c2c2c2c2c2c2c1c1c2c1c2c2c2,0.9742301271538272,0,5937941.6,6120.8,0.08550549397463242,0.28044416081739204,3009061.7199999997,5247.030000000001,5937941.6,2672.32,((((x)*(8))*((3)*((x)*(x))))-((7)*((7)*((x)*(x))))),((((9)-(5))+((2)*(x)))*((9)*((6)*((x)+(0))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,0.9575551782682513,0,0.9068319278660785,0.004754363790013575,3605151.2,6120.8,4951727.2,6113.8,((((x)*(x))*((x)*((6)*(5))))*((9)*((5)-((2)*(x))))),((6)+(3)),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,0,1
x*x*x*x,25,-10,ANTAGONIST-FBz,PROTAGONIST-0c2c2c2c2c2c2c1c1c2c1c2c2c2,0.9644039375842237,0.5634034766697164,4298790.08,2672.32,0.08550549397463242,0.28044416081739204,3009061.7199999997,5247.030000000001,5937941.6,2672.32,((((x)*(8))*((3)*((x)*(x))))-((7)*((7)*((x)*(x))))),((((9)-(5))+((2)*(x)))*((9)*((6)*((x)+(0))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,MultXD,MutateTerminalR,0,0,0.3557402023839718,-0.009066183136899365,0.9068319278660785,0.004754363790013575,237512.88,6176.8,4951727.2,6113.8,((((x)*(x))*((x)*((6)*(5))))*((9)*((5)-((2)*(x))))),((6)+(3)),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,1,1
x*x*x*x,25,-10,ANTAGONIST-FBz,PROTAGONIST-0c2c2c2c2c2c2c1c1c2c1c2c2c2,0.8520710059171598,0.0016403084564109206,1034415.2,6110.76,0.08550549397463242,0.28044416081739204,3009061.7199999997,5247.030000000001,5937941.6,2672.32,((((x)*(8))*((3)*((x)*(x))))-((7)*((7)*((x)*(x))))),((((9)-(5))+((2)*(x)))*((9)*((6)*((x)+(0))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,MultXD,MutateTerminalR,0,0,0.969097651421508,0.001143641354071363,0.9068319278660785,0.004754363790013575,4951727.2,6113.8,4951727.2,6113.8,((((x)*(x))*((x)*((6)*(5))))*((9)*((5)-((2)*(x))))),((6)+(3)),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,ReplaceBranchXR,2,1
x*x*x*x,25,-10,ANTAGONIST-FBz,PROTAGONIST-0c2c2c2c2c2c2c1c1c2c1c2c2c2,0.8,0.005973075414978499,765100,6084.24,0.08550549397463242,0.28044416081739204,3009061.7199999997,5247.030000000001,5937941.6,2672.32,((((x)*(8))*((3)*((x)*(x))))-((7)*((7)*((x)*(x))))),((((9)-(5))+((2)*(x)))*((9)*((6)*((x)+(0))))),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,MultXD,DeleteNonTerminalR,0,0,-0.9600000000000001,0,0.9068319278660785,0.004754363790013575,6120.8,6120.8,4951727.2,6113.8,((((x)*(x))*((x)*((6)*(5))))*((9)*((5)-((2)*(x))))),((6)+(3)),MultXD|AddTreeWithMult|MultXD|AddTreeWithSub|AddToLeafR,ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,DeleteNonTerminalR,3,1
